zvimbokoma 	D- 	8 	z 		zvimbokoma D- z 8 . Uku kurwa kunenge kuchiita vanhu vachikandana zvibhakera.
hupamaronda 	DKKDD 	9 	z 		hupamaronda DKKDD z 9 . Uyu muripo unobiswa nemunhu mushure mekurova nekukuvadza mumwe munhu. gonzvamutenda 9 .
hurekure 	D- 	9 	z 		hurekure D- z 9 . Uyu mutambo wekuda kuona anokanda zvinoenda kure kupinda vamwe.
hurukuru 	KKKD 	9 	z 		hurukuru KKKD z 9 . Iyi inzvimbo kana chivakwa chinomirira nhoroondo yeupenyu hwevagari vepo, kana kuti vaimbogarapo, sezvakaita Masvingo eZimbabwe.
hurungudo 	KKKD 	9 	z 		hurungudo hungurudo KKKD z 9 . Aka kabwe kakaurungana, kanotsvedzerera, kanowanikwa mujecha, uye kanoshandiswa pakuumba hari.
huruva 	KDK 	9 	z 		huruva KDK z 9 . guruva 9 .
huyakwose 	DDKK 	9 	z 		huyakwose DDKK z 9 . Iri idombo diki rine mativi maviri akaserera, rinokuyiswa dovi kana zviyo. Uyu munhu anokonzera kusawirirana kana kurwa pakati pavanhu kana mapoka, nokuti anenge achifambisa mashoko okunyepa anozokonzera kusawirirana kwevanhu ava, asi iye achiidzwa munhu kwaye.
hwadigwa 	KDK 	9 	z 		hwadigwa KDK z 9 . Hwadigwa ruzha runoitwa netsoka dzemunhu anenge achitamba mumhanzi, asi zvichienderana nemumhanzi wacho. Hwadigwa musikana asina kutsiga.
hwakumukwaku 	D- 	9 	z 		hwakumukwaku D- z 9 . Uku kufamba kunoita datya richisvetuka-svetuka. gwakumukwaku 5 . Uku kushandisa nzira dzakawanda dzokuzviraramisa komunhu anoshaya.
hwamu 	DK 	9 	z 		hwamu DK z 9 . Hwamu iganda rokunze rinenge rasvotorwa kana kukumurwa pamuti.
hwende 	K- 	9 	z 		hwende K- z 9 . Hwende munhu kana mhuka ine mutumbi mukuru. mukwandai 3 .
hwenyerwa 	DKD 	9 	z 		hwenyerwa DKD z 9 . Hwenyerwa kuvaviwa kana kubayiwa- bayiwa pamuviri zvinozoita kuti ukwenye.
hweshero 	KKD 	9 	z 		hweshero KKD z 9 . Hweshero kumagaro kwegudo kwakaomarara kupinda rimwe ganda. changazha 7, chikuyu 7 .
hweta 	D- 	9 	z 		hweta D- z 9 . Hweta ifuro rakaomeswa rinoshandiswa sembiriso yokuvirisa doro. Hweta iburi kana kuti mukana uri murusvingo, unoshandiswa pakudongorera kuona muvengi kana kumupfura.
hweva 	D- 	9 	z 		hweva D- z 9 . Hweva inyeredzi inoonekwa kumabvazuva kunze kwava kuda kuedza. nhanda 9, hwevera 9 .
hwevera 	D- 	9 	z 		hwevera D- z 9 . hweva 9 .
hwezvi 	D- 	9 	z 		hwezvi D- z 9 . Hwezvi imombe isingadi kugara panzvimbo imwe, inozokonzera kuti dzimwe dziitevedzere.
hwidibiro 	KKKD 	9 	z 		hwidibiro KKKD z 9 . Uyu muvharo wokuvharisa pakashama, unogona kubvisika kana munhu oda kutora zviri mukati. hwidibo 9 .
hwindimiri 	KDDD 	9 	z 		hwindimiri KDDD z 9 . Uyu mudhuri wakareba, une simbi dzakatenderera, dzinofambiswa nemhepo pachibuda simba rokupomba mvura.
hwiradanga 	K- 	9 	z 		hwiradanga K- z 9 . Uyu muripo unopiwa tezvara, wokukwira danga remombe vasati vabvuma roora remombe.
hwiranondo 	KKKD 	9 	z 		hwiranondo KKKD z 9 . Iyi imhuka yomusango ine nyanga dzakakombamira mukati, inofamba iri muboka nedzimwe ichidya uswa, mashizha nemimwe michero. nondo shava 9 .
hwiribidi 	K- 	9 	z 		hwiribidi K- z 9 . Hwiribidi imhuka yesango yakaenzana nembudzi, inofamba usiku, uye inogara mumwena ichidya masvosve namajuru. bikita 5, dzimba 5 .
hwiriti 	DKK 	9 	z 		hwiriti DKK z 9 . Hwiriti ishiri pfumbu yerudzi rwenjiva inofarira kudya chakata. huriti 9 .
idyo 	DK 	9 	z 		idyo DK z 9 . Idyo kugara munhu achingodya. Baba ava vane madyo. Havabudi mukicheni. mukaha 3, nhafu 9 .
imba 	DK 	9 	z 		imba DK z 9 . Imba chivakwa, chikuru kana chidiki, chinomiswa nemapango, mabwe kana zvidhina kuti vanhu vagogara kana kushandira mukati. Dzimba zhinji dzomumaguta ndedzomuturikidzanwa, dzimwe dzichitova nhungamakore chaidzo.
imbahuru 	DKDD 	9 	z 		imbahuru DKDD z 9 . Ava vanhu vemhuri kana kuti dzinza rinotonga. chimbuzi 7 .
imbwa mupengo 	DK DKK 	9 	z 		imbwa mupengo DK DKK z 9 . chimbwamupengo 7 .
imbwa nzvere 	DK KK 	9 	z 		imbwa nzvere DK KK z 9 . Iyi imbwa hadzi inenge ichangobva kubereka vana.
imbwazukuru 	DKDDD 	9 	z 		imbwazukuru DKDDD z 9 . Iyi imbudzi inopiwa neanenge aroora kutenda mbuya vemukadzi wake. Mukwasha anogona kubvisa imbwazukuru kana mbuya vachiri vapenyu kana kuti vakafa.
imbwe 	DK 	9 	z 		imbwe DK z 9 . tsoro 9 .
imvi 	DK 	9 	z 		imvi DK z 9 . Imvi ivhudzi romunhu rinenge rava kuchena rakatarangana, asi musoro usati wachena wose. Kana munhu ava kuchembera anotanga kuonekwa kumera imvi.
inda 	DK 	9 	z 		inda DK z 9 . Inda kapukanana kadikidiki, kanonanaira uye kanoda kugara muhanzu kana pamuviri womunhu kachimusveta ropa. Kana hembe dzisingagari dzichiainwa dzinogona kuita inda dzakawanda.
indye 	D- 	9 	z 		indye D- z 9 . Indye ibudzi rinovava kana chimwewo chingavava zvokuti hachizosadyiwi. Indye ikabikwa namapudzi kwawo zvose zvinovava.
indyo 	D- 	9 	z 		indyo D- z 9 . idyo 9 .
ingi 	KD 	9 	z 		ingi KD z 9 . Ingi musvi kana kuti muto, unogona kuita ruvara rwakasiyana, inoiswa mukati mechinyoreso kuti ugonyora noruvara irworwo. Bhiro yako yaisi kunyora nokuti yapera ingi.
ingwe 	D- 	9 	z 		ingwe ngwe D- z 9 . Ingwe imhuka yesango, inenge katsi asi iyo iri huru, ine manyerekete machena nematema uye inouraya zvipfuwo nokutsunya nenzwara dzayo. Ingwe ine mavara anoyevedza. mbada 9 .
inishuwarenzi 	DDKDDD 	9 	z 		inishuwarenzi DDKDDD z 9 . Ichi chibvumirano chaunobhadharira kuti uzowana rubatsiro kana pava nedambudziko kana kuti paitika tsaona. Ndine inishuwarenzi yemotokari, zvokuti ikabheuka ndinobatsirwa kugadzirisa.
inivhoisi 	KKDDD 	9 	z 		inivhoisi KKDDD z 9 . Aka katsamba kanonyorwa zvinhu zvauri kuda kutenga nomutengo waunofanira kubhadhara. Kubasa kwedu hatibhadhari chinhu pasina inivhoisi.
injini 	KDD 	9 	z 		injini KDD z 9 . Injini ndiwo mwoyo unopa simba kumotokari kana mumwewo muchina nokugaya simba remagetsi mukati mayo.
inyn'o 	D- 	9 	z 		inyn'o D- z 9 . Iyi inhengo yemhuka, shiri kana munhu inobuda netsvina.
inyo 	DK 	9 	z 		inyo DK z 9 . inyn'o 9 .
ipwa 	DK 	9 	z 		ipwa DK z 9 . Ipwa chirimwa chinenge mugunde unobuda muto unotapira.
ishwa 	DK 	9 	z 		ishwa DK z 9 . Ishwa zvibhururukwa zvinobuda muchuru kana kwanaya, zvinogara pamwe nemajuru nokudyiwawo semajuru, asi izvo zviine mapapiro. Majuru anoruma kana vanhu vachinonga ishwa.
isita 	KDD 	9 	z 		isita KDD z 9 . Isita inguva inorangarirwa nemaKristu kufa kwaJesu vachizopembererazve kumuka kwake.
itsvo 	DK 	9 	z 		itsvo DK z 9 . Itsvo inhengo yomukati momuviri womunhu kana mhuka, inotsaura mvura nomunyu zvinenge zvisingadiwi kushandiswa nemuviri, ichizviendesa kudundira.
jezi 	KD 	9 	z 		jezi KD z 9 . Jezi imhando yemutinhimira wemumhanzi wakapfavira panenge pachiridzwa marimba, magitare, hwamanda nengoma.
jinja 	KD 	9 	z 		jinja KD z 9 . Jinja rudzi rweturungiso twechikafu twunovavira.
kaki 	DK 	9 	z 		kaki DK z 9 . Kaki mucheka une ruvara rwuri pakati peshava neshora, unoshandiswa kazhinji kusona yunifomu dzokuendesa kuzvikoro kana kumabasa.
kamiro 	KKD 	9 	z 		kamiro KKD z 9 . hamiro 9 .
kangamirisi 	KDKDD 	9 	z 		kangamirisi KDKDD z 9 . Ichi chibage chino utsvuku hweorenji chinowanzotengwa kana kwakatsva, vanhu vashaya chichena. Kangamirisi tinoiwana munguva dzenzara. kenya 9 .
kanganwiro 	KKKD 	9 	z 		kanganwiro KKKD z 9 . ruregerero 11 .
kanzuru 	KDD 	9 	z 		kanzuru KDD z 9 . Kanzuru ibato rinoona nezvamagariro avanhu mumatunhu kana mumadhorobha. Kanzuru yeguta reHarare iri kuedza kuvakira vagari vose dzimba dzakanaka.
kapeti 	KDD 	9 	z 		kapeti KDD z 9 . Kapeti chirukwa chikobvu chinowaridzwa kana kunamirwa pauriri mumba.
karabhaa 	KDKD 	9 	z 		karabhaa KDKD z 9 . rusaruraganda 11 .
karavheta 	DDKD 	9 	z 		karavheta karuvheta DDKD z 9 . Uyu mudziyo wokurimisa, wakada kufanana negeja, unoshandiswa kutimbinyura nokubvisa sora pakati pemaraini embesa mumunda, kunyanya chibage. chikovhoro 7 .
kari 	DK 	9 	z 		kari DK z 9 . dakataka 5 .
kariko 	KDD 	9 	z 		kariko KDD z 9 . Kariko rudzi rwomucheka wakakorera unosoneswa mbatya, kunyanya marokwe. Dhirezi rekariko haribvaruki nhando.
karotsi 	KDD 	9 	z 		karotsi KDD z 9 . Karotsi chirimwa chomugadheni chine dzinde dzvuku rimwe chete, rinova ndiro rinodyiwa.
karukuni 	DKDD 	9 	z 		karukuni DKDD z 9 . garikuni 5 .
kasha 	K- 	9 	z 		kasha K- z 9 . Kasha kamudziyo kaduku kanoisirwa fodya yakaita sebute kana mudhombo. chibako 7, nhekwe 9, nyere 9 . Kasha kamudziyo kadiki kanenge chibako chefodya asi iko kachishandiswa kuchengetera munyu. Kasha chombo chinoshandiswa nemapurisa kana mauto, chakaita sekatende, kanokandirwa vanhu kachiputika kuparadzira utsi hunochemedza nokukachidza. Vadzidzi vairatidzira kutsutsumwa vakazokandirwa kasha dzoutsi nemapurisa, apo vakanga vava kutanga kuita zvokukanda matombo.
kasitoro oiri 	KDDD KDD 	9 	z 		kasitoro oiri kasito oiri KDDD KDD z 9 . Aya mafuta anosvinwa kubva mumhodzi, uye unoshandiswa somushonga wokurapa mudumbu.
katapira 	KDKD 	9 	z 		katapira KDKD z 9 . Katapira rudzi rwetarakita hombe hombe, dzinoshandiswa kuchera migwagwa kana panenge pachivakwa.
katekisimo 	DDKDD 	9 	z 		katekisimo katikisimo DDKDD z 9 . katikazi 9 .
katikazi 	DKDD 	9 	z 		katikazi katikasi DKDD z 9 . Aka kagwaro kana kachinyorwa kadiki, kane mibvunzo nemhinduro yezvidzidzo zvomuBhaibheri, zvinodzidziswa kune vanoda kuzova nhengo dzechechi, kunyanya vana vadiki. katekisimo 9 .
katsi 	KD 	9 	z 		katsi KD z 9 . Katsi kamhuka kadiki kanogara pamusha nevanhu, kanouraya makonzo nenyoka. kitsi 9, kiti 9, mangoi 1a .
kaunda 	KDD 	9 	z 		kaunda KDD z 9 . Kaunda itebhuru inotengeserwa zvinhu muchitoro, kana kuti inoitirwa bhizimisi yakakamurwa kuita tumikoto, semubhangi kana muposvo.
kenya 	KD 	9 	z 		kenya ken'a KD z 9 . Kenya rudzi rwechibage chinoita tsanga dzakatsvukuruka kuita yero, chinowanzotengwa kunze kwenyika kuti vanhu vazogaisa kuita upfu, kana zviya kwakatsva chibage chichena chichinetsa kuwana.
kenza 	KD 	9 	z 		kenza KD z 9 . Kenza chirwere chegomarara chinoomesa panzvimbo pachinenge chabata pamutezo kana nhengo yomuviri. gomarara .
kereke 	DKD 	9 	z 		kereke DKD z 9 . Kereke chiunga chavanhu chinoumba svondo. kirike 9, chechi 9 .
keriya 	KDD 	9 	z 		keriya KDD z 9 . Keriya chitakuriso chinoiswa nechekumberi kana kuti nechekumashure kwebhasikoro, apo munozokanda kana kusungirira zvinhu zvamunenge muchida kutakura zvacho. chitakuriso .
kero 	KD 	9 	z 		kero KD z 9 . adhiresi 9 .
ketani 	KDD 	9 	z 		ketani katani KDD z 9 . Ketani icheni hobvu inoshandiswa kukweva geja pakurima, inogadzirwa nokubatanidza zvisimbi zvakakochekerana. ngetani 9 .
ketero 	KDD 	9 	z 		ketero KDD z 9 . Ketero mudziyo wokudziyisa kana kuvhaidza mvura, yakasiyana nepoto pakuti iyo ino muromo wokudirisa. Dzimwe ketero dzavako mazuva ano dzinoridza muridzo kana mvura yavira.
kiki 	KD 	9 	z 		kiki KD z 9 . Kana munhu achinzi arohwa kiki anenge abanhwa negumbo.
kimbari 	KDD 	9 	z 		kimbari KDD z 9 . Kimbari rudzi rwezvidhina zvokuvakisa, zvikuru, zvisingapiswi.
kirashi 	DKD 	9 	z 		kirashi kirachi DKD z 9 . Kirachi ndiyo inotsikwa nomuchairi wemotokari kuti akwanise kuchinja magiya.
kirike 	KDK 	9 	z 		kirike KDK z 9 . kereke 9 .
kirimu 	DKD 	9 	z 		kirimu DKD z 9 . Kirimu ruomba kana kuti mafuta anotorwa nechepamusoro pemukaka.
kisi 	KD 	9 	z 		kisi KD z 9 . tsvodo 9 .
kodhoro 	KDD 	9 	z 		kodhoro KDD z 9 . Kodhoro rudzi rwejira gobvu rinodziya uye rine tumichinjiziri divi rokunze, rinosoneswa mbatya dzokupfeka pachando, kunyanya midhebhe. Kana kunze kuchitonhora, anopfeka matirauzi ekodhoro.
kodzero 	D- 	9 	z 		kodzero D- z 9 . Kodzero chinhu chinenge chakafanira kuti munhu ave nacho kana kuti achibvumidzwe. Mazuva ano vanhukadzi vava kurwira kodzero dzavo muzvinhu zvakasiyana-siyana.
kofi 	KD 	9 	z 		kofi KD z 9 . Kofi imbesa kana kuti tsanga dzinoti dzaomeswa dzinosvipirira, dzokuyiwa dzichiita upfu hunoiswa mumvura inofashaira kugadzira chinwiwa chinopisa. Kofi chinwiwa chinopisa chinobikwa noupfu hwemhodzi dzechirimwa chinonzizve kofi. Kana zviya ndichida kuverenga usiku, ndinonwa kofi kuti ndisakurumidza kubatwa nehope.
koko 	KD 	9 	z 		koko KD z 9 . Koko ndiwo musana webhokisi remachisi, unokwenyerwa tutanda papendi yakanamirwa tuchibaka moto. Koko imbesa kana muchero unogayiwa upfu hunobikiswa chinwiwa chakada kuita sekofi. Koko chinwiwa chinobikwa noupfu hunokuyiwa nembesa kana kuti muchero unonzizve koko. Koko chinwiwa chinotonhorera.
kokotera 	KDDD 	9 	z 		kokotera KDDD z 9 . Aka kachitoro kadiki kanotengeswa hwahwa, zvimwewo zvinwiwa, netwokudyira-dyira twakasiyana.
koma 	KD 	9 	z 		koma KD z 9 . Kana munhu ari mu koma anenge achirwara, akangoti rapata, asingazivi zviri kuitika. Kana munhu ari mukoma, zvinenge zvakada kungofanana nekufa. gomarara 5 . Koma kanyora kanoshandiswa pakunyora chirevo, kuratidza pekumbozororera kana uchichiverenga.
komichi 	KDD 	9 	z 		komichi KDD z 9 . Komichi mudziyo mudiki, une mubato, unoshandiswa kunwa nawo zvinwiwa.
komonizimo 	KDKDD 	9 	z 		komonizimo KDKDD z 9 . komunizimu 9 .
kondo 	K- 	9 	z 		kondo K- z 9 . Kondo ishiri yakatsvukuruka, inonzi ine ziso rimwe, nemusoro unenge sando, uye ine muromo murefu uyo inoshandisa kunyurura hove murwizi. Kondo igonye rinogara mukamba karo, kakaumbiridzwa kakanamira pamuti senhundu yemago.
kongonya 	KKD 	9 	z 		kongonya KKD z 9 . Kongonya kutamba munhu akakotama, achitambisa chiuno, achitomuka-tomuka nekurovera makumbo pasi. Makore ehondo kwakatambwa kongonya zvakaoma nanamukoma.
konji 	D- 	9 	z 		konji D- z 9 . Konji ishinda iya inowanikwa kana munhu achinge apura chimwoyo chemufaibha kana mushayamhanda.
konobho 	DKD 	9 	z 		konobho DKD z 9 . bhatani 5 .
konondo 	DKD 	9 	z 		konondo DKD z 9 . Konondo itsvina inenge yakawanda chaizvo iri pamuviri pomunhu, zvokuti inotosemesa.
kopa 	KD 	9 	z 		kopa KD z 9 . Kopa chicherwa chinogadziriswa waya dzemagetsi, uye mari yesimbi yakatsvukuruka sezvakaita sendi. Muno muZimbabwe kopa inocherwa kuMhangura.
kora 	KD 	9 	z 		kora KD z 9 . Kora imba inorara vakomana vega kana vasikana vega vachiri vadiki. Kora musokora wehembe wakapenderwa nechokuhuro kunotangira mabhatani.
korokoro 	KKKD 	9 	z 		korokoro KKKD z 9 . Iyi ihove inogara muhova huru.
koroni 	KKD 	9 	z 		koroni KKD z 9 . Koroni chirimwa chine tutsanga tudiki twakachenuruka nekutsvukuruka, tunokuyiwa kuita upfu hunobikiswa chingwa. gorosi 5 .
kotoni 	KDD 	9 	z 		kotoni KDD z 9 . donje 5 .
kovho 	KD 	9 	z 		kovho KD z 9 . Kovho muriwo unorimwa, unoreba kuenda mudenga, uchitumbuka maruva eyero kana machena. rugare 11 .
kuja 	D- 	9 	z 		kuja D- z 9 . nguruve 9 .
kutu 	KD 	9 	z 		kutu KD z 9 . mbwanana 9 .
kuwe 	KD 	9 	z 		kuwe KD z 9 . Kufe ishiri ine zhumu, inodya tupuka nemichero, inorira zvakafanana namadanirwo anoitwa zita rayo. funye 9, guwe 5 .
kwari 	KD 	9 	z 		kwari KD z 9 . Kwari igomba guru repanenge pakabviswa ivhu rakawanda chaizvo. Kwari ivhu kana mabwe anokosha kana asingakoshi anocherwa muvhu.
kwashi 	KD 	9 	z 		kwashi KD z 9 . Kwashi chirwere chinozvimbisa dumbu nekutsvukiririsa vhudzi, chinoitwa nevana vanenge vasinganyatsowana kudya kunovaka muviri. Pavakaenda kuchipatara nemwana ane kwashi, vakatukwa chaizvo nemanesi vakanyadziswa zvekushaya pekunyura. kwashiyoka 9 .
kwashiyoka 	KDKD 	9 	z 		kwashiyoka kwashiyo KDKD z 9 . kwashi 9 .
kwaya 	KDD 	9 	z 		kwaya KDD z 9 . Kwaya chipoka chevanhu vanoimba pamwe chete, uye vanongoimba nomuromo chete, pasina kushandisa magitare kana zvimwe zviridzwa. kwaera 9 .
kwiriti 	KDD 	9 	z 		kwiriti KDD z 9 . Kwiriti ijira rinowanzofugwa nemadzimai, vakangoti kasva pamapendekete kana kumonera.
kwiyo 	KD 	9 	z 		kwiyo KD z 9 . Kana munhu akabatwa kwiyo anenge abhinywa, kana kumanikidzwa nechisimba kuita zvaasingadi. Matsotsi akamubata kwiyo akamutorera mari.
makandinzwanani 	DKDKDK 	9 	z 		makandinzwanani wakandinzwanani DKDKDK z 9 . Iyi imari inobvisiswa vakuwasha natezvara, apo vanenge vachibvunza vakuwasha kuti akakutaurirai kuti ndine mwana akanaka pano ndiani.
mana 	KD 	9 	z 		mana KD z 9 . Mana chikafu chichena chinonzi chaive chakadonhera pasi chikazodyiwa nemaJudha mugwenga.
manda 	K- 	9 	z 		manda K- z 9 . Manda mafuta emhuka.
manza 	K- 	9 	z 		manza K- z 9 . Manza mukaka usati wakora.
matiridha 	DKDD 	9 	z 		matiridha DKDD z 9 . Urwu rudzi rwesipo yemavara yekuwachisa.
mba 	K 	9 	z 		mba K z 9 . imba .
mbada 	D- 	9 	z 		mbada D- z 9 . Mbada imhuka ine ruvara rwakada kuita seranjisi nezvidenderedzi zvitema, yakafanana nekatsi asi iyo iri hombe. ingwe 9 .
mbadzi 	DK 	9 	z 		mbadzi mbadze DK z 9 . Mbadzi chimedu chenhanga kana muchero wakaita seranjisi. mbai 9 .
mbadzwa 	KD 	9 	z 		mbadzwa KD z 9 . Mbadzwa mabandi echibage chagayiwa chisina kuotswa. mabandurwa 6 .
mbai 	D- 	9 	z 		mbai D- z 9 . Mbai chimedu chenhanga kana muchero. mbadzi 9 .
mbaimbai 	DKDD 	9 	z 		mbaimbai DKDD z 9 . Kuti mbaimbai kureva nguva pfupi inotevera. Gezai zvenyu, sadza tichabika mbaimbai.
mbakumba 	DKD 	9 	z 		mbakumba DKD z 9 . shangara 9 .
mbama 	KD 	9 	z 		mbama KD z 9 . Kurova munhu ne mbama kumurova nemukati meruoko. Akarohwa mbama kumeso akaona nyenyedzi. gwati 5 . Mbama mukati meruoko.
mbambiro 	D- 	9 	z 		mbambiro D- z 9 . Ichi chinhanho chekutanga pane zvinenge zvichiitwa. mavambo 6 .
mbambo 	D- 	9 	z 		mbambo D- z 9 . hoko 9 .
mbanda 	D- 	9 	z 		mbanda D- z 9 . Uyu mushonga unonzi unokwanisa kudzinga mweya wetsvina.
mbanje 	DK 	9 	z 		mbanje DK z 9 . Mbanje ifodya inodhaka zvikuru, zvekuti inogona kukanganisa pfungwa dzemunhu.
mbare 	DK 	9 	z 		mbare DK z 9 . Mbare kudunduvira kunoita ropa, pachiita mavara matema nekuda kwekunyanya kudziya kwemoto.
mbavarira 	KKDK 	9 	z 		mbavarira KKDK z 9 . Uku kushingirira kuti zvaunenge uchida zvifambe.
mbayo 	D- 	9 	z 		mbayo D- z 9 . Mbayo kudisisa kudya kwakawanda. nhafu 10 .
mbenene mbenene 	KKK DDD 	9 	z 		mbenene mbenene KKK DDD z 9 . Uku kupfuvisa munhu anga achifara.
mberevere 	D- 	9 	z 		mberevere D- z 9 . Aka kamoto kadiki kasinganyanyi kupfuta. Mberevere yakapisa matanda makuru.
mbiri 	K- 	9 	z 		mbiri K- z 9 . Mbiri kuzivikanwa zvakanyanya pane zvaunenge uchiita. mukurumbira 3 .
mbiriso 	D- 	9 	z 		mbiriso D- z 9 . Mbiriso upfu hunoshandiswa kufutisa kana kuvirisa zvibikwa. Chingwa chandakabika chafuta nekuti ndakaisa mbiriso.
mbiriyakare 	KKKDD 	9 	z 		mbiriyakare KKKDD z 9 . Ichi ndechaimbova nemukurumbira nguva yakapfuura. Mota iyi imbiriyakare chaiyo.
mbiruviru 	KDKD 	9 	z 		mbiruviru KDKD z 9 . chitubu 7 .
mbise 	KD 	9 	z 		mbise KD z 9 . Mbise ruvara runenge ngura, runoita pamazino.
mbodza 	D- 	9 	z 		mbodza D- z 9 . Mbodza isadza risina kunyatsoibva nekuti harina kunzwa moto zvakanaka, kana kuti rakurumidzirwa kumonwa. mbwezhu 9 .
mbombera 	DKD 	9 	z 		mbombera DKD z 9 . Mbombera maturoko echitema asingadhuri, anopindwa nemunhu wese wesewo zvake. Chinhu che mbombera chinhu chinongoshandiswa nemunhu wese chisina muridzi anotonga.
mbona mbona 	KD+ 	9 	z 		mbona mbona KD+ z 9 . Iri idambudziko rinowira munhu. Takaoneswa mbona mbona namasoja muhondo.
mbuyamuderere 	KDDDDK 	9 	z 		mbuyamuderere ambuyamuderere KDDDDK z 9 . Aka kapuka kane makumbo marefu, kanobhururuka nekudyawo tumwe tupuka. mbuyambuya 9 .
mbwirembwire 	KDKD 	9 	z 		mbwirembwire KDKD z 9 . Iyi imhunga kana chibage chinokangwa, chokuyiwa kuita upfu hunodyiwa hwakadaro.
mbwizhu 	DK 	9 	z 		mbwizhu mbwezhu DK z 9 . Mbwizhu isadza rinenge risina kubikwa rikanyatsoibva zvakanaka. mbodza 9, bure 5 .
menisiparati 	KKDKDD 	9 	z 		menisiparati KKDKDD z 9 . Iri iboka revatongi vedhorobha kana guta rine kuzvitonga kwaro pacharo. minisipariti 9 .
meshi 	KD 	9 	z 		meshi mashi KD z 9 . Meshi mauswa akanyorovera anoiswa munokandirira huku, kana kuti munogara tsuro dzinochengetwa pamusha. Meshi upfu hwehuku, madhadha nezvimwewo. mashi 9 . Meshi iwaya inorukwa kuti igovaka zvivakwa zvinenge zvirugwi zvehuku.
mhaka 	DK 	9 	z 		mhaka DK z 9 . Mhaka chikanganiso chinenge chaparwa. mhosva 9 .
mhakatwa 	KDK 	9 	z 		mhakatwa KDK z 9 . sakatire 5 .
mhamba 	D- 	9 	z 		mhamba D- z 9 . hwahwa 9 .
mhandamatsipa 	D- 	9 	z 		mhandamatsipa D- z 9 . Uku kusandudzira huro, sezvinoita mombe kana dzichirwa.
mhandamidzi 	D- 	9 	z 		mhandamidzi D- z 9 . Iyi imari yaunopa kun'anga, uchibhadhara mushonga wainenge yakupa. tsamiti 9, tsamidzi 9, tsamutombo 9 .
mhandapanda 	KDKD 	9 	z 		mhandapanda KDKD z 9 . Kana vanhu vakaita mhandapanda vanenge vatiza vachipararira kwese kwese.
mhande 	DK 	9 	z 		mhande DK z 9 . Mhande chidimbu chembeu chapamurwa, sekuti chipenga chetsanga yechibage.
mhande 	KD 	9 	z 		mhande KD z 9 . Mhande mutambo panenge pachidzana vanhu vane mashave. Mhande kumucheto kwemucheka kwakapeterwa mukati kukasonwa. mupendero 3, rupandi 11 . Mhande chidimbu chejira. rupandi 11 .
mhandwe 	D- 	9 	z 		mhandwe D- z 9 . Mhandwe kamuti kanoita mwana anenge hanyanisi nemaruva matsvuku, kanoti kana kokukumuka kachikunguruka, vakuru vanobva vati koda kunaya zvino.
mhanga 	K- 	9 	z 		mhanga K- z 9 . Mhanga idoro rinenge ravira, ramirira kudirwa masvusvu, rozonwiwa kwapera mazuva manomwe. shwarandanda 9 .
mhangura 	DDK 	9 	z 		mhangura DDK z 9 . Mhangura ivhu kana dombo rinocherwa pasi, rinogadziriswa simbi.
mhangwa 	DK 	9 	z 		mhangwa DK z 9 . Mhangwa izano rinorongwa nevanhu vakawanda vari pamwe chete. bangano 5 . Iyi irairo inopiwa nemunhu mukuru, sezvingaita nababa kumwana wavo. Mhangwa kushuva zvekudya kana zvimwewo. Ndine mhangwa yekuda kudya nyama yembudzi.
mharadzamusasa 	D- 	9 	z 		mharadzamusasa D- z 9 . Ichi chiitiko chekupedzisira pane zvimwe zvose zvanga zvichiitwa pamutambo, sekuti rwiyo rwokupedzisira panga pachiimbwa. mharadzano 9, chidzungudza 7 . Iri idoro rinogoverwa vanhu pekupedzisira kana vari panhimbe kana pamutambo. Vapedza kunwa mharadzamusasa, vanhu vakaenda kudzimba dzavo. mharadzano 9, chidzungudza 7 .
mharadzano 	D- 	9 	z 		mharadzano mhararano D- z 9 . Mharadzano ndepanosiyana nzira, imwe yonanga kumwe, imwe kwayowo.
mharadzavagere 	DDDDKK 	9 	z 		mharadzavagere DDDDKK z 9 . Uyu munhu anosvikokanganisa kana kufurufusha vanhu panzvimbo pavanga vari pasina chinetso.
mharadzo 	D- 	9 	z 		mharadzo D- z 9 . mharadzamusasa 9 .
mhedzeredzwa 	KKDK 	9 	z 		mhedzeredzwa KKDK z 9 . Iri idanho rekupedzisira pabasa rinenge richiitwa, kana kuti zvinosara panenge pabviswa zvimwe. -pedzeredza .
mhedzisiro 	KKKD 	9 	z 		mhedzisiro mhedziso KKKD z 9 . Mhedzisiro maperero kana kwokupedzisira kwenyaya. Mhedzisiro yokudanana kwavo yakazoita muchato. magumisiro 6 . ANTONYMS mavambo 6.
mhembere 	D- 	9 	z 		mhembere D- z 9 . Mhembere imhepo inobva kuchamhembe ichienda kumaodzanyemba.
mhendero 	D- 	9 	z 		mhendero D- z 9 . mupendero 3 .
mhenengero 	KKKD 	9 	z 		mhenengero mhengenero KKKD z 9 . Aya mashoko eongororo yechinyorwa. tsoropodzo 9 .
mhengeramumba 	K- 	9 	z 		mhengeramumba K- z 9 . Uyu munhu anoita zvekunge anopenga, achishusha vemumba, asi kunze achiita kunge munhu kwaye.
mheni 	D- 	9 	z 		mheni D- z 9 . Mheni kupenya nekurira kunoitika kana mvura ichinaya. Mombe dzakarohwa nemheni dziri pazasi pemuti.
