gwaronhau 	DDDK 	11 	z 		gwaronhau DDDK z 11 . Iri ibepa rinenge rakanyorwa nhau dzakasiyana-siyana asi iro risingabudi mazuva ese kana kuti pasvondo sepepanhau.
ruvengahonye 	DKKKD 	11 	z 		ruvengahonye DKKKD z 11 . Aka kamuti kadiki, kane mashizha akanyanya kusvibira, anoshandiswa kudzivirira honye pamaronda ezvipfuyo. Kana n'ombe yaita mota, raputika, ruvegahonye runoiswa paronda racho kuti risaita honye.
ruvengano 	DKKD 	11 	z 		ruvengano DKKD z 11 . Uku kusawirirana pakati pavanhu kana mhuri. ANTONYMS ushamwari 14.
ruvengo 	DKK 	11 	z 		ruvengo DKK z 11 . Ruvengo kuva nemweya wekusada kufarira mumwe munhu.
ruvheneko 	D- 	11 	z 		ruvheneko D- z 11 . ANTONYMS rima 5. rujeko 5 .
ruvhesi 	DKD 	11 	z 		ruvhesi DKD z 11 . Ruvhesi kuchaira mota ichidzokera kumashure.
ruvhevhe 	D- 	11 	z 		ruvhevhe D- z 11 . Ruvhevhe kuva nekunyengedza pamaitiro.
ruvhevho 	D- 	11 	z 		ruvhevho D- z 11 . Ruvhevho kunyengedza mumwe kuti asaziva chokwadi.
ruvhunambwa 	DKDK 	11 	z 		ruvhunambwa DKDK z 11 . Urwu rudzi rwetsuro inomhanya zvikuru ichinzvenga nemiti. Imbwa dzinobondera nemiti pakuedza kubata ruvhunambwa.
ruwadzano 	D- 	11 	z 		ruwadzano D- z 11 . Uku kunyatsonzwana kana kuwirirana kunoita vanhu. Ichi chita kana kuungana kwevatenderi pamwe chete vachibva munharaunda dzakasiyana, vachiuya kuzorariroimba nekunamata vari pamwe.
ruwarakata 	D- 	11 	z 		ruwarakata D- z 11 . Izvi zvinhu zvinenge zvakarara kana kuwira pose pose. Chakata dzaita ruwarakata pasi.
ruwareware 	D- 	11 	z 		ruwareware D- z 11 . Uku kurongedzwa kwezvinhu zvichienzana. Tafura yose yarongedzwa. Mabhuku ava ruwareware.
ruyamuro 	D- 	11 	z 		ruyamuro D- z 11 . Ruyamuro kuitira kana kupa mumwe zvinhu kuti asanyanya kunetseka. rubatsiro 11 .
ruzarira 	DDKD 	11 	z 		ruzarira DDKD z 11 . Urwu rukanda ruchena runoganhura chifuva nedumbu mumuviri wonhu kana mhuka.
ruzevha 	DKD 	11 	z 		ruzevha DKD z 11 . Uku ndokune misha yavanhu kwavakavakidzana, kusiri kudhorobha kana kumapurazi. ruwa 11 . ANTONYMS tawindi 9>10.
ruzha 	DK 	11 	z 		ruzha DK z 11 . Kana vanhu vachiita ruzha vanenge vachitaura nemazwi akakwirira, zvinosvota vamwe vanenge vasinei nezvinotaurwa.
ruzhinji 	DKK 	11 	z 		ruzhinji DKK z 11 . Chinhu che ruzhinji chinenge chiri chemunhu wese chisina anoti iye ndechangu. Handei tinoshandisa chimbuzi chepamusiki cheruzhinji.
ruzhowa 	D- 	11 	z 		ruzhowa D- z 11 . Ruzhowa chivakwa chemiti ine minzwa kana isina, inenge yakashandiswa kukomberedza imba, minda, michero nezvimwewo. rusosa 11 .
ruziso 	DKK 	11 	z 		ruziso DKK z 11 . Ruziso maitiro ekungoda mukadzi kana murume wesewese kuti dai aita wako. ruchiva 11 .
ruzivo 	DKK 	11 	z 		ruzivo DKK z 11 . Ruzivo injere dzekugona nekuziva zvakawanda. Mwana wangu angangoita ruzivo nezvechirwere chamunotaura ichi, nokuti iye ndichiremba. Ruzivo kuva nepfungwa dzekuona zvakanaka nezvakaipa muupenyu.
ruzivururo 	DKKKD 	11 	z 		ruzivururo DKKKD z 11 . Aka katsika komunhu anenge achinyanya kuda kuziva zvinoitika muupenyu hwevamwe. Munhu ane ruzivururo anoita makuhwa.
ruzoka 	DKD 	11 	z 		ruzoka DKD z 11 . Ruzoka kurwadziwa nomudumbu komwana mudiki, kunyanya achiri pasi pemwedzi mishanu, zvichikonzerwa nokusanduka kwekunze kuchiita makore.
ruzvaro 	DKK 	11 	z 		ruzvaro DKK z 11 . Ruzvaro kukasika kuita vana vakawanda, pasina nguva yakareba.
ruzvidzo 	D- 	11 	z 		ruzvidzo D- z 11 . Ruzvidzo kutarisira mumwe pasi, uchiona sepasina zvaanogona kana kuziva. rushoro 11 . ANTONYMS rukudzo 11.
rwainga 	DKD 	11 	z 		rwainga rwenga, DKD z 11 . Rwainga chimedu chehari chinoshandiswa kukangira maputi, nzungu nezvimwewo. chainga 7 .
rwaivhi 	DKD 	11 	z 		rwaivhi rwavhi DKD z 11 . Rwaivhi kapuka kanofamba zvishoma kachiita zvekusikiza, uye kachichinja ruvara rwako zvinoenderana nepakanenge kari, kuti kasakurumidze kuonekwa. Rwaivhi rwunofarira kudya tupuka tudiki, twarwunobata nerurimi rwarwo rwunotatamuka.
rwama 	DK 	11 	z 		rwama DK z 11 . Rwama imhando youswa hunobuda hune midzi mirefu. shanje 9, tsangadzi 9 .
rwatata 	DKD 	11 	z 		rwatata DKD z 11 . Rwatata inhengo yomuviri iri pedyo nechiropa namapapu, inobatsira kuti zvadyiwa zvifambe zvakanaka mudumbu.
rwatsvira 	DKD 	11 	z 		rwatsvira DKD z 11 . Rwatsvira rukoko rwedovi runosara pasi pehari, runokwengwa nevanoda vachidya zvavo. Vana vekumba kwedu vanofarira kudya rwatsvira, kana usavi hwapakurwa.
rwenze 	D- 	11 	z 		rwenze D- z 11 . Rwenze mambava akamira pamusana wemhuka. Nhoro ine rwenze pamusana.
rwodzi 	DK 	11 	z 		rwodzi rwonzi DK z 11 . gavi 5 .
rwuyo 	DK 	11 	z 		rwuyo rwiyo DK z 11 . rumbo 11 .
