chaamai 	KDKD 	7 	z 		chaamai KDKD z 7 . Iri izwi rinoshandiswa kutaura kuti amai vomumwe vakaita, kana kuti vakaitirwa, zvinonyadzisa.
chibenenga 	D- 	7 	z 		chibenenga D- z 7 . Uyu munhu ane kumeso kwakaipa zvikuru. Tinaro akaroora musikana chibenga chaicho. chikoron'ozho 7 .
chibere 	DDK 	7 	z 		chibere DDK z 7 . chibage 7 .
chibereko 	D- 	7 	z 		chibereko D- z 7 . Chibereko ndiyo nzvimbo iri mudumbu inokurira mwana akamirira kuzvarwa. nyoka 9 .
chibeto 	DDK 	7 	z 		chibeto DDK z 7 . Chibeto mudziyo unoshandiswa kuparadzanisa musvo namarara. Kana uchida kunwa putugadzike isina masamba unoshandisa chibeto. chiketo 7 .
chibhabhabha 	DDKD 	7 	z 		chibhabhabha DDKD z 7 . Uku kurwa munhu achirova achikasika chaizvo. Akarohwa chibhabhabha, akashaya nguva yokufema. chibhubhubhu 7 .
chibhabhangu 	DDDK 	7 	z 		chibhabhangu DDDK z 7 . Uku kurova mvura namakumbo kunoita munhu anoshambira.
chibhabhauro 	DKKKD 	7 	z 		chibhabhauro DKKKD z 7 . Uyu munhu anoshanda nesimba achipedza basa zvakanaka. Baba vakaita chibhabhauro pavakachera tsime.
chibhakera 	D- 	7 	z 		chibhakera chibhakira D- z 7 . Ichi chanza chine minwe inenge yapfumbatwa. Iyi itsiva imwe chete inorohwa munhu.
chibhako 	D- 	7 	z 		chibhako D- z 7 . Chibhako mudziyo unoshandiswa mumba kukwenenzvera sadza rapakurwa.
chibhamu 	D- 	7 	z 		chibhamu D- z 7 . Chibhamu munhu akasvika akanaka, kazhinji ari musikana.
chibhariso 	D- 	7 	z 		chibhariso D- z 7 . chinyoreso 7 .
chibharo 	DKK 	7 	z 		chibharo DKK z 7 . Chibharo kumanikidza munhu kurara newe semurume nemukadzi pasina kutenderana. Chibharo ibasa risina muripo raiitiswa vatema vachimanikidzwa navarungu. Varume vaisiya misha yavo vachienda kumapurazi nokuda kwechibharo.
chibharusu 	DKDD 	7 	z 		chibharusu DKDD z 7 . kepisi 7 .
chibhebhe 	D- 	7 	z 		chibhebhe D- z 7 . Chibhebhe mwana akachenjera. Chibhebhe musikana unoyevedza kuona. Manu unodanana nechibhebhe chokwaMugaisi.
chibhebhenenga 	D- 	7 	z 		chibhebhenenga D- z 7 . Uku kuita zvinhu nesimba uchishingirira. Paradza amuka chibhebhenenga pakuverenga.
chibhedyera 	DKDD 	7 	z 		chibhedyera DKDD z 7 . chipatara 7 .
chibhende 	D- 	7 	z 		chibhende D- z 7 . Chibhende mutauro wokupesedzera kuti vamwe vasaziva zvinorehwa. Takamunyeya nechibhende aripo.
chibhibhi 	D- 	7 	z 		chibhibhi D- z 7 . Chibhibhi inguo inopfekwa nemusikana asi yakapfupika.
chibhobhiri 	DKDD 	7 	z 		chibhobhiri DKDD z 7 . chivhimbo 7 .
chibhokisi 	DKDD 	7 	z 		chibhokisi DKDD z 7 . Ichi chirwere chinoitisa mapundu mumuviri chinogona kutapuriranwa.
chibhubhubhu 	D- 	7 	z 		chibhubhubhu D- z 7 . Ichi chirwere chehuku chinoita kuti dzinete dzichibuda masiriri.
chibhubhubhu 	DDKD 	7 	z 		chibhubhubhu DDKD z 7 . Uku kuita zvinhu pasina gwara munhu achingoti chero kwazvasvika. Kurwa kwevasikana chibhubhubhu chete.
chibhunu 	D- 	7 	z 		chibhunu D- z 7 . Chibhunu izita rekutsvinya rinoreva mutauro unotaurwa navanhu vechiAfrikaans kuSouth Africa.
chibhurandaya 	DDKDD 	7 	z 		chibhurandaya DDKDD z 7 . Iri izita rekutsvinya rinoreva mutauro nemaitiro evanhu vokuMalawi.
chibhururukwa 	D- 	7 	z 		chibhururukwa D- z 7 . Ichi chipuka chese chese chinobhururuka, chisiri shiri, uye chakakura kudarika tumbuyu.
chibibi 	D- 	7 	z 		chibibi D- z 7 . Chibibi munhu akaremara makumbo. Ndayamura chibibi kukwira bhazi.
chibikiro 	D- 	7 	z 		chibikiro D- z 7 . Uyu mudziyo upi zvawo unoshandiswa kubikira.
chibikwa 	DDK 	7 	z 		chibikwa DDK z 7 . Chibikwa ndechese chokudya chinenge chabikwa.
chibimvu 	DKD 	7 	z 		chibimvu DKD z 7 . Chibimvu chimedu chinenge chadimburwa kana kugurwa pachihombe.
chibingamupinyi 	DKKDKK 	7 	z 		chibingamupinyi DKKDKK z 7 . chipingamupinyi 7 .
chibinge 	DKD 	7 	z 		chibinge DKD z 7 . Iyi imhosva inopiwa zvichitevera kukanganisa, kazhinji pakuroora.
chibishibishi 	DDKDD 	7 	z 		chibishibishi DDKDD z 7 . Uku kuita zvinhu muchikasira nokuda kwokuti nguva hapachina. Takaita chibishibishi kusumudza masaga nokuti rori yakanga yasvika.
chibofo 	DKK 	7 	z 		chibofo DKK z 7 . Chibofo kusure komunhu kunobuda netsvina, kunenge kuchigara kwakashama. mugofongo 3 .
chibombo 	D- 	7 	z 		chibombo D- z 7 . Chibombo chitota chidiki chinenge chisati chamera mapapiro.
chibondokoto 	D- 	7 	z 		chibondokoto D- z 7 . Uku kugara pasi munhu akapfunya makumbo.
chiboniboni 	DKKKK 	7 	z 		chiboniboni DKKKK z 7 . chionioni 7 .
chiboorashomwe 	DDDDDK 	7 	z 		chiboorashomwe DDDDDK z 7 . Aka kamuti kadiki kasina kunyanyoreba.
chibooreso 	D- 	7 	z 		chibooreso D- z 7 . Uyu mudziyo unoshandiswa kugadzira maburi.
chiboori 	D- 	7 	z 		chiboori D- z 7 . Uyu mudziyo unoshandisa magetsi, une simbi mberi, unoshandiswa kuboora mabwe kana simbi.
chibopo 	DKK 	7 	z 		chibopo DKK z 7 . Chibopo ndepanotsikwa pamotokari kuti imire kana kufamba zvishoma.
chiboshwe 	DDK 	7 	z 		chiboshwe DDK z 7 . Iyi itsika yokunyanya kushandisa ruoko rweruboshwe. chimhindiboshwe 7, nyamanzere 1a .
chibozwa 	DDK 	7 	z 		chibozwa DDK z 7 . Kana munhu apa chibozwa anenge anwisa mugedhe revaanokwikwidzana navo. chidungu 7 .
chibububu 	D- 	7 	z 		chibububu D- z 7 . chibhubhubhu 7 .
chibubunu 	D- 	7 	z 		chibubunu D- z 7 . Chibubunu muti une mashizha madiki anokwasharara, unobereka muchero unodyiwa kana waoma. mubhubhunu 3, mupudzungwa 3 .
chibuma 	DKD 	7 	z 		chibuma DKD z 7 . Chibuma zvinhu zvidiki zvinenge zvakaungana panzvimbo diki. Pamusha paIshe pane chibuma chezvidzimba.
chibumuupfu 	D- 	7 	z 		chibumuupfu D- z 7 . Urwu rudzi rwechibage chichena.
chibutata 	D- 	7 	z 		chibutata D- z 7 . Iyi imhando yemagwiri akaita hurungudo.
chibutu 	D- 	7 	z 		chibutu D- z 7 . chibutwa 7 .
chibutwa 	D- 	7 	z 		chibutwa D- z 7 . Chibutwa zvinhu zviri panhu pamwe zvisina kunyatsa kusunganidzwa. Mbuya vanga vane chibutwa chenhumbi vachienda kupurazi. butwa 5, chiputwa 7 .
chibvanzvimbo 	D- 	7 	z 		chibvanzvimbo D- z 7 . Iyi inzvimbo iri chinhambwe chidiki kubva panotangira makwikwi okumanya.
chibvaro 	DKK 	7 	z 		chibvaro DKK z 7 . chipfeko 7 .
chibvenyuriso 	D- 	7 	z 		chibvenyuriso D- z 7 . chikwengo 7 .
chibvi 	DK 	7 	z 		chibvi ibvi DK z 7 . Chibvi ndepanofonyoka pegumbo panosangana tsapfu nechidya.
chibvindiri-bvindiri 	DKKKDDD 	7 	z 		chibvindiri-bvindiri DKKKDDD z 7 . Uku kuva noushamwari, vanhu vachifamba vose.
chibvinho 	D- 	7 	z 		chibvinho D- z 7 . chikwizo 7 .
chibviriro 	DDKK 	7 	z 		chibviriro DDKK z 7 . Kana munhu achiti chibviriro anoreva nguva inenge yapfuura kubva pamavambo pechimwe chinhu.
chibviriso 	D- 	7 	z 		chibviriso D- z 7 . Ichi ndicho chinokonzera kuti mwenje upfute kufanana nezvinoita parafini.
chibviro 	DDK 	7 	z 		chibviro DDK z 7 . chibviriro 7 .
chibvirwo 	DDK 	7 	z 		chibvirwo DDK z 7 . chibviriro 7 .
chibvito 	D- 	7 	z 		chibvito D- z 7 . chikwizo 7 .
chibvokodzo 	DKKD 	7 	z 		chibvokodzo DKKD z 7 . huyo 9 .
chibvukebvuke 	DKDKD 	7 	z 		chibvukebvuke DKDKD z 7 . chipakirwa 7 .
chibvukuche 	DKKK 	7 	z 		chibvukuche DKKK z 7 . Uku kutsvaga zvinhu zviri pasi pevhu uchichera.
chibvukuti 	DKKK 	7 	z 		chibvukuti DKKK z 7 . mugaragunguo 3 .
chibvumaudzi 	DKKKD 	7 	z 		chibvumaudzi DKKKD z 7 . Uyu munhu ane mvere muviri wose. ANTONYMS Chikushe 7.
chibvumirano 	D- 	7 	z 		chibvumirano D- z 7 . Chibvumirano kutenderana pachinhu chimwe chete. chirangano 7 .
chibvumo 	D- 	7 	z 		chibvumo D- z 7 . Chibvumo kutenda komunhu kuti ane mhosva.
chibvunuro 	DKKD 	7 	z 		chibvunuro DKKD z 7 . vhunurwa 5 .
chibvuribvuri 	DDKDD 	7 	z 		chibvuribvuri DDKDD z 7 . Uku kuwanikidzwa nokubatwa nokukasika nguva imwe chete. Pataisvuta mbanje takaitwa chibvuribvuri nemapurisa.
chibvuwere 	DKKK 	7 	z 		chibvuwere DKKK z 7 . Aka kasadza kanobikirwa baba makuseni kakakora.
chibwadabwada 	D- 	7 	z 		chibwadabwada D- z 7 . Uku kunzvenga-nzvenga kunoita munhu anotya kukundwa panenge pachirwiwa.
chibwadaguro 	DKKKD 	7 	z 		chibwadaguro DKKKD z 7 . Uyu munhu anogaroputsa midziyo yomumba nokuda kokuregedzeka kwamaoko.
chibwanyanenyanga 	DDDKDK 	7 	z 		chibwanyanenyanga DDDKDK z 7 . chibandanemapfupa 7 .
chibwanyiso 	D- 	7 	z 		chibwanyiso D- z 7 . Uyu mudziyo unoshandiswa kubandura matombo kuaita matokotoko.
chibwanyo 	D- 	7 	z 		chibwanyo D- z 7 . chibwanyiso 7 .
chibwe 	D- 	7 	z 		chibwe D- z 7 . Chibwe idombo diki rinokwanisa kusumudzika.
chibwechitedza 	DDKDK 	7 	z 		chibwechitedza DDKDK z 7 . Uyu munhu anokwanisa kunzvenga tsaona kana vanhu vanenge vachida kumusunga, achishandisa nzira dzisinganzwisisiki.
chibwindikiti 	D- 	7 	z 		chibwindikiti D- z 7 . Uyu mwana akasimba, ane utano hwakanaka. chivhindikiti 7 .
chichaichai 	D- 	7 	z 		chichaichai D- z 7 . Uku kubata chibharo mwana mudiki asati oenda kumwedzi.
chichekererwa 	DKKDK 	7 	z 		chichekererwa DKKDK z 7 . Ichi chinhu chinenge chakaurungana, chakanyatsogadziridzwa kumativi, chichiratidzika zvakanaka.
chichemo 	DKK 	7 	z 		chichemo DKK z 7 . Chichemo chikumbiro kana nyaya inoda kuti igadziriswe. nhunha 9 .
chichese 	D- 	7 	z 		chichese D- z 7 . Chichese kuungana kwezvinhu panzvimbo imwe chete. chaunga 7 .
chichindapasi 	DKDDK 	7 	z 		chichindapasi DKDDK z 7 . Ichi chirimwa chine mashizha akapfava.
chichira 	DKK 	7 	z 		chichira DKK z 7 . Chichira mucheka wasakara unogona kushandiswa kupukutisa.
chichiso 	KKD 	7 	z 		chichiso KKD z 7 . aini 9 .
chichoni 	D- 	7 	z 		chichoni D- z 7 . Chichoni munhu akaenda kure nehama dzake dzaasisashanyiri.
chidakadaka 	D- 	7 	z 		chidakadaka D- z 7 . Uku kunyanya kudisa chinhu kudarika chipimo.
chidambakura 	DDDKK 	7 	z 		chidambakura DDDKK z 7 . chidhambakura 7 .
chidamwa 	DDK 	7 	z 		chidamwa DDK z 7 . chiramwa 7 .
chidandari 	DKKD 	7 	z 		chidandari DKKD z 7 . chipendani 7 .
chidao 	DKK 	7 	z 		chidao DKK z 7 . Chidao izita rinozikanwa vanhu vomutupo mumwe naro. Vaera Mbizi chidao chavo iTembo.
chidapakati 	DKKDK 	7 	z 		chidapakati DKKDK z 7 . mudapakati 3 .
chidaudau 	D- 	7 	z 		chidaudau D- z 7 . Ichi chinhu chinoyevedza kuona. Apa paita chidaudau chemhandara. chipepe 7 .
chidaurangende 	DKKKKK 	7 	z 		chidaurangende DKKKKK z 7 . Iyi isiketi inonyatsoendarana nemunhu akaipfeka.
chidavado 	D- 	7 	z 		chidavado D- z 7 . Chidavado inzira yokuita chinhu nayo, ine unyanzvi. Shasha yebhora yakaita zvidavado zvayo ikanzvenga vanhu vose.
chidaviramo 	DKKKK 	7 	z 		chidaviramo DKKKK z 7 . Uyu munhu anobvuma zvese zvese kuti agonzi akanaka.
chidavirira 	DKKDK 	7 	z 		chidavirira DKKDK z 7 . Uku kupa mhinduro uchipindura munyaya isinei newe. Mwana akaita chidavirira vanhu vakuru vachitaura, akazosara orohwa.
chide 	DK 	7 	z 		chide DK z 7 . Chide mwena wegurwe kana mbeva unenge wakafutsirwa, wokuzobuda nawo kana zvapindirwa nomuvengi. Chide chinonetsa kuona pane dutu kana uchichera makurwe. mbudyo 7 .
chidembo 	D- 	7 	z 		chidembo D- z 7 . Chidembo chimhuka chakaenzana nekiti, chinobata mbeva chadzibudisira mweya wacho unonhuhwa kuti dzibude mumwena.
chidenene 	DKKK 	7 	z 		chidenene DKKK z 7 . dumbuzenene 5 .
chidengudza 	D- 	7 	z 		chidengudza D- z 7 . Uyu munhu anotaurisa nenzwi riri pamusoro. mahoho 1a, mubwabwatika 1a .
chideyateya 	DKKKK 	7 	z 		chideyateya chideyeteye DKKKK z 7 . chigaraminhenga 7 .
chidhakwa 	DDK 	7 	z 		chidhakwa DDK z 7 . Chidhakwa munhu anenge achigara akanwa doro nguva zhinji.
chidhambakura 	DKKKK 	7 	z 		chidhambakura DKKKK z 7 . Urwu rudzi rwedzvinyu rinowanikwa pamatombo, riine musoro mutsvuku kana wakasvibira.
chidhamburo 	DKKD 	7 	z 		chidhamburo DKKD z 7 . Uyu munhu anosvika pakuperevedza pane zvaanoita.
chidhanana 	D- 	7 	z 		chidhanana D- z 7 . Urwu rudzi rwedzvinyu rakafanana nechidhambakura, asi risina musoro wakasiyana nomuviri paruvara.
chidhandari 	DKDK 	7 	z 		chidhandari DKDK z 7 . chikirimbani 7 .
chidhanga 	DDK 	7 	z 		chidhanga DDK z 7 . chizarira 7 .
chidhanga chidhanga 	DDK KKD 	7 	z 		chidhanga chidhanga DDK KKD z 7 . Uyu mutambo wevana vadiki vanenge vachidzingirirana, vamwe vari mai, mumwe bere rinenge richida kuba vana vavo.
chidhaurangende 	DKKKKK 	7 	z 		chidhaurangende DKKKKK z 7 . Iyi isiketi inenge ichinyatsa kukwana muridzi wayo.
chidhauro 	DKKD 	7 	z 		chidhauro DKKD z 7 . Uyu munhu anorova zvakanyanya zvokukuvadza.
chidhekedhera 	DKKDK 	7 	z 		chidhekedhera DKKDK z 7 . bhureke 5 .
chidhekesero 	DKDDD 	7 	z 		chidhekesero DKDDD z 7 . Uyu muvharo wegaba kana bhureke.
chidhenene 	D- 	7 	z 		chidhenene D- z 7 . dumbuzenene 5 .
chidhengesero 	DKKKK 	7 	z 		chidhengesero DKKKK z 7 . gwati 5 .
chidhina 	D- 	7 	z 		chidhina D- z 7 . Chidhina ivhu rakaumbwa neforoma rinoshandiswa pakuvaka dzimba.
chidhindiri 	DDKK 	7 	z 		chidhindiri DDKK z 7 . Iyi ishiri diki pfumbu, ine musoro une mutsetse michena.
chidhindo 	D- 	7 	z 		chidhindo D- z 7 . Chidhindo chitsikiso chine mavara akavezwa pachiri, chinonyikwa muingi chotsimbirirwa pabepa kuti mavara abude.
chidhiraivho 	D- 	7 	z 		chidhiraivho D- z 7 . Ichi ndechakaita dendenedzu chinoshandiswa kururamisa motokari mumugwagwa.
chidhokwani 	DDKK 	7 	z 		chidhokwani DDKK z 7 . chidhoma 7 .
chidhoma 	D- 	7 	z 		chidhoma D- z 7 . Chidhoma mweya womunhu akafa unoshandiswa nemuroyi kuroya vapenyu kuti varware kana kufa.
chidhongi 	DDK 	7 	z 		chidhongi DDK z 7 . Chidhongi kamwana kekabundo kanomera pakarimwa, kanobaya uye kanonamira pahembe kana munhu akadarika nepo. chibayamahure 7 . Chidhongi mwana wedhongi. mubhemu 3 .
chidhongo 	DDK 	7 	z 		chidhongo DDK z 7 . Chidhongo kaputwa kadiki kanenge kakaiswa pamusoro pekamwe kanhu. Kana uchiruka musoro unotanga waita chidhongo wozochibatanidza nezvimwe.
chidhori 	D- 	7 	z 		chidhori D- z 7 . Chidhori chimunhu chokuzvigadzirira chinotambiswa navana. Mwana ari kutamba nechidhori. Chidhori chimunhu chinopfekedzwa mbatya dzinenge dzichishambadzwa muchitoro.
chidhukwani 	DDKK 	7 	z 		chidhukwani DDKK z 7 . chidhoma 7 .
chidhunduru 	D- 	7 	z 		chidhunduru D- z 7 . Ichi ndechinoshandiswa kupatsanura nzvimbo ingava minda kana dunhu.
chidhuri 	DDK 	7 	z 		chidhuri DDK z 7 . mudhuri 3 .
chidhuuza 	D- 	7 	z 		chidhuuza D- z 7 . Uyu munhu anogona kurova zvibhakera chaizvo.
chidhuza 	D- 	7 	z 		chidhuza D- z 7 . Chidhuza munhu kana mhuka yakasimba chaizvo.
chididi 	D- 	7 	z 		chididi D- z 7 . Chididi chipfuva chehuku.
chidigidigi 	DDKDK 	7 	z 		chidigidigi DDKDK z 7 . Uhwu ushamwari hwevaviri hwakapindiridza. chikweyakweya 7 .
chidikwadikwa 	DKKKK 	7 	z 		chidikwadikwa DKKKK z 7 . Apa ndepakazvimbira kunze kwehuro, panofamba kana munhu achimedza chinhu.
chidima sena 	D- 	7 	z 		chidima sena D- z 7 . Urwu rudzi rwembambaira ine mukati munenge mondo yezai.
chidimbu 	D- 	7 	z 		chidimbu D- z 7 . Iyi inhengo inosara chinhu chatsemuka kana kudambuka. Bhuru rakadambura gashu kukasara chidimbu.
chidimburiso 	DKKKD 	7 	z 		chidimburiso DKKKD z 7 . Uyu mudziyo unosevenzeswa kucheka nokupfupisa zvinhu zvinenge zvakarebesa, chakaita sebanga, pinjisi, demo, chigero, nezvimwe zvakadaro.
chidiriso 	D- 	7 	z 		chidiriso D- z 7 . Uyu mudziyo unosevenzeswa kuisa zvinwiwa mune umwe mudziyo.
chidiya 	D- 	7 	z 		chidiya D- z 7 . Chidiya munhu mupfupi asingagari pasi, anoita basa nesimba rake rose.
chido 	DK 	7 	z 		chido DK z 7 . Chido kunzwa kufarira kwaunoita mumwe munhu. Mbuya vane chido nemuzukuru wavo. Chido kuva nemwoyo nepfungwa dzokuita chinhu nemazvo.
chidodo 	D- 	7 	z 		chidodo D- z 7 . Chidodo indiro yevhu inoisirwa zvinhu zvinotapudziranwa panguva yokudya. Mushure mokunwa putugadzike nechingwa, takazodya mazai aiva muchidodo. honza 9 .
chidodoma 	D- 	7 	z 		chidodoma D- z 7 . Uku kumashure kwetsoka. chitsitsinho 7 .
chidokohori 	DKKKD 	7 	z 		chidokohori DKKKD z 7 . Idzi inzungu dzakadzvurwa muduri, dzekugadzirisa dovi.
chidokwaiwaiwa 	DKKDKDK 	7 	z 		chidokwaiwaiwa DKKDKDK z 7 . chibakombwerambwera 7 .
chidoonyera 	D- 	7 	z 		chidoonyera D- z 7 . Uku kusapindirana kwamazwi kunyanya pakuimba. uzimba 14 .
chidukutse 	DKDK 	7 	z 		chidukutse DKDK z 7 . Iri izai rezvibhururu rinenge riri pasi pevhu.
chidumbu 	DKK 	7 	z 		chidumbu DKK z 7 . Chidumbu zvinhu zvishoma zvinenge zviri panhu pamwe. Pane chidumbu chedzimba dzevemugwagwa.
chidumbuzeya 	DDDKD 	7 	z 		chidumbuzeya DDDKD z 7 . Uyu munhu mupfupi ane dumbu guru. Nhumbi dzechidumbuzeya hadzipfekwi nevakawanda.
chidungu 	DDK 	7 	z 		chidungu DDK z 7 . chibodzwa 7 .
chidungurira 	D- 	7 	z 		chidungurira D- z 7 . chirungurira 7 .
chidunzwa 	D- 	7 	z 		chidunzwa D- z 7 . chiruvi 7 .
chiduumidzo 	DKKKD 	7 	z 		chiduumidzo DKKKD z 7 . Ichi ndechokuvharisa kuti zviri mukati zvisaonekwa. chivharo 7, chidzivo 7, chikwidibiro 7 .
chiduumiro 	DKKKD 	7 	z 		chiduumiro DKKKD z 7 . Uyu mudziyo wokurasira marara pamusha. chiduumiriro 7 .
chiduwa 	D- 	7 	z 		chiduwa D- z 7 . Chiduwa mwana wembira.
chidwaidwai 	DKDKD 	7 	z 		chidwaidwai DKDKD z 7 . chitaitai 7 .
chidya 	D- 	7 	z 		chidya D- z 7 . Chidya inhengo yegumbo kubvira pabvi kusvikira pachiuno.
chidyachehuku 	DDKDD 	7 	z 		chidyachehuku DDKDD z 7 . Urwu rudzi rwebundo.
chidyahumba 	DKDK 	7 	z 		chidyahumba DKDK z 7 . Iri ibundo rinowanikwa nguva yezhizha risingakasiri kufa. damba 5 .
chidyamadari 	DKKDK 	7 	z 		chidyamadari DKKDK z 7 . Iyi imhando yeshiri inomhara pamusana wemhuka yakaita semombe, ichitsotsonya nekudya tupuka twakaita semagupa kana nhata dzinenge dziri mumvere dzemhuka yacho.
chidyaro 	DKK 	7 	z 		chidyaro DKK z 7 . Chidyaro mutambo wekufembera ruoko rwakafumbata chinhu. chipakirwa 7 .
chidyaroro 	DKKD 	7 	z 		chidyaroro DKKD z 7 . Uyu muti una mashizha ane mvere, akapfava, ane ganda gobvu unowanzowanikwa munzvimbo dzina mabwe. mutsvedzambira 3, chiwirowiro 7, mutedza 3 .
chidyasekwa 	DDKK 	7 	z 		chidyasekwa DDKK z 7 . Urwu rudzi rwebundo rinofurwa nemhuka.
chidyashe 	DKD 	7 	z 		chidyashe DKD z 7 . Chidyashe idoro shoma rinopiwa sabhuku panenge pachinwiwa doro.
chidyavarimi 	DKKDD 	7 	z 		chidyavarimi DKKDD z 7 . Iri idoro rinochengetwa nemuridzi womusha kuti azonwa nemadzisahwira. ndiki 9 .
chidyavohwo 	DKDK 	7 	z 		chidyavohwo DKDK z 7 . Uyu mugove unopiwa muridzi wedoro kana wechikafu chinenge chichigohwa. Paakauraya n'ombe akatora chidyavohwo chechiropa.
chidyiro 	DKK 	7 	z 		chidyiro DKK z 7 . Chidyiro mudziyo unoiswa chikafu, kunyanya chezvipfuyo.
chidyo 	DK 	7 	z 		chidyo DK z 7 . Chidyo chinhu chinoiswa mukanwa chichitsengwa kana kutangarirwa chichimedzwa. chinwiwa 7 .
chidywa 	D- 	7 	z 		chidywa D- z 7 . Chidywa kukaruka mataura zvakafanana asi musina kunge mazvironga.
chidza 	D- 	7 	z 		chidza D- z 7 . Chidza chinhu chagara panzvimbo imwe kwenguva refu. Sekuru ndivo chidza chomuraini medu.
chidzangara 	D- 	7 	z 		chidzangara D- z 7 . Ava vanhu vashoma vari panhu pamwe. chaunga 7, chichese 7 .
chidzaturo 	DKKD 	7 	z 		chidzaturo DKKD z 7 . Uyu munhu anogona kuita chimwe chinhu kupinda vanhu vose. Nyasha chidzaturo chechikoro.
chidzayo 	D- 	7 	z 		chidzayo D- z 7 . chidza 7 .
chidzemwe 	DDK 	7 	z 		chidzemwe DDK z 7 . Uyu munhu asina tsika dzinofarirwa.
chidzere 	D- 	7 	z 		chidzere D- z 7 . churu 7 .
chidzidziso 	DKKD 	7 	z 		chidzidziso DKKD z 7 . chidzidzo 7 .
chidzidzo 	DKK 	7 	z 		chidzidzo DKK z 7 . Chidzidzo chinhu chinofundwa kuti chiziikanwe nezvacho. Shona chidzidzo muchikoro.
chidzikatiro 	DKKKD 	7 	z 		chidzikatiro DKKKD z 7 . Ichi chinhu chinokutadzisa kuona.
chidzikinuro 	D- 	7 	z 		chidzikinuro D- z 7 . Iyi ipfuma kana kuti mari inobviswa kuti munhu aregererwe mhosva yake. muripo 3 .
chidzimai 	DDKK 	7 	z 		chidzimai DDKK z 7 . Uku kuita maitire anotarisirwa madzimai.
chidzimamoto 	DKKDK 	7 	z 		chidzimamoto DKKDK z 7 . Uyu muti mudiki une minzwa. chidzimamuriro 7 .
chidzimba 	D- 	7 	z 		chidzimba D- z 7 . Chidzimba kutamba kunoitwa navavhimi kuti shavi rokuvhima risvike.
chidzimikiro 	D- 	7 	z 		chidzimikiro D- z 7 . Uyu muti kana simbi inoroverwa muvhu kupangidza nzvimbo. mbambo 9 .
chidzimira 	DKKD 	7 	z 		chidzimira chadzimira DKKD z 7 . Uku kurasika zvokushaya ndangariro yekwaunoenda asi wanga uchimbokuziva.
chidzimirahwi 	DKKDK 	7 	z 		chidzimirahwi DKKDK z 7 . chidzimira 7 .
chidzimu 	DKK 	7 	z 		chidzimu DKK z 7 . Chidzimu ironda rinoita pamuromo, rinokonzerwa nekurwara nemusoro kana nedzihwa.
chidzingi 	DDK 	7 	z 		chidzingi DDK z 7 . Ichi chiteyo cheshiri chakagadzirwa newaya, chine tambo refu yokudhingurisa. Shiri dzapinda muchidzingi ndikakweva tambo.
chidziro 	D- 	7 	z 		chidziro D- z 7 . mudhuri 3 .
chidzitiro 	DKKD 	7 	z 		chidzitiro DKKD z 7 . chidzikatiro 7 .
chidzivadziva 	DKDKD 	7 	z 		chidzivadziva DKDKD z 7 . Uku kufamba usingazivi kwawakananga mushure mokuvhiringidzwa nechimwe chinhu. Pakarira pfuti vanhu vose chakava chidzivadziva.
chidziviriro 	D- 	7 	z 		chidziviriro D- z 7 . Ichi chinhu chinoshandiswa kudzivirira munhu kubva kune zvimwe zvinhu zvingangogona kumukuvadza.
chidziviro 	D- 	7 	z 		chidziviro D- z 7 . chidzivo 7 .
chidzivo 	D- 	7 	z 		chidzivo D- z 7 . Ichi ndechekuvharisa mudziyo kuti zviri mukati zvisapinda tsvina. chivharo 7, chikwidibiro 7, chikwidibiso 7 .
chidzoto 	D- 	7 	z 		chidzoto D- z 7 . Chidzoto chimwanda chouswa chakasungwa negavi rimwe.
chidzotsa 	D- 	7 	z 		chidzotsa D- z 7 . Chidzotsa chisango chemiti mipfupi yakamera zvakatsikana, zvokuti zvinonetsa kufamba pakati payo kana pasi payo. denhere 5 .
chidzungira 	DKKD 	7 	z 		chidzungira DKKD z 7 . Ichi chipembenene chidiki chinobhururuka manheru.
chidzungu 	D- 	7 	z 		chidzungu D- z 7 . Chidzungu chimuti chipfupi pfupi chine matavi akawanda.
chidzungudza 	DKKD 	7 	z 		chidzungudza DKKD z 7 . mharadzamusasa 9 .
chidzva 	D- 	7 	z 		chidzva D- z 7 . chidya 7 .
chidzvaidzvai 	D- 	7 	z 		chidzvaidzvai D- z 7 . Iyi inzvimbo isina chakamera, yakati sandara, sepanovata mombe.
chidzvengu 	DDK 	7 	z 		chidzvengu DDK z 7 . dimikira 5 .
chidzviki 	DDK 	7 	z 		chidzviki DDK z 7 . Uku kutsigira uchidzvanyirira rimwe boka kana munhu pakutonga nyaya.
chidzvo 	DK 	7 	z 		chidzvo DK z 7 . chibodzwa 7 .
chidzvororo 	D- 	7 	z 		chidzvororo D- z 7 . Aka kamhuka kadiki kanonyanya kufamba usiku, kanogara mumakwenzi ari mumahombekombe enzizi, kakada kufanana netsenzi.
chidzvururu 	DDKD 	7 	z 		chidzvururu DDKD z 7 . Urwu rudzi rweshiri diki ine ruvara rwakacheneruka.
chiedza 	DKD 	7 	z 		chiedza DKD z 7 . Uku kujeka kunoita kunze mambakwedza kana dima reusiku rikange rava kucheneswa nezuva. ANTONYMS dima 5.
chiedzo 	D- 	7 	z 		chiedzo D- z 7 . Ichi chinhu chinokwezva munhu kuti aite zvinhu zvaanoziva kuti hazvina kufanira.
