chiuno 	DKK 	3 	z 		chiuno DKK z 3 . Chiuno inzvimbo yomuviri womunhu yakadzvinyingikira mukati, panobatana hudyu, dumbu nemusana. Chiuno chinobatsira kuti kana munhu apfeka bhurugwa risadonha. Chiuno itsika yomunhurume anenge achinyanya kuda kurara nevakadzi. Iwe shamwari, uchasiya watiparira mhosva, nechiuno chako ichocho.
mugara 	D- 	3 	z 		mugara D- z 3 . Mugara muti unokura pachuru nemunzvimbo dzine matombo. muora 3, mugundudzi 3, muchangiza 3 .
mugaragunguo 	DDDKKD 	3 	z 		mugaragunguo DDDKKD z 3 . Iyi imhando yemuti unobereka vana vanodyiwa nevanhu neshiri. murungu 3, musukameno 3, murunganyama 3 .
mugarahorwe 	DDDKD 	3 	z 		mugarahorwe DDDKD z 3 . Iyi imhando yemuti inowanikwa munzvimbo dzakakwirira. mutsatsati 3, mugarahungwe 3 .
mugarambinga 	DDDKD 	3 	z 		mugarambinga DDDKD z 3 . Iyi imhando yemuti unogara uine mashizha manyoro kwekupedzisira kwemapazi awo. mukwenukwenu 3, muchemedzambuya 3, mubanda 3 .
mugaranguruve 	D- 	3 	z 		mugaranguruve D- z 3 . Iyi imhando yemuti, unoita minzwa inotandikira, unowanzowanikwa munzvimbo dzinonaya mvura yakawanda. garura 5 .
mugaranhoko 	DDDDK 	3 	z 		mugaranhoko DDDDK z 3 . Uhwu ura hwembudzi kana hwai, hunochengeta nhoko dzisati dzaburitswa mudumbu. mugaragovera 3, mutsindanhoko 3 .
mugaranjiva 	DDDDK 	3 	z 		mugaranjiva DDDDK z 3 . Uyu muti unokura pazvuru nekuita mapazi ane minzwa yakaomarara, unonzi mashizha acho anorapa mudumbu. chizhuzhu 7, chivhunabadza 7 .
mugaranyenze 	DDDKK 	3 	z 		mugaranyenze DDDKK z 3 . Iyi imhando yemuti une ganda rine man'aran'azha. muriranyenze 3, mudyahacha 3 .
mugayiwa 	DKKK 	3 	z 		mugayiwa DKKK z 3 . Uhwu upfu hwechibage chakagayiwa chakangodaro nechigayo chisingagone kutanga chambobvisa makanda sezvinowanzoitwa kumamisha. muguza 3 .
mugero 	DKK 	3 	z 		mugero DKK z 3 . Mugero igoronga rinocherwa kuti rifambe nemvura, kuitira kudzivirira kukukurwa kwevhu muminda nemumigwagwa.
mugigwa 	DDK 	3 	z 		mugigwa DDK z 3 . Mugigwa ipfuti yakare yairidzwa nounga uye ichipakirwa mbumburu imwe imwe. mudhindwa 3 .
mugirandera 	DDKDD 	3 	z 		mugirandera DDKDD z 3 . Iyi imhando yemuti unokura wakatambarara, uchiteedza mapango, mimwe miti kana fenzi, unobereka vana vanonzi magirandera.
Mugobera 	DDKD 	3 	z 		Mugobera DDKD z 3 . Mugovera 3 .
mugodhi 	DDK 	3 	z 		mugodhi DDK z 3 . Mugodhi itsime rakadzika rakavakirirwa mukati nezvitinha. Mugodhi igomba rinocherwa matombo anokosha, akafanana negoridhe, mhangura, marasha nezvimwewo. KuHwange kune mughodhi wemarasha.
mugodo 	D- 	3 	z 		mugodo D- z 3 . Mugodo imhando yemuti wakasimba chaizvo, une mashizha makobvu ane mvere, unoshandiswa pakuveza mipinyi. mugoro 3, mupembere 3 .
mugomo 	DKD 	3 	z 		mugomo mugoro DKD z 3 . Mugomo mudziyo wakagadzirwa nesimbi, unoshandiswa kucherera mvura kana kuitisa mamwe mabasa emumba.
mugonyo 	DKD 	3 	z 		mugonyo DKD z 3 . Mugonyo mubato wakamonyoroka, unenge wemukombe.
mugopogopo 	DKKDK 	3 	z 		mugopogopo DKKDK z 3 . Iyi imhando yemuti unoreba chaizvo, uye unowanikwa kumabvazuva kwenyika yeZimbabwe.
mugorihondo 	DDKDD 	3 	z 		mugorihondo mugoriondo DDKDD z 3 . Uyu muti unoreba zviri pakati nepakati, uine mwoyo wakasimba chaizvo. mukamba 3, mungongoma 3 .
mugoti 	DKD 	3 	z 		mugoti DKD z 3 . Mugoti chimuti chakavezwa chiine kumberi kwakapamhamama, chinoshandiswa pakubikisa.
mugove 	DDK 	3 	z 		mugove DDK z 3 . Mugove chidimbu chakakodzera, chinopihwa munhu kubhadhara zvaanenge aita. Mugove ipfuma inopihwa munhu yakaita senhaka.
Mugovera 	DDKD 	3 	z 		Mugovera DDKD z 3 . Iri izuva rechitanhatu pasvondo. Chitanhatu 7, Mugobera 3 .
mugugunanzvu 	DKDKD 	3 	z 		mugugunanzvu mugugunanzvi DKDKD z 3 . Utwu twuhutapitapi twunowanikwa kubva mumaruva emimwe miti. Kutapira kwemugugunanzvu kunopinda tsvigiri.
mugumachembere 	D- 	3 	z 		mugumachembere D- z 3 . Iri iderere rinomera kumakura.
mugumegume 	DKDKD 	3 	z 		mugumegume DKDKD z 3 . Ichi chiitiko chekupedzisira paurongwa hwose hwunenge huripo. vharamusasa 9, mhedziso 9 .
muguri 	D- 	3 	z 		muguri D- z 3 . Muguri chibage chizere tsanga chisati chatokonyorwa. hupi 5 . Muguri chimai chichena chinosaririra panenge patokonyorwa chibage, chinogona kushandiswa kubvirisa moto.
muguzibheri 	DKDDD 	3 	z 		muguzibheri DKDDD z 3 . Uyu muti unobereka vana vanonzi maguzibheri vanodyiwa vakadaro kana kugadziriswa jemhu. muguzvuveri 3 .
mugwada 	DDK 	3 	z 		mugwada DDK z 3 . Uyu mucheka unopetwa napakati pamakumbo, wosungirirwa muchiuno. mufoyi 3 .
mugwagwa 	D- 	3 	z 		mugwagwa D- z 3 . Mugwagwa inzira huru yakagadzirwa yakapamhamha, panofamba nevanhu, mabhazi, mota kana ngoro. nzira 9 .
mugwaku 	DDK 	3 	z 		mugwaku DDK z 3 . Mugwaku mudziyo wakavezwa, unenge mugoti, asi iwo wakafombwera mukati, unoshandiswa kupakurisa kudya kwakaita sesadza. rugwaku 11 .
mugwango 	DKK 	3 	z 		mugwango DKK z 3 . Mugwango mwoyo kana kuti mweya wokufarira chimwe chinhu. Vadzidzi vanoita mapitse nedoro havazomboitawo mugwango nemabhuku. Mugwango kukwanisa kana kunzwisisa zvinodiwa pakufara nevamwe kana kufambidzana navo.
mugwara 	DDK 	3 	z 		mugwara DDK z 3 . Mugwara isimbi yakagadzirirwa kuchera makomba kana kupikinura mazitombo.
mugwavha 	DKD 	3 	z 		mugwavha DKD z 3 . Mugwavha muti unodyarwa pamusha unobereka vana vanonzi magwavha, vakatsvuka kana kuchena mukati, vaine tumhodzi tudikidiki.
mugwazo 	D- 	3 	z 		mugwazo D- z 3 . Mugwazo ibasa rinotemerwa vanhu kuti varipedze munguva yakati kuti.
mugweje 	DDK 	3 	z 		mugweje DDK z 3 . Mugweje chinhu chesimbi chakangofafa, chisinganyatsoonekera. Kudakwashe uya wekuda kuvhaira nechimugweje chake chemota azosungwa nhasi nemapurisa abondera akadhakwa.
muhabhurosi 	DKDDD 	3 	z 		muhabhurosi mumabhurosi DKDDD z 3 . Uyu muti unobereka vana vanodyiwa vakadaro, uye vanogona kugadziriswa jemu, vanenge vari vadiki, vari vatsvuku vasati vaibva, vozosvibira kana vaibva. muhingi 3 .
muhacha 	D- 	3 	z 		muhacha D- z 3 . muchakata 3 .
muhacha pasi 	DDD DK 	3 	z 		muhacha pasi DDD DK z 3 . Aka kamuchakata kanomerera pasi kasingarebi kuenzana neimwe yakawanda-wanda panzvimbo imwe chete. muchakatapasi 3 .
muhingi 	DKD 	3 	z 		muhingi DKD z 3 . muhabhurosi 3 .
muhobo 	DDK 	3 	z 		muhobo DDK z 3 . mubhanana 3 .
muhomba 	DKD 	3 	z 		muhomba DKD z 3 . Muhomba idhunduru rakaumbirwa, rinodyarwa muriwo kana mbambaira. mudzere 3 .
muhotwe 	DDK 	3 	z 		muhotwe muhota DDK z 3 . mututu 3 .
muhute 	DKD 	3 	z 		muhute mukute DKD z 3 . Uyu muti kana zvimiti zvinowanda-wanda panzvimbo imwe, zvinobereka vana vanonzi hute, vanowanzoibva nguva inenge vanhu vachirima. Muhute uya wemubani raChingwa unoita mazihute anombotidzora nzara, zvikuru kana tichibva kumunda.
muhwabha 	DDK 	3 	z 		muhwabha DDK z 3 . Muhwabha inyama yakayanikwa kana kuti yakaomeswa. chimukuyu 7 .
mujaho 	D- 	3 	z 		mujaho mujahwo D- z 3 . Mujaho mutambo unenge vanhu vachiita zvinhu zvakaita sekumhanya netsoka kana nemabhiza, kuti vaone anokunda vamwe. makwikwi 6 .
mujakari 	DKKK 	3 	z 		mujakari DKKK z 3 . Uyu muriwo unomera mumunda munguva dzezhizha. musemwasemwa 3 .
mujivha 	D- 	3 	z 		mujivha D- z 3 . Mujivha ihembe yakareba.
mujumbura 	D- 	3 	z 		mujumbura mujumbuya D- z 3 . Ichi chimuti chinobereka vana muvhu vanodyiwa vanenge mbambaira. mufarinya 3 .
mujuru 	DDK 	3 	z 		mujuru DDK z 3 . muchenje 3 .
mukadziusaende 	DKKDKKD 	3 	z 		mukadziusaende DKKDKKD z 3 . Urwu rudzi rwechibage chinokurumidza kuibva kupinda mamwe marudzi.
mukaha 	DKK 	3 	z 		mukaha DKK z 3 . Mukaha kudya munhu achikasika zvekuda kupedzera vamwe vaanenge achidya navo. mupan'o 3 . Mukaha iburi rinosara panenge pakada kubatana. Madzvinyu anopinda mumukaha webwe kana aona vanhu. mukana 3 .
mukaka 	D- 	3 	z 		mukaka D- z 3 . Mukaka kunwa kunobva muzamu ramai, kunonwiwa nevana vacho. Mukaka muto muchena unobuda pane mimwe miti kana yatemwa.
mukambo 	DKK 	3 	z 		mukambo DKK z 3 . Mukambo imbatya dzinotengeswa dzakambopfekwa. mazitye 6 .
mukana 	D- 	3 	z 		mukana D- z 3 . Mukana inzira inopfuura nepakati pemakomo. mupata 3 . mukaha 3 . chanzi 9 .
mukanda 	DKK 	3 	z 		mukanda DKK z 3 . Mukanda chuma chinosungwa nevanhukadzi muchiuno.
mukanganyama 	D- 	3 	z 		mukanganyama D- z 3 . Iyi inguva yemangwanani, zuva richangobva kubuda. runyanhiriri 11 .
mukarati 	DKKD 	3 	z 		mukarati DKKD z 3 . Iyi imhando yemuti unonyanya kukura munzvimbo dzinevhu rakaita jechajecha, unowanzoberekera harati dzinodyiwa.
mukarirano 	D- 	3 	z 		mukarirano D- z 3 . Uku kusada kuita basa kwevanhu, mumwe nemumwe achiti mumwe ndiye anofanirwa kuriita.
mukate 	DKD 	3 	z 		mukate DKD z 3 . Mukate ihari huru inobikirwa sadza. tsambakodzi 9, tsaiya 9 .
muko 	DK 	3 	z 		muko DK z 3 . Muko mutemo unoti ukakanganiswa, pane chinoitika kuna nyakukanganisa. MaShona ane muko wekuti munhu haafaniri kudya mutupo. Muko mutemo wezvinorambidzwa kana zvinotofanirwa kuitwa, zvinonzi nen'anga kana ukasazvitevedza mushonga wayakupa hauzoshanda.
mukoho 	D- 	3 	z 		mukoho D- z 3 . Mukoho ndizvo zvinhu zvaunenge wawana pakurima kwaunenge waita mwaka iwoyo.
mukoko 	DDK 	3 	z 		mukoko DDK z 3 . Mukoko mudziyo unovakirirwa kuti nyuchi dzigadzirire uchi mukati macho.
mukombe 	DKK 	3 	z 		mukombe DKK z 3 . Mukombe mudziyo unogadzirwa nebudzi, unosevenzeswa kucheresa kana kunwisa zvinwiwa zvakaita semaheu kana doro.
mukombero 	D- 	3 	z 		mukombero D- z 3 . mupendero 3 .
mukonde 	D- 	3 	z 		mukonde D- z 3 . Mukonde isadza rinenge rakapakurwa riri mundiro. Mukonde muti unoita tumashizha tudikidiki uchibuda mukaka muchena, usingaite mhanda kazhinjizhinji, asi kana ukazoita mhanda dzinenge dziri pfupi.
mukondombera 	D- 	3 	z 		mukondombera D- z 3 . Iri idzivo guru rinosevenzeswa zvombo kuuraya vanhu. hondo 9 . Ichi chirwere chinouraya nenzira yekuti chinotorera muviri masimba awanga uinawo ekudzivirira kana kurwisa zvirwere.
mukongo 	D- 	3 	z 		mukongo D- z 3 . gongo 5 .
mukonikoni 	D- 	3 	z 		mukonikoni D- z 3 . Aka kabhururukwa kada kuita sendege, kakareba kari katete, kanonyanyoonekwa muuswa huri pedyo nemvura.
mukono 	DKK 	3 	z 		mukono DKK z 3 . Mukono imhuka yechirume. Mukono izwi rinowanzoshandiswa kudaidzwa munhu wechirume akasimba, uye anokunda vamwe vanhu pakurwa.
mukosho 	DKK 	3 	z 		mukosho DKK z 3 . mhata 9 .
mukoto 	D- 	3 	z 		mukoto D- z 3 . Mukoto kanzira kadiki kanenge kari pakati pezvinhu zviviri, zvingava makomo kana dzimba refu refu.
mukoto 	DDK 	3 	z 		mukoto DDK z 3 . Mukoto karwizi kadiki diki. karukova 12 .
mukubvu 	DKD 	3 	z 		mukubvu DKD z 3 . mutsubvu 3 .
mukucha 	D- 	3 	z 		mukucha D- z 3 . Mukucha imbeu yakanonoka kudyarwa.
mukumbidzani 	D- 	3 	z 		mukumbidzani D- z 3 . Uyu munhu waunenge wakavakidzana naye, kana waunoshamwaridzana naye zvekuti munogona kupota muchipanana zvinhu.
mukume 	DKD 	3 	z 		mukume DKD z 3 . Mukume zviupfu ndezvinoonekwa pamuchekechera wechibage kana mhunga, zvinozoberekesa maruva acho.
mukuna 	D- 	3 	z 		mukuna D- z 3 . Mukuna munhu anenge asina kupfeka kana chii zvacho. Hatidi kuti mwana afambe ari mukuna. musvo 3 .
mukundanyoka 	DKDKK 	3 	z 		mukundanyoka DKDKK z 3 . Urwu rudzi rwemakwenzi asingasviki nyoka pedo. musvayanyoka 3, mutandanyoka 3 .
mukundo 	DKK 	3 	z 		mukundo DKK z 3 . Mukundo kuita zvinhu zvisingafadze vamwe pamusana pekuti unoti uri mukuru, kana kuti unoti ndiwe unoziva. chisimba 7 .
mukundu 	DKK 	3 	z 		mukundu DKK z 3 . Uku kufamba usina kupfeka.
mukurumbira 	DKKDK 	3 	z 		mukurumbira DKKDK z 3 . Uku kuzivikanwa zvikuru nepamusana pemabasa ako akanaka kana akaipa.
mukute 	DKD 	3 	z 		mukute muhute DKD z 3 . muhute 3 .
mukuyadenhe 	DDDKK 	3 	z 		mukuyadenhe DDDKK z 3 . Aka kambeva kadiki kasingadyiwi.
mukuyu 	DDK 	3 	z 		mukuyu DDK z 3 . muonde 3 .
mukuze 	DKD 	3 	z 		mukuze DKD z 3 . Mukuze idutu renyuchi. bumha 5 .
mukwa 	D- 	3 	z 		mukwa D- z 3 . Mukwa rudzi rwemuti wakaoma chaizvo, unoshandiswa kugadzira zvivezwa.
mukwechete 	D- 	3 	z 		mukwechete D- z 3 . Iri ibasa kana dambudziko rakakura chaizvo, zvokuti unenge usina kariro yokurikunda. Kana mupurisa akanzi aferefete nyaya yakaitika kare kare, anotoziva kuti apiwa mukwechete webasa.
mukwende 	DKK 	3 	z 		mukwende DKK z 3 . Mukwende zvinhu zvakawanda chaizvo, zvakaita senhumbi kana midziyo, zvinenge zvakasungirirwa pamwe. Mukomana aishanda pavaMutowevhu, paakangoona kuti adyisa gadheni nembudzi, akabva asunga mukwende wake odzokera kumusha kwake.
mukwerera 	D- 	3 	z 		mukwerera mukwerere D- z 3 . Uyu mutambo wekukumbira mvura kuvadzimu. marenje 6, chipwa 7 .
mukweshwa 	DKD 	3 	z 		mukweshwa DKD z 3 . Mukweshwa munhu ane muviri mukuru chaizvo.
mukwidza 	DKD 	3 	z 		mukwidza DKD z 3 . Mukwidza kusimukira kunoita nzira panhu pakaita sepachikomo kana pachuru. makata 6 .
mumanga 	DDK 	3 	z 		mumanga DDK z 3 . muboora 3 .
mumara 	DKK 	3 	z 		mumara DKK z 3 . Mumara muti unonhuwa chaizvo zvekuti unoshandiswa kudzinga nhata. zumbani 5 .
mumbambara 	D- 	3 	z 		mumbambara D- z 3 . muruguru 3 .
mumbingwa 	D- 	3 	z 		mumbingwa D- z 3 . Mumbingwa muti unoita muzvuru, unoita zviminzwa zvinenge nyanga dzemombe nezvana zvinobuda mukaka. mudzambiringwa 3 .
mumengo 	DKD 	3 	z 		mumengo mumango DKD z 3 . Mumengo muti wemuchero unorimwa pamba, unobereka muchero unonzi mengo.
mumera 	D- 	3 	z 		mumera D- z 3 . Mumera zviyo zvakaiswa mumvura zvikamera, zvinozokuyiwa kuti zvibikise doro kana maheu.
mumhanzi 	D- 	3 	z 		mumhanzi D- z 3 . Mumhanzi mutinhimira unobva mukuimba kwevanhu nekurira kwemagitare, ngoma, mbira nezvimwewo. dhindindi 5 .
mumhare 	D- 	3 	z 		mumhare D- z 3 . Mumhare chibage chinoomeswa icho chambobikwa chiri chinyoro. mafushe 6, mupare 3 .
mumharupwa 	DKDK 	3 	z 		mumharupwa DKDK z 3 . Aka kamuti kanenge munhundurwa, kanobereka vana vanonzi mharupwa.
mumhonda 	DDK 	3 	z 		mumhonda mubonda DDK z 3 . Uyu muti unoita chiruva chakaomarara unotyoka-tyoka zvekuti vanhu vanofarira kuubikisa nekuti unobvira chaizvo usingaite utsi.
mumhu 	DK 	3 	z 		mumhu DK z 3 . mhumhu 3 .
mumhudzungwa 	DKDK 	3 	z 		mumhudzungwa DKDK z 3 . mumodzongwa 3 .
mumodzongwa 	DKDK 	3 	z 		mumodzongwa mumhodzongwa DKDK z 3 . Uyu muti une mashizha mahombe netumapazi twutete, netuvana tunodyiwa, tudikidiki twakatenderera tunoibva twuri tutsvuku. mumhodzongwa 3 .
mumonwa 	DKD 	3 	z 		mumonwa DKD z 3 . chimonera 7 .
mumve-e 	DKD 	3 	z 		mumve-e mumveve DKD z 3 . Mumve-e muti unomera padyo nenzizi, unobereka vana vakobvu vakarebenuka.
mumvuri 	DKD 	3 	z 		mumvuri mubvuri DKD z 3 . Mumvuri pasi pemuti kana pechimwewo panenge pasingarovi miranzi yezuva nekuti rinenge rakadzikatirwa. Ngatigarei pamumvuri mubereri remba, tichikurukura zvedu.
mumvuri webwe 	DKD DK 	3 	z 		mumvuri webwe DKD DK z 3 . Aka kamuti kanenge karuva, kane tumashizha tudikidiki, kanomera panzvimbo nyoro dzakaita semumatsime.
mumvuri wenyoka 	DKD KDD 	3 	z 		mumvuri wenyoka DKD KDD z 3 . muboora 3 .
munachisi 	DKDD 	3 	z 		munachisi DKDD z 3 . Uyu muti unogara une mashizha akasvibira, wakaita semuranjisi, unobereka michero inotapira inonzi manachisi.
munakamwe 	DDDK 	3 	z 		munakamwe DDDK z 3 . Iyi inguva yegore mvura ichangotanga kunaya. munhuruka 3 .
munamato 	D- 	3 	z 		munamato D- z 3 . Aya mazwi anotaurwa kuna Mwari kana kuvadzimu, vanhu vachikumbira kana kutenda zvakasiyana-siyana. munyengetero 3 .
munamba 	DKK 	3 	z 		munamba DKK z 3 . mudzamba 3 .
munanazi 	DKDK 	3 	z 		munanazi DKDK z 3 . Uyu muti unorimwa nevanhu, unobereka michero inonzi zvinanazi.
munanzvagona 	DKKDK 	3 	z 		munanzvagona DKKDK z 3 . Aka kabhurukwa kadiki kanopfekwa nemunhurume mukati merimwe bhurukwa.
munava 	D- 	3 	z 		munava D- z 3 . Munava kamhuru kanenge kachangobva kuzvarwa. nhedyana 9, nhenjana 9, nhenzvana 9 .
munda 	D- 	3 	z 		munda D- z 3 . Munda inzvimbo inorimwa mbeu nemichero zvakasiyana-siyana.
mundarira 	DDKD 	3 	z 		mundarira DDKD z 3 . Urwu rudzi rwesimbi isinganyanyopenya. musafuri 3 .
mundatsva 	DDK 	3 	z 		mundatsva DDK z 3 . Mundatsva muti unotungira uchibva muvhu gore negore, unonzi unouraya zvipfuyo zvinenge zvaudya. mesoembudzi 6, mumbudzimbudzi 3 .
mundawarara 	DDKDD 	3 	z 		mundawarara DDKDD z 3 . Uyu muriwo unomera munzvimbo dzakamborimwa.
mundimu 	DKD 	3 	z 		mundimu DKD z 3 . Mundimu muti unogara uine mashizha manyoro nguva dzese semuranjisi, uchibereka vana vanovava vanonzi mandimu. muremoni 3 .
mundya 	DK 	3 	z 		mundya DK z 3 . Mundya mucheka wakasonererwa pambereko kana pitikoti yechikadzi, unosungiswa zvinhu izvi kuti zvisadonhe.
munetakamwe 	DDDDK 	3 	z 		munetakamwe DDDDK z 3 . Uku kuti kana uine mabasa akawanda aunoda kuita, wobva waaita ese nguva imwe kuti ugozozorora wapedza basa racho rese.
mungava 	D- 	3 	z 		mungava D- z 3 . chikwereti 7 .
mungenge 	D- 	3 	z 		mungenge D- z 3 . Mungenge imota yakanaka chaizvo, inofamba zvakanaka. Dudzai paakabva kuJapan, akauya nemungenge weToyota.
mungurau 	D- 	3 	z 		mungurau D- z 3 . Uyu muti unowanzomera pane mvura zhinji, nekukura wakatandika mimwe miti.
munhanga 	D- 	3 	z 		munhanga D- z 3 . muboora 3 .
munhenga 	DDK 	3 	z 		munhenga DDK z 3 . Minhenga mazigushe akareba anovhara muviri weshiri anoita kuti dzimwe dzacho dzigone kubhururuka.
munhengeni 	DKKD 	3 	z 		munhengeni DKKD z 3 . mutsvanzva 3 .
munhenzva 	DKD 	3 	z 		munhenzva DKD z 3 . Munhenzva muti unobuda mukaka, une mashizha anoitwa muriwo, anotunga gore negore.
munhondo 	D- 	3 	z 		munhondo mutondo D- z 3 . Munhondo muti wakada kufanana nemusasa, unoita vana vane mhodzi dzingapfuure nhatu, vanonyaudza pakubanzuka kana vaoma.
munhongotowa 	DKKDK 	3 	z 		munhongotowa DKKDK z 3 . Uyu muti unobuda mukaka pamakwati kana wakanwa mvura chaizvo.
munhuchu 	DKD 	3 	z 		munhuchu munyuchu DKD z 3 . Munhuchu chibage chakaoma chinotswiwa chobikwa chomonwa nedovi. mashazhare 6 .
munhuhwenhuhwe 	DDKKD 	3 	z 		munhuhwenhuhwe DDKKD z 3 . Aka kamuti kana kuti kamuruva, kanomera pamadziro emba kana pamatongo, kanorapa buka. mutandangozi 3 .
munhuhwi 	DDK 	3 	z 		munhuhwi munhuwe, munhuhwi DDK z 3 . Munhuhwi mweya unobva pane chimwe chinhu uchipinda mumhuno dzako.
munhukwi 	DDK 	3 	z 		munhukwi munhikwi DDK z 3 . Munhukwi kumira kunoita kufema munhu achigwinwa muchipfuva zvinokonzerwa nekusanyatsovharika nekuvhurika kunenge kuchiita mukana wekufema nawo.
munhundurwa 	DDKD 	3 	z 		munhundurwa DDKD z 3 . Aka kamuti kanobereka tuvana tweyero, twusingadyiwe, twunonzi nhundurwa.
munhunguru 	DDDK 	3 	z 		munhunguru DDDK z 3 . Uyu muti unoita muchero wakaurungana, unotsvukuruka kana waibva, uchiitisa hambe kana uchinge waudya usina kuibva.
munhuruka 	DKDK 	3 	z 		munhuruka DKDK z 3 . Iyi inguva inonaya mvura yekutanga. munakamwe 3 .
munongedzo 	DKKD 	3 	z 		munongedzo DKKD z 3 . Uyu munwe wechipiri unoshandiswa pakuratidza zvinoda kuonekwa.
munungu 	DDK 	3 	z 		munungu DDK z 3 . Munungu ndechakafanana nemunhenga, chakatesva kumagumo, chinowanikwa pamuviri wenungu.
munwe 	D 	3 	z 		munwe mumwe D z 3 . Munwe inhengo yeruoko inoshandiswa pakubata chinhu kana kupfumbatira muchanza.
munya 	D- 	3 	z 		munya D- z 3 . Munya isadza rinenge rarara. Munya kunyorova kunenge kwakaita chinhu asi chisingati tapatapa. Hembe idzi hadzina kunyatsooma, dzichine munya.
-munya 	D 	3 	z 		-munya D z 3 it . Ku munya kudya chinhu zvishoma nezvishoma sezvinoitwa nemujuru.
munyaka 	DKD 	3 	z 		munyaka DKD z 3 . Munyaka ibwe rakapfava rinogadzirisa zviumbwa.
munyama 	DKD 	3 	z 		munyama DKD z 3 . Iri irombo rakaipa rinoita kuti munhu angogara achiwirwa nematambudziko. jambwa 5 .
munyatso 	D- 	3 	z 		munyatso D- z 3 . Munyatso pamuromo pezamu panobuda nemukaka.
munyemba 	DDK 	3 	z 		munyemba DDK z 3 . Munyemba chirimwa chinokura chichitandira kana kumonera mimwe miti iripo, chinobereka nyemba.
munyengetero 	DKKKD 	3 	z 		munyengetero DKKKD z 3 . Uyu munamato kana chikumbiro kuna Mwari kana kuvadzimu. munamato 3 .
munyepfu 	D- 	3 	z 		munyepfu D- z 3 . Munyepfu inyama isina mapfupa.
munyii 	DKK 	3 	z 		munyii DKK z 3 . Munyii muti unomera nzvimbo dzisinganyanyonaya mvura, unobereka vana vane mhodzi dzakaomarara, vanotapira.
munyorondega 	DKKDD 	3 	z 		munyorondega DKKDD z 3 . Ichi chibage chinoibva mushure mechizhinji, chimwe chatooma.
munyu 	DK 	3 	z 		munyu DK z 3 . Munyu zvitsanga kana zviupfu zvinorungiswa usavi, zvekuti kana zvisipo nyama kana muriwo haudyike.
munzambara 	DDKD 	3 	z 		munzambara DDKD z 3 . mutsamviringa 3 .
munzva 	DK 	3 	z 		munzva mundya DK z 3 . mundya 3 .
munzvambara 	DDKD 	3 	z 		munzvambara DDKD z 3 . muruguru 3 .
munzvi 	DK 	3 	z 		munzvi DK z 3 . Munzvi ndepakatesva pechinhu chakaita semuseve.
munzviru 	DKD 	3 	z 		munzviru munzvirwa DKD z 3 . Uyu muti une vana vakaita sekutenderera vanotsvukuruka kana vaibva uye vanodyiwa.
munzwa 	DK 	3 	z 		munzwa DK z 3 . Munzwa kamuti kadiki katete, kanomera pamuti kana pasora kana paruva, kane kamuromo kanobaya.
muoko 	DKK 	3 	z 		muoko DKK z 3 . ruoko 11 .
muonde 	DDK 	3 	z 		muonde DDK z 3 . Uyu muti unobereka vana vanonzi maonde, vanodyiwa nevanhu uye neshiri chaizvo. mukuyu 3 .
muonekedzo 	D- 	3 	z 		muonekedzo D- z 3 . Izvi ndezvinoitwa pekupedzisira pechiitwa. Pakapera doro, takapiwa hari yemuonekedzo.
muoneko 	D- 	3 	z 		muoneko D- z 3 . muonekedzo 3 .
muora 	D- 	3 	z 		muora D- z 3 . Muora muti usina kuomarara, wakada kufanana nemuzeze.
muore 	DDK 	3 	z 		muore DDK z 3 . Muore ihuni dzava kuora, dzisisanetsi kutyora. Muore chinhu chisingashupi kuita.
mupaka 	D- 	3 	z 		mupaka D- z 3 . Mupaka chitumbu chemakasi.
mupakato 	DKKD 	3 	z 		mupakato DKKD z 3 . Ichi chisimbi kana chijira kana chimuti chinobatiswa chese chese chingangosimudzwa chakaita sebhegi kana poto. mubato 3 .
mupako 	DKK 	3 	z 		mupako DKK z 3 . mbuva 9 .
mupambangoma 	DKKKD 	3 	z 		mupambangoma DKKKD z 3 . Urwu rudzi rwemuti unoreba kuenda mudenga.
mupanda 	D- 	3 	z 		mupanda D- z 3 . Mupanda chikamu chedzimba dzakaita mudhadhadha. Mupanda mumwe wezvikamu zvemazita anowanikwa mumutauro kana tichiongorora sungawirirano muzvirevo. Mubvunzo mukuru uri pano ndewekuti Shona ine mipanda 20 here kana 21?
mupande 	DKD 	3 	z 		mupande DKD z 3 . Mupande kutinhira kune simba kunoitika kana kunze kwava kuda kunaya, kana kuti kuchitonaya. bhanan'ana 5 .
mupangara 	DDDK 	3 	z 		mupangara DDDK z 3 . Uyu muti unoita mazimunzwa makobvu ari marefu, unogadziriswa mipinyi nemapango ekukomberedza dzimba.
mupani 	DKD 	3 	z 		mupani mupane DKD z 3 . Mupani muti une mwoyo wakasimba chaizvo, unoti kana chiri chirimo unooma mashizha, wotozoita mashizha zvakare kana mvura yanyatsonaya. musaru 3 .
muparavara 	DKKKK 	3 	z 		muparavara DKKKK z 3 . Uyu musoro unenge wakabviswa bvudzi rese uchitovaima ganda. baravara 5 .
muparu 	DKD 	3 	z 		muparu DKD z 3 . Muparu mucheka waishandiswa kare kubata mazamu.
mupata 	D- 	3 	z 		mupata D- z 3 . Mupata kanzira kadiki kari pakati pezvinhu zvakakwirira, zvakaita semakomo kana dzimba. mukana 3 .
mupedzazviyo 	DKKDK 	3 	z 		mupedzazviyo DKKDK z 3 . Iyi inhengo yemuviri inoungana tsvina inobva mudumbu, isati yabuda kunze.
