apuro 	KDD 	5 	z 		apuro epuro KDD z 5 . Apuro rudzi rwemuchero unoberekwa nemuapuro.
chichi 	D- 	5 	z 		chichi D- z 5 . mhete 9 .
chinjiri 	K- 	5 	z 		chinjiri K- z 5 . Chinjiri igandiwa revhu rinobata mvura, rinenge rakaitwa kare kare.
dabwa 	DK 	5 	z 		dabwa DK z 5 . dahwa 5 .
dahwa 	DK 	5 	z 		dahwa dabwa DK z 5 . Dahwa ishiri ine mavara inofamba usiku, inoti kana ari masikati ikabhururuswa inomhara padhuzedhuze.
daka 	D- 	5 	z 		daka D- z 5 . Daka ruvengo rwakadzama, rusina mugumo pakati pavanhu, rwokutsividzana zvavanenge vakanganisirana. Mukoma nemunin'ina vane daka rokuti, kana kukwazisana chaiko, havakwazisani.
dakashwa 	KDK 	5 	z 		dakashwa KDK z 5 . Dakashwa igodo refu reparushaya. Dakashwa igodo rakatundumara riri kuseri kwenzeve.
dakataka 	D- 	5 	z 		dakataka D- z 5 . Uhu usavi hunobikwa nedovi roga rinenge rakwatiswa chaizvo. gwatakwata 5 . Uku kuwandisa kweupfumi kana zvimwe zvinhu zvinenge zvine munhu mumwe chete.
dambakurimwa 	D- 	5 	z 		dambakurimwa D- z 5 . Iyi inzvimbo inoyereswa, isingadzvarwi mbesa nokuti inenge ichinzi ndeyemidzimu. Murume aida kukavira chibage padambakurimwa akaripiswa namambo.
dambe 	KD 	5 	z 		dambe KD z 5 . Dambe maitiro kana matauriro anoitwa pakufara, asi anozviita achiita seanotorevesa. Ukanzwa harahwa ichiti inoda kupinda mumakwikwi okumanya nemajaya unogona kuzvitora sedambe.
dambi 	DK 	5 	z 		dambi DK z 5 . Dambi kuitika kwezvinhu zvisina matsananguriro zvinokatyamadza. nenji 5, shura 5, chisionekwi 7 .
dambiramurove 	KKKKDK 	5 	z 		dambiramurove KKKKDK z 5 . Iyi ishiri inowanzouya munyika ino panguva dzokunaya kwemvura, ine muromo murefu neminhenga mitema nemichena. shohwari 5, shoreramurove 5, shohori 5 .
dambiro 	KKD 	5 	z 		dambiro KKD z 5 . Dambiro inzvimbo yakatandauka panoungana vanhu vachifara zvavo, kunyanya vana vaduku.
dambudzo 	D- 	5 	z 		dambudzo D- z 5 . Dambudzo inyaya inenge ichikushusha mumwoyo mako, zvokuti haukwanisi kuwana rufaro. Idambudzo guru kana ukarambwa nemudiwa wako iwe uchamuda.
danana 	D- 	5 	z 		danana D- z 5 . Danana muteyo unogadzirwa netumiti unoshandiswa kubata hove huru munzizi. Sekuru vangu vaiteya madanana vachibata miramba nemhumbu huru kwazvo.
dandabvu 	KKD 	5 	z 		dandabvu KKD z 5 . Dandabvu munhu anorwara, akarukutika muviri wake, asinganatsogona kuzvibatsira. Mukomana wokufamba usiku akarohwa nematsotsi vakamusiya rangova dandabvu.
dandadzi 	D- 	5 	z 		dandadzi D- z 5 . Dandadzi chirukwa chinogadzirwa nedandemutande kuteyesa zvipururu zvarinobata richidya. Nhunzi mbiri dzabatwa nedandadzi. dandemutande 5 .
dandadzo 	KKD 	5 	z 		dandadzo KKD z 5 . Dandadzo inguva yokuvarairwa, vanhu vachiitaura nyaya vasina basa ravanoita. Chinhu chakanaka kuti vanhu vawane dandadzo kuti pfungwa dzimbofaranuka.
dandara 	D- 	5 	z 		dandara D- z 5 . Dandara munhu asina njere, anononoka kubata zvinhu zvaanenge achidzidziswa. Dandara rakapedzisira raramba chikoro nokuda kokusagona. dofo 5 . Dandara idara rinovakwa namatanda rine panogona kugarika pakakwirira panogona kurindwa munda munhu ari kana kuisawo mbeu. Manhanga akanga akaiswa padandara kuti madhongi asaadya.
dandaro 	KKD 	5 	z 		dandaro KKD z 5 . Dandaro kuvarairwa kwamunenge makaita, muchitaura zvenyu nyaya pasina chamunomhanyira kuita.
dandaruswa 	DDDK 	5 	z 		dandaruswa dangaruswa DDDK z 5 . Urwu rudzi rwouswa urefu hwakakora nokucheneruka kunge tsanga, hunopfuririsa dzimba. nhenje 9 .
dandaudzi 	D- 	5 	z 		dandaudzi D- z 5 . dandemutande 5 .
dande 	KD 	5 	z 		dande KD z 5 . Dande inzvimbo inotevedzana negomo inenge yakareburuka. Dande rudzi rwemhunga ine tsanga dzakakura kudarika dzemamwe marudzi.
dandemutande 	D- 	5 	z 		dandemutande D- z 5 . Ichi chipuka chinogadzira matandadzi, chine makumbo marefu masere. Mambure edandemutande anobata zvakaita senyuchi kana nzunzi.
dangameno 	KKDK 	5 	z 		dangameno KKDK z 5 . Uyu mwana mudiki anenge amera mazino ake okutanga.
dangwe 	KD 	5 	z 		dangwe KD z 5 . Dangwe mwana anotanga kuzvarwa mumhuri. Dangwe rinotarisirwa kupa vamwe vana muenzaniso wokugara zvakanaka.
danha 	K- 	5 	z 		danha K- z 5 . Madanha ishungu dzokuitira munhu waunofarira zvinhu zvakasiyana-siyana zinomufadza. Patakaenda kuHarare, mukoma akaita madanha okuenda nesu kunodya kuhotera yepamusorosoro.
danhazvuru 	D- 	5 	z 		danhazvuru D- z 5 . Iyi imbeva huru inogara mumapani, pane zvuru, iine ruvara rwedota. dapi 5 .
dapanyuchi 	KDKK 	5 	z 		dapanyuchi KDKK z 5 . Iri igwenzi rinomera richikwira nemiti uye riine mashiza anonamira. munyembasanga 3, mushambavazvere 3 .
dapatapa 	D- 	5 	z 		dapatapa D- z 5 . Ichi chinhu chinenge chanyorova zvokuti mvura inenge yangozara pose pose.
dapatsikidzi 	KKDKD 	5 	z 		dapatsikidzi KKDKD z 5 . Urwu rudzi rwegwenzi rinoshandiswa kudzinga tsikidzi nokungoriisa pasi porukukwe chete.
dapitapi 	KDKD 	5 	z 		dapitapi KDKD z 5 . Uku kudya kunotapira zvakanyanya, sezvakaita uchi. dapurahunanzva . Uku kugona kutaura zvinofadza, zvokuti waunotaura naye anotobvuma chete zvaunenge uchida. Murume wokutaura dapitapi aiitisa vanhu basa raaifanira kuita iye.
dapurahunanzva 	KKDKDD 	5 	z 		dapurahunanzva KKDKDD z 5 . dakuranzva . Uyu musvi unotapira uri mumaruva. Todzvo yairembuka neruva ichisveta dapurahunanzva.
daranganwa 	KKDK 	5 	z 		daranganwa KKDK z 5 . Izvi zvisimwa zvinenge zvakamera mumutsetse asi zviri kure nakure. Kana mvura ikasanaya zvakanaka chibage chinoita madaranganwa.
darausavana 	KKKDDK 	5 	z 		darausavana tarausavana KKKDDK z 5 . Uyu mwoto muzhinji unoveswa, zvokuti vanhu vanoudziya vari kure nawo.
dari 	DK 	5 	z 		dari DK z 5 . Dari kambuyu kadiki kanobatira pamhuka pakanomwa ropa rayo. Tinogarodhibhisa mombe dzedu kuti dzisaite madari.
dariro 	KDK 	5 	z 		dariro KDK z 5 . Dariro kurongana kwevanhu kana zvimwe pachibuda mucherechedzo wedendenedzi unosara pakati. Kana vanhu vakamira mudariro vanoonana zviso zvavo vose.
darwa 	KD 	5 	z 		darwa KD z 5 . Darwa chinhu chine mitaro kana kuti mitsetse.
dasvawatasva 	KKDKK 	5 	z 		dasvawatasva KKDKK z 5 . Uyu mukadzi anongorara nomurume wose wose. Mukadzi dasvawatasva akazofa nomukondombera. pfambi 9, hure 5, nzenza 9 . Uyu munhu anongoshushwa kana kunetswa navamwe vanhu. Mwana dasvawatasva aingorohwa navamwe pachikoro asina zvaaita. diurawatiura 5 .
dasvemutasve 	KDDKD 	5 	z 		dasvemutasve KDDKD z 5 . Urwu rudzi rwemuti unokura uchimonera imwe miti yakasimba.
datahwindi 	KKKD 	5 	z 		datahwindi KKKD z 5 . datanana 5 .
datanana 	D- 	5 	z 		datanana D- z 5 . Datanana munhu asina pfungwa dzakapinza anomirira kufungirwa navamwe. datawindi 5, dofo 5 .
datawindi 	D- 	5 	z 		datawindi D- z 5 . datanana 5. .
datira 	DDK 	5 	z 		datira DDK z 5 . Datira runda runobva seri kwebvi runonobata kuchitsitsinho. Murume anofamba achikamhina nokuti akakuvara datira.
datsi 	DK 	5 	z 		datsi DK z 5 . Datsi chirwere chemaziso chinoita kuti uone zvinhu zvinenge zviri padyo chete.
datsi 	K- 	5 	z 		datsi K- z 5 . shizha 5 .
dau 	DK 	5 	z 		dau dao DK z 5 . Munhu anonzi ane ma dau kana achitaura, kana kupfeka, kana kuita mamwe maitiro anosekesa.
davatava 	D- 	5 	z 		davatava tavatava D- z 5 . Uyu munhu akwegura zvokuti kufamba kunenge kwava kumunetsa.
daviro 	D- 	5 	z 		daviro D- z 5 . mhinduro 9. .
dazu 	KD 	5 	z 		dazu KD z 5 . davi 5. .
dede 	DK 	5 	z 		dede DK z 5 . gudo 5 .
dehwa 	KD 	5 	z 		dehwa KD z 5 . Dehwa ihuni yaiuya nomunhu padare kana achida kugara pamoto navamwe. dezwa 5. .
deka 	D- 	5 	z 		deka D- z 5 . Deka inzvimbo yakadzikira ine ivhu rinochengeta mvura zvokuti inogara yakanyorova. Mupunga neshezha imbeu dzinorimwa padeka. chindanga 7 .
dekamuteka 	KKKDD 	5 	z 		dekamuteka KKKDD z 5 . Uku kutakurwa kwechinhu chinorema navanhu vakawanda panguva imwe chete.
dekezhekwa 	KKDK 	5 	z 		dekezhekwa KKDK z 5 . Uyu mukadzi mukobvu ane nyama dzakaregedzeka. sidhudya 1a .
demahope 	KDKK 	5 	z 		demahope KDKK z 5 . Uyu musoro unorwadza uchiita zvokutema nechokumusorosoro kwemhino. chomusoro 5 .
demashanga 	KKKD 	5 	z 		demashanga demamashanga KKKD z 5 . Urwu rudzi rwedzvinyu rakareba, uye rine ruvara rutsvuku, rinogara padyo nemwena waro.
dembaremba 	DKDD 	5 	z 		dembaremba DKDD z 5 . Urwu rudzi rukuru rwembeu yomupunga rune tsanga huru. Dembaremba redu harina kunatsosvika nokuda kokusanaya kwemvura zvakanaka. Urwu rudzi rweuswa hunomera pachuru, hunoreba kuenda mudenga.
dembo 	D- 	5 	z 		dembo D- z 5 . Dembo kamhuka kadiki kanobudisa mweya unonhuwa zvikuru. chidembo 7, bvungo 5 .
dembutembu 	D- 	5 	z 		dembutembu D- z 5 . Ichi chinhu chinenge chisina kukakika chiri chakaregedzeka. Kana vanhu vanokaka waya vakaiita dembutembu, mombe dzinopinda mumunda.
dembwetembwe 	D- 	5 	z 		dembwetembwe D- z 5 . Ichi chinhu chinenge chakaregedzeka pamamiriro acho, chisina kusimba. Kana sadza rakaita dembwetembwe rinenge risina kubatana zvakakwana. Sekuru vangu havadi sadza dembwetembwe. Vanoda rakajinya.
dendemafuta 	KKDKK 	5 	z 		dendemafuta KKDKK z 5 . tsambarafuta 9 .
dendemaro 	KKKD 	5 	z 		dendemaro KKKD z 5 . Ichi chigaro chine chiremera chinogarwa navatongi. Iyi inzvimbo inenge ine runyararo yakadzikama.
dendende 	DKD 	5 	z 		dendende DKD z 5 . Dendende kambuyu kano ruvara rwedota kanoitira uchi hwako pasi. Dendede raindiitira ruzha richida kutora namo yemunzeve. monga 9 . Urwu rudzi rweuchi hunogadzirwa nedendende. Uchi hwedendende hunoisvotapira kwazvo.
dendenedzwa 	KKDK 	5 	z 		dendenedzwa KKDK z 5 . Uku kuumbika kwechinhu chichisara chine mucherechedzo wakaita semwedzi wakazara kana zai. Kana vana vachiita mutambo wedunhu, vanoita dendenedzwa, vamwe vopinda mukati vachitemwa nebora. denderedzi 5 .
denderedzi 	KKDK 	5 	z 		denderedzi KKDK z 5 . dendenedzwa 5 .
denenga 	D- 	5 	z 		denenga D- z 5 . Denenga ivhudzi shoma rinosiyiwa mumusoro mushure mokunge munhu agerwa kana kusvuurwa.
depfure 	DKD 	5 	z 		depfure DKD z 5 . Depfure hwahwa hunobikwa hwakawanda zvokuti hunopedza nguva refu huchinwiwa. Depfure kuwanda kwemabasa mumunda, kana kwechokudya chakabikwa. Depfure kugara kwakanaka uchiwana zvose zvaunenge uchida. mutambarakede 3 .
deputepu 	KDKD 	5 	z 		deputepu KDKD z 5 . Uku kuzunguzika kana kufonyokera kunoita chinhu chisina kuomarara, sembariro nyoro.
derere 	DDK 	5 	z 		derere DDK z 5 . Derere muriwo unosiririka nokutsvedzerera, unowanzobikwa nesvoda. gusha 5 .
dete 	KD 	5 	z 		dete KD z 5 . Dete inzvimbo yakazara miti mitete kana tsanga.
deuteu 	KDKD 	5 	z 		deuteu KDKD z 5 . Deuteu inzvimbo yakadzikira ichibva panzvimbo yakakwira.
devedzi 	D- 	5 	z 		devedzi D- z 5 . muteveri 3 .
deveramvumi 	D- 	5 	z 		deveramvumi D- z 5 . Aka kamuti katete kanomonera zvitanda kana imwe miti kuti kakwanise kukwira mudenga.
deverangwena 	D- 	5 	z 		deverangwena D- z 5 . Urwu rudzi rwegwaya rine makwati neminzwa yakawanda, rinowanzoita besu dzvuku.
dhadha 	D- 	5 	z 		dhadha D- z 5 . Dhadha ishiri inopfuyiwa kana kugara mudondo, ine muromo wakapamhamha netsvaratsvata dzakabatana.
dhaimani 	DKDD 	5 	z 		dhaimani DKDD z 5 . Uyu muchina unoshandiswa kuchera zvibhorani, unogona kuboora mabwe. Iri itsime rakadzika rinowanzocherwa nemuchina, risingapwi mvura nhando. chibhorani 7 .
dhaiza 	DKD 	5 	z 		dhaiza DKD z 5 . Dhaiza mutambo wokubhejerana, muchiita zvijana zvokukanda tushomho tune nyora, muchitodyana mari. Dhaiza imari pamutauro wechimanjemanje.
dhaka 	D- 	5 	z 		dhaka D- z 5 . Dhaka ivhu rakasangana kana rakakanyaniswa nemvura. Kana kunze kukanaya kunoita madhaka. Dhaka ivhu kana semende yakasanganiswa nemvura, rinoshandiswa pakuvaka kana kukanya zvitinha.
dhakwa 	DK 	5 	z 		dhakwa DK z 5 . chidhakwa 7 .
dhamba 	D- 	5 	z 		dhamba D- z 5 . Dhamba munhu kana mhuka yakadzikamiswa, isisina shungu dzakawanda.
dhambakura 	DDKK 	5 	z 		dhambakura DDKK z 5 . Ichi chidzvinyu chipfupi chine dumbu rakakura kupfuura muviri, uye chine musoro mukuru unogara wakasimuka mudenga kana chasingafambi.
dhamhu 	D- 	5 	z 		dhamhu D- z 5 . Dhamhu inzvimbo inovakirwa navanhu parwizi rukuru kuti ichengete mvura. Dhamhu reChivero iguru zvikuru uye rinoshandiswa neguta guru reHarare rose.
dhananga 	DDK 	5 	z 		dhananga DDK z 5 . Dhananga muti murefu une pekutsika unoshandiswa nevana kufambisa vachizoita kunge vakareba.
dhandanda 	DKK 	5 	z 		dhandanda DKK z 5 . Dhandanda imba inenge yakakura chaizvo. Muvakidzani wedu akavaka dhandanda rine mipanda gumi.
dhandaruma 	KDKD 	5 	z 		dhandaruma KDKD z 5 . Aka kapukanana katema kanobhururuka, kane mavara machena maviri pamusana.
dhandurumu 	KDDD 	5 	z 		dhandurumu KDDD z 5 . Iyi imba ine makona mana inowanzotorwa semba yokudyira.
dhani 	KD 	5 	z 		dhani KD z 5 . Dhani rudzi rwebhasikoro rinomiswa nokudzosera zvitiviri zvaro kumashure. peri 9 .
dhanzi 	KD 	5 	z 		dhanzi KD z 5 . Dhanzi kutamba mumhanzi uchifambisa muviri, une mumwe kana kuti uri wega, zvine urongwa hunotodzidzirwa.
dharameti 	DDKD 	5 	z 		dharameti dharamedhi DDKD z 5 . Uhwu unga hunoputika nesimba guru hunoshandiswa kutsemura matombo kana zvimwewo zvakaomarara. hora 9 .
dhaurosi 	KDDD 	5 	z 		dhaurosi KDDD z 5 . Iyi iwaya nhete inosevenzeswa kubatanidza pamwe chete zvinhu zvakaita samapuranga inozobviswa kana yapedza basa.
dhayafuramu 	KDDDD 	5 	z 		dhayafuramu dhayafuremu KDDDD z 5 . Urwu rukanda rutete runokamura dumbu nechipfuva nechomukati, runobatsiridza pakufema. Uyu mudziyo uri mumotokari unobatsira mukufamba kwepeturo kubva mutangi ichipinda muinjini.
dhazeni 	KDD 	5 	z 		dhazeni dhauzeni KDD z 5 . Uhwu uwandu hwezvinhu zvinorongedzwa pamwe chete zvakafanana zvinosvika gumi nezviviri.
dhemeji 	KDD 	5 	z 		dhemeji KDD z 5 . Dhemeji imari inobhadharwa nomukomana anenge aitisa musikana pamuviri obva aramba kumuroora.
dhenari 	DKD 	5 	z 		dhenari DKD z 5 . Dhenari rudzi rwemari yaishandiswa kuPalestine, Jesu achiri pasi.
dhende 	D- 	5 	z 		dhende D- z 5 . Dhende inhumbi yabvaruka, isisapfekwi.
dhende 	DK 	5 	z 		dhende DK z 5 . mudhende 3 .
dhenjaraiti 	KDKDD 	5 	z 		dhenjaraiti KDKDD z 5 . Uyu mwenje mutsvuku unotaridza ngozi paunenge uchipfuta kana paunoonekwa. Motokari yose inofanira kuve nedhenjaraiti rinobaka kumashure paunotsika mabhureki.
dheri 	KD 	5 	z 		dheri KD z 5 . Dheri ndepanochengetwa nokukamwa mombe dzomukaka.
dhesiki 	KDD 	5 	z 		dhesiki KDD z 5 . Dhesiki itafura inosevenzeswa kunyorerwa pamusoro payo, kunyanya muzvikoro nemumahofisi.
dheti 	KD 	5 	z 		dheti KD z 5 . Dheti izuva remwedzi rinotaridzwa namanhamba ari pakati pa1 na31. Takawana kuzvitonga dheti richiti 18 Bandwe 1980. Dheti muchero unonaka, unoberekwa nemuchindwi.
dhezibhomu 	KDDD 	5 	z 		dhezibhomu dhazibhomu KDDD z 5 . Iri idanda refu riri pakati pengoro, rinosungirwa joko.
dhibha 	KD 	5 	z 		dhibha KD z 5 . Dhibha kamba kane gomba rinodirwa mushonga unouraya madari nezvishambwe zvinenge zviri pan'ombe. Dhibha mushonga unouraya zvishambwe nemadari unodirwa mumvura munozopinzwa mombe.
dhibheti 	DKK 	5 	z 		dhibheti DKK z 5 . Dhibheti inhaurirano ine kukavadzana mukati kwemapoka maviri zviri mukati memusoro wenhaurirano. dhipeti 5 .
dhibhu 	KD 	5 	z 		dhibhu KD z 5 . Dhibhu muti unosungwa tambo inoteyiwa kubata mhuka nekudzisunga.
dhidho 	D- 	5 	z 		dhidho dhigidho D- z 5 . Dhidho idziva kana gomba rakacherwa, rine mvura munotambirwa navanhu. duwinho 5 .
dhikauzi 	DKDD 	5 	z 		dhikauzi DKDD z 5 . Ichi chishongo chinopfekwa munzeve navanhukadzi kazhinji kacho.
dhikishinari 	DDKDD 	5 	z 		dhikishinari dhikishenari DDKDD z 5 . Iri ibhuku rine urongwa hwamazwi anowanikwa mumutauro nedudziro dzawo. Kana usingazivi zvinoreva izwi, unofanira kuzvitsvaka mudhikishinari. duramazwi 5 .
dhimoni 	DKD 	5 	z 		dhimoni DKD z 5 . Dhimoni mweya wakaipa unogona kugara pamunhu uchimuitisa mabasa akaipa.
dhimu 	KD 	5 	z 		dhimu KD z 5 . Dhimu kusakwanisa kufunga kana kuona zvakanaka kunokonzerwa nedzungu kana zvimwewo.
dhindindi 	DKK 	5 	z 		dhindindi DKK z 5 . Dhindindi mumhanzi une mutinhimira mukuru. mafaro 6 .
dhinha 	KD 	5 	z 		dhinha KD z 5 . Dhinha kudya kunogona kuva kwamasikati kana manheru, mhuri yose iripo.
dhipeti 	DKD 	5 	z 		dhipeti DKD z 5 . Dhipeti inhaurirano ine kukakavadzana mukati kwamapoka maviri zviri mukati momusoro wenhaurirano uripo. Musoro wedhipeti wokuti, "Zviri nani kudzidzisa mukomana pano musikana", unoitisa nharo huru pakati pavakomana navasikana. dhibheti 5 .
dhiramu 	DKD 	5 	z 		dhiramu dhiramhu DKD z 5 . Dhiramu mudziyo mukuru kudarika mugomo, unochengeterwa zvinoduruka semvura. Tinocheresa mvura mumadhiramu kana tichivaka dzimba.
dhireni 	DKD 	5 	z 		dhireni DKD z 5 . Dhireni inzvimbo yokurima inenge yakaganhurwa nemugero. Dhireni muhoronga unofamba nemvura unoganhuranisa panorimwa.
dhirezi 	DKD 	5 	z 		dhirezi DKD z 5 . Dhirezi chipfeko chirefu chinopfekwa navanhukadzi.
dhirihora 	DDKD 	5 	z 		dhirihora DDKD z 5 . Iri zimba rakakura uye rakareba, rinoshandiswa kuomesa fodya.
dhiriri 	DKD 	5 	z 		dhiriri DKD z 5 . Dhiriri kufambisa muviri zvine urongwa nechinangwa chokuusimbisa, kazhinji muchitofora makawanda.
dhirowo 	D- 	5 	z 		dhirowo D- z 5 . Dhirowo mudziyo wakavezwa unokakatwa kubva pane mumwe, uchigona kuchengeterwa mupepa nezvimwewo.
dhishi 	KD 	5 	z 		dhishi KD z 5 . Dhishi mudziyo wakakombwera unoiswa mvura yokugeza kana kuitiswa zvimwewo.
dhisikodhi 	DDKD 	5 	z 		dhisikodhi DDKD z 5 . Uku kuimba neizwi risingakodzerani neizwi rinenge richifanira pachinhano ichocho chorumbo.
dhiziri 	KDD 	5 	z 		dhiziri KDD z 5 . Dhiziri mafuta akada kunotsvukuruka anoshandiswa kufambisa michina yakaita semotokari, marori kana zvitima.
dhodhibhokisi 	DDKDD 	5 	z 		dhodhibhokisi DDKDD z 5 . Iyi inzvimbo kana mudziyo unoshandiswa kurasira marara.
dhodhodho 	K- 	5 	z 		dhodhodho K- z 5 . Ma dhodhodho manotsi anoshandiswa kutsvaka chuni pasina mazwi, kazhinji muchidzidzira rwuyo rutsva.
dhoiri 	KDD 	5 	z 		dhoiri KDD z 5 . Dhoiri chirukwa chine zvidavado zvakawanda, chinoitwa nekiroshi.
dhokonono 	DKDD 	5 	z 		dhokonono DKDD z 5 . Iyi itsvina inoitwa nehuku kana neshiri.
dhoku 	KD 	5 	z 		dhoku KD z 5 . Dhoku inzvimbo inomira anopomerwa mhaka kana anopa umboo mudare redzimhosva.
dhomatiri 	KDDD 	5 	z 		dhomatiri dhometiri KDDD z 5 . Iyi imba huru inovata vanhu vakawanda, inowanikwa pakaita sepachikoro.
dhonanzi 	KDD 	5 	z 		dhonanzi KDD z 5 . Dhonanzi kudya kunobikwa nefurau, kunoiswa ruomba rune tsvigiri pakati.
dhongi 	DK 	5 	z 		dhongi DK z 5 . Dhongi imhuka isina nyanga, isingadyiwi nyama, inopfuyirwa kurima, nekuita mamwe mabasa.
dhongwana 	DKK 	5 	z 		dhongwana DKK z 5 . Uyu mwana wedhongi kana kuti mbongoro. mubheme 9 .
dhonza 	D- 	5 	z 		dhonza D- z 5 . Dhonza imombe yakapingudzwa, inorimiswa kana kuitiswa mamwe mabasa. gwaimani 5, nzombe 9 .
dhora 	KD 	5 	z 		dhora KD z 5 . Dhora imari inoumbwa nezana remasendi.
dhorobha 	DKD 	5 	z 		dhorobha DKD z 5 . Dhorobha inzanga huru yemisha inosanganisira maindasitiri, zvitoro nemahofisi, ine magetsi anovhenekera migwagwa, nhandare dzendege nedzimba dzomudurikidzwa. Harare ndiro dhorobha guru remuZimbabwe. dhorobheni 5, guta 5, taundi 9 .
dhorofiya 	DDKD 	5 	z 		dhorofiya DDKD z 5 . Uyu muchero une mashizha makobvu ane minzwa, unoita vana vane unye vanonzi madhorofiya.
dhuhwai 	DDK 	5 	z 		dhuhwai DDK z 5 . Dhuhwai ishiri yakakura inowanzogara pasina kunyanyovharidzirwa, inoita zvokutanga yamhanya isati yabhururuka. mukwasi 3, hwata 9 .
dhuku 	KD 	5 	z 		dhuku KD z 5 . Dhuku mucheka mutete unosungwa mumusoro navanhukadzi.
dhumbe 	KD 	5 	z 		dhumbe KD z 5 . Dhumbe chirimwa chinoberekera pasi chakada kuita sembambaira.
dhumbu 	DK 	5 	z 		dhumbu DK z 5 . Dhumbu inhembe yaipfekwa navarume, yaigadzirwa nematehwe akavedzengwa semidzonga.
dhumbudya 	DKD 	5 	z 		dhumbudya DKD z 5 . Dhumbudya rudzi rwemhashu iine ruvara rwamashizha ine katumbu kakakora namafuta. dhumbudyamafuta 5 .
dhumbudyamafuta 	DKDDKK 	5 	z 		dhumbudyamafuta DKDDKK z 5 . dumbudya 5 .
dhumukwa 	DKD 	5 	z 		dhumukwa DKD z 5 . Dhunukwa imhuka yomudondo pfumbu, inogara pedyo nenzizi, inowanzofamba nedzimwe dzakawanda.
dhunamutuna 	DDDKK 	5 	z 		dhunamutuna DDDKK z 5 . Iri zimunhu rinenge rakashata kumeso risina kana charinotya panyika.
dhunduru 	D- 	5 	z 		dhunduru D- z 5 . Dhunduru idutu revhu rinobva panocherwa mugero. Dhunduru ivhu rakaumbidzirwa, panodzvarwa mbeu dzakaita sembambaira.
dhunduveri 	KDDD 	5 	z 		dhunduveri dhunduvere KDDD z 5 . Ichi chinhu chihombe chaizvo.
dhungetunge 	DDKK 	5 	z 		dhungetunge dungetunge DDKK z 5 . Aya masonero anoitwa shinda dzichitaranganiswa, kuitira kukasika kupedza kusona.
dhuva 	DK 	5 	z 		dhuva DK z 5 . Dhuva chinetso chinenge chichitadzisa vanhu kugara zvakanaka. dambudziko 5, chikangaidzo 7 .
dikamatika 	D- 	5 	z 		dikamatika D- z 5 . Urwu rutanda rwakatesvera mativi ose runoshandiswa kuchera makomba.
dikinyarwa 	KKDK 	5 	z 		dikinyarwa KKDK z 5 . Uyu munhu mukobvu ane uso hwakashata.
dikita 	DDK 	5 	z 		dikita DDK z 5 . Dikita imvura inovavira inobuda nepaganda kubva mumuviri. ziya 5, chipfundi 7 .
dikwindi 	KKD 	5 	z 		dikwindi KKD z 5 . Dikwindi munda une vhu dema rakaorera.
dima 	D- 	5 	z 		dima D- z 5 it . mbambaira 9 .
dima 	KD 	5 	z 		dima KD z 5 . Dima kusavako kwechiedza kunokonzera kusviba kukuru kokunze. rima 5 .
dimikira 	D- 	5 	z 		dimikira D- z 5 . Ichi chirevo chakadzama china mazvi anopesedzera pane zvaanoreva. Kurova imbwa wakaviga mupinyi idimikira rinoreva kuita chinhu usingabudi pachena.
dimuro 	KKD 	5 	z 		dimuro KKD z 5 . demo 5 .
dindikwa 	D- 	5 	z 		dindikwa D- z 5 . Dindikwa maitiro okusiya nyaya isati yapera kutaurwa pachine mivhunzo. Dindikwa ibasa risina kuitwa nomazvo.
dindingwe 	D- 	5 	z 		dindingwe D- z 5 . Dindingwe imhuka inomhanya kusiya dzimwe mhuka dzose yakada kufanana nembada.
dinga 	D- 	5 	z 		dinga D- z 5 . Dinga munhu akapusa zvikuru.
dinga 	DK 	5 	z 		dinga DK z 5 . Dinga rudzi rwenyoka isina maziso, uye ine musoro wakafanana nekamuswe. sukukuviri 9 .
dingindira 	K- 	5 	z 		dingindira K- z 5 . Iyi ipfungwa huru inobuda munyaya inenge yakabata ngano kana nhetembo. runyaya 11 .
dingwiza 	D- 	5 	z 		dingwiza D- z 5 . Dingwiza rudzi rwechikwenzi chipfupi chine minzwa.
dinhidza 	D- 	5 	z 		dinhidza D- z 5 . Dinhidza ishiri inogara pedyo nenzizi mumatenhere ichidya hove.
dinya 	D- 	5 	z 		dinya D- z 5 . Dinya ishizha rimwe chete remunyemba rinenge rakabatira pana mai varo.
dinyamutinya 	DKDDD 	5 	z 		dinyamutinya DKDDD z 5 . Uyu munhukadzi ane magaro makuru, anozungunuka paanenge achifamba.
diramhamba 	D- 	5 	z 		diramhamba D- z 5 . Ichi chipfuyo, kunyanya chakaita chebhuru, rinopiwa kumudzimu womusha.
dirawadira 	DDDKK 	5 	z 		dirawadira DDDKK z 5 . Dirawadira maitire angafanana nokututidzira mvura kana zvimwe zvinhu, vanhu vachingodiranisa pasina kuchenjerera kuti zvingawandisa kana kuti kwete. Chembere dzakaita dirawadira remvura mumugomo wedoro rikawandisa mvura.
ditima 	D- 	5 	z 		ditima D- z 5 . Ditima vanhu vakawanda vanenge vachifamba pamwepo, vachiratidza hasha.
ditimanga 	D- 	5 	z 		ditimanga D- z 5 . Iri inhanga rinoshata kuridya.
dititi 	D- 	5 	z 		dititi D- z 5 . Dititi igurusvusvu ravanhu vanenge vachifamba pamwepo. diutiu 5 .
diutiu 	D- 	5 	z 		diutiu D- z 5 . dititi 5 .
