mabadu 	D 	6 	z 		mabadu D z 6 . Mabadu chiitikwa chinofadza, chakanaka. Kumutambo kwaFadzi kwakanga kuri kumabadu. madambu 6, makuwerere 6 .
makwikwi 	DKK 	6 	z 		makwikwi DKK z 6 . makundano 6 .
mambakwedza 	DKKK 	6 	z 		mambakwedza marambakuedza DKKK z 6 . Iyi inguva inenge kunze kwava kuda kuzotanga kuchena.
mambunga 	DKD 	6 	z 		mambunga DKD z 6 . mahwekwe 6 .
mambure 	DKD 	6 	z 		mambure DKD z 6 . Mambure mikosi yakasimba yakarukaniswa, inoshandiswa kubata hove kana mhuka. Kana mukadzi apinda mu mambure anenge achata muchato uya wekupfeka hembe chena.
mamera 	D- 	6 	z 		mamera D- z 6 . Mamera zviyo zvakanyikwa mumvura zvikamera, zvinobikiswa doro kana kuvirisa maheu. chimera 7 .
mamhanzu 	DDK 	6 	z 		mamhanzu DDK z 6 . Mamhanzu upfu hune zvimedu zvakawanda zvechibage kana zvechimwe chinhu zvisina kutsetseka. mabande 6 . Mamhanzu zvipitsi zverukweza kana chimwe chirimwa, zvinowira pasi kana munhu achikuya paguyo. mabande 6 .
mamhepo 	DKK 	6 	z 		mamhepo DKK z 6 . Mamhepo chirwere chinonzi chinokonzerwa nekuroyiwa, chinoita kuti munhu apenge kana kurasa njere. mhepo 9, mweya 3 . Mamhepo kuita zvisina musoro, zvisingatarisirwi nevamwe. Mamhepo chaiwo kuona mwana achituka amai vake.
mamheya 	DKD 	6 	z 		mamheya DKD z 6 . Kana munhu aine mamheya anenge ane makumbo akakombera mukati, achiita mumwe mutsikiro unoteedzera zvakaita makumbo ake. mateya 6 .
mamhororodzi 	DKKDK 	6 	z 		mamhororodzi mamhorodzi DKKDK z 6 . Aya mavara anoonekwa panoerera nekuomera mvura kana misodzi.
maminimini 	D- 	6 	z 		maminimini D- z 6 . Ichi chiititiko chinoshamisa chaizvo. Pakauya vachena muZimbabwe, ziteteguru revaShona, Chaminuka, rinonzi rakaita maminimini risingafi pavaiedza kuriuraya.
mamiriro 	DKKK 	6 	z 		mamiriro DKKK z 6 . Aya maumbirwo kana mataridzikiro anoita chinhu kana wakachitarisa.
mamutsamwoyo 	D- 	6 	z 		mamutsamwoyo D- z 6 . Ichi chinwiwa chinodhaka, chinonwiwa magwanani nemunhu akarara akadhakwa, anenge ane bhabharasi.
mamvaranyanya 	D- 	6 	z 		mamvaranyanya mamvirinyinyi D- z 6 . Kana zvinhu zvakaita mamvaranyanya zvinenge zvakangozara- zara kwese kwese zvakati bvururu.
mamvura 	DKK 	6 	z 		mamvura DKK z 6 . Mamvura munhu anoturikira pakati pevanhu vapenyu nevadzimu. svikiro 5 .
mamvuri 	DKD 	6 	z 		mamvuri DKD z 6 . Mamvuri mweya yakaipa inokonzera urwere, kana kuti anorwara anyanyise kurwara.
man'an'a 	DKK 	6 	z 		man'an'a DKK z 6 . Man'an'a makomba makomba nekakukweshera kanogona kuita pamudziyo wakaita sebwe rekukweshesa muviri.
manainai 	D- 	6 	z 		manainai D- z 6 . Iyi itsika inotaridza kushaya rukudzo chaizvo. Aya maitikiro echinhu nenzira inoshamisa.
manana 	DKK 	6 	z 		manana DKK z 6 . Manana chiitiko chidiki, chinoshamisa dzimwe nguva, chinonzi nevakuru chinoshuridzira kuti zvimwe zvinhu zvikuru zvinoshamisa zviitike mberi. mashura 6 . Kana munhu akakuitira manana anenge akuitira zvimwe zvinhu zvinokutsamwisa, zvichikushaisa chekutaura.
mandionekwe 	DKKKK 	6 	z 		mandionekwe DKKKK z 6 . Uku kuita zvinhu kuti vanhu vagokurumbidza kuti uri shasha. chindionei 7 .
mandiriri 	DKKK 	6 	z 		mandiriri DKKK z 6 . Uku kuita chimwe chinhu zvakanyanya chaizvo, kusvika kwekupedzisira. Pamuchato vanhu vakanga vakachena zvemandiriri.
mandodyachipi 	DKDKD 	6 	z 		mandodyachipi DKDKD z 6 . Uku kuvapo kwezvekudya zvakawanda, zvemhando dzakawanda zvekuti vanhu vanenge vachitoita saruraude.
mandorokwati 	DDDKD 	6 	z 		mandorokwati DDDKD z 6 . Ichi chinhu chaichoicho chisiri chekunyepera.
maneka 	DKD 	6 	z 		maneka DKD z 6 . Kana munhu akakubatisa maneka anenge akuitira zvinhu zvekukuwanzira, zvinokudhina kana kuti zvichakupengesa.
manengeza 	DKKD 	6 	z 		manengeza DKKD z 6 . Ku manengeza ndiko kumucheto kunoperera davi remuti rava kunotepuka.
manera 	DKD 	6 	z 		manera DKD z 6 . Manera zvimiti zvirefu zvakaroverwa pamwe, zvinoita kuti munhu akwanise kukwira pamusoro, zvakaita sepakupfirira imba.
maneto 	D- 	6 	z 		maneto D- z 6 . Maneto kurwadziwa nenhengo dzemuviri mushure mekushanda zvakaomarara. manyaro 6, madendere 6 .
mangai 	DKD 	6 	z 		mangai DKD z 6 . Mangai chibage chakaoma chakatokonorwa chikabikwa. mungai 3, manjewere 6 .
mangamanga 	D- 	6 	z 		mangamanga mhangamhanga D- z 6 . Chinhu che mangamanga chinhu chisina maturo. Paainge ataura zvinhu zvemangamanga, vanhu vazhinji vakabva vasimuka pamusangano ndokuenda.
mangange 	DDK 	6 	z 		mangange DDK z 6 . Kana vanhu vakaita mangange pamakundano vanenge vabuda vakaenzana. jenje 5 .
mangisi 	DKD 	6 	z 		mangisi DKD z 6 . Mangisi idoro richangodirwa rinenge richiri kutapira.
mango 	DK 	6 	z 		mango DK z 6 . mukanwa 3 .
mangondo 	D- 	6 	z 		mangondo D- z 6 . Mangondo inzvimbo inowanika murwizi, ine matombo panopopoma mvura.
mangoromera 	D- 	6 	z 		mangoromera D- z 6 . Uyu mushonga unoshandiswa kupa munhu simba rekuti akwanise kurwa chaizvo nekurova zvibhakera zvinorwadza.
mangwana 	DKD 	6 	z 		mangwana mangwani DKD z 6 . Iri izuva rinotevera nhasi. Mangwana inguva ipi zvayo ichazotevera. Shamwari, ini handidi zvinhu zvinozondinetsa mangwana.
mangwanangwana 	DKKKK 	6 	z 		mangwanangwana mangwananingwanani DKKKK z 6 . Idzi inguva dzemakuseniseni zuva risati rambobuda.
mangwanani 	D- 	6 	z 		mangwanani D- z 6 . Idzi inguva dzekutanga kwezuva kusvika panozotangawo masikati. Izwi rinoshandiswa kumhoresa vanhu munguva dzekunze kuchangoedza.
mangwanjangwanja 	D- 	6 	z 		mangwanjangwanja ungwanjangwanja D- z 6 . Iyi midziyo yasakara inenge yakangoti bvururu pasi yakaita semasimbi emotokari.
mangwanudya 	DKKD 	6 	z 		mangwanudya DKKD z 6 . Iri izuva rinotevera kusweramangwana.
manhede 	DKD 	6 	z 		manhede DKD z 6 . maji 6 . manhendeshure 6 .
manhedzwa 	DDK 	6 	z 		manhedzwa DDK z 6 . Manhedzwa mushonga unopiwa kuvarwi vehondo, kuti nyere kana mabara zvitsvedze, varege kupfurwa.
manhenda 	DDK 	6 	z 		manhenda DDK z 6 . Iri izwi rinoratidza kuti hapana tarisiro yekuti chinhu chichaitika asi kuti ndechokutotenda chaitika. Mombe tsiru manhenda waikama.
manhendashure 	DDKKD 	6 	z 		manhendashure manhendeshure DDKKD z 6 . Uku kufamba munhu achidzokera shure kwawakafuratira. madududu 6, manhede 6 .
manheru 	DDK 	6 	z 		manheru DDK z 6 . Manheru inguva dzinotevera masikati apo zuva rinenge ranyura, kwava kusviba kana kuti kwatosviba. Manheru izwi rinoshandiswa pakumhoresa vanhu nguva dzekunze kwasviba. madekwana 6 . Manheru usiku hwapfuura. madeko 6 .
manhikauka 	D- 	6 	z 		manhikauka D- z 6 . Uku kuisa zvinhu munzvimbo zvisina kuenzanirana. Uku kufamba munhu kana mhuka ichisvetuka-svetuka, ichihwanda, ichinzvenga kubatwa.
manhuchu 	DKD 	6 	z 		manhuchu manyuchu DKD z 6 . Manhuchu chibage chinotswiwa, chozobikwa, chomonwa nedovi, chinodyiwa sesadza kana kunwiswa tii.
manhungetunge 	DKDKD 	6 	z 		manhungetunge DKDKD z 6 . Uku kurwadza kunoita mudumbu, kana munhu adya zvinhu zvakaita sechibage asingatsengi zvakanaka. manhungirwa 6 .
manhungirwa 	DDKK 	6 	z 		manhungirwa DDKK z 6 . Izvi zvirimwa zvakaita semuriwo kana chibage zvinomera pane zvimwe. Ndinoda manhungirwa emuriwo uyu, kuti ndigodyarawo wangu.
manja 	D- 	6 	z 		manja mandya D- z 6 . Manja kuuchira kunoita munhu kana achiremekedza waanenge achitaura naye, kana kutenda.
manjenjenje 	D- 	6 	z 		manjenjenje D- z 6 . Uku kujeka-jeka zvikuru kweruvara. Aya mazirimi emoto anoenda kure.
mano 	D- 	6 	z 		mano D- z 6 . Mano imhangwa kana pfungwa dzinobatsira. mazano 6 . Mano uchenjeri pakuita zvinhu. Kana munhu ane mano anenge ane chitsotsi chekunyengedza kuti atorere vamwe zvinhu zvavo.
manomano 	D- 	6 	z 		manomano D- z 6 . Aya manyepo anorukwa nemunhu kuti awane zvaanoda, vanhu vachiti ichokwadi. mano 6 .
manyaro 	D- 	6 	z 		manyaro D- z 6 . Manyaro kuneta kunonzwa munhu mumuviri mushure mekushanda kana kufamba zvakanyanya. maneto 6, madendere 6 .
manyatera 	D- 	6 	z 		manyatera D- z 6 . Izvi zvipfekwa zvemutsoka zvinowanzogadzirwa nematayi emota asakara.
manyaunyau 	D- 	6 	z 		manyaunyau D- z 6 . Uku kumiramira kunoita bvudzi mumusoro pamusana pekutya. manyau 6 .
manyautsamukanwa 	D- 	6 	z 		manyautsamukanwa D- z 6 . Uku kudya kunoita kuti, kana wakunzwa, unzwe kuda kumwe kudya zvakanyanya.
manyaviri 	DDDK 	6 	z 		manyaviri DDDK z 6 . mapatya 6 .
manyawi 	DDK 	6 	z 		manyawi DDK z 6 . manyemwe 6 . Kana munhu achiita manyawi nekugona kwake, anenge achiratidza kufara kwake nezvaanokwanisa kuita.
manyemwe 	D- 	6 	z 		manyemwe D- z 6 . Manyemwe kuita kwemunhu anoda kuonererwa. manyawi 6 . Manyemwe kuita zvinhu zvekufarisa. Kuita manyemwe kudenha mumwe, uchimuitira zvinosvota.
manyepo 	D- 	6 	z 		manyepo D- z 6 . Manyepo kutaura zvinhu zvisiri zvechokwadi. nhema 10 .
manyerekete 	DKKKK 	6 	z 		manyerekete DKKKK z 6 . Aya mavara mavara anenge ari pahembe. manyezu 6, manyezunyerekete 6 .
manyezu 	DKD 	6 	z 		manyezu DKD z 6 . manyerekete 6 .
manyezunyakata 	DKDDDD 	6 	z 		manyezunyakata DKDDDD z 6 . Aya mamino anenge ari panguo yechikadzi.
manyirinyiri 	D- 	6 	z 		manyirinyiri D- z 6 . Uku kupenyapenya kunoonekwa pamusana pezuva rinenge richipisa. unyirinyiri 14 .
manyoka 	DKK 	6 	z 		manyoka DKK z 6 . Manyoka itsvina yakatetepa kuita mvura, inoburitswa nemunhu anenge achirwadziwa nemudumbu.
manyongori 	DDDK 	6 	z 		manyongori DDDK z 6 . Uku kusawirirana pakati pevanhu vakawanda kunokonzera ruvengo.
manyowa 	D- 	6 	z 		manyowa manowa D- z 6 . Manyowa indove yemhuka kana masora anoiswa mumunda kuti mbeu dzikure zvakanaka. mupfudze 3, mufudze 3 .
manyuchi 	DDK 	6 	z 		manyuchi DDK z 6 . Manyuchi hutapitapi hunowanikwa panoburwa uchi. Manyuchi chirwere chekununa, chinowanzowanikwa parukweza kana kuchipisa, uye mvura isinganayi. Manyuchi kudya kunotapira kunopihwa kumombe.
manyuko 	D- 	6 	z 		manyuko D- z 6 . Manyuko ndipo panzvimbo panotangira rwizi.
manyumwa 	DDK 	6 	z 		manyumwa DDK z 6 . Uku kuva nefungidziro yezvinoda kuitika, fungidziro iyi itori chokwadi.
manyurududu 	DKKKK 	6 	z 		manyurududu DKKKK z 6 . chamunyurududu 7 .
manzvinzvi 	D- 	6 	z 		manzvinzvi D- z 6 . Manzvinzvi chikafu chisina kupera kuzeyiwa, chinowanikwa muura hwemhuka yaurayiwa. mazvizvi 6, matsetsemwa 6 .
manzwira 	DKD 	6 	z 		manzwira mahwira DKD z 6 . Uku kunzwa nyaya iri kutaurwawo nevamwe vanhu, iwe usina chokwadi nezvawanzwa. Kana munhu achiita manzwira anenge achinzwa kunge pane munhu ari kutaura naye kana kudeedzera, ipo pasina.
maodzamwoyo 	D- 	6 	z 		maodzamwoyo D- z 6 . Aya mazwi anosvota anoita kuti munhu apere shungu kana chido mune zvaanga achida kuita.
maodzanyemba 	D- 	6 	z 		maodzanyemba D- z 6 . Iri idivi rekuruboshwe kwemunhu kana akatarisa kunovirira zuva.
maorera 	D- 	6 	z 		maorera D- z 6 . Aya mashizha, uswa nemarara zvinenge zvakaunganidzwa kuti zvizoshandiswa semupfudze kana zvaorera. manyowa 6, kombositi 9 . Uyu munhu anongotora zvinhu zvose asingasarudzi.
maorera 	DDKD 	6 	z 		maorera DDKD z 6 . Uyu munhu akapfava pazviito, asingadi zvekutaudzana nevanhu.
maoresa 	D- 	6 	z 		maoresa D- z 6 . Uku kuita chinhu chakanaka chaizvo zvinotoshamisa nekukudzwa nevamwe vese.
mapangiro 	DDKK 	6 	z 		mapangiro DDKK z 6 . Aya mashuwiro kana kudisisa kwaunoita chinhu chawakagumisira kudya kana kuona karekare.
mapatya 	D- 	6 	z 		mapatya D- z 6 . Mapatya vana vaviri vanozvarwa nguva imwe namai vamwe chete. manyaviri 6, manyambiri 6 .
mapere 	D- 	6 	z 		mapere D- z 6 . Mapere chirwere chinokonzera maronda anongobuda ropa zvisina magumo. maperembudzi 6 .
maperembudzi 	DDDKK 	6 	z 		maperembudzi DDDKK z 6 . mapere 6 .
mapeto 	D- 	6 	z 		mapeto D- z 6 . Mapeto ndekwekupedzesera kwemunda kana nyika. magumo 6 . Mapeto ndekwakagumira chinhu chero chese chese. magumo 6 .
mapezi 	DDK 	6 	z 		mapezi DDK z 6 . Mapezi chirwere chemhezi.
mapfeka 	D- 	6 	z 		mapfeka D- z 6 . Mapfeka kupera kwevhudzi mumativi emusoro.
mapise 	DKD 	6 	z 		mapise DKD z 6 . Iri idoro rechivanhu rakwatiswa kechipiri. muhwiko 3 .
mapitse 	DDK 	6 	z 		mapitse DDK z 6 . makundano 6 .
mapopo 	D- 	6 	z 		mapopo D- z 6 . mapopoma 6 .
mapopopoma 	D- 	6 	z 		mapopopoma D- z 6 . Iyi imvura inoerera ichibva pakakwirira ichiwira pakadzikira. Mapopoma eVictoria Falls ane mukurumbira chaizvo pasi rose. mapopo 6 .
mapudege 	DKDK 	6 	z 		mapudege DKDK z 6 . Uku kudya kunonaka chaizvo. magiribidi 6 .
maputi 	DKD 	6 	z 		maputi DKD z 6 . Maputi chibage chakaoma, chakakangwa kana kuputitswa.
mapwapwapwa 	D- 	6 	z 		mapwapwapwa D- z 6 . Urwu ruzha runobuda panenge pachitsva miti kana sora risina kuoma.
maradzwa 	DKD 	6 	z 		maradzwa muradzwa DKD z 6 . Maradzwa isadza ratonhora rakasara usiku. munya 3 .
marambadoro 	D- 	6 	z 		marambadoro D- z 6 . Uku kushusha kana kunetsa kunoitwa nemunhu kana anwa doro, zvaasingaite kana achinge asina kunwa.
marambakutya 	DDDDK 	6 	z 		marambakutya DDDDK z 6 . Uku kuratidza kwaunoita waunoda kurwa naye kuti haumutyi. Simba akapa Ringi kabhakera kadiki kemarambakutya.
maramwa 	DDK 	6 	z 		maramwa DDK z 6 . Maramwa itsika yekuti mumwe munhu kana akangotsamwa oramba chikafu kana kutaura. chiramwa 7 .
maranga 	D- 	6 	z 		maranga D- z 6 . Maranga zvichena zvinobuda pamativi emaziso kana munhu akavata, kana kuti maziso achirwadza. mabori 6 .
marara 	D- 	6 	z 		marara D- z 6 . Marara zvinhu zvinoraswa nekuti hazvisisina basa. tsvina 9 . Marara mashoko asina maturo. tsvina 9 .
mararo 	DKK 	6 	z 		mararo DKK z 6 . Mararo kupinduka-pinduka kunoita munhu akarara, zvichikonzera kuti abve panzvimbo yaanga akarara pakutanga. mavato 6, mafundo 6 .
marasha 	D- 	6 	z 		marasha marishe D- z 6 . Marasha mazimbe emoto anoshandiswa kudziya kana kuchisa mbatya.
marata 	DKD 	6 	z 		marata DKD z 6 . Marata masimbi anoshandiswa kupfiririsa dzimba, zvikuru dzekona. mazen'e 6 .
mare 	D- 	6 	z 		mare D- z 6 . Mare chinhu chinoitwa zvakanaka kana zvakashata zvakapfuurikidza. Mukomana uya akashura mare paakatuka amai vake. marere 6 .
marehwarehwa 	DKKDK 	6 	z 		marehwarehwa DKKDK z 6 . Aya mashoko kana nyaya dzinenge dzichifambiswa muchivande. hwenya 9 .
marenje 	DKK 	6 	z 		marenje DKK z 6 . mukwerera 3 .
marere 	D- 	6 	z 		marere D- z 6 . mare 6 .
marero 	D- 	6 	z 		marero D- z 6 . Marero chipo chinopihwa munhu anenge arera mwana wemumwe kwemakore. chiredzwa 7 .
marevo 	DKK 	6 	z 		marevo DKK z 6 . Marevo mazwi akaipa anotaurwa nemunhu kune umwe munhu.
mareyamhuru 	DKKDK 	6 	z 		mareyamhuru DKKDK z 6 . Uku kuchinjika kunoita mwana ari mudumbu ramai vake, zvinogona kukonzera njodzi. Ichi chipo chinopiwa nyamukuta anenge abatsira pakusununguka kwemudzimai, zvikuru kana pane zvanga zvichinetsa pabasa racho.
maricho 	DKK 	6 	z 		maricho DKK z 6 . Maricho kushanda kuya kokuti unobva wangipihwa basa rokuti ukaripedza wotobhadharwawo ipapo, asi iwe usiri musevenzi wemazuva ose panzvimbo pacho.
maridzambira 	D- 	6 	z 		maridzambira D- z 6 . Uyu munhu anorova kana kutekenya mbira zvakaoma. gwenyambira 1a .
mariketi 	DKDD 	6 	z 		mariketi DKDD z 6 . Mariketi inzvimbo inotengeserwa mombe kana zvimwewo zvinhu. mareketi 6 .
marimba 	D- 	6 	z 		marimba D- z 6 . Marimba magaba anogadzirwa nemutoo wekuti anoridzika mimhanzi inonakidza. Marimba zviridzwa zvinogadzirwa nezvitanda zvakarongwa zvakachinjika, zvinoti kana zvikarohwa netumiti, maungira acho okudziridzwa nezvakaita zvitende zviri pazasi.
marimwezuro 	D- 	6 	z 		marimwezuro D- z 6 . Iri izuva riri pashure perazuro.
mariro 	D- 	6 	z 		mariro D- z 6 . Mariro inguva yekuchema mufi. rufu 11 .
marongero 	DDKK 	6 	z 		marongero DDKK z 6 . Iyi inzira inoita nayo munhu zvinhu.
maroro 	D- 	6 	z 		maroro D- z 6 . Iyi inzvimbo inonzi inoenda vanhu kunotsvaga mishonga yakasimba, yekushandisa kuvavengi vavo.
marubvurubvu 	DKDKD 	6 	z 		marubvurubvu urubvurubvu DKDKD z 6 . Kana chingwa chakaita marubvurubvu chinenge chakamwararika chisina kunyatsochekwa.
marukusa 	D- 	6 	z 		marukusa D- z 6 . Idzi ihembe dzinotengwa dzakambopfekwa. mazitye 6, mukambo 3 .
marute 	DDK 	6 	z 		marute DDK z 6 . masiriri 6 .
marutsi 	DKD 	6 	z 		marutsi marutse DKD z 6 . Marutsi ndezvinosemesa zvinobuda nemumuromo zvichibva mudumbu mushure mekunge zvambodyiwa.
masairira 	D- 	6 	z 		masairira D- z 6 . masaisai 6 .
masaisai 	D- 	6 	z 		masaisai D- z 6 . Uku kufamba kunoita mvura mudziva kana mhepo ichivhuvhuta kana kuti makandwa ibwe. masairira 6 .
masakadzwa 	DDKD 	6 	z 		masakadzwa DDKD z 6 . Iyi itsika yokukasira kubvarura hembe.
masamba 	D- 	6 	z 		masamba D- z 6 . Masamba mashizha manyoro kana akaomeswa, anoiswa mumvura inovira kuti iite putugadzike.
masanga 	DDK 	6 	z 		masanga DDK z 6 . Masanga kuerekana waona munhu kana chinhu chawanga usina fungidziro yekuti uchaona. mahwekwe 6, mambunga 6 .
masanganiswa 	DDKKD 	6 	z 		masanganiswa DDKKD z 6 . Iri idoro rinowanikwa kana masvusvu nemhanga zvavhenganiswa.
masero 	D- 	6 	z 		masero D- z 6 . chisero 7 .
masese 	D- 	6 	z 		masese D- z 6 . Masese magufu anosara panosvinwa doro. Masese magufu emaheu anosaririra muhari. Masese idoro rechivanhu, kazhinji kana richienzaniswa neremumabhotoro pakutaura.
masetswa 	DDK 	6 	z 		masetswa DDK z 6 . setswa 10 .
mashakada 	DDKD 	6 	z 		mashakada mushagada DDKD z 6 . manhuchu 6 . Ichi chibage chakaoma, chakabikwa chikaiswa munyu. mangai 6, mungai 3 .
mashambanzou 	D- 	6 	z 		mashambanzou mashambazhou D- z 6 . Iyi inguva yemangwanani-ngwanani, zuva risati rabuda.
mashangurapata 	DDKDDD 	6 	z 		mashangurapata DDKDDD z 6 . Urwu rwendo runofamba munhu osvikoshaya zvaanga afambira.
mashazhare 	D- 	6 	z 		mashazhare D- z 6 . mashakada 6 .
mashe 	D- 	6 	z 		mashe D- z 6 . Mashe mashizha kana mauswa anowanikwa mumwena wembeva. marishe 6, marise 6 .
mashiri 	D- 	6 	z 		mashiri D- z 6 . Mashiri imombe inourayiwa parufu kuti vanhu vawane muriwo.
mashiriapungana 	DDDKDDD 	6 	z 		mashiriapungana DDDKDDD z 6 . Kana mukaita mashiriapungana munenge masvikowana vanhu vane basa ravari kuita, imi mobva matobatsiranawo navo.
mashopeshope 	D- 	6 	z 		mashopeshope D- z 6 . Kuenda ku mashopeshope kuenda kun'anga kunobvunzira chikonzero chinenge chauraya mufi. gata 6 .
mashwashwa 	D- 	6 	z 		mashwashwa D- z 6 . Mashwashwa itsinga dzinobatanidza mapfundo emuviri.
masikati 	DKKD 	6 	z 		masikati DKKD z 6 . Iyi inguva iri pakati pemangwanani nemanheru kana zuva rorova nhongonya. Iri izwi rekukwazisa naro vanhu munguva inenge zuva rakwira kusati kwavira.
masiriri 	DKKK 	6 	z 		masiriri DKKK z 6 . Aya mate anoerera pamuromo kana paine chinhu chinonaka chinenge chaonekwa, kana kuti unenge ungori mugariro wemunhu wacho, zvikuru pwere. marute 6 .
masowe 	DDK 	6 	z 		masowe DDK z 6 . Masowe inzvimbo isingagarwi nevanhu kunoenda vatenderi vechipositori kunonamata.
masukauta 	DDDDK 	6 	z 		masukauta DDDDK z 6 . Iyi inhaka yaunopihwa kana kuti yaunofanira kupihwa, semuzukuru kunyanya. Uyu munin'ina kana mwanasikana wehanzvadzi yomudzimai, anopihwa murume watete semukadzi mudiki kana iye aguma kubereka.
masungiro 	DKKD 	6 	z 		masungiro DKKD z 6 . Ichi chirango chinoitwa nemukuwasha paanoendesa mudzimai wake kumusha kuna amai vake, kuti anosunungukira ikoko mwana wekutanga.
masunungurahomwe 	DKKKDKK 	6 	z 		masunungurahomwe DKKKDKK z 6 . Iyi imari inopihwa kuna baba vemusikana nemunyai kuti achivhura homwe yake yemari pakuroora.
masuo 	DKD 	6 	z 		masuo DKD z 6 . Masuo mushonga unopiwa mudzimai ava kuda kupona kuti apone zvisina ngozi.
masutso 	DKK 	6 	z 		masutso matsutso DKK z 6 . Masutso inguva yegore apo zvirimwa zvinenge zvava kuda kudyiwa.
masuvanzombe 	DDDKK 	6 	z 		masuvanzombe DDDKK z 6 . Iri zidimbu resadza rinoumbwa nemunhu pakudya, achiita seanotya kupedzerwa. musovanzombe 3 .
masvinwa 	DDK 	6 	z 		masvinwa DDK z 6 . Masvinwa idoro rava kupera kubikwa, rasanganiswa nemasvusvu.
masvisvinwa 	DKKK 	6 	z 		masvisvinwa DKKK z 6 . Aya makanda kana mhodzi dzinosvipwa kana munhu achidya zvinosvisvinwa muto. Aya magufu kana mafufu anosaririra mukanwa kana munhu achinge anwa masvusvu kana maheu.
masvosva 	D- 	6 	z 		masvosva D- z 6 . mviromviro 10 .
masvukumbwandara 	D- 	6 	z 		masvukumbwandara D- z 6 . Uyu mukwasha akapfava kuvabereki vemukadzi wake.
masvusvu 	DDK 	6 	z 		masvusvu DDK z 6 . Masvusvu ndeanobikwa nemvura yakafashaidzwa nemamera akakuyiwa.
matadza 	D- 	6 	z 		matadza D- z 6 . Matadza ndepanomera mazino ekumashure.
matafanirwa 	D- 	6 	z 		matafanirwa D- z 6 . Iyi imari kana chimwewo chinhu chinopihwa muridzi wechipfeko chinenge chapfekwa nemumwewo munhu, kana chamugara zvekuti anenge ochida iye, saka zvine anenge opa muridzi wechipfeko chimwewo chinhu chekubata.
matakadyakare 	DDKDDD 	6 	z 		matakadyakare DDKDDD z 6 . Iri izwi rinoshandiswa kutaurira munhu kuti zvaakakuitira zvakatopfuura nenguva yazvo, saka haafaniri kuramba achingotarisira kutendwa kana kuitirwawo chimwe chinhu. Matakadyakare haanyaradze mwana.
matakanana 	D- 	6 	z 		matakanana matakanyanya D- z 6 . Aya matambiro anoita vana vachiri vadikidiki vachiteedzera zvinowanzoitwa mudzimba nevakuru, sezvakaita kubika vachitamba nemavhu nemvura. Iri ibasa risina kuita zvakanaka, rinenge raitwa nemunhu mukuru, zvoita kunge dambe repwere.
matakanyadzana 	DDKKDD 	6 	z 		matakanyadzana DDKKDD z 6 . Uku kutsivana kuya kwekubva vanhu mese mashaya anowana chamanga muchinetserana kana kukwikwidzirana. shaisano 9 .
matandanyadzi 	DKDKK 	6 	z 		matandanyadzi DKDKK z 6 . Izvi ndezvinoitwa nemunhu zvekunatsidzira kuti azviburitse mukunyara.
matanho 	D- 	6 	z 		matanho D- z 6 . Matanho urongwa hwezvitevedzwa zvinotorwa kuenzanisa kana kugadzirisa zvinhu.
matapi 	DKK 	6 	z 		matapi DKK z 6 . Matapi idoro rinonwiwa kuti munhu abvise bhabharasi. mamutsamoyo 6 .
matapudzirwa 	DKKDK 	6 	z 		matapudzirwa DKKDK z 6 . Aya mabota anobviswa mupoto iri kubikirwa sadza kuti azoshandiswa kudiramo kana richinge raita dete.
mate 	DK 	6 	z 		mate DK z 6 . Mate imvura inogara mukanwa yatinosvipa.
matekenyandebvu 	D- 	6 	z 		matekenyandebvu D- z 6 . Iyi imari inobvisiswa nemukuwasha pakuroora, yekuripa kuti musikana aitamba nendebvu dzababa achiri mudiki.
matekeshe 	D- 	6 	z 		matekeshe D- z 6 . Uku kupararira kunenge kwakaita vanhu kana mombe panzvimbo hombe. dekeshe 5, dekeshera 5 .
matemahuni 	DKKKK 	6 	z 		matemahuni DKKKK z 6 . Iri idoro rinopiwa kuvanhu vanenge vatsvaga huni dzekubikisa doro racho.
matemhe 	DDK 	6 	z 		matemhe DDK z 6 . Matemhe zvimedu zvinoputsika kubva padende kana damba rakazara.
matenganagudo 	DKKKKD 	6 	z 		matenganagudo DKKKKD z 6 . Ichi chibvumirano pakati pevaviri kuti vanozopanana chii, kana mumwe nemumwe aitira mumwe wacho chimwe chinhu. Chipo naSofi vakaitirana mutenganagudo apo Chipo akati aizopa Sofi hembe kana Sofi amuwachira. mupananawegudo 3 .
materekeshe 	D- 	6 	z 		materekeshe D- z 6 . Uhwu uwandu hwezvinhu munzvimbo kana panzvimbo.
materera 	D- 	6 	z 		materera D- z 6 . Kana wapiwa materera unenge wasarudzwa kuti ndiwe unochengeta vana vomufi. sarapavana 1a . Kana uchitonga materera unenge uri munhu ambofanoiswa pachinzvimbo chamambo afa, kusvikira nguva ichazogadzwa mambo mutsva.
materu 	DKD 	6 	z 		materu DKD z 6 . Materu inzvimbo yakatenukira zasi. ANTONYMS mukwidza 3.
matewo 	D- 	6 	z 		matewo D- z 6 . Matewo kugadzikana kwezvinhu zvese zvichinyatsofamba zvakanaka. Akabvunzwa naambuya vake kuti kuuya kwake aive matewo here, akati hongu paive pasina chakashata kumusha.
mateya 	D- 	6 	z 		mateya D- z 6 . mamheya 6 .
matinji 	DKK 	6 	z 		matinji matinjwi DKK z 6 . Matinji inhengo dzinowanikwa kuzasi kwemukadzi dziri pamativi epanobuda neweti.
matoto 	D- 	6 	z 		matoto D- z 6 . madororo 6 .
