kabayo 	D- 	12 	z 		kabayo D- z 12 . mabayo .
ugombe 	D- 	14 	z 		ugombe D- z 14 . Ugombe kamudziyo kanoshandiswa kuteya shiri, zvokuti shiri yacho inoita zvekuzosungwa nekatambo.
ugororo 	DDKD 	14 	z 		ugororo DDKD z 14 . Iyi itsika yekubira vanhu zvinhu zvavo.
ugoveri 	D- 	14 	z 		ugoveri D- z 14 . Iri isimba rokuchengeta zvinhu zvawapiwa, nokuona kuti zvapiwa wakazvikodzera.
ugovi 	D- 	14 	z 		ugovi D- z 14 . Ugovi idoro rinopiwa munhu, kuri kumutenda kupa vanhu doro kwaanga achiita. rupo 11, upi 14 .
ugugu 	DDK 	14 	z 		ugugu DDK z 14 . Ugugu chiveve chemazino, chinoita kana munhu anyanya kudya magaka kana zvimwewo. uzeza 14, hwadzera 14, rwadzira 11 .
ugwabvu 	DKK 	14 	z 		ugwabvu DKK z 14 . Ugwabvu maitiro ekuramba uchingozvikwenya zvakasimba.
ugwiri 	D- 	14 	z 		ugwiri D- z 14 . Ugwiri kuzvionesera kunoitwa nemunhu akapfuma.
uhedheni 	DKDD 	14 	z 		uhedheni DKDD z 14 . Uyu mugariro wekusava nei nezvechiKristu. MaKristu anoti uhedheni hunoita kuti uende kugomba romoto.
uhurudza 	D- 	14 	z 		uhurudza D- z 14 . Uku kuva murimi akapfuma, anokohwera pakuru. Uhurudza hwakaita kuti awane mukadzi wepiri.
uhwana 	DDK 	14 	z 		uhwana umwana DDK z 14 . Uhwana inguva yekunge munhu achiri mwanana. Kana munhu mukuru achinzi ari kuita uhwana anenge achiita zvinhu zvisina musoro, zvisiri zvezera rake.
uibve 	DKK 	14 	z 		uibve uibvo DKK z 14 . Uibve kukwanisa kudyika komuchero wabva muumbishi, wasvika pakuti wotapira kana kubvira kudyiwa.
uipi 	DKK 	14 	z 		uipi DKK z 14 . Uipi mamiriro kana tsika dzisina kunaka.
ujarijari 	DDKDD 	14 	z 		ujarijari DDKDD z 14 . Aya maitiro emunhu asinganyatsotendeseki, uye asingabatiki paari chaipo.
ujaya 	DDK 	14 	z 		ujaya ujaha DDK z 14 . Ujaya inguva inenge mwanakomana ayaruka zvokuti achiroora hake.
ukadzi 	DKK 	14 	z 		ukadzi DKK z 14 . Ukadzi inguva yokuti munhukadzi anokwanisa kuita vana.
ukama 	DKK 	14 	z 		ukama DKK z 14 . Ukama kuva vamwe chete nokusungana kunovapo pakati pevanhu veropa kana dzinza rimwe kana kuti vakaroorerana.
ukamaruswa 	DKKDK 	14 	z 		ukamaruswa DKKDK z 14 . Uhwu hukama hwokure, hunoitwa zvekutotsvakiridzwa. ukamachibvi 14 .
ukari 	DKK 	14 	z 		ukari DKK z 14 . Kuita ukari kukasika kushatirwa. ukasha 14 .
ukariri 	D- 	14 	z 		ukariri D- z 14 . Uku kuve nechivimbo chekuti zvawakatarisira zvichaitika. chitarisiro 7 .
ukasha 	DKK 	14 	z 		ukasha DKK z 14 . Ukasha maitiro ekushatirwa anoitwa nemunhu kana mhuka. ukari 14 .
ukasvisvi 	DDKK 	14 	z 		ukasvisvi DDKK z 14 . Iri idziva rinenge rakanyanyodzika chose. hwenje 14, bwatiti 14, uivaiva 14 .
ukata 	DKK 	14 	z 		ukata DKK z 14 . Uku kumbova wega panzvimbo. ushoma 14 . Ukata kunzwa usingadi kuita basa. unyope 14 usimbe 14 .
ukatakata 	D- 	14 	z 		ukatakata D- z 14 . Uku kuwanda kwezvinhu zvinenge zvakashanyuka panzvimbo huru. Uku kurara kwemhuka kana vanhu vakawanda, panzvimbo imwe chete yakakura. Uku kukwira kunoita vanhu kana mhuka pakawandiwa.
ukavaya 	D- 	14 	z 		ukavaya D- z 14 . Apa ndepokurara panenge pangogadzirwa chimbichimbi, asi pasina kunaka. hwanyanza 14 .
ukobvu 	DDK 	14 	z 		ukobvu DDK z 14 . Ukobvu kufuta komuviri wemunhu, muti kana mhuka.
ukochekoche 	D 	14 	z 		ukochekoche D z 14 . Uku kupindana-pindana nekubatana kunoita shinda, tambo kana zvimwewo.
ukoma 	D- 	14 	z 		ukoma D- z 14 . Ukoma kuve mukuru pane vamwe vana.
ukomba 	D- 	14 	z 		ukomba D- z 14 . Ukomba kutaridzika kunoyevedza kwemunhu anogona kuzvishambidza. runako 11 . Ukomba kugona kuita zvinhu nomazvo.
ukorondondo 	D- 	14 	z 		ukorondondo D- z 14 . Uku kukwesa, kana kuti kukoma kana kusada kutumwa.
ukosha 	D- 	14 	z 		ukosha D- z 14 . Ukosha kusanzwa zvakanaka kwomuviri womunhu. urwere 14, utenda 14 .
ukotakota 	D- 	14 	z 		ukotakota D- z 14 . Uku kurerekera mberi kunoita vanhu pakusakura kana rimwe basa rinoda kukotama.
ukristu 	DKD 	14 	z 		ukristu DKD z 14 . Ukristu mugariro wokutevedzera tsika dzechikristu, dzinotendera kuti Jesu akazvarwa, akafa nekuzomuka kuti aponese vanhu vese.
ukukutu 	DKKK 	14 	z 		ukukutu DKKK z 14 . Uku kuoma kwepasi. Uku kuva nemuviri neutano hwakanaka. Sekuru vangu vaiva noukukutu hwokugona kufamba vasina mudonzvo, kusvika vave namakore makumi mapfumbamwe okuzvarwa. Uku kuva nemwoyo wakaomarara, wekusada kutsukunura mari.
ukuri 	DDK 	14 	z 		ukuri DDK z 14 . Ukuri madziro omukati memba.
ukuru 	DKK 	14 	z 		ukuru DKK z 14 . Ukuru chinhanho chekunge munhu ayaruka kubva muupwere, ava munhu anozvimirira ega. Mwana asvikirwa nemudzimu apihwa ukuru. Ukuru chinhanho chekuva nemakore akapfuura evamwe. Ukuru chinzvimbo chomunhu ari pamusoro pevamwe kubasa kana mumba. ANTONYMS uduku 14.
ukweguru 	DKKD 	14 	z 		ukweguru DKKD z 14 . Uku kuve munhu akura chaizvo pazera.
uma 	KD 	14 	z 		uma umi KD z 14 . Uma kamwe kakuchenuruka kekunze kakanyanya kanotadzisa kuona kure.
umai 	DKD 	14 	z 		umai DKD z 14 . Umai kuva mubereki wechikadzi. Umai kuva netsika netsitsi, dzinotarisirwa kumadzimai anoremekedzwa muvanhu. Kana vakarera mwanasikana wavo zvine unhu, amai vanobvisirwa mombe yeumai paanoroorwa.
umambara 	D- 	14 	z 		umambara D- z 14 . Uku kuita zvinhu zvisingafadzi vamwe, zvine unhubu mukati. Uku kuita zvaunonyatsoziva kuti hazvidiwi, nechinangwa chekuda kuona kuti unoitwa sei?
umambo 	D- 	14 	z 		umambo D- z 14 . Umambo masimba anouya nechikundya chekutonga nyika nevanhu vayo.
umbavarira 	DKKDK 	14 	z 		umbavarira DKKDK z 14 . Uku kushingirira mune zvaunoita. rusimbiriro 14 .
umbavha 	DDK 	14 	z 		umbavha DDK z 14 . Umbavha itsika yokuba zvinhu zvavamwe nenzira dzakasiyana- siyana.
umberevere 	D- 	14 	z 		umberevere umberembere D- z 14 . Uku kuita zvinhu usingadi kuzivikanwa kana kuonekwa navanhu.
umbimbindoga 	DKKD 	14 	z 		umbimbindoga DKKD z 14 . Aya maitiro kana pfungwa yemunhu anoda kuita zvinhu zvake ega, uye achizviona seanoziva zvinhu zvose.
umbirimi 	DKKD 	14 	z 		umbirimi DKKD z 14 . Uku kuzviita shasha kana nyanzvi pazvinhu zvakawanda.
umbishi 	DKK 	14 	z 		umbishi DKK z 14 . Umbishi kusabvira kudyika kwemuchero kana chibikwa nokuti chinenge chisati chaibva. Kuva neumbishi kuve nounhu hwakaipa, hunoonekwa nokusanzwisisa kana kusada kuudzwa nevamwe. Mwana ane umbishi unomuona nokusamhoresa vakuru.
umboo 	DDK 	14 	z 		umboo DDK z 14 . Kupa umboo kutaura kuti zviri kutaurwa nezvazvo wakazviona zvichitika. uchapupu 14 .
umbozha 	D- 	14 	z 		umbozha D- z 14 . Umbozha magariro emunhu ane upfumi hwakawanda. Vanhu vakapiwa mabhonasi, vanonyepedzera umbozha kwenguva diki diki.
umbururira 	D- 	14 	z 		umbururira D- z 14 . Ava vana vadiki vanenge vakawanda panzvimbo imwe chete.
umbwa 	DK 	14 	z 		umbwa DK z 14 . Umbwa itsika yokuve une tsvina yakanyangara, kana yokuita zvinhu zvinonyadzisa, usina hanya nokuti vamwe vanotii nazvo.
umbwende 	DKK 	14 	z 		umbwende DKK z 14 . Umbwende maitiro emunhu anotya zvakanyanya.
umedu umedu 	DKD+ 	14 	z 		umedu umedu DKD+ z 14 . Izvi zvipandi zvakaita zvidiki, zvinosara panopunzwa zvinhu zvakaita sehari kana mabhotoro.
umhandara 	D- 	14 	z 		umhandara D- z 14 . Iyi inguva inenge mwanasikana ayaruka zvokuti angachiwanikwa hake.
umhandu 	DKK 	14 	z 		umhandu DKK z 14 . Umhandu mweya woruvengo, wokuda kurwadzisa vawaisiwirirana navo.
umharadzi 	D- 	14 	z 		umharadzi D- z 14 . Uyu mweya wekupunza nokuda kukanganisa zvakazvinakira, kuri kuda kuti vanonzwanana vavengane.
umhare 	DKK 	14 	z 		umhare DKK z 14 . Umhare maitiro ekusatya chii zvacho, kunyanya muhondo.
umhengeramumba 	DKKKDK 	14 	z 		umhengeramumba DKKKDK z 14 . Uhwu unhu hwekungopopoterana nekusagarisana zvakanaka nevamwe.
umhizha 	DDK 	14 	z 		umhizha DDK z 14 . Umhizha unyanzvi pabasa rokupfura simbi kuita matemo, mapfumo, mapadza nezvimwewo. Makarekare umhizha hwaipfumisa kana kwaita hondo yaida mapfumo, makano nemiseve.
umhombwe 	D- 	14 	z 		umhombwe umhombo D- z 14 . Umhombwe chido chakapindiridza chekuda kusangana nevakadzi vakasiyana-siyana. Iyi itsika yekurara nomukadzi kana murume wose wose. uhure 14 .
umhondi 	D- 	14 	z 		umhondi D- z 14 . Umhondi kuuraya munhu kana vanhu.
umhuka 	DDK 	14 	z 		umhuka DDK z 14 . Umhuka kuve netsika dzakaipa, dzisina kana neunhu hwese.
umhutu 	D- 	14 	z 		umhutu D- z 14 . Umhutu tombuyu tudikidiki tunosveta ropa revanhu, uye tunokonzera chirwere chemarariya kune dzimwe nzvimbo. utunga 14 .
umunhu 	D- 	14 	z 		umunhu D- z 14 . unhu 14 .
umvana 	DDK 	14 	z 		umvana DDK z 14 . Umvana inguva yokuti mukadzi achiri pazera rokuzvara, abva paumhandara. ubvana 14 .
umwarakatira 	D- 	14 	z 		umwarakatira D- z 14 . Uku kurasa-rasa zvinhu zvakaita zvidiki kumativi ese. umwararira 14 .
umwararira 	D- 	14 	z 		umwararira D- z 14 . umwarakatira .
umwari 	DDK 	14 	z 		umwari DDK z 14 . Umwari kuve munhu akanyorovera, uye aine tsika dzakanaka.
umwekumweku 	D- 	14 	z 		umwekumweku D- z 14 . Uku kugara munhu achinyemwerera.
un'ain'ai 	D- 	14 	z 		un'ain'ai D- z 14 . Uhu unyirinyiri hwemagetsi, marambi kana nyenyedzi dzakawanda. Ukatarisa mudhorobha usiku, unoona magetsi huri un'ain'ai kupfuta.
un'anga 	D- 	14 	z 		un'anga D- z 14 . Un'anga ruzivo rwemishonga, inorapa kana inokuvadza, zvese nekushopera.
un'anyan'anya 	D- 	14 	z 		un'anyan'anya D- z 14 . Uku kukwira kwavanhu kana makudo pakakwirira.
un'arin'ari 	DKKKD 	14 	z 		un'arin'ari DKKKD z 14 . Ichi chiedza chinopenya zvine simba, chinenge chichionekwa chichiti chikabatira chombodzima.
unaki 	D- 	14 	z 		unaki D- z 14 . Unaki kuva netsika nezviito zvakarurama, zvinoyemurwa nemunhu wose.
unaku 	DDK 	14 	z 		unaku DDK z 14 . Unaku kutaridzika zvinoyemurika kwechinhu. runako 11 .
undandanda 	D- 	14 	z 		undandanda D- z 14 . Uku kumira kunenge kwakaita zvinhu zvakawanda zvakatevedzana.
undere 	DDK 	14 	z 		undere DDK z 14 . Undere itsika yokugara munhu akachena, aine utsanana.
underendere 	DDKDK 	14 	z 		underendere DDKDK z 14 . Uku kuramba uri padyo nemumwe munhu nekumutya kana kuti nekuti unomufarira.
undingoveni 	DKDKK 	14 	z 		undingoveni DKDKK z 14 . Uku kuita kokusada kuona vamwe vanhu vachiwana zvinhu, asi kuti zvakanaka zvose zvive zvako wega. Undigoveni hunoshayisa shamwari. chindini 7 .
undonda 	D- 	14 	z 		undonda D- z 14 . Undonda kuve munhu asina kusimba pamuviri, anodhererwa nezvirwere.
undyari 	DKK 	14 	z 		undyari DKK z 14 . Undyari kuita zvinhu zvakaipa uchibudirira, mushure mekunyepera vamwe. ungarara 14, usvinu 14 .
undyire 	DKD 	14 	z 		undyire DKD z 14 . Undyire kufarira kudya zvevamwe mahara. udyire 14 .
ungarara 	D- 	14 	z 		ungarara D- z 14 . Aya maitiro echitsotsi ekuitira vamwe zveujarijari. usvinu 14, udyire 14 .
ungonjongonjo 	D- 	14 	z 		ungonjongonjo D- z 14 . Izvi zvinhu zvakaita zvisimbi kana marata, zvinenge zvakangokandwa pasi. ugwendere-gwendere 14, ungwanjangwanja 14 .
ungoringori 	DKDKD 	14 	z 		ungoringori DKDKD z 14 . Uku kupinda kwenyuchi kana vanhu mune imwe nzvimbo.
ungwandangwanda 	D- 	14 	z 		ungwandangwanda D- z 14 . ungonjongonjo .
ungwanjangwanja 	D- 	14 	z 		ungwanjangwanja D- z 14 . ungonjongonjo .
ungwaru 	DDK 	14 	z 		ungwaru DDK z 14 . uchenjeri 14 .
unhari 	DKK 	14 	z 		unhari DKK z 14 . Unhari kutaurisa komunhu, asingadi kupawo vamwe mukana wokutaura. Unhari kusada kuudzwa, kana kuti kukwesa kunoita munhu anonetsa.
unhavatava 	D- 	14 	z 		unhavatava D- z 14 . Iyi itsika yokusabuda pachena mumafungiro ako uchiita zvinhu zvokunyepedzera.
unherera 	D- 	14 	z 		unherera uterera D- z 14 . Uku kuve mwana akafirwa namai nababa.
unhesva 	D- 	14 	z 		unhesva D- z 14 . Unhesva kutetepa nokupinza kwesimbi nechekwekupedzisira kwayo.
unheva 	DKK 	14 	z 		unheva DKK z 14 . Unheva kushaya simba kwavana vadiki.
unhinhi 	DDK 	14 	z 		unhinhi DDK z 14 . Unhinhi kutira kuya kwemunhu asingateti kana kurwadziwa nekurohwa. Unhinhi itsika yokusada kuita zvinhu uye yokusaterera, uchiita sokuti unoda kuona kuti unogoitwa sei.
unhu 	D- 	14 	z 		unhu D- z 14 . Kuve ne unhu kuve netsika dzinoyemurika pose pose paunenge uri, uri chidadiso nomuenzaniso wakanaka.
unhubu 	DKD 	14 	z 		unhubu DKD z 14 . Unhubu kuita mabasa anonyadzisa asi iwe zvichikufadza. Kuitira tsvina mutsime unhubu hwakanyangara chose.
unhunzvatunzva 	DKDKD 	14 	z 		unhunzvatunzva DKDKD z 14 . Aya maitiro emunhu anoda kuzvimisa-misa pazvinhu zvese, achizviita ndiye muzivi, iye achitokanganisa zvinhu. Aya maitiro emunhu anongotevera vamwe kuita zvisina musoro, iye asingambozvivhunziwo kuti chii chaari kuita.
unonwe 	DDK 	14 	z 		unonwe DDK z 14 . Unonwe inzvimbo, yakaita sebani, inogara ine mvura.
unyai 	D- 	14 	z 		unyai D- z 14 . Unyai kuve iwe unofambisa mashoko pakati pevakuwasha nanatezvara, kunyanya pakuroora. Unyai mubairo unopiwa munhu anenge afambisa nyaya dzekuroorana kwevanhu.
unyan'anya 	DDKD 	14 	z 		unyan'anya DDKD z 14 . Kana zvinhu zvakaita unyan'anya zvinenge zviri zvinhu zvakawanda, zvisina kunyatsorongwa zvakanaka, zvakangoti chimwe apo chimwe apo.
unyanzvi 	DDK 	14 	z 		unyanzvi DDK z 14 . Unyanzvi ruzivo rwakakomba mune chimwe chinhu.
unye 	D- 	14 	z 		unye D- z 14 . Unye tumvere tunoswinya, tunowanika pamichero inenge mapichisi.
unyengedzi 	DKKD 	14 	z 		unyengedzi DKKD z 14 . Aya maitiro omunhu anoda kuwana zvinhu kuvanhu nenzira dzisina kururama.
unyenye 	D- 	14 	z 		unyenye D- z 14 . Unyenye kuwanda kwezvinhu kana kuti vanhu.
unyirinyiri 	DKKKK 	14 	z 		unyirinyiri DKKKK z 14 . Uku kutaima-taima kunokonzerwa nokupisisa kwezuva. manyirinyiri 6 .
unyiriri 	DKKK 	14 	z 		unyiriri DKKK z 14 . Aka kakurwadzirira nekakuteta kanoita nhengo yemuviri yatsikirirwa kwechinguva. Urwu rudzi rekasvosve kadikidiki. Uku kupenya kunooneka nechapamusoro pevhu, kana kuchipisa zvikuru.
unyope 	D- 	14 	z 		unyope D- z 14 . Unyope kusada kuita basa kana kusada kushandisa pfungwa. Farai ane unyope hwekutaura mhinduro mukirasi. usimbe 14, unungo 14, nungo 10 .
unyoro 	DKK 	14 	z 		unyoro DKK z 14 . Unyoro kupfava kunokonzerwa nemvura. Kana pasi paine unyoro hwakanyanya, manzwi anoenda kure. ANTONYMS ukukutu 14. Unyoro kupfava nekunyarara kwakaita vamwe vanhu. Unyoro mwoyochena wokusada kuona anotambura ukasabatsira.
unyumwanyumwa 	DDKDD 	14 	z 		unyumwanyumwa DDKDD z 14 . Aya maitiro ekunge munhu asina pfungwa dzakakwana, achiita zvinhu zvisina musoro.
unyunyu 	DDK 	14 	z 		unyunyu DDK z 14 . Unyunyu tumbuyu tudikidiki tunowanzomhara pazvinhu zvaora kana pamiti. nin'inira 9 .
unzanzanza 	DDKD 	14 	z 		unzanzanza DDKD z 14 . Uku kutaura kusina urongwa, komunhu anenge achiziva kuti akanganisa. Uku kuwanda kwezvinhu panzvimbo imwe chete. MuHarare munonetsa kutsvaga panogara munhu, nepamusana peunzanzanza hwedzimba.
unzenza 	DKK 	14 	z 		unzenza DKK z 14 . Unzenza kuita zvinhu zvisina mwero, zvisingatarisirwi. Ndivanaani vari kuita zveunzenza, zvekungonyinura zvisina basa kuseri kwemba uko? Unzenza kurara nevanhu vakawanda-wanda kunoitwa nemunhurume kana munhukadzi.
upambi 	DKK 	14 	z 		upambi DKK z 14 . Upambi kutorera munhu upenyu hwake kana upfumi hwake, pasina kutaurirana.
upamhi 	DDK 	14 	z 		upamhi DDK z 14 . Upamhi kufara kana kutetepa kunenge kwakaita chinhu. Makumbo edhadha ane upamhi kupinda ehuku.
upanga 	DKK 	14 	z 		upanga DKK z 14 . Upanga ndepanocheka pebanga, chisvo kana zvimwewo.
upangupangu 	DKDKD 	14 	z 		upangupangu DKDKD z 14 . Uku kupakurira chikafu mundiro dzakasiyana-siyana.
uparadzi 	D- 	14 	z 		uparadzi D- z 14 . Uku kukanganisa vanhu vanenge vachiwirirana, uchiita kuti vavengane.
uparidzi 	DKKD 	14 	z 		uparidzi DKKD z 14 . Uku kuverenga bhaibheri nokududzira zvarinoreva.
upengo 	DKK 	14 	z 		upengo DKK z 14 . Upengo ihasha dzinozvionesa nokupopota uye kuda kurwa zvakapindiridza.
upenyu 	DDK 	14 	z 		upenyu DDK z 14 . Upenyu kurarama kwezvinofema. ANTONYMS rufu 11. Upenyu zvinhu zvaunoona nekusangana nazvo pakurarama kwako. Upenyu ikurauone chokwadi nokuti zvimwe zvinhu zvinoitikaka, zvinonetsa kutsanangura!
upenzi 	DKK 	14 	z 		upenzi ubenzi DKK z 14 . Upenzi maitiro emunhu ane pfungwa dzisingatori zvakanaka. Upenzi maitiro ekusakwana kana kungozhangarika. Upenzi hwake hwakamuita kuti atukane naambuya akadhakwa.
upepe 	DKK 	14 	z 		upepe DKK z 14 . Upepe ibvudzi kana minhenga yakarongwa, zvokuti inogona kurara yakatevedza musoro zvakanaka. Upepe indebvu dzinenge dzakareba zvikuru.
upfakapfaka 	D- 	14 	z 		upfakapfaka D- z 14 . Uku kufamba kwavanhu vazhinji kana mhuka pamwe chete. Urwu ruzha runoitwa nemombe dzakawanda kana dzichifamba napauswa hwakaoma.
upfu 	D- 	14 	z 		upfu ufu D- z 14 . Upfu chibage kana imwe mbeu inenge yakagayiwa, zvagayiwa zvacho zvozoshandiswa pakubika sadza, chingwa nezvimwewo.
upfumi 	DK 	14 	z 		upfumi ufumi DK z 14 . Uku kuva nezvipfuyo, midziyo kana mari nezvimwewo zvakawanda. Upfumi hwenyika yeZimbabwe huri mumigodhi nomukurima. ANTONYMS urombo 14.
upfunhambuya 	DDDKD 	14 	z 		upfunhambuya pfunhambuya DDDKD z 14 . Iyi imvura inonaya iri nhete inenge, isingaiti dzvotsvoma. madzihwaehuku 6 . ANTONYMS dzvotsvoma 5.
upfururira 	DKKKK 	14 	z 		upfururira upfururiri DKKKK z 14 . Aya maitiro okuda kuparadza ushamwari pakati pavamwe.
upfuto 	D- 	14 	z 		upfuto D- z 14 . Upfuto tumakonye tunodya miti kana mbeu kusvika zvaora.
upofu 	D- 	14 	z 		upofu D- z 14 . Upofu kutadza kuona kwemaziso emunhu. Upofu urema hwekutadza kuona kana kuziva zvinoitika kwauri, izvo zviri pachena.
upombwe 	D- 	14 	z 		upombwe D- z 14 . umhombwe 14 .
uporofita 	DDDKD 	14 	z 		uporofita DDDKD z 14 . Uporofita kukwanisa kuziva zvakavanzika, zvakaitika, kana zvichaitika.
upristi 	DKD 	14 	z 		upristi upriste DKD z 14 . Uku kuve mufundisi womusvondo.
ura 	D- 	14 	z 		ura D- z 14 . Ura inhengo yomuviri iri mudumbu inenge chubhu, inofamba nekugayirwa chikafu.
urakata urakata 	D- 	14 	z 		urakata urakata D- z 14 . Urwu ruzha rwuri pasi, runoitwa namashizha kana achidonha. Uku kumhanya kunoita mhuka dzakawanda.
urakata-urakata 	D- 	14 	z 		urakata-urakata D- z 14 . Uku kurara kwavanhu kana mhuka zhinji.
urakatira 	D- 	14 	z 		urakatira D- z 14 . urakata urakata 14 .
uramu 	DKK 	14 	z 		uramu DKK z 14 . Uramu ukama huri pakati pemukadzi nevanin'ina nevakoma vemurume wake, kana murume nevanin'ina nevakoma vemukadzi wake.
uranda 	D- 	14 	z 		uranda D- z 14 . Uranda kuva pasi pomumwe munhu anokushandisa nokukutonga zvaanoda, nokuti anenge akakutapa. ubatwa 14, utapwa 14 .
urarami 	D- 	14 	z 		urarami D- z 14 . Uku kuve neupenyu.
urarara 	D- 	14 	z 		urarara D- z 14 . Uku kurerekera divi rimwe chete zvikuru kunenge kwaita mbeu kana zvimwewo, zvavhuvhutwa nemhepo kana nemvura.
uraro 	DKK 	14 	z 		uraro DKK z 14 . Uraro inzvimbo yekurara, inenge iri imba kana kuti chaipo pacho panorarwa mumba.
uredzwa 	DDK 	14 	z 		uredzwa DDK z 14 . Uredzwa imombe kana chimwe chipfuyo chinobviswa nemunhu anenge achengetwa namai vasiri vake, achitenda nyakumuchengeta. Iyi imari inobviswa kupa munhu anenge akuchengetera mwana. chiredzwa 7 .
urefu 	DDK 	14 	z 		urefu DDK z 14 . Urefu kureba kwechinhu chichienda mudenga kana mberi. ANTONYMS upfupi 14.
urema 	DKK 	14 	z 		urema DKK z 14 . Urema kutadza kushandisa dzimwe nhengo dzomuviri dzakaita semaoko kana makumbo, pamusana pekuti akagonya, kana kuti haana kuumbwa zvakanaka. Urema kushaya njere kwemunhu. ufuza 14 .
uremberembe 	D- 	14 	z 		uremberembe D- z 14 . Uku kuwa kunenge kwakaita michero yakawanda. Uku kuturika zvinhu zvakawanda pamutariko kana pamwewo.
uremburembu 	D- 	14 	z 		uremburembu D- z 14 . Uku kubatana kunoita zvinorera seurimbo, namo kana derere.
uremu 	DDK 	14 	z 		uremu DDK z 14 . Uremu kuwanda nekukura kwechinhu. Takatenga upfu hune uremu hwe50 kg.
ureri 	D- 	14 	z 		ureri D- z 14 . Ureri mubairo kana mubhadharo unopiwa munhu sekumutenda kuti akarera mwana mudiki.
urete 	DKK 	14 	z 		urete DKK z 14 . urume 14 .
urevi 	DKK 	14 	z 		urevi DKK z 14 . Urevi kufarira kutaura makuhwa kana kutaura nhema pamusoro pemumwe munhu.
urimbo 	D- 	14 	z 		urimbo D- z 14 . Urimbo muto wakachena somukaka asi uchinamira, unoshandiswa kubata shiri.
urimi 	D- 	14 	z 		urimi D- z 14 . Urimi ruzivo rwekurima mbeu nekupfuya mhuka.
urindo 	D- 	14 	z 		urindo D- z 14 . Urindo inzvimbo yokuzororera kana yokurara. Takavirirwa tiri munzira, tichibva takumbira urindo pane umwe musha watakangoonawo.
uriri 	D- 	14 	z 		uriri D- z 14 . Uriri pasi pemba pakaroverwa, kana nzvimbo inodzurwa nendove yokupurira zviyo. Njiva dzinoteta makoto pauriri. ANTONYMS denga 9.
uriri 	DDK 	14 	z 		uriri DDK z 14 . Uriri ndezvinobaya-baya, zvinowanikwa pamashizha akaita seechibage.
urisi 	DKK 	14 	z 		urisi DKK z 14 . Urisi kufudza zvipfuyo.
urisiro 	DKKD 	14 	z 		urisiro DKKD z 14 . Idzi inzvimbo dzinofudzirwa zvipfuyo.
urodze 	DDK 	14 	z 		urodze DDK z 14 . Urodze ndokunocheka nako nebanga.
uroja 	DKD 	14 	z 		uroja DKD z 14 . Uroja kugara mumba isiri yako, uchibhadhara rendi.
urombe 	D- 	14 	z 		urombe D- z 14 . Urombe kusauka nekungotambura kunogona kukonzerwa nechimwe chikanganiso muupenyu. Urombe hwemurume uyu hwakatanga paakarova amai vake.
urombo 	DDK 	14 	z 		urombo DDK z 14 . Urombo kutambudzika nokuda kokushaya muupenyu. Urombo itsitsi dzinonzwirwa munhu anenge ari pamatambudziko. Tine urombo nemunda wenyu waparadzwa nemombe.
urongetedzwa 	DDKKD 	14 	z 		urongetedzwa DDKKD z 14 . Idzi inhengo dzemishini dzakawanda.
urongo 	DKK 	14 	z 		urongo DKK z 14 . Urongo muto wakagwamba unobuda pamuti wakuvara.
uronyo 	DDK 	14 	z 		uronyo DDK z 14 . Uronyo zvimvura zvichena zvinobuda musikarudzi yemurume, zvine mbeu inogona kuzvarisa mukadzi. urume 14 .
uropi 	DDK 	14 	z 		uropi DDK z 14 . Uropi mutezo uri mumusoro, unotaridzika sezvifuta kana zvinyama zvichena zvakabumbana, unoita kuti munhu akwanise kufunga nekunzwa zvinhu zvakaita semarwadzo, musindo nezvimwewo. urozvi 14 .
urovedzi 	DKKD 	14 	z 		urovedzi DKKD z 14 . Urovedzi kujairira zvimwe zvinhu. Ane urovedzi hwekugadzira motokari.
uroyi 	D- 	14 	z 		uroyi D- z 14 . Uroyi kushandisa mishonga kana zvimwewo zvinokuvadza kana kuuraya. Uroyi mushonga unoshandiswa kukuvadza kana kuuraya munhu. Mambo wakaisirwa uroyi muhwahwa akafuma akafa.
urozvi 	D- 	14 	z 		urozvi uruzvi D- z 14 . uropi 14 .
urubvu 	DKD 	14 	z 		urubvu DKD z 14 . Urubvu zvimedu zvechokudya zvinenge zvadonhera pasi.
urubvurubvu 	DKDKD 	14 	z 		urubvurubvu DKDKD z 14 . urubvu 14 .
urukwa 	D- 	14 	z 		urukwa D- z 14 . Urukwa rudzi rweuswa hunomera mugomo, hunorukiswa zvitseme.
urume 	DKK 	14 	z 		urume DKK z 14 . uronyo 14 .
ururami 	D- 	14 	z 		ururami D- z 14 . Uku kuva neunhu netsika dzinoyemurika.
urwa 	DK 	14 	z 		urwa DK z 14 . Urwa zvimvura zvichena zvakakora, zvinobuda mumaronda anenge ane utachiona.
urwere 	DK 	14 	z 		urwere DK z 14 . Urwere kurwadza kwemuviri.
usabhuku 	DKDD 	14 	z 		usabhuku DKDD z 14 . Usabhuku utungamiri hwemumusha, asi huri pasi paishe.
usadombo 	DKK 	14 	z 		usadombo DKK z 14 . Usadombo kuva nechinzvimbo chokuva mutauri ari pakati pevanoroora nevanoroorerwa. unyai 14 .
usadunhu 	DKDD 	14 	z 		usadunhu DKDD z 14 . Usadunhu kuva namasimba okutonga nzvimbo, ine misha yakawanda, asi uri pasi paishe.
