apo 	D- 		bat 		apo D- bat . Izwi iri rinoshandiswa kuratidza nguva yakaitika chinhu mushure mokunge chimwezve chinhu chaitika. Vana vose vakafara apo vakazomuona mukuru wechikoro.
kocho kocho 	DK+ 		ny 		kocho kocho DK+ ny . Kuti kocho kocho kurira kwezvinhu zvinenge zvichirovana zviri mugaba risina kuzara.
kochomo 	KKD 		ny 		kochomo KKD ny . Kana chinhu chichinzi chakati kochomo chinenge chadonha kubva pakakwirira, kunyanya kubva mumuti.
kochono 	KKD 		ny 		kochono KKD ny . Kuti kochono kusununguka kwezvinhu zvinenge zvakabatanidzwa, kunyanya cheni. ANTONYMS koche.
kodzo kodzo 	DK+ 		ny 		kodzo kodzo DK+ ny . Kuti kodzo kodzo kutenderedza kwaunoita mugoti, uchikurunga kana kumona sadza paunenge uchiribika.
kodzongo kodzongo 	KKD+ 		ny 		kodzongo kodzongo KKD+ ny . Kuti kodzongo kodzongo kuramba uchingokurungira, sezvaungaita kana uchibika sadza. kodzo kodzo .
koko 	K- 	5 	z 		koko K- z 5 . goko .
kokono 	KKD 		ny 		kokono KKD ny . Kuti kokono kukwatura zvinhu zvinenge zvakanamatira zvakasimba.
kokorigo 	DDKD 		ny 		kokorigo DDKD ny . kukurigo .
kokororo 	D- 		ny 		kokororo D- ny . Kuti kokororo kuchema kunoita matatya.
kondoro 	K- 		ny 		kondoro K- ny . Kuti kondoro kuita chinhu seusingadi.
konobho 	DKD 	9 	z 		konobho DKD z 9 . bhatani 5 .
konon'ono 	D- 		ny 		konon'ono D- ny . kunun'unu .
konondo 	DKD 	9 	z 		konondo DKD z 9 . Konondo itsvina inenge yakawanda chaizvo iri pamuviri pomunhu, zvokuti inotosemesa.
korokoro 	KKKD 	9 	z 		korokoro KKKD z 9 . Iyi ihove inogara muhova huru.
koromo 	KKD 		ny 		koromo KKD ny . Kuti koromo kudonhera pasi kwechinhu, chichikunguruka chichibva kwakakwirira.
koshomo 	KKD 		ny 		koshomo KKD ny . Kuti koshomo kurova michero iri mumuti kuti iwire pasi. kuzhumu .
kovho 	KD 	9 	z 		kovho KD z 9 . Kovho muriwo unorimwa, unoreba kuenda mudenga, uchitumbuka maruva eyero kana machena. rugare 11 .
kukurigo 	KKKD 		kanu 		kukurigo KKKD kanu . Kuti kukurigo kurira kunoita jongwe.
kumusoro 	DDKK 	17 	z 		kumusoro DDKK z 17 . Kumusoro kudenga kana kuti kurutivi rwuri kwakakwirira. Kumosoro kudivi renyika kwakatarisa kumaodzanyemba.
kuno 	K- 		nan' 		kuno K- nan' . -no .
kwicho 	KD 		ny 		kwicho KD ny . Kunzi kwicho kungoerekana munhu abatwa pahuro asingazvifungiri. Pavairwa, Ngoni akazongoerekana anzi kwicho pahuro naFarai, zvekuti akanga ototadza nokufema chaiko.
kwiyo 	KD 		ny 		kwiyo KD ny . Kuti kwiyo kuchema kunoita huku.
mabatiro 	DKKK 	6 	z 		mabatiro DKKK z 6 . Aya mashandiro kana maitiro anoita munhu zvinhu.
maberekerwo 	DDKKK 	6 	z 		maberekerwo DDKKK z 6 . Iyi inzira inozvarwa nayo vanhu, zvipuka kana michero. mazvarirwo 6 . Iyi itsika kana maitiro emunhu.
mabhuyo 	D- 	6 	z 		mabhuyo mabhuya D- z 6 . Mabhuyo inyaya dzinenge dzichitauriranwa pakati pevanhu.
mabikiro 	DDKK 	6 	z 		mabikiro DDKK z 6 . Iyi inzira yokuibvisa nayo chibikwa nemoto.
mabiko 	D- 	6 	z 		mabiko D- z 6 . mutambo 3 .
mabviro 	DDK 	6 	z 		mabviro DDK z 6 . mabviriro 6 .
madango 	D- 	6 	z 		madango D- z 6 . Madango ndezvinoitwa kuvanziridza kukanganisa kwemunhu kana zvaanenge achifunga.
madembetedzo 	DKKKD 	6 	z 		madembetedzo DKKKD z 6 . madetembedzo 6 .
madirano 	D- 	6 	z 		madirano madirirano D- z 6 . Iyi inzvimbo inosangana nzizi. madiro 6 .
madongoro 	DKKK 	6 	z 		madongoro DKKK z 6 . mukanwa 3 .
madyo 	DK 	6 	z 		madyo DK z 6 . Madyo mutambo unenge une zvekudya zvakawanda chaizvo. mabiko 6 . Madyo kudya uchikurumidza, sezvinoita munhu anokara. makaro 6 .
madzimbamuto 	D- 	1a 	z 		madzimbamuto D- z 1a . Uyu munhu anotora zvokudya, zvikuru nyama, yakawandisa kupfuura yaanofanira kutora.
madziurachando 	D- 	6 	z 		madziurachando D- z 6 . Iyi imvura inonaya kana chando chava kuda kutanga.
madzoko 	D- 		kanu 		madzoko D- kanu . Iri izwi rinoshandiswa kuchingamidza munhu anenge adzoka kwaanga aenda.
mafaro 	DKD 	6 	z 		mafaro DKD z 6 . Mafaro kunakidzwa kukuru kana kuti kuva muchiitiko chinonakidza kana kufadza zvikuru.
mafidibo 	DKKD 	1a 	z 		mafidibo DKKD z 1a . Mafidibo munhu akashata chaizvo. mafidibori 6 .
mafoyo 	D- 	6 	z 		mafoyo D- z 6 . nhema 10 .
mafundo 	D- 	6 	z 		mafundo D- z 6 . Mafundo kungobadarika-badarika kunoita munhu pakurara. mavato 6, mararo 6 .
mafuro 	D- 	6 	z 		mafuro D- z 6 . Iyi inzvimbo inowana zvipfuyo uswa. ufuro 14 .
magaramwoyo 	D- 	6 	z 		magaramwoyo D- z 6 . Aya mazwi anorwadza nekukododzvora zvikuru. Paakadzingwa basa, akasiya audza vanhu vepabasa pake magaramwoyo.
magariro 	DDKK 	6 	z 		magariro mugariro DDKK z 6 . Iyi itsika inowanzoitwa nemunhu nguva zhinji. maitiro 6 .
magobo 	DDK 	6 	z 		magobo DDK z 6 . Magobo ibasa rekutema miti nekubvisa zvigutswa zvemiti zvakasaririra mumunda unoda kurimwa.
magumiro 	DKKK 	6 	z 		magumiro DKKK z 6 . magumo 6 .
mahohoho 	D- 	6 	z 		mahohoho hohoho D- z 6 . Uku kutaudzana zvikuru kune ruzha mukati. mheremhere 9 .
makako 	DKD 	6 	z 		makako DKD z 6 . Makako mushini wekudhonzesa nawo waya kana kusimudzisa zvinorema. Hembe dzinotakurwa nechikepe dzinotutirwa nemakako. Makako imota inodhonzeswa dzimwe motokari.
makodzero 	DDKK 	6 	z 		makodzero DDKK z 6 . Iyi inzira yekupa mombe kana dzimwe mhuka zvekudya nechinangwa chekuti dzikure.
makorokoto 	DKKKK 	6 	z 		makorokoto DKKKK z 6 . Kuita munhu makorokoto kumupembedza pane zvaanenge aita zvakanaka zvekubudirira, zvakaita sekubatsirwa mwana kana kubudirira mubvunzo kana kupona mutsaona.
makoto 	DKK 	6 	z 		makoto DKK z 6 . Makoto marara anosara panopurwa rukweza, anogona kuzopurwazve kuti turukweza twunenge twasara twudonhe.
makundano 	DKKD 	6 	z 		makundano DKKD z 6 . Uku kumhanya kana kuita chimwe chinhu makawanda, nechinangwa chekuda kuona anogona kudarika vamwe vose. makwikwi 6, mapitse 6 .
makwato 	D- 	6 	z 		makwato D- z 6 . Makwato kudya kumba kusiri kwako, iwe usina kukokwa. maruwo 6 .
mamhepo 	DKK 	6 	z 		mamhepo DKK z 6 . Mamhepo chirwere chinonzi chinokonzerwa nekuroyiwa, chinoita kuti munhu apenge kana kurasa njere. mhepo 9, mweya 3 . Mamhepo kuita zvisina musoro, zvisingatarisirwi nevamwe. Mamhepo chaiwo kuona mwana achituka amai vake.
mamiriro 	DKKK 	6 	z 		mamiriro DKKK z 6 . Aya maumbirwo kana mataridzikiro anoita chinhu kana wakachitarisa.
mamutsamwoyo 	D- 	6 	z 		mamutsamwoyo D- z 6 . Ichi chinwiwa chinodhaka, chinonwiwa magwanani nemunhu akarara akadhakwa, anenge ane bhabharasi.
maneto 	D- 	6 	z 		maneto D- z 6 . Maneto kurwadziwa nenhengo dzemuviri mushure mekushanda zvakaomarara. manyaro 6, madendere 6 .
manomano 	D- 	6 	z 		manomano D- z 6 . Aya manyepo anorukwa nemunhu kuti awane zvaanoda, vanhu vachiti ichokwadi. mano 6 .
manyepo 	D- 	6 	z 		manyepo D- z 6 . Manyepo kutaura zvinhu zvisiri zvechokwadi. nhema 10 .
manyuko 	D- 	6 	z 		manyuko D- z 6 . Manyuko ndipo panzvimbo panotangira rwizi.
maodzamwoyo 	D- 	6 	z 		maodzamwoyo D- z 6 . Aya mazwi anosvota anoita kuti munhu apere shungu kana chido mune zvaanga achida kuita.
mapopo 	D- 	6 	z 		mapopo D- z 6 . mapopoma 6 .
mararo 	DKK 	6 	z 		mararo DKK z 6 . Mararo kupinduka-pinduka kunoita munhu akarara, zvichikonzera kuti abve panzvimbo yaanga akarara pakutanga. mavato 6, mafundo 6 .
marevo 	DKK 	6 	z 		marevo DKK z 6 . Marevo mazwi akaipa anotaurwa nemunhu kune umwe munhu.
maricho 	DKK 	6 	z 		maricho DKK z 6 . Maricho kushanda kuya kokuti unobva wangipihwa basa rokuti ukaripedza wotobhadharwawo ipapo, asi iwe usiri musevenzi wemazuva ose panzvimbo pacho.
marimwezuro 	D- 	6 	z 		marimwezuro D- z 6 . Iri izuva riri pashure perazuro.
mariro 	D- 	6 	z 		mariro D- z 6 . Mariro inguva yekuchema mufi. rufu 11 .
masero 	D- 	6 	z 		masero D- z 6 . chisero 7 .
masimbamundiro 	DDKDKK 	1a 	z 		masimbamundiro simbamundiro DDKDKK z 1a . Uyu munhu anoda zvekungodya, iye asingadi kushanda.
matandamanyoro 	DKKDKK 	1a 	z 		matandamanyoro DKKDKK z 1a . Uyu munhu akasimba achikwanisa kurwa.
matoto 	D- 	6 	z 		matoto D- z 6 . madororo 6 .
maturo 	DKK 	6 	z 		maturo DKK z 6 . Zvinhu zvine maturo zvinenge zvakanaka, kana kuti zvichiyemurika, kana kuti zvichibatsira. Zvawakaita, zvekusiya vana vari vega iwe uchienda kumafaro, ndizvo zvinonzi zvisina maturo chaizvo.
matyo 	DK 	6 	z 		matyo DK z 6 . Matyo kuratidza ugwara. Jona ane matyo ukafamba naye usiku. umbwende 14 .
mauro 	DDK 	6 	z 		mauro DDK z 6 . manheru 6 .
mavambo 	D- 	6 	z 		mavambo D- z 6 . Apa ndepanotangira zvinhu. ANTONYMS magumo 6.
mazvirokwazvo 	DDDKD 	6 	z 		mazvirokwazvo DDDKD z 6 . Zve mazvirokwazvo ndezvazviri chaizvo, pasina kunyepa. Mai vauya zvemazvirokwazvo. chokwadi 7, zvomene 8 .
mbambiro 	D- 	9 	z 		mbambiro D- z 9 . Ichi chinhanho chekutanga pane zvinenge zvichiitwa. mavambo 6 .
mbariro 	D- 	9<10 	z 		mbariro D- z 9 <10 . Mbariro karubande kemuti kanoshandiswa kusimbisa mapango kana nhungo pakanorukanisa nhungo dzacho pamwepo.
mbereko 	D- 	9<10 	z 		mbereko D- z 9 <10 . Mbereko mucheka une mabhandi, wakagadzirirwa kusungirira mwana kumusana kana akaberekwa. Kuva ne mbereko kuva munhu anokwanisa kubereka kana kuti kuzvara vana.
mbiriso 	D- 	9 	z 		mbiriso D- z 9 . Mbiriso upfu hunoshandiswa kufutisa kana kuvirisa zvibikwa. Chingwa chandakabika chafuta nekuti ndakaisa mbiriso.
mbombo 	D- 	9<10 	z 		mbombo D- z 9 <10 . hombiro 9 .
mbongoro 	D- 	9<10 	z 		mbongoro D- z 9 <10 . Mbongoro imhuka inochengetwa, yakada kufanana nebhiza, inoshandiswa nevanhu kutakura zvinhu pamusha. dhongi 5 .
mboro 	K- 	9<10 	z 		mboro K- z 9 <10 . Iyi inhengo yemuviri yemunhurume kana mhuka inoitisa weti nekuburitsa urume.
mbowowo 	DKD 	10 	z 		mbowowo DKD z 10 . mbovha 10 .
mbukuro 	KKD 	9<10 	z 		mbukuro KKD z 9 <10 . Mbukuro ihari inopihwa murume, sabhuku kana ishe sechiratidzo chekuti doro rapera kubikwa, raibva.
mbundo 	K- 	9<10 	z 		mbundo K- z 9 <10 . Mbundo muchinjiziri unosara panenge parimwa negeja. Mbundo michinjiziri inochinjika mumugwagwa, inozokonzera mabhambo kana mopfuura. Mbundo ijira rekodhoro.
mengo 	KD 	9<10 	z 		mengo mango KD z 9 <10 . Mengo muchero unotapira, wakabva kuIndia, unoti kana waibva unenge wakatsvukirira.
mesomeso 	KDDK 	6 	z 		mesomeso KDDK z 6 . Kuita mesomeso kuchiva vakadzi vakawanda kunoita varume, nekuchiva varume vakawanda kunoita vakadzi. ruchiva 11 .
mhando 	D- 	9>10 	z 		mhando D- z 9>10 . Mhando rudzi kana ruvara rwechinhu chose chose. Kune mhando dzemaruva dzakawanda.
mharadzano 	D- 	9 	z 		mharadzano mhararano D- z 9 . Mharadzano ndepanosiyana nzira, imwe yonanga kumwe, imwe kwayowo.
mhararano 	D- 	9>10 	z 		mhararano D- z 9>10 . mharadzamusasa 9 .
mharauro 	KKKD 	9>10 	z 		mharauro KKKD z 9>10 . Mharauro ijira rinosungwa nevakadzi kana vachiita basa remumba. zambiya 5 .
mhatso 	D- 	9>10 	z 		mhatso D- z 9>10 . imba 9 .
mhenderekedzo 	D- 	9>10 	z 		mhenderekedzo D- z 9>10 . Iyi inzvimbo iri kumucheto kwedziva kana rwizi. mahombekombe 6 .
mhenengero 	KKKD 	9 	z 		mhenengero mhengenero KKKD z 9 . Aya mashoko eongororo yechinyorwa. tsoropodzo 9 .
mherekedzo 	KKKD 	9 	z 		mherekedzo KKKD z 9 . gupuro 5 .
mhesano 	D- 	9 	z 		mhesano D- z 9 . mharadzano 9 .
mhesvamukono 	KKDKK 	9 	z 		mhesvamukono KKDKK z 9 . Uyu munhu, kazhinji mbwende, anokonzera kuti vamwe vanhu varwe.
mhiko 	D- 	9>10 	z 		mhiko D- z 9>10 . Mhiko chitenderano chevaviri kana vakawanda. chitsidzirano 7 . Mhiko mutemo unofanirwa kutevedzwa kana munhu achibata mishonga yakasiyana. muko 3 .
mhindo 	D- 	9 	z 		mhindo D- z 9 . Mhindo kusviba kunenge kwakaita kunze, kusina mwedzi kana nyenyedzi. zarima 5 .
mhinduro 	D- 	9>10 	z 		mhinduro D- z 9>10 . Mhinduro chinyorwa kana mutauro unenge uchidavidza zvinenge zvabvunzwa kana kukumbirwa. Ndakakunamatira kuti upore, asi mhinduro yaMwari inononoka.
mhodyo 	KD 		ny 		mhodyo KD ny . Kana imba ikanzi mhodyo inenge yasiyiwa yashama, isina midziyo yatorwa yose.
mhombo 	D- 	9>10 	z 		mhombo D- z 9>10 . mhombwe 9 .
mhopoto 	KKD 	9>10 	z 		mhopoto KKD z 9>10 . bopoto 5 .
mhoro 	D- 		kanu 		mhoro D- kanu . Iri izwi rinoshandiswa pakukwazisa kana kutambira munhu mudiki kwauri, kana kuti wezera rako. kwaziwa, kaziwa, kahiwa .
mhungumuridzo 	KKDKD 	9<10 	z 		mhungumuridzo bungumuridzo KKDKD z 9 <10 . Iyi inyoka huru ine uturu hunouraya inofamba ichishinyira.
mhuro 	K- 	9>10 	z 		mhuro K- z 9>10 . Mhuro ishamhu inoshandiswa pakupura zviyo kana chibage. mupuro 3 .
-mo 	D 		vm 		-mo D vm . Ichi chivakamberi chinomirira chisazita chemupanda 18. Pindamo uone.
mombo 	K- 	9>10 	z 		mombo K- z 9>10 . Mombo igudo gono, hombe.
mondo 	K- 	9 	z 		mondo K- z 9 . Mondo pakati pezai pakaita yero. Mondo kudya kunotapira kunogadzirwa nemonga kana kuti dendende.
mongo 	DK 	3 	z 		mongo DK z 3 . Mongo mafuta anowanikwa mukati memabhonzo. mwongo 9 .
monyoro 	K- 		ny 		monyoro K- ny . Kuti monyoro kuzvongonyoka sezvinoita nyoka.
mopfo 	KD 		ny 		mopfo KD ny . Kuti mopfo kumwechuka kunoita chinhu chakabikwa kana kwechingwa.
moto 	DK 	3 	z 		moto DK z 3 . Moto kubvira kwehuni kana sora kana marasha. mwoto 3 .
moto moto 	DK KD 		dc 		moto moto DK KD dc . Kana zvinhu zviri moto moto zvinenge zvichifamba zvakanaka chose.
mubayamhondoro 	D- 	3 	z 		mubayamhondoro D- z 3 . Uyu muti une minzwa yakareba zvikuru, unogona kuita pamusoro pakati chechetere. muunga 3 .
mubondorokoto 	D- 	3 	z 		mubondorokoto D- z 3 . Urwu rudzi rwemuti unowanzowanikwa panzvimbo dziri pedyo nenzizi kanoita maruva machena pakati pegore.
mubvandiripo 	DDKDK 	1 	z 		mubvandiripo DDKDK z 1 . Uyu mwana wemukadzi waanouya naye paanoroorwa nemumwe murume, asi asiri wababa ivavo.
mubvunzo 	D- 	3 	z 		mubvunzo muvhunzo D- z 3 . Mubvunzo mazwi anotaurwa munhu achida kupihwa mhinduro. ANTONYMS mhinduro 9.
muchecheto 	D- 	3 	z 		muchecheto D- z 3 . Apa ndepaya paunoona pachisangana denga nenyika, kana ukatarisa kunoguma kuona maziso. jengachenga 5 .
muchekameno 	DKKDK 	3 	z 		muchekameno DKKDK z 3 . Uyu mushonga unoita kuti imbwa iite hasha.
mucheto 	D- 	3 	z 		mucheto D- z 3 . Uku kumagumiro kwezvinhu zvakaita senzvimbo, mubhedha kana munda.
muchinjiko 	DKKD 	3 	z 		muchinjiko muchinjikwa DKKD z 3 . Iyi miti miviri yakapesana nechekumusoro, pairoverwa vanhu nemaJudha kana vavapa chirango chorufu. Jesu akaroverwa pamuchinjiko nemaJudha. chipiyaniso 7 . Iyi miti miviri yakapesana. chipiyaniso 7 .
muchiuno 	DDKK 	3 	z 		muchiuno DDKK z 3 . Kuva ne muchiuno kufarira zvekuda kusangana nemurume kana mukadzi zvakanyanyisa, zvisina mwero. Murume wake ane muchiuno zvekuti, akangoona rokwe kupfuura haazokwanisi kugadzikana.
mudhombo 	DDK 	3 	z 		mudhombo DDK z 3 . Mudhombo isoda kana madota emiti anoiswa mufodya yebute kuti ikorongonye mumhuno kana yaputwa.
mudhorofiyo 	DDDKD 	3 	z 		mudhorofiyo DDDKD z 3 . Uyu muti une minzwa mitete inobaya, unomera munzvimbo dzisina mvura yakawanda.
mudido 	D- 	3 	z 		mudido D- z 3 . Kuita mudido kuramba munhu achingodzokera kunzvimbo imwecheteyo kwenguva refu. Jaya rakaita mudido mhiri kwerwizi kwaive kwamuka mhandara yakaritosvora mwoyo.
mudodo 	D- 		pr 		mudodo D- pr . Munhu mudodo ndeeuya ane muviri mutetetete, asina kureba.
mudodo 	DKK 	3 	z 		mudodo DKK z 3 . Mudodo kabwe kana mhodzi inoshandiswa ichikandwa mudenga, pakutamba mutambo wevana wenhodo.
mudyaroro 	DKKD 	3 	z 		mudyaroro DKKD z 3 . Iyi imhando yemuti unoita mashizha akapfava, ane mvere uye ganda gobvu, unowanikwa munzvimbo dzine matombo. mukuhunu 3, mufunuka 3, mutsvedzambudzi 3, chiwirowiro 7 .
mudziyo 	DKK 	3 	z 		mudziyo DKK z 3 . Mudziyo ndechipi nechipi zvacho chinoshandiswa pamusha chakaita sehari, ndiro kana majoki ekurimisa.
mudzonzo 	DKK 	3 	z 		mudzonzo DKK z 3 . Mudzonzo itsika yekuparadza zvinenge zvaitwa nevamwe, apo zvinenge zvava kubudirira.
muenzano 	D- 	3 	z 		muenzano D- z 3 . Aya magariro ekuti vanhu kana zvinhu zvinenge zvakafanana kana, kuti zvichibatwa zvakaenzana, pasina rusarura.
mueresero 	D- 	3 	z 		mueresero D- z 3 . Uyu mupimo wouwandu hunodiwa chaihwo, wakaringana, pasina kushomeka kana kuwandisa.
mufaro 	DKK 	3 	z 		mufaro DKK z 3 . Mufaro manyawi anonzwika nemunhu kana zvinhu zvichimufambira zvakanaka, kana kuti kana pane chakanaka chinenge chaitika. rufaro 11 .
mufero 	DKD 	1>6 	z 		mufero DKD z 1>6 . Uyu mukomana kana jaya rakanyatsopfeka.
mugaragunguo 	DDDKKD 	3 	z 		mugaragunguo DDDKKD z 3 . Iyi imhando yemuti unobereka vana vanodyiwa nevanhu neshiri. murungu 3, musukameno 3, murunganyama 3 .
mugero 	DKK 	3 	z 		mugero DKK z 3 . Mugero igoronga rinocherwa kuti rifambe nemvura, kuitira kudzivirira kukukurwa kwevhu muminda nemumigwagwa.
mugodo 	D- 	3 	z 		mugodo D- z 3 . Mugodo imhando yemuti wakasimba chaizvo, une mashizha makobvu ane mvere, unoshandiswa pakuveza mipinyi. mugoro 3, mupembere 3 .
mugomo 	DKD 	3 	z 		mugomo mugoro DKD z 3 . Mugomo mudziyo wakagadzirwa nesimbi, unoshandiswa kucherera mvura kana kuitisa mamwe mabasa emumba.
mugonyo 	DKD 	3 	z 		mugonyo DKD z 3 . Mugonyo mubato wakamonyoroka, unenge wemukombe.
mugwazo 	D- 	3 	z 		mugwazo D- z 3 . Mugwazo ibasa rinotemerwa vanhu kuti varipedze munguva yakati kuti.
muhobo 	DDK 	3 	z 		muhobo DDK z 3 . mubhanana 3 .
mukambo 	DKK 	3 	z 		mukambo DKK z 3 . Mukambo imbatya dzinotengeswa dzakambopfekwa. mazitye 6 .
mukoho 	D- 	3 	z 		mukoho D- z 3 . Mukoho ndizvo zvinhu zvaunenge wawana pakurima kwaunenge waita mwaka iwoyo.
mukoko 	DDK 	3 	z 		mukoko DDK z 3 . Mukoko mudziyo unovakirirwa kuti nyuchi dzigadzirire uchi mukati macho.
mukombachoto 	DKKDK 	1a 	z 		mukombachoto DKKDK z 1a . Uyu munhu asingabvi pamoto, anongogara ari pachoto kana kuti akadziya moto, kazhinji asina kana nebasa raanoita.
mukombero 	D- 	3 	z 		mukombero D- z 3 . mupendero 3 .
mukongo 	D- 	3 	z 		mukongo D- z 3 . gongo 5 .
mukono 	DKK 	3 	z 		mukono DKK z 3 . Mukono imhuka yechirume. Mukono izwi rinowanzoshandiswa kudaidzwa munhu wechirume akasimba, uye anokunda vamwe vanhu pakurwa.
mukosho 	DKK 	3 	z 		mukosho DKK z 3 . mhata 9 .
mukoto 	D- 	3 	z 		mukoto D- z 3 . Mukoto kanzira kadiki kanenge kari pakati pezvinhu zviviri, zvingava makomo kana dzimba refu refu.
mukwambo 	DKD 	1 	z 		mukwambo DKD z 1 . mukuwasha 1 .
mumengo 	DKD 	3 	z 		mumengo mumango DKD z 3 . Mumengo muti wemuchero unorimwa pamba, unobereka muchero unonzi mengo.
munhondo 	D- 	3 	z 		munhondo mutondo D- z 3 . Munhondo muti wakada kufanana nemusasa, unoita vana vane mhodzi dzingapfuure nhatu, vanonyaudza pakubanzuka kana vaoma.
munongedzo 	DKKD 	3 	z 		munongedzo DKKD z 3 . Uyu munwe wechipiri unoshandiswa pakuratidza zvinoda kuonekwa.
muoko 	DKK 	3 	z 		muoko DKK z 3 . ruoko 11 .
muonekedzo 	D- 	3 	z 		muonekedzo D- z 3 . Izvi ndezvinoitwa pekupedzisira pechiitwa. Pakapera doro, takapiwa hari yemuonekedzo.
mupako 	DKK 	3 	z 		mupako DKK z 3 . mbuva 9 .
mupedzazviyo 	DKKDK 	3 	z 		mupedzazviyo DKKDK z 3 . Iyi inhengo yemuviri inoungana tsvina inobva mudumbu, isati yabuda kunze.
mupengo 	DKK 	3 	z 		mupengo DKK z 3 . Mupengo munhu anenge achirwara nechirwere chepfungwa. benzi 5 .
mupfundo 	DKK 	3 	z 		mupfundo DKK z 3 . mararo 6 .
mupono 	D- 	3 	z 		mupono muponi D- z 3 . Mupono kamutsetse kanoitwa pabhurukwe rechirume, kana maoko ehembe, mushure mekunge zvaainwa.
muposo 	D- 	3 	z 		muposo D- z 3 . Uyu mushonga unoteyeswa munhu nemuvengi, kuti kana asvika obva atanga kurwadziwa.
mupuno 	D- 	3 	z 		mupuno D- z 3 . Mupuno kamuti kanorimwa mubundo, kanoita vana vanoti kana vaibva vanenge vakatsvukirira, vanokangiswa muriwo. mudomasi 3, mutomati 3 .
murayiro 	D- 	3 	z 		murayiro D- z 3 . Aya maitiro anotarwa anofanira kuchengetedzwa. mutemo 3, chirevo 7 .
muridzo 	DKD 	3 	z 		muridzo murudzi DKD z 3 . Muridzo kurira kunobuda nemumuromo kana munhu achifuridza mweya.
murombo 	DDK 	1 	z 		murombo DDK z 1 . Murombo munhu asina kana nekai zvako kaanoti ndekake chaiko, zvinoita kuti agare achitambura. muchena 1 .
muromodungo 	DDDKK 	3 	z 		muromodungo DDDKK z 3 . Uku kuzvimbisa muromo nehasha nenharo. Ukagoita muromodungo kudaro kunge une mwana wako waunogona kuranga, pano iwe mwana wazuro zvake.
murongo 	D- 	1 	z 		murongo D- z 1 . Murongo mudzimai wechipiri wamambo. nhumwa 9 .
muroporopo 	D- 	3 	z 		muroporopo D- z 3 . Ichi chinhu chisisina kusimba, chaita mvura-mvura nekuti chaibvisa kana kuti chaora.
muroro 	DKD 	3 	z 		muroro DKD z 3 . Muroro kamuti kanowanzomera mumapani, kasingarebi, kanobereka maroro.
murororo 	D- 	3 	z 		murororo D- z 3 . muroromera 3 .
mururamiro 	DDKKK 	3>6 	z 		mururamiro DDKKK z 3>6 . Aya magariro anoita vanhu, zvavanodya, zvavanopfeka nezvese zvese zviri maererano neupenyu hwavo.
musananguro 	D- 	3 	z 		musananguro D- z 3 . Uku kuratidza divi rawakarerekera pamaonero nepamaitiro ezvinhu.
musangano 	D- 	3 	z 		musangano D- z 3 . Uku kuungana kunoita vanhu kana pane zvavanenge vachida kukurukura kana kuita. Iri iboka revanhu vanotova nhengo dzine urongwa nechisungo.
musero 	D- 	3 	z 		musero D- z 3 . rusero 11 .
museso 	D- 	3 	z 		museso D- z 3 . feso 5 .
musevenzo 	DKKD 	3 	z 		musevenzo DKKD z 3 . Iri ibasa raunogona kuita pamba, kana kuti uchishandira mumwe munhu. mushando 3, basa 5 .
mushando 	DKK 	3 	z 		mushando DKK z 3 . basa 5 .
mushapiro 	DKKK 	3 	z 		mushapiro DKKK z 3 . Iyi inzira yekunwa nayo zvinwiwa, asi zvine makaro mukati.
musikanyimo 	D- 	3 	z 		musikanyimo D- z 3 . Uyu muti unokuniwa urimbo. mutowa 3 .
musisidzo 	D- 	3 	z 		musisidzo D- z 3 . Iyi inguva inombobvumidzwa mhuru kuti imwe kana munhu achikama, kuti mukaka wemhou uwande muzamu. musiso 3 .
musiso 	D- 	3 	z 		musiso D- z 3 . musisidzo 3 .
musombo 	DDK 	3 	z 		musombo DDK z 3 . gongo 5 .
musongosongo 	D- 	3 	z 		musongosongo D- z 3 . Iyi inyama tsvuku inoreba yakagara pamusoro wejongwe.
musososo 	D- 	3 	z 		musososo D- z 3 . musasa 3 .
musukameno 	D- 	3 	z 		musukameno D- z 3 . Urwu rudzi rwekamuti kadiki kanoshandiswa kusuka meno. mugaragunguo 3, murungu 3 .
musumudzo 	DKKD 	3 	z 		musumudzo DKKD z 3 . Iyi imari inopiwa kuna tezvara panopera zvirango zvewanano, vakuwasha votora mudzimai wavo.
musungahuro 	DKKKD 	3 	z 		musungahuro DKKKD z 3 . Ichi chishongo chemuhuro.
musuo 	DKD 	3 	z 		musuo DKD z 3 . Apa panhu panovhurika nekuvharika panopindwa nokubudiwa napo mumba kana pese pese pakavakirirwa. mukova 3 .
musvongosvongo 	D- 	3 	z 		musvongosvongo D- z 3 . Iri zinhu zirefurefu, rinotyisa.
musvundunyoko 	DDKDD 		kanu 		musvundunyoko DDKDD kanu . Iri izwi rekutuka rakaipisisa rinotoshandiswa kazhinji kana munhu atsamwiswa. musatanyoko .
mutambo 	D- 	3 	z 		mutambo D- z 3 . Mutambo ijira rinopfekedzwa mucheche rakabatwa pachiuno nezvipeneti. munapukeni 9 .
mutandamhuno 	DKKKD 	3 	z 		mutandamhuno mutandamhino DKKKD z 3 . Iri ibhonzo rakamisa mhuno, rinomhanya kubva pakati pemaziso kusvika panoperera mhuno.
mutandarombo 	DKKDK 	3 	z 		mutandarombo DKKDK z 3 . Uyu muti unoshandiswa kubvisa munyama. Uyu muti unoshandiswa kudzinga mweya yakaipa.
