Agasiti 	KDDD 	1a 	z 		Agasiti KDDD z 1a . Iri izita romwedzi wechisere pamwedzi gumi nemiviri yegore. Nyamavhuvhu 1a .
mhondi 	D- 	9>10 	z 		mhondi D- z 9>10 . Mhondi munhu anouraya vamwe vanhu. muurayi 1 .
mhoroi 	DDK 		kanu 		mhoroi DDK kanu . Iri izwi rinoshandiswa kukwazisa kana kutambira vanhu vaviri kana kudarika, kana kuti munhu mumwe chete mukuru kwauri, kana mumwewo waunokudza.
mhotsi 	KD 	9>10 	z 		mhotsi KD z 9>10 . Mhotsi ivhudzi rakamonyana-monyana, turi tupfupi pfupi. Mhotsi ivhudzi rakapeturwa ndokutsindirwa rakati tsvete nemusoro, kazhinji ramboswatudzwa nekurigeza neruredzo.
mhupuri 	KKD 	9>10 	z 		mhupuri KKD z 9>10 . Mhupuri munhu anopa umboo hwezvakaitika. mupupuri 3 .
mhutiputi 	KDKD 	9 	z 		mhutiputi KDKD z 9 . Uku kurira kunenge kuchiita chibage kana chichikangwa.
minisiparati 	KKDKDD 	9 	z 		minisiparati minisipara KKDKDD z 9 . menisiparati .
mirididi 	K- 		ny 		mirididi K- ny . Kuti mirididi kungomira usina chauri kuita.
mirizizi 	K- 		ny 		mirizizi K- ny . Kuti mirizizi kumirira vanhu vakagara kana kuti vari kudya zvisina unhu.
motsi 	DK 	9 	z 		motsi moshi DK z 9 . Motsi inhamba yekutanga. Tinoverenga nhamba tichiti motsi, piri, tatu. poshi 9 .
muapirikoti 	DKDDDD 	3 	z 		muapirikoti DKDDDD z 3 . Uyu muti unobereka vana vanonzi maapirikoti, vadiki vakatenderera vanodyiwa.
mubatidzi 	DKKD 	1 	z 		mubatidzi DKKD z 1 . Uyu munhu anoperekedza muchato. Uyu munhu anobatsira mumwe, kazhinji pakuita basa. Uyu munhu anobatsira fata kana achipinza svondo.
mubereki 	D- 	1 	z 		mubereki D- z 1 . Mubereki ndimai kana baba vanyamunhu vese vese.
mubhishopi 	DKDD 	1>6 	z 		mubhishopi DKDD z 1>6 . Uyu mukuru anoona nezvekufamba kwekereke.
muchairi 	D- 	1 	z 		muchairi mutyairi D- z 1 . Uyu ndeanodhiraivha mota kana bhazi, kana kufambisa mombe pakurima.
muchakata pasi 	DDDD DK 	3 	z 		muchakata pasi DDDD DK z 3 . Aka kamuchakata kadiki, kanokura kachiti ware pasi.
muchakazi 	D- 	1 	z 		muchakazi D- z 1 . Uyu mukadzi kana murume anoperekedza vanenge vachichata. muperekedzi 1, mubatidzi 1 .
muchati 	D- 	1 	z 		muchati D- z 1 . Muchati ndeumwe wevaviri vanobatanidzwa kuti vave mukadzi nemurume.
muchengeti 	D- 	1 	z 		muchengeti D- z 1 . Uyu munhu anoriritira munhu mumwe chete kana vakawanda.
mucheri 	DKD 	3 	z 		mucheri DKD z 3 . Mucheri muti unobereka michero inodyiwa, inenge yakatsvukira kana kusvibirira kana yaibva.
muchochori 	D- 	1 	z 		muchochori D- z 1 . Uyu munhu anochiva zvinhu zvavamwe kuti dai zvaita zvake.
muchoni 	D- 	1 	z 		muchoni D- z 1 . Muchoni munhu anoti kana aenda kwaaenda orovera ikoko, haachadzoki kumusha kune hama nemhuri.
mudanhatsindi 	DDDKK 	3 	z 		mudanhatsindi DDDKK z 3 . Urwu rudzi rwemuti une mudzi unoshandiswa semushonga wemusana uye une mashizha asingaome gore rese.
mudetembedzi 	DKKKD 	1 	z 		mudetembedzi DKKKD z 1 . mudetembi 1 .
mudetembi 	DKKD 	1 	z 		mudetembi DKKD z 1 . Uyu munhu anotaura kana kunyora nhetembo. mudetembedzi 3 .
mudhikoni 	DKDD 	1>6 	z 		mudhikoni DKDD z 1>6 . Uyu munhu mukuru mukuru wechechi, ane masangano akawanda pasi pake. Mudhikoni wesvondo yedu anopa vanotambura zvekudya nekupfeka.
mudhori 	DDK 	3 	z 		mudhori DDK z 3 . chidhori 7 .
mudhumeni 	DDKD 	1>6 	z 		mudhumeni mudhomeni DDKD z 1>6 . Uyu munhu anodzidzisa nekubatsira vanhu maererano nezvekurima nokupfuya zvipfuyo nenzira yakanaka. murimisi 1 .
mudhuri 	DDK 	3 	z 		mudhuri DDK z 3 . Mudhuri chidziro chemba kana chimwewo chivakwa. Mota yamai yakabondereswa pamudhuri wepamba naNyasha.
mudyabveni 	DKKD 	3 	z 		mudyabveni DKKD z 3 . Urwu rudzi rwemuti une mapazi akasvibira, unokora kubva pakati kusvika kumusoro, uye unobuda mukaka. muruguru 3, mudzambara 3 .
mudyambudzi 	DKKK 	3 	z 		mudyambudzi DKKK z 3 . Uyu muti unomera pachuru, unoberaka vana vanodyiwa. musangaoma 3, musosoti 3, mutakunanzva 3 .
mudzani 	D- 	1 	z 		mudzani D- z 1 . Uyu munhu anotamba zvokutsindinyura pasi chaizvo.
mudzi 	D- 	3 	z 		mudzi D- z 3 . Mudzi inhengo yemuti inenge iri muvhu, inopa kudya nemvura kumuti wese kuti ukure. Mudzi mushonga unorapa kana kukuvadza, unocherwa kana kuwanikwa pazvimerwa zvakasiyana-siyana. Nyaviri yaMunya yakapedzwa nemudzi waakagezeswa nawo nambuya.
mudzidzisi 	DKKD 	1 	z 		mudzidzisi DKKD z 1 . Uyu munhu anenge achiraya vamwe pamusoro pezvinhu zvakasiyana-siyana. mufundisi 1, murairidzi 1 .
mueni 	D- 	1 	z 		mueni mweni D- z 1 . Mueni munhu anenge ashanya pamba pevamwe. muenzi 1 .
muenzanisi 	D- 	1 	z 		muenzanisi muenzanise D- z 1 . Uyu munhu anogadzirisa vanhu vanenge vane nyaya dzekukonana.
mufakazi 	D- 	1 	z 		mufakazi mupfakazi D- z 1 . Uyu munhu anotsanangura zvinenge zvaitika, achipa umboo. mupupuri 3, fakazi 9 .
mufambidzani 	DKKKD 	1 	z 		mufambidzani DKKKD z 1 . Iyi ishamwari yepamwoyo, yaunotamba nayo mazuva ese.
mufanawembudzi 	DKDKDD 	3 	z 		mufanawembudzi DKDKDD z 3 . Aka kamuti kanokura munzvimbo nyoro munenge munine uswa uzhinji, kane mashizha anovava zvekuti huyai muone. Tiri vadiki taishinhirwa nevakomana vakuru kumombe tichidyiswa mufanawembudzi.
mufarikani 	DKKKD 	1 	z 		mufarikani DKKKD z 1 . Uyu munhu asina munhu waanovenga, anofarira munhu wese.
mufeyi 	DKK 	1 	z 		mufeyi DKK z 1 . Mufeyi munhu anotsvaga-tsvaga umboo hwakakwana panyaya inenge iri kunetsa. mutikitivha 1 .
mufi 	DK 	1 	z 		mufi DK z 1 . Mufi munhu anenge ashayika. ANTONYMS mupenyu 1.
mugayisi 	DKKD/D- 	1 	z 		mugayisi DKKD/D- z 1 . Mugayisi munhu anokuyira vanhu mbesa dzavo mumuchina.
mugori 	DKD 	1a 	z 		mugori DKD z 1a . Mugori kamunhu kane utsotsi. Ukasangana namugori usingazivi taundi, anokutsotsa mari yose.
mugoti 	DKD 	3 	z 		mugoti DKD z 3 . Mugoti chimuti chakavezwa chiine kumberi kwakapamhamama, chinoshandiswa pakubikisa.
muguzibheri 	DKDDD 	3 	z 		muguzibheri DKDDD z 3 . Uyu muti unobereka vana vanonzi maguzibheri vanodyiwa vakadaro kana kugadziriswa jemhu. muguzvuveri 3 .
muhabhurosi 	DKDDD 	3 	z 		muhabhurosi mumabhurosi DKDDD z 3 . Uyu muti unobereka vana vanodyiwa vakadaro, uye vanogona kugadziriswa jemu, vanenge vari vadiki, vari vatsvuku vasati vaibva, vozosvibira kana vaibva. muhingi 3 .
muhingi 	DKD 	3 	z 		muhingi DKD z 3 . muhabhurosi 3 .
muimbi 	DKK 	1 	z 		muimbi DKK z 1 . Muimbi munhu anoita basa rekuimba.
mujakari 	DKKK 	3 	z 		mujakari DKKK z 3 . Uyu muriwo unomera mumunda munguva dzezhizha. musemwasemwa 3 .
mukadheti 	DDKD 	1a>6 	z 		mukadheti DDKD z 1a>6 . Uyu munhu anenge achiri kudzidzira basa. Mukadheti wechipurisa anotora mwedzi mitanhatu achidzidzira basa.
mukotosi 	D- 	1 	z 		mukotosi D- z 1 . Uyu munhu ane makaro, anotarisira kupihwa doro nevanhu vaasingawanzonwa navo.
mukurungai 	DKKDD 	1 	z 		mukurungai DKKDD z 1 . Uyu mubereki wemuroora wako, kana kuti vabereki wemukwasha wako.
mumhanzi 	D- 	3 	z 		mumhanzi D- z 3 . Mumhanzi mutinhimira unobva mukuimba kwevanhu nekurira kwemagitare, ngoma, mbira nezvimwewo. dhindindi 5 .
mumvuri 	DKD 	3 	z 		mumvuri mubvuri DKD z 3 . Mumvuri pasi pemuti kana pechimwewo panenge pasingarovi miranzi yezuva nekuti rinenge rakadzikatirwa. Ngatigarei pamumvuri mubereri remba, tichikurukura zvedu.
munachisi 	DKDD 	3 	z 		munachisi DKDD z 3 . Uyu muti unogara une mashizha akasvibira, wakaita semuranjisi, unobereka michero inotapira inonzi manachisi.
munanazi 	DKDK 	3 	z 		munanazi DKDK z 3 . Uyu muti unorimwa nevanhu, unobereka michero inonzi zvinanazi.
mungezi 	DKD 	1 	z 		mungezi DKD z 1 . muchena 1 .
munhengeni 	DKKD 	3 	z 		munhengeni DKKD z 3 . mutsvanzva 3 .
munhuhwi 	DDK 	3 	z 		munhuhwi munhuwe, munhuhwi DDK z 3 . Munhuhwi mweya unobva pane chimwe chinhu uchipinda mumhuno dzako.
mununudzi 	D- 	1 	z 		mununudzi D- z 1 . Uyu munhu anonopatsanura vanenga vachirwa kuti varegere.
munwidzani 	DKKD 	1 	z 		munwidzani DKKD z 1 . Uyu munhu waunofamba naye muchinonwa doro mese, kana kuti munhu waunofarira kunwa naye kapfuko kababa vemusha, kana pabikwa doro.
munyangadzi 	DKKD 	1 	z 		munyangadzi DKKD z 1 . Uyu munhu anoita zvinhu zvakashata. mutadzi 1 .
munyarikani 	DKKKD 	1 	z 		munyarikani DKKKD z 1 . Uyu munhu akaita saambuya kana mukuwasha wako, waunopa rukudzo rukuru chaizvo zvekuti haudi kumuitira zvinhu zvisina unhu.
munyengeri 	DKKD 	1 	z 		munyengeri munyengedzi DKKD z 1 . munyengedzi 1 .
munyii 	DKK 	3 	z 		munyii DKK z 3 . Munyii muti unomera nzvimbo dzisinganyanyonaya mvura, unobereka vana vane mhodzi dzakaomarara, vanotapira.
muongorori 	DKKKD 	1 	z 		muongorori DKKKD z 1 . Uyu munhu anotarisa nekutsoropodza zvakaita sezvinyorwa.
mupambadzi 	DKKD 	1 	z 		mupambadzi DKKD z 1 . Uyu munhu anofamba achingotaura twose twose netwaasingafanirwi kutaura.
mupambi 	DKK 	1 	z 		mupambi DKK z 1 . Mupambi munhu anorwisa nzvimbo kana nyika nehondo, oitora, oitonga pachake achiita yake. mupambepfumi 1 .
mupani 	DKD 	3 	z 		mupani mupane DKD z 3 . Mupani muti une mwoyo wakasimba chaizvo, unoti kana chiri chirimo unooma mashizha, wotozoita mashizha zvakare kana mvura yanyatsonaya. musaru 3 .
mupepi 	DKK 	1 	z 		mupepi DKK z 1 . Mupepi munhu anenge achichengetedza mumwe anenge achirwara.
mupesvedzeri 	DKKKD 	1 	z 		mupesvedzeri DKKKD z 1 . mupesveri 1 .
mupesveri 	DKKD 	1 	z 		mupesveri DKKD z 1 . mupesvi 1 .
mupfudzi 	DKK 	1 	z 		mupfudzi DKK z 1 . Mupfudzi munhu anoita kuti vanodanana varambane.
mupfukidzi 	DKKD 	1 	z 		mupfukidzi DKKD z 1 . Uyu munhu anoparadza upfumi hwaainhwo nenzira dzisina kunaka.
mupfuti 	D- 	3 	z 		mupfuti D- z 3 . Mupfuti muti unopfumvudza kana mvura yava kuda kunaya, unowanzosvuurwa makavi anosungiswa dzimba pakuvaka, kana kugadzirisa tambo.
mupikiti 	D- 	1 	z 		mupikiti D- z 1 . Uyu munhu anoongorora vashandi pamabasa akasiyana-siyana.
mupingiri 	DKKD 	1 	z 		mupingiri DKKD z 1 . Uyu munhu anomhanyira kuvharidzira zvinhu mberi.
mupipiri 	DKKKD 	1 	z 		mupipiri DKKKD z 1 . Mupipiri munhu anochengetedza vamwe. Pataiva kumombe, redu Gwinyai ndiro raiva mupipiri wedu.
mupirikiri 	DKKKD 	1 	z 		mupirikiri DKKKD z 1 . muturikiri 1 .
mupirutsi 	D- 	1 	z 		mupirutsi D- z 1 . Uyu munhu anokonzera bongozozo pakati pevanhu. Munhu ane makuhwa mupiritsi.
muponesi 	DKKD 	1 	z 		muponesi muponisi DKKD z 1 . mununuri 1 .
mupoteri 	DKKD 	1 	z 		mupoteri DKKD z 1 . Uyu munhu anobva munyika yake achihwanda kune imwe, achitiza hondo kana mhosva dzaanenge achinzi akapara kunyika kwake.
mupupuri 	DKKD 	1 	z 		mupupuri DKKD z 1 . Uyu munhu anokwanisa kutaura chokwadi chaicho chezvinenge zvakaitika, kana chezvinenge zvichitaurwa.
murairidzi 	D- 	1 	z 		murairidzi D- z 1 . mudzidzisi 1 .
murapanuri 	DKKKD 	1 	z 		murapanuri DKKKD z 1 . Uyu munhu anopa dudziro yechirahwe.
muraramisi 	D- 	1 	z 		muraramisi D- z 1 . muponesi 1 .
murari 	DDK 	3 	z 		murari DDK z 3 . Murari zvinhu zvaunenge uchireva asi usingadi kubuda pachena. muzvambarara 3 .
mureri 	D- 	1 	z 		mureri D- z 1 . Mureri munhu anochengeta mwana kubva achiri mudiki kusvika akura, asiri iye nyakubereka. Mureri munhu anosevenza basa rekuchengeta vana, iye achitambiriswa.
murevi 	DKK 	1 	z 		murevi DKK z 1 . Murevi munhu ane makuhwa, anotaura zvinhu zvaanenge asingafaniri kutaura.
muridzi 	D- 	1 	z 		muridzi D- z 1 . Muridzi wengoma ndiye anenge achiibandamura.
murimi 	D- 	1 	z 		murimi D- z 1 . Murimi munhu anorarama nekurima mbeu kana nekupfuya zvipfuyo zvakasiyana-siyana.
murindi 	D- 	1 	z 		murindi D- z 1 . Murindi munhu ane basa rekuchengetedza nzvimbo kana vanhu.
muriritiri 	DKKKD 	1 	z 		muriritiri DKKKD z 1 . Munhu anochengeta vanhu vasati vava kugona kuzvimiririra vega muupenyu achivapa zvekudya, zvekupfeka nezvimwewo.
murisi 	DKK 	1 	z 		murisi DKK z 1 . Murisi munhu anofudza mombe.
murudzi 	D- 	1 	z 		murudzi D- z 1 . Murudzi munhu wekune imwe nyika, asiri muShona.
murumbi 	D- 	1 	z 		murumbi D- z 1 . murungu 1 .
murumudzani 	DKKKD 	1 	z 		murumudzani DKKKD z 1 . Uyu mwana waamai vako waunenge wakazvarwa naye muchiteverana. mutevedzani 1, buda ndibudewo 1a .
muruviri 	D- 	1 	z 		muruviri D- z 1 . Uyu munhu anoshandira mumwe kuti agobhadharwa.
murwi 	D- 	1 	z 		murwi D- z 1 . Murwi munhu anoenda kuhondo kunodzivirira nyika yake, kana imwewo nyaya inenge ichirwirwa. Murwi zvinhu zvinenge zvakaunganidzwa panzvimbo imwe. Tsotsi rakawanikwa riine murwi wemaredhiyo emota mudura mehozi. dutu 5 .
murwisi 	D- 	1 	z 		murwisi D- z 1 . Murwisi munhu anouya achida kukurova kana kukutorera zvaunazvo.
musari 	DKD 	3 	z 		musari DKD z 3 . Musari zvinyamanyama zvinotsvedzerera, zvinobudirana pamwe nemhuru ichangozvarwa. bvuo 5, musana 3, mushapato 3 .
musevenzi 	DKKD 	1 	z 		musevenzi DKKD z 1 . Uyu munhu anenge achiita basa pamba kana pakambani, achibhadharwa. mushandi 1 .
mushambadzi 	DKKD 	1 	z 		mushambadzi mushambadziri DKKD z 1 . Uyu munhu anotengesa zvinhu mungava munzira, mubepa kana muwairesi.
mushandi 	DKK 	1 	z 		mushandi DKK z 1 . musevenzi 1 .
mushangazhiki 	D- 	1 	z 		mushangazhiki D- z 1 . Uyu munhu anoita basa nesimba uye achitaridza kufarira basa rake.
mushingi 	DKK 	1 	z 		mushingi DKK z 1 . Mushingi munhu anozvipira mumatambudziko, uye asingadzokeri shure nhando mune zvaada kuita.
mushini 	DKD 	3 	z 		mushini DKD z 3 . muchini 3 .
mushopwi 	D- 	1 	z 		mushopwi D- z 1 . Mushopwi munhu anenge arasikirwa nezvinhu zvake zvose.
mushumairi 	DKKKD 	1 	z 		mushumairi DKKKD z 1 . Uyu munhu anodudzira nekutsinhira shoko raMwari, kunyanya pagungano revanamati.
musikavakadzi 	DDDDKK 	3 	z 		musikavakadzi DDDDKK z 3 . Iyi mishonga inoita kuti vasingazvare vakwanise kuzvara.
musimboti 	D- 	3 	z 		musimboti D- z 3 . Iri ibango rinodzimikirwa pakati pemba painenge ichiturikirwa denga. mbiru 9 . Ichi chinhu chinomisa upenyu hwemunhu kuti hufambe zvakanaka. Mari ndiyo musimboti weupenyu hwamazuva ano.
musinzwi 	DKK 	1 	z 		musinzwi DKK z 1 . Musinzwi munhu asingateereri zvaanoudzwa nevamwe.
musodzi 	DKD 	3 	z 		musodzi DKD z 3 . Musodzi imvura inobuda mumaziso kana munhu achiseka kana kuchema.
musokeri 	D- 	1 	z 		musokeri D- z 1 . Uyu munhu anogara kunyika isiri yechizvarirwa chake.
musori 	DKK 	1 	z 		musori mushori DKK z 1 . Musori munhu anoongorora zviri kuita vamwe kana veimwe nyika, kuti agonoudza vakuru vake.
musosahwai 	D- 	3 	z 		musosahwai D- z 3 . Uyu muti unoita hunde, wakaomarara, unosevenzeswa kusoseresa ruzhowa.
musumi 	DKK 	1 	z 		musumi DKK z 1 . Musumi munhu anogamuchidza mashoko pakati pevanhu vaviri, kana vanodarika.
musvisvi 	DKD 	3 	z 		musvisvi DKD z 3 . musvi 3 .
mutakati 	D- 	1 	z 		mutakati D- z 1 . Uyu munhu anoroya kana kuuraya vanhu achishandisa mushonga. muroyi 1 .
mutambiri 	DKKD 	1 	z 		mutambiri DKKD z 1 . Uyu munhu anoita basa rekugamuchira vanhu vanenge vachisvika pamutambo kana pahofisi.
muteereri 	D- 	1 	z 		muteereri D- z 1 . Uyu munhu anenge achinzwa zvinenge zvichitaurwa muredhiyo kana mutiivhii.
muteketerwi 	DKKKD 	1 	z 		muteketerwi DKKKD z 1 . Uyu munhu anenge achiremekedzwa, anopirwa mashoko kubva kuvanhu vaanotonga kana vedzinza rake, akaita samambo kana mudzimu.
mutendi 	D- 	1 	z 		mutendi D- z 1 . mutenderi 3 .
mutengi 	DKK 	1 	z 		mutengi DKK z 1 . Mutengi munhu anobhadhara mari kana zvimwe, kuti apiwe zvaanenge achida muchitoro kana kune vanotengesa.
mutiti 	D- 	3 	z 		mutiti mutete D- z 3 . Mutiti muti wakasimba unovezwa ngoma nezvigaro. munhimbiti 3 .
mutitinini 	D- 	3 	z 		mutitinini D- z 3 . Uku kufamba kwemunhu asina kupfeka. Uku kurara kwemunhu asina kufuga jira. Kuita mutitinini kumira kuti twi kunoita mhuka yemunhurume.
mutongi 	DKK 	1 	z 		mutongi DKK z 1 . Mutongi munhu anoongorora nyaya dzedunhu, kana nyika achienzanisa vanhu.
mutsakwani 	D- 	6 	z 		mutsakwani matsakwani D- z 6 . Uyu mupfudze wemasora nemashizha, zvinenge zvakadonhera zvega pasi. murakani 3 . Aya mauswa kana mashizha akaorera, anoiswa pazvirimwa semanyowa. murakani 3, hwakwani 9 .
mutsambatsi 	DDDK 	3 	z 		mutsambatsi DDDK z 3 . Uyu muti unomera kunyanya pazvuru mumapani, usingaendi mudenga, unobereka tuvana tunoibva twakasvibira.
mutsatsati 	DKKD 	3 	z 		mutsatsati DKKD z 3 . Uyu muti unowanzomera kumakomo, unoita hunde, waivezeswa masasa nevakuru vakare nekuti haudyiwe nemuchenje.
mutsinhiri 	D- 	1 	z 		mutsinhiri D- z 1 . Uyu munhu anenge achibvumirana nezvinenge zvichitaurwa. Uyu munhu anoimba achibvumira anenge atanga rwiyo. mubvumiri 1 .
mutswiri 	D- 	3 	z 		mutswiri muswiri D- z 3 . Mutswiri kambeva kane muromo murefu, kanogara pasi kachiitira vana muuswa hwakapfava. muchuchu 3 .
mutumbi 	DDK 	3 	z 		mutumbi mutumbu DDK z 3 . Mutumbi muviri wemunhu akafa. chitunha 7 .
muturikiri 	DKKKD 	1 	z 		muturikiri DKKKD z 1 . Uyu munhu anoita basa rekupindura zvinhu zviri mune mumwe mutauro achizviisa mune mumwe. Basa remuturikiri rinoda munhu anenge achinyatsonzwisisa zvikuru mitauro inenge ichidiwa, kuti zvinhu zvibude zvakanaka.
muturiri 	DKKD 	1 	z 		muturiri DKKD z 1 . Uyu munhu anopira nyaya mudare.
mutuvi 	DKK 	3 	z 		mutuvi DKK z 3 . Mutuvi imvura inovavira, inobuda mumukaka unenge wakora.
mutyairi 	D- 	1 	z 		mutyairi D- z 1 . Uyu munhu anofambisa zvinhu zvine mavhiri zvakaita semotokari nengoro kana ndege. mutekenyi 1, dhiraivha 1a .
muutsi 	DKK 	1 	z 		muutsi DKK z 1 . mufudzi 1 .
muuyi 	DKK 	1 	z 		muuyi DKK z 1 . Muuyi munhu anobva kune imwe nzvimbo achisvikogara munyika isiri yake.
muvaki 	DKK 	1 	z 		muvaki DKK z 1 . Muvaki munhu anoita basa rekumisa dzimba kana zvimwe zvinhu achishandisa zvidhina kana zvimwewo zvinhu. Muvaki munhu ane pfungwa nemazano zvinobatsira vamwe vanhu.
muvambi 	D- 	1 	z 		muvambi D- z 1 . Muvambi munhu anotanga kuita chinhu. mushauri 1 .
muvaravandi 	DKKKD 	1 	z 		muvaravandi DKKKD z 1 . Uyu munhu anoita zvinhu zvake muchivande.
muverengi 	D- 	1 	z 		muverengi D- z 1 . Uyu munhu anoita basa rekuverenga zvinhu zvakaita senhau muwairesi.
muvharadhongi 	DDDDK 	3 	z 		muvharadhongi DDDDK z 3 . Iyi ihembe kana jira remangamanga.
muvhimi 	DKK 	1 	z 		muvhimi DKK z 1 . Muvhimi munhu anotsvaga nekuuraya mhuka dzemusango dzichidyiwa nyama. hombarume 1a .
muvi 	DK 		pr 		muvi DK pr . Munhu muvi munhu ane zvitadzo kana anokanganisira vamwe.
muvuki 	DKK 	1 	z 		muvuki muuki DKK z 1 . Muvuki munhu anogona kuona zvichaitika. mufemberi 1 .
muwadzanisi 	D- 	1 	z 		muwadzanisi D- z 1 . Uyu munhu anoita kuti vanhu vabatane nekunzwanana. muyananisi 1 .
muwi 	D- 	3 	z 		muwi D- z 3 . musha 3 .
muyananisi 	D- 	1 	z 		muyananisi D- z 1 . muwadzanisi 1 .
muyapi 	DKK 	1 	z 		muyapi DKK z 1 . Muyapi munhu anobatsira vamwe.
muzavazi 	D- 	1 	z 		muzavazi D- z 1 . Uyu munhu anotaura zvikuru, asingazorori.
muzhangani 	DKKD 	3 	z 		muzhangani DKKD z 3 . Aya mazhanje aunowana akadonhedzwa nemhepo usingazvifungiri.
muzhangariki 	D- 	1 	z 		muzhangariki D- z 1 . Uyu munhu akangwarisa anogara achitaura zvisina kufanira.
muzinindi 	D- 	3 	z 		muzinindi D- z 3 . Muzinindi kuoma musoro kana kusadzokera shure. ushindindi 14, ushwindi 14 .
muzumbani 	DDKK 	3 	z 		muzumbani muzimbani DDKK z 3 . Muzumbani kamuti kadiki kanogadziriswa putugadzike, kana mushonga unogona kurapa chikosoro. sumba 9, zumbani 5 .
muzuwi 	D- 	1 	z 		muzuwi muzuhwi D- z 1 . Muzuwi munhu anotaura chaizvo, kazhinji achizvirumbidza.
mvi 	K 	9 	z 		mvi K z 9 . Mvi ivhudzi jena rinoita mumusoro memunhu, kazhinzi kana munhu akura.
Mwari 	DK 	1a 	z 		Mwari DK z 1a . Mwari ndiye mweya mukuru, akasika denga nepasi, uye ndiye anoraramisa vanhu nezvipuka. Musiki 1a, Musikavanhu 1a, Nyadenga 1a, Samatenga 1a .
mwi mwi 	K- 		ny 		mwi mwi K- ny . Kuti mwi mwi kunyarara, iwe uchitarisirwa kuve une mashoko pane nyaya inenge ichikurukurwa.
n'ai 	KD 		ny 		n'ai KD ny . Kuti n'ai kupenya kwekamwenje kwenguva pfupi, asi kupenya kwacho kuchisvika kure.
nachisi 	KDD 	5 	z 		nachisi KDD z 5 . Nachisi kamuchero kanenge ranjisi, asi iko kari kadiki zvishoma.
nai nai 	KD+ 		ny 		nai nai KD+ ny . Kuti nai nai kufamba zvishoma zvishoma sezvinoita rwaivhi. nanai nanai .
nanai nanai 	KKD+ 		ny 		nanai nanai KKD+ ny . Kuti nanai nanai kufamba kwemunhu akaneta kana anorwara.
nanavi 	D- 		ny 		nanavi D- ny . Kuti nanavi kutambanudzira ruoko kune chimwe chinhu.
nanazi 	KDK 	5 	z 		nanazi KDK z 5 . Nanazi muchero wakarebenuka, unotapira, une kunze kwakaomarara kwakasvibira.
narini 	KDD/DKD 		dc 		narini nariini KDD/DKD dc . Iri izwi rinoshandiswa kureva nguva inotevera kusvikira nekusingaperi. Uyu mukadzi ane mwoyo wakanaka chaizvo, zvekuti ndichagara ndichimukudza narini.
nariti 	KDD 	9>10 	z 		nariti KDD z 9>10 . tsono 9 .
ndandi 	DK 	9>10 	z 		ndandi ndande DK z 9>10 . Ndandi ichubhu inovedzengwa, inozoshandiswa pakusungisa zvinhu kana kupfura zvinhu zvakaita seshiri. rekeni 9 .
ndari 	DK 	9 	z 		ndari DK z 9 . Ndari idoro rokutengesa rinobikwa kumaruwa. ngome 9 .
ndarumanegotsi 	DKKDKD 	9>10 	z 		ndarumanegotsi DKKDKD z 9>10 . Iyi imhando yemhashu inodyiwa.
ndiki 	KD 		pr 		ndiki KD pr . diki .
ndikusi 	KKD 	9 	z 		ndikusi KKD z 9 . Ndikusi imhando yeshiri.
ndori 	D- 		ny 		ndori D- ny . Kuti ndori kugutsurira nemusoro kwemunhu anenge ane hope.
nduri 	D-/K- 				nduri D-/K- . nhetembo 9>10 .
ndwi 	K 		ny 		ndwi K ny . Kuti ndwi kutswinya zvinyoronyoro asi zvichirwadza.
ndwizi 	DK 	10 	z 		ndwizi DK z 10 . nzizi 10 .
nedzoi 	DKK 		kanu 		nedzoi nedzo DKK kanu . Nedzoi izwi rinoshandiswa pakubata maoko kuvamunhu afirwa. nematambudziko .
nei 	KD 		bvunz 		nei KD bvunz . Nei izwi rinoshandiswa pakubvunza munhu kuti aitirei zvacho zvaanenge aita. Waenda kunotamba nei, ini ndanga ndati usaenda? ngenyi, sei .
nekiresi 	KDDD 	9 	z 		nekiresi KDDD z 9 . Ichi chishongo chinopfekwa muhuro.
nekuti 	DKD 		bat 		nekuti DKD bat . nokuti .
neni 	DK 	1a 	z 		neni DK z 1a . Neni munhukadzi anoita basa rekurera mwana.
nesi 	KD 	1a 	z 		nesi KD z 1a . mukoti 1 .
nevanji 	KDK 	1a 	z 		nevanji KDK z 1a . Nevanji mwana wekutanga mumhuri, zvikuru mwanakomana. Nevanji mwana wamambo waanoda kupinda vamwe vose.
nezvokuti 	KDKD 				nezvokuti KDKD . nezve- .
ngandi-i 	DK 				ngandi-i DK . Kuti ngandi-i kutarisa munhu kana chinhu, pameso pako pachiratidza kurasika kune zviri kuitika.
ngazi 	DK 	9 	z 		ngazi gazi DK z 9 . ropa 5 .
ngezani 	DKK 	5 	z 		ngezani DKK z 5 . Ngezani zvuma zvakakura zvinopfekwa nevakadzi sechishongo.
ngezvokuti 	KDKD 		kanu 		ngezvokuti KDKD kanu . nezvokuti .
ngindi ngindi 	K- 		ny 		ngindi ngindi K- ny . Kuti ngindi ngindi kuridza ngoma ichiburitsa ruzha runoenderana nemazwi iwawa.
ngiri ngiri 	K- 				ngiri ngiri K- . Kuti ngiri ngiri kurira kwerunhare.
ngoi 	DK 	9 	z 		ngoi DK z 9 . mukosi 3 .
ngosi 	K- 	9>10 	z 		ngosi K- z 9>10 . Ngosi munhu anotungamirira nezvamagariro evanhu mudunhu. mudzviti 1 .
nguri 	KD 		dc 		nguri KD dc . kubvira .
