ba 	D 		ny 		ba D ny . Kuti ba kukaruka waona zvawanga usingafungiri. Pandakangoti ba kuona bhinya, ndakamhanya kunge ndichadambura gumbo.
kakarara 	D- 		ny 		kakarara D- ny . Kuti kakarara kusimuka zvishoma zvinoratidza chiremera.
kakashu 	D- 		ny 		kakashu D- ny . Kuti kakashu kurara kwomunhu akafa. kabu, kungunya . Kuti kakashu kuzara komudziyo wokutakurisa sezvakaita mugomo kana saga. Saga ranga rakati kakashu nezviyo.
kakashu 	KKD 		ny 		kakashu KKD ny . Kuti kakashu kudambura chinhu chakaomarara nemazino.
kakau 	KKD 		ny 		kakau KKD ny . Kuti kakau kuruma nokudhonza kwaunoita uchidambura nyama yakaomarara kana kuti runda.
kakava 	KKD 		ny 		kakava KKD ny . Kuti kakava kuita nharo dzokusada kunzwa zvinofungawo vamwe.
kambasha kambasha 	D- 		ny 		kambasha kambasha D- ny . Kuti kambasha kambasha kunanaira pakufamba, sezvinoita kamba.
kambu 	DK 		ny 		kambu DK ny . Kuti kambu kudya neminwe uchikurumidza. Ingoti kambu kambu nhopi iyi, yapora. Kuti kambu kuseva muriwo wakawandisa.
kamhi 	DK 		ny 		kamhi DK ny . Kuti kamhi kutadza kufamba zvakanaka nokuda kokuteta kwaunenge uchiita kutsika pasi kana wakakuvara gumbo.
kamu 	KD 		ny 		kamu KD ny . Kuti kamu kutapudza zvinhu zvishoma.
kan'a 	KD 		ny 		kan'a KD ny . Kuti kan'a kuramba chinhu zvachose. Murume akati kan'a kuramba kugezesa mwana.
kanan'ana 	K- 		ny 		kanan'ana K- ny . Kuti kanan'ana kutarisa chinhu kwenguva refu uchichiongorora. Kuti kanan'ana kurambisisa chinhu nomwoyo wose.
kandu 	DK 		ny 		kandu DK ny . Kuti kandu kupotsera chinhu nechimbichimbi.
kangai 	D- 		ny 		kangai D- ny . Kuti kangai kuva noruvara rwuri pakati poupfumbu nokutsvukirira. kangavi . Kuti kangai kutsvukirira komuchero woda kuibva. Maroro angoti kangai haasiyiwi nembeva. kangavi .
kangai 	KKD 		ny 		kangai KKD ny . Kuti kangai kuvarairwa zvokusafunga nokuona zviri kuitika. Takazoti kangai poto yamangai yatsva.
kanganda kanganda 	KKD+ 		ny 		kanganda kanganda KKD+ ny . Uku kufamba kuno mutsindo, sekwenzou kana zimhuka rakasimba.
kanganya kanganya 	KKD+ 		ny 		kanganya kanganya KKD+ ny . Kuti kanganya kanganya kufamba uchienda nedivi, kana kuti uchidududza kudzokera shure, zvishoma zvishoma. Dzimwe nguva waiona zimombo regudo richifamba nedivi kuti kanganya kanganya. Kuti kanganya kanganya kufamba komunhu anozvitatamura achiratidza kuzvida.
kangara 	K 		ny 		kangara K ny . Kuti maziso kangara kuabudisa uchidzvokora, kana kuti wavhunduka. wetsu .
kangavi 	D- 		ny 		kangavi D- ny . kangai .
kangaya kangaya 	DDK+ 		ny 		kangaya kangaya DDK+ ny . Kuti kangaya kangaya kufamba uchiita sounoteta kutsika pasi.
kanha 	KD 		ny 		kanha KD ny . Kuti kanha kuratidza kushamisika zvikuru nechiitiko. Pavakaona mwana azvarwa aine tumazino mukanwa, vanyamukuta vakangoti nazvo kanha. kanhama .
kanhama 	KKD 		ny 		kanhama KKD ny . Kuti kanhama kuratidza kushamisika zvikuru, kazhinji uchitoshama muromo, uye wakaudyura maziso. Shoko rokufa kwake rakatisiya takangoti kanhama. kanha .
kanu 	KD 		ny 		kanu KD ny . Kuti kanu kuratidza kushamisika kana kurohwa nehana.
kanyan'anya 	D- 		ny 		kanyan'anya D- ny . Kuti kanyan'anya kukwira kusvikira pamusorosoro.
kanyu 	DK 		ny 		kanyu DK ny . Kuti kanyu kudya chikafu nokukurumidza, kazhinji zvichiratidza kukara. Mushonga unovava tinongoti kanyu kumedza tisati tavahwa.
kanyu 	KD 		ny 		kanyu KD ny . Kuti kanyu kuparadzanisa makumbo zvakanyanya, kazhinji iwe wagagara. Kana uchiti kanyu unenge uchisakura zvine simba.
kanzva 	D- 		ny 		kanzva D- ny . dzva .
kapu 	KD 		ny 		kapu KD ny . Kuti kapu kutarisisa washamiswa kana kuti paine zvauri kutarisira.
karakata 	D- 		ny 		karakata D- ny . kata .
kase 	D- 		ny 		kase D- ny . Kuti kase kuburitsa mweya unonhuwa. Unonzwa kuti kase, kana munhu asingagezi akapfuura napamberi pako.
kashu 	D- 		ny 		kashu D- ny . Kuti kashu kuzara kunenge kwaita saga kana homwe yapakirirwa nezvinhu. shaku .
kasvata 	D- 		ny 		kasvata D- ny . kasva .
katabvu 	KKD 		ny 		katabvu KKD ny . Kuti katabvu kucheka zvakadzika muganda kana munyama. nye-e .
katai katai 	KKD+ 		ny 		katai katai KKD+ ny . kanganya kanganya .
katanu 	KKD 		ny 		katanu KKD ny . Kuti katanu kubvisa zvipfeko pamuviri. Akati nhumbi katanu, ndokupinda mumagudza. Kuti katanu kubvisa chipfeko kana jira, parinenge rabatira paminzwa kana pawaya. kumu .
katu 	KD 		ny 		katu KD ny . Kana moto wambenge uri mushoma ukazoti katu , unenge wangotanga kupfuta wakawanda kupinda zvawanga uchiita. ANTONYMS ngandu.
katyama 	KKD 		ny 		katyama KKD ny . katya .
kayaya 	D 		ny 		kayaya D ny . farara .
kazhu 	KD 		ny 		kazhu KD ny . Kuti kazhu kukuya kana kuti kugaya zvisina kutsetseka.
ke 	D 		ny 		ke D ny . Kuti ke kurira kunoita mucheka kana kuti jira, richitsemuka zvishomanene kana kubvaruka.
ke ke ke-e 	D- 		ny 		ke ke ke-e D- ny . Kuti ke ke ke-e kutsemuka kunoita jira, richienderera zvishoma nezvishoma.
ke ke ke-e 	K- 		ny 		ke ke ke-e K- ny . Kana munhu achinzi ati ke ke ke-e anenge aseka kwechinguvana nezwi riri pamusoro, sezviya zvinoitika pachikwee. ka ka ka-a .
keke-e 	K- 		ny 		keke-e K- ny . ke ke ke-e .
kekechu 	KKD 		ny 		kekechu keketyu KKD ny . Kuti kekechu kun'en'ena chinhu chakaoma sezvakaita bvupa.
kekerere 	K- 		ny 		kekerere K- ny . Kuti kekerere kukweva chinhu chakareruka chisingaremi chichiita ruzha runongwaudza. kukururu .
ketu ketu 	DK+ 		ny 		ketu ketu DK+ ny . Uku kuverenga zvinhu uchiita chimwe chimwe, sezvaungaita mari yemapepa. Akabva anzi ketu ketu mari yake yose, kwaa kutoipuwa ipapo.
kibi 	KD 		ny 		kibi KD ny . Kuti kibi kuzora kana kuti kudira zvakapfurikidza. Marwei wacho akanga akati mafuta kumeso kibi, hanzi ndiyo cheno. Muroora akabva ati sauti kibi mumuriwo, vanhu vakange vachatadza kuudya.
kicha 	KD 		ny 		kicha KD ny . Kuti kicha kubatana kunoita vanhu vava kutanga kuita mutsimba.
kichi 	D- 		ny 		kichi D- ny . kibi . Kuti kichi kubatwa kungaitwa chimwe chinhu, chakochekera pambambo kana pamwewo pakadaro. haka .
kikirikiti 	D- 		ny 		kikirikiti D- ny . kikiriri .
kikiriri 	K- 		ny 		kikiriri K- ny . Kuti kikiriri kurwisa zvakasimba, uchiita mutsimba nomumwe munhu.
kindi kindi 	KD+ 		ny 		kindi kindi KD+ ny . Kuti kindi kindi kurira kunoita ngoma.
kindingu kindingu 	DDK+ 		ny 		kindingu kindingu kindingi kindingui DDK+ ny . Uku kurira kunoita ngoma yakati kurei. kindi kindi .
kiri kiri 	K- 		ny 		kiri kiri K- ny . Kuti kiri kiri kupurururudza kunenge kuchiita munhu kana afara chaizvo.
kirikiti 	D- 		ny 		kirikiti D- ny . Kuti kirikiti kusvetuka uchidzika pasi kubva panzvimbo pakakwirira. jiti .
kiye 	KD 		ny 		kiye KD ny . Kuti kiye kutenderedza kamwana kesimbi yokuvharisa muna mai vako kuti musuo usavhurike. ANTONYMS kiyinu.
ko 	D 		ny 		ko D ny . Kuti ko kurira kunoita chinhu chinenge chatemwa kana kuroverwa. Kana ukarova mugomo nechimuti unorira kuti ko. Kuti ko kurira kwetyava. ko-o .
ko-o 	D 		ny 		ko-o D ny . ko .
kobo 	DK 		ny 		kobo DK ny . Kuti kobo kurira kunoita chinhu chidiki kana chakandwa mumvura. kobvo .
kobodo 	D- 		ny 		kobodo D- ny . Kuti kobodo kushama kunoita mudziyo kana usisina chawakatakura. kwabada .
kobvo 	DK 		ny 		kobvo DK ny . kobo .
kobvo kobvo 	DK+ 		ny 		kobvo kobvo DK+ ny . Kuti kobvo kobvo musindo unonzikwa kana munhu achifamba mumadhaka, kana kuti aine majobho ane mvura.
kocho kocho 	DK+ 		ny 		kocho kocho DK+ ny . Kuti kocho kocho kurira kwezvinhu zvinenge zvichirovana zviri mugaba risina kuzara.
kochomo 	KKD 		ny 		kochomo KKD ny . Kana chinhu chichinzi chakati kochomo chinenge chadonha kubva pakakwirira, kunyanya kubva mumuti.
kochono 	KKD 		ny 		kochono KKD ny . Kuti kochono kusununguka kwezvinhu zvinenge zvakabatanidzwa, kunyanya cheni. ANTONYMS koche.
kodzo kodzo 	DK+ 		ny 		kodzo kodzo DK+ ny . Kuti kodzo kodzo kutenderedza kwaunoita mugoti, uchikurunga kana kumona sadza paunenge uchiribika.
kodzongo kodzongo 	KKD+ 		ny 		kodzongo kodzongo KKD+ ny . Kuti kodzongo kodzongo kuramba uchingokurungira, sezvaungaita kana uchibika sadza. kodzo kodzo .
koi koi 	KD+ 		ny 		koi koi KD+ ny . Uku kutamba-tamba kwechiuno kunoita mukadzi kana murume pakurarana. kodi kodi .
kokoda kokoda 	KKD+ 		ny 		kokoda kokoda KKD+ ny . Uku kufamba kwemunhu anenge akapfeka gogo.
kokono 	KKD 		ny 		kokono KKD ny . Kuti kokono kukwatura zvinhu zvinenge zvakanamatira zvakasimba.
kokorigo 	DDKD 		ny 		kokorigo DDKD ny . kukurigo .
kokororo 	D- 		ny 		kokororo D- ny . Kuti kokororo kuchema kunoita matatya.
-kombwe 	D 		ny 		-kombwe D ny . Kana chinhu chakati kombwe chinenge chakatenderera, asi chisina kuzoita denderedzwa rakazara.
kon'a 	KD 		ny 		kon'a KD ny . Kuti kon'a kuramba kupa rubatsiro kana wakumbirwa.
kondoma 	KKD 		ny 		kondoma KKD ny . Kuti kondoma kungogara munhu asina zvaari kuita, akafundumwara. Paanyimwa mari, abva abuda akandoti kondoma pamadziro apo.
kondoro 	K- 		ny 		kondoro K- ny . Kuti kondoro kuita chinhu seusingadi.
kongonya kongonya 	KKD+ 		ny 		kongonya kongonya KKD+ ny . Kuti kongonya kongonya kufamba munhu achiratidza kuti anozvitutumadza, uye kuti hapana chaanotya.
konon'ono 	D- 		ny 		konon'ono D- ny . kunun'unu .
korofi korofi 	DDK+ 		ny 		korofi korofi DDK+ ny . Kuti korofi korofi kusakura munhu achiratidza kuti ane usimbe.
koromo 	KKD 		ny 		koromo KKD ny . Kuti koromo kudonhera pasi kwechinhu, chichikunguruka chichibva kwakakwirira.
koshomo 	KKD 		ny 		koshomo KKD ny . Kuti koshomo kurova michero iri mumuti kuti iwire pasi. kuzhumu .
kotsi 	K- 		ny 		kotsi K- ny . Kuti kotsi kugutsirira musoro kwemunhu ari kubatwa nehope.
kudubu 	KKD 		ny 		kudubu KKD ny . Kuti kudubu kudonha zviya zvekungoerekana munhu atowira pasi. Misheki akatsika ganda rebhanana, ndiye kudubu negotsi.
kuhumu 	KKD 		ny 		kuhumu KKD ny . Kuti kuhumu kudonhedza michero yakawanda kubva mumuti nguva imwe. Mhepo yakauya yakawanda chaizvo, zvekuti yakasiya yati mazhanje kuhumu, pasi rakata. Kuti kuhumu kubva kana kukwatuka kwechinhu changa chakavhara kana kuti chakanamira.
kukururu 	K 		ny 		kukururu K ny . kekerere .
kunduma 	KKD 		ny 		kunduma KKD ny . Kuti kunduma kungogara munhu akafundumwara, asingatauri. Ukagoti kunduma wakanditarisa ndini ndati utukwe here?
kuno 	K- 		nan' 		kuno K- nan' . -no .
kunun'unu 	KDDD 		ny 		kunun'unu KDDD ny . Kuti kunun'unu kushushikana mupfungwa pamusoro pedambudziko raunenge uinaro.
kunyungu kunyungu 	DDK+ 		ny 		kunyungu kunyungu DDK+ ny . Kuti kunyungu kunyungu kutamba munhu achitambisa chiuno, achichimonamona.
kushu 	D- 		ny 		kushu D- ny . Kuti kushu kurara kwemunhu akaneta, anongoita zvekuzvikanda ozongokotsira akadaro.
kutu 	K- 		ny 		kutu K- ny . Kuti kutu kudeura zvinhu zvaunenge wakatakura.
kutu-u 	D- 		ny 		kutu-u D- ny . Kuti kutu-u kunhuwa zvinovharirira kwese kwese, zvikuru mushure mekunge munhu asura.
kutunu 	KKD 		ny 		kutunu KKD ny . Kuti kutunu kubvisa hembe uchikanda uko. Bheni akaratidza kuti ashatirwa, paakasimuka ndokuti kutunu hembe achibowa.
kwabu 	KD 		ny 		kwabu KD ny . Kuti kwabu kuvhura chinhu nechisimba. Kuti kwabu kubvisa chinhu nechisimba pachinenge chakanamirwa.
kwabvu 	KD 		ny 		kwabvu gwabvu KD ny . gwabvu .
kwacha kwacha 	D- 		ny 		kwacha kwacha D- ny . Kuti kwacha kwacha kuita ruzha kunoita simbi dziri kubonderana. Patakanzwa pagedhe kuti kwacha kwacha, takabva taziva kuti mbavha dziya dzakange dzadzoka zvakare. kweche kweche .
kwachanu 	KKD 		ny 		kwachanu KKD ny . Kuti kwachanu kuparadzanisa zvinhu zvambenge zvakabatana, uchishandisa chisimba.
kwachu 	KD 		ny 		kwachu KD ny . Kuti kwachu kupindura munhu nehasha.
kwachu kwachu 	D- 		ny 		kwachu kwachu D- ny . Kuti kwachu kwachu kuverenga mari yemapepa uchiita imwe imwe.
kwadabu 	KKD 		ny 		kwadabu KKD ny . Kuti kwadabu kubvisa chinhu pachinenge chakanamira. Kuti kwadabu kubvisa chinhu pachinenge chiri nechinangwa chekuda kuona zviri pasi pacho.
kwaku 	KD 		ny 		kwaku KD ny . Kuti kwaku kusvetuka, kana kuti kupuka, kana kuchirika kanzvimbo kadiki, sezvingaita dafi. Kuti kwaku kupakura zvishoma zvezvidyiwa kubva mupoto uchiisa mundiro.
kwakwanu 	D- 		ny 		kwakwanu D- ny . Kuti kwakwanu kunamanuka kunoita chinhu pachange chiri. Akati kabhandeji kaainge ainako kwakwanu zvinyoronyoro, nekuti kaive kanamirana nevhudzi remumakumbo ake.
kwakwara kwakwara 	D- 		ny 		kwakwara kwakwara D- ny . Kuti kwakwara kwakwara kufamba kwemunhu anozvikakanyadza.
kwakwasha 	D- 		ny 		kwakwasha D- ny . kakasha .
kwakwasha 	D- 		ny 		kwakwasha D- ny . Kana panhu pakati kwakwasha panenge pakaoma, uye pamusoro pacho paine man'an'a man'an'a.
kwangu 	KD 		ny 		kwangu KD ny . Kuti kwangu kupedzisa zvishoma zvange zvasara. Pakasvika VaPasi paVaZijena vakapedzisa doro rese kuti kwangu, zvekuti vaZijena vakazongowana chava chirongo. -kwengu .
kwangwama 	KKD 		ny 		kwangwama KKD ny . Kuti kwangwama kubudira kunze kwechinhu chinenge chisina kuenzana nezvimwe.
kwangwangwa 	K- 		ny 		kwangwangwa K- ny . Kuti kwangwangwa kunyatsovhura nzeve uchiteerera chaizvo kuti unzwe zvose zvinenge zvichitaurwa.
kwanyanu 	D- 		ny 		kwanyanu D- ny . Kuti kwanyanu kusimuka kwekungoerekana munhu abva paanga agere nechimbichimbi.
kwanzu 	DK 		ny 		kwanzu DK ny . Kuti kwanzu kutsemura huni kana chimwe chinhu wakatevedza urefu hwacho. kwazu, banzu .
kwapu 	DK 		ny 		kwapu DK ny . Kunzi kwapu kungoerekana munhu warohwa kumeso nembama. Chipo akazongonzwa chava chiveve chete kumeso, paakanzi kwapu nembama yaasina kana kuzoona kuti yabva nepi.
kwarabvu 	KKD 		ny 		kwarabvu KKD ny . Kana uchiti kwarabvu unenge uchizvikwenya nenzara dzemaoko, uchisiya mitaro mirefu chaizvo.
kwaradzu 	KKD 		ny 		kwaradzu KKD ny . kwarabvu .
kwarakwashuku 	KKKDD 		ny 		kwarakwashuku KKKDD ny . Kuti kwarakwashuku kumuka muhope nekutanga kufamba pakarepo.
kwaru kwaru 	DK+ 		ny 		kwaru kwaru DK+ ny . Kuti kwaru kwaru kuchera pasi zvishomashoma, zvisina kudzika.
kwasvai 	KKD 		ny 		kwasvai KKD ny . Kuti kwasvai kutarisa pasi pamusana pekunyara kana kusvoda.
kwatanu 	D- 		ny 		kwatanu D- ny . Kuti kwatanu kunamanuka kunoita chinhu, sezvakaita ganda kana goko kana gwande.
kwatsamu 	KKD 		ny 		kwatsamu KKD ny . Kuti kwatsamu kurova munhu nembama. kwatsu, pa .
kwatu 	D- 		ny 		kwatu D- ny . Kuti kwatu kurova zvakanyanya neshamhu kana mbama.
kwau 	D- 		ny 		kwau D- ny . Kuti kwau kubvisa kana kusvuura gavi kubva pamuti waro.
kwau 	KD 		ny 		kwau KD ny . Kuti kwau kucheka kapande kadukuduku kubva panyama yemunyepfu.
kwazhau 	KKD 		ny 		kwazhau KKD ny . Kuti kwazhau kudonhedza michero kana mashizha mazhinji kubva mumuti.
kwazu 	DK 		ny 		kwazu DK ny . kwanzu .
kwazvu 	DK 		ny 		kwazvu DK ny . Kuti kwazvu kubvisa nyama painenge yakabatira pagodo.
kwe 	D 		ny 		kwe D ny . Kuti kwe kurovanisa chitanda chemechisa nebhokisi racho uchikasira, uchida kuti mechisi yacho ibvire.
kwe-e 	D 		ny 		kwe-e D ny . Kuti kwe-e kubata chinhu wobva watanga kuchizvuva pakarepo.
kweba kweba 	KD+ 		ny 		kweba kweba KD+ ny . Kuti kweba kweba kufamba kwemunhu akaneta, anenge achifamba achizvuva makumbo, muviri wakangonzi zhu. kwebede kwebede .
kwebede kwebede 	D- 		ny 		kwebede kwebede D- ny . Kuti kwebede kwebede kufamba kunoita munhu achiratidza kuti aneta. Paakanga obva kumunda, aifamba achiti kwebede kwebede. kweba kweba .
kweche kweche 	D- 		ny 		kweche kweche D- ny . Kuti kweche kweche kurira kunoita hosho.
kwede 	K- 		ny 		kwede K- ny . Uku kupindirana kungaite zvinhu, chimwe chichipinda mune chimwe. Bhaudhi rataifunga kuti rakakurisa rakasvikoti kwede paburi regeja.
kwedeya kwedeya 	DDK+ 		ny 		kwedeya kwedeya DDK+ ny . Kuti kwedeya kwedeya kufamba kungaita munhu zvishoma uye achiratidza kuneta.
kwegu 	KD 		ny 		kwegu KD ny . Kuti kwegu kuratidza kuchembera kana kuti kusakara.
kwenja kwenja 	KD+ 		ny 		kwenja kwenja KD+ ny . Kuiti kwenja kwenja kufamba kwemunhu akaonda, zvichiita sekuti mapfupa ake ari kurira. Kana munhu arwarisa, anopedzisira oti kwenja kwenja.
kwenyu kwenyu 	DK+ 		ny 		kwenyu kwenyu kwenu kwenu DK+ ny . Kuti kwenyu kupara-para panenge pachikuvava. Mhezi iyi ndangoiti kwenyu kwenyu, ichibva yatanga kubuda ropa.
kwerendende 	D- 		ny 		kwerendende D- ny . Kuti kwerendende kufamba kunoitwa nevanhu kana mhuka, zvakaungana pamwe zvichienda kumwe chete.
kwereva 	KKD 		ny 		kwereva KKD ny . Kuti kwereva kumira munhu achiratidza kuti ashaya zvekuita nezvinenge zvaitika zvikamushamisa. Pakapinzwa muchacha pagedhe mutambi wepagedhe, akasara akangoti kwereva.
kweshe kweshe 	D- 		ny 		kweshe kweshe D- ny . Kuti kweshe kweshe ruzha runoitika kana munhu achikwizira simbi pakaomarara. Bheura raiti kweshe kweshe richirodzerwa paruware.
kwetsemu 	KKD 		ny 		kwetsemu KKD ny . Kuti kwetsemu kurova munhu kumeso nembama yakasimba.
kwi 	K 		ny 		kwi K ny . Kuti kwi kubata chinhu zvakasimba. Mbavha yakasvikonzi nemupurisa ruoko kwi.
kwiba 	KD 		ny 		kwiba KD ny . Kuti kwiba kuvhara chinhu uchikasika. Akatora muvharo ndokuti sadza kwiba.
kwicho 	KD 		ny 		kwicho KD ny . Kunzi kwicho kungoerekana munhu abatwa pahuro asingazvifungiri. Pavairwa, Ngoni akazongoerekana anzi kwicho pahuro naFarai, zvekuti akanga ototadza nokufema chaiko.
kwidzi kwidzi 	D- 		ny 		kwidzi kwidzi D- ny . Kuti kwidzi kwidzi kupenya kunoita hembe ine manyezu manyezu.
kwingwiri 	D- 		ny 		kwingwiri D- ny . Kana chinhu chakati kwingwiri chinenge chakakwirira kudarika nzvimbo dzakachipoteredza.
kwinya kwinya 	KD+ 		ny 		kwinya kwinya KD+ ny . Kuti kwinya kwinya kufamba munhu asina chaakapfeka. Benzi rakati kwinya kwinya richifamba riri mumugwagwa.
kwipu 	D- 		ny 		kwipu D- ny . Kuti kwipu kurova munhu uchishandisa shamhu inomonera anenge arohwa wacho. Akati mombe kwipu netyava. Kuti kwipu kudenhuka kwechakateyiwa, sezvinoita dhibhura.
kwirindindi 	D- 		ny 		kwirindindi D- ny . Kana munhu akati kwirindindi anenge akafundumwara, asingadi zvekutaura-taura.
kwishu 	KD 		ny 		kwishu KD ny . gwishu .
kwitikwiti 	D- 		ny 		kwitikwiti D- ny . Kuti kwitikwiti kufamba kwevanhu vakawanda vachisvika panhu. Vapoteri vakati kwiti kwiti vachisvika pamuganhu wenyika. Kuti kwitikwiti kufamba kwevanhu kana zvinhu zvakawanda, zvichidzika materu.
kwiyo 	KD 		ny 		kwiyo KD ny . Kuti kwiyo kuchema kunoita huku.
kwizu 	DK 		ny 		kwizu DK ny . Kuti kwizu kukwesha kana kupukuta zvakasimba. Akati shangu kwizu kwizu nebhuracho, achibva adziti mutsoka pfe pfe, ndiye panze dhugu.
mani 	KD 		ny 		mani KD ny . Kuti mani kubata chinhu wakachiita kuti chisaende kana kudonha. Akati mwana mani pamusuo kuti asatize.
maradu 	KKD 		ny 		maradu KKD ny . Kuti maradu kukwenya kana kumara nenzara.
mbe-e 	D 		ny 		mbe-e D ny . Kana kunze kwava kuti mbe-e kunenge kwava kuchena. Kana munhu ane mwoyo wakati mbe-e anenge ane mwoyo wakanaka, munyoro.
mbeya mbeya 	DK+ 		ny 		mbeya mbeya DK+ ny . Kuti mbeya mbeya kudzadzarika kunoita munhu akakadhakwa.
mbikiti 	K- 		ny 		mbikiti K- ny . Kana munhu akamira akati mbikiti , anenge akangomirawo zvake asina zvaari kuita. tumbi . Kuti pasi mbikiti kudonha.
mbu-u 	K- 		ny 		mbu-u K- ny . Kana musoro wemugaisi wakati mbu-u unenge wakazara upfu, wakachena.
mburetete 	KDDD 		ny 		mburetete KDDD ny . Kana chinhu chakaita sendiro chakachena zvekuti mburetete chinenge chisisina kana nekatsvina kasaririra, chava kupenya.
mburumbu 	KKD 		ny 		mburumbu KKD ny . Kuti mburumbu kutaura sezvinonzi mumuromo makazara kana pane zvaunotsenga.
mbwambwambwa 	D- 		ny 		mbwambwambwa D- ny . Kuti mbwambwambwa kuora kunoita howa kana shamba.
mbwerekeshe 	D- 		ny 		mbwerekeshe D- ny . bwerekeshe .
me-e 	K 		ny 		me-e K ny . Kuti me-e kuchema kunoita mbudzi.
medu 	KD 		ny 		medu KD ny it . Kana ukati medu chingwa, unenge wachitsemura kuita zvidimbu. Mai vatora sadza rakasara madeko ndokubva vati medu, ndokukandira imbwa.
memetere 	D- 		ny 		memetere D- ny . Kuti memetere kuzadza zviyo kana chibage mumudziyo, sekuti ngoro, mugomo kana saga.
mepfenu 	KKD 		ny 		mepfenu mopfono KKD ny . mepfu .
mhidzu 	KD 		ny 		mhidzu KD ny . mhi .
mhodyo 	KD 		ny 		mhodyo KD ny . Kana imba ikanzi mhodyo inenge yasiyiwa yashama, isina midziyo yatorwa yose.
mina mina 	KD+ 		ny 		mina mina KD+ ny . Kuti mina mina kufamba musana wakapinda mukati, kwemunhu mutete, kana kwemhuka yakaonda.
minyu 	DK 		ny 		minyu DK ny . Kuti minyu kukuvara zvekuti bhonzo rinofonyoka kana kupesana nerimwe.
mire mire 	KD+ 		ny 		mire mire KD+ ny . Kuti mire mire kumirira munhu kwenguva diki, wobva waoenda nekuti anenge akunonokera.
mirididi 	K- 		ny 		mirididi K- ny . Kuti mirididi kungomira usina chauri kuita.
mirizizi 	K- 		ny 		mirizizi K- ny . Kuti mirizizi kumirira vanhu vakagara kana kuti vari kudya zvisina unhu.
momote 	D- 		ny 		momote D- ny . Kuti momote kuenda pachinhu nokuchifudiga.
monere 	KDK 		ny 		monere KDK ny . Kuti monere kutenderedza shinda pachimuti kana pachibhobhiri. Kuti monere kuenda nenzira inotendereka panzvimbo yauri kuda kusvika.
monyoro 	K- 		ny 		monyoro K- ny . Kuti monyoro kuzvongonyoka sezvinoita nyoka.
mopfo 	KD 		ny 		mopfo KD ny . Kuti mopfo kumwechuka kunoita chinhu chakabikwa kana kwechingwa.
munyungu 	DDK 		ny 		munyungu DDK ny . Kuti munyungu karuzha kaunoita pakuedza kutsenga chikafu chakaomarara kwaunenge uchiita wakavhara muromo.
muru 	KD 		ny 		muru KD ny . Kuti muru kusimuka wanga wakagara pasi. simu, nyamu .
mvocho 	D- 		ny 		mvocho D- ny . Kuti mvocho kudonha kunoita chinhu chichiita ruzha, kazhinji muuswa kana pane mashizha.
mvorokosho 	D- 		ny 		mvorokosho D- ny . Kana ukati mvorokosho unenge wangoerekana wadonha, kana kuwira mugomba rawanga usingaoni iwe uchifamba.
mwarara 	D- 		ny 		mwarara D- ny . Kana hembe dzakati mwarara dzinenge dzakakandwa-kandwa kwesekwese. bvururu .
mwarau 	KKD 		ny 		mwarau marau KKD ny . Kuti mwarau kumara zvakasimba uye zvinorwadza nenzara, zvekuti munhu akuvare.
mweku 	KD 		ny 		mweku KD ny . Kuti mweku kunyemwerera kwekungoti oo zvishomanana, munhu asingaenderere mberi.
mwepfu 	KD 		ny 		mwepfu mepfu KD ny . Kuti mwepfu kudambura chinhu chakaita sembambaira kana nhanga rakabikwa.
mwi mwi 	K- 		ny 		mwi mwi K- ny . Kuti mwi mwi kunyarara, iwe uchitarisirwa kuve une mashoko pane nyaya inenge ichikurukurwa.
n' 	K/D 		nzv 		n' K/D nzv . Iyi inzvanyira inodaidzwa ichinzi n'i , inowanikwa pakati pa mhu na eni mubumbiro remavara anovaka rurimi rweChiShona.
n'a n'a n'a 	D- 		ny 		n'a n'a n'a D- ny . Kuti n'a n'a n'a kupenya kunenge kuchiita chinhu, chichiti chikambodzima chopenya. n'adzi n'adzi .
n'ai 	KD 		ny 		n'ai KD ny . Kuti n'ai kupenya kwekamwenje kwenguva pfupi, asi kupenya kwacho kuchisvika kure.
n'an'au 	KKD 		ny 		n'an'au n'wan'wau KKD ny . Kuti n'an'au kuruma kunoita mhuka ichibvarura nyama.
n'anya n'anya 	KD+ 		ny 		n'anya n'anya KD+ ny . Kuti n'anya n'anya kukwira pazvimbo yakakwirira.
n'anyu 	D- 		ny 		n'anyu D- ny . Kuti n'anyu kugara munhu akavhura makumbo, asina basa nekuti akagara zvakanaka here.
n'e-e 	D 		ny 		n'e-e D ny . Kuti n'e-e kutsemuka kunoita jira riri kubvarurwa. mwe-e .
n'en'enu 	KKD 		ny 		n'en'enu KKD ny . Kuti n'en'enu kuruma kana kutsenga chinhu chakaoma zvinyoronyoro, uchiseenzesa mazino epamberi.
nai nai 	KD+ 		ny 		nai nai KD+ ny . Kuti nai nai kufamba zvishoma zvishoma sezvinoita rwaivhi. nanai nanai .
namanu 	D- 		ny 		namanu D- ny . Kuti namanu kukwatunura chambenge chakabatanidzwa nechimwe. -kwatanu .
namu 	D- 		ny 		namu D- ny . Kuti namu kutora zvinhu zvisiri zvako, uchitiza nazvo. Vakazongoona at chikwama chavo namu, achibva ati tore kumhanya akananga kumusika kwainge kuzere vanhu. Kuti namu kubva kwechange chakanamirwa.
nan'anu 	KKD 		ny 		nan'anu KKD ny . Kuti nan'anu kusarudza chinhu chimwe kubva muzvizhinji.
