aini 	KDD 	9>10 	z 		aini KDD z 9>10 . Aini isimbi yokuchisisa mbatya inodziyiswa uchishandisa maratya kana magetsi. Hembe dzinoita mupono kana ukadzichisa neaini.
hocheko 	D- 	9>10 	z 		hocheko D- z 9>10 . Hocheko inzvimbo inohakichirwa hochekeso inobatanidza zvinhu zviviri zvakaita sejoko negeja.
hochi 	DK 	9>10 	z 		hochi DK z 9>10 . Hochi imhuka inopfuyiwa, ine nyama ine mafuta akawanda, ine muromo wakapwashika uye inofarira kutambira mumadhaka. nguruve 9, humba 9 .
hodha 	KD 	9>10 	z 		hodha odha KD z 9>10 . Hodha zvinhu zvose zvamunenge matenga, kana kuti zvamunenge makaronga kutenga zvanyorwa pamwe chete. odha 9 . Hodha inhumbi kana zvimwewo zvinotengwa zvakawanda nomutengo wakaderera, zvozonotengeswa nemari iri pamusoro inoita kuti nyakutengesa awane zvinomuraramisa. Hodha yechingwa nomukaka inoitwa zuva nezuva nevaridzi vezvitoro.
hodzeko 	D- 	9>10 	z 		hodzeko D- z 9>10 . Hodzeko ihari yevhu inochengetera mukaka kuti ukore.
hohodza 	K- 	9>10 	z 		hohodza K- z 9>10 . Hohodza ishiri doko inoita dendere mumhango, uye inodya makonye notupuka turi mukati mamakwati ichiita zvokudododza.
hohonwa 	KDK 	9>10 	z 		hohonwa KDK z 9>10 . Hohonwa munhu kana mhuka yachembera chaizvo.
hohoshwa 	KKD 	9>10 	z 		hohoshwa KKD z 9>10 . Hohoshwa kamuti kanobereka vana vanenge nyemba, vane unye hunovava. hurukuru 9 .
hokera 	K- 	9>10 	z 		hokera K- z 9>10 . Hokera chinhu chakanaka zvinoyevedza pameso, kana kuti chinonaka chaizvo kuchidya, zvokuti munhu wose anobva angochida. Uso hwakanaka ihokera kuvarume.
homba 	DK 	9>10 	z 		homba DK z 9>10 . Homba idemhe rehozhwe. Homba munhukadzi akura zvokupfuura nguva yokuroorwa. hwanzvo 14 .
homekedzo 	KKKD 	9>10 	z 		homekedzo KKKD z 9>10 . Iyi irayiro inopiwa mumwe apo vaviri vanenge vava kuparadzana. Vatete vanopa muzukuru homekedzo yokubata murume zvakanaka kana ondoroorwa. zanhi 5 . Aya mashoko anopiwa munhu senzira yokumuyeuchidza kuzoita kana kusazoita chimwe chinhu.
homeko 	KKD 	9>10 	z 		homeko KKD z 9>10 . Homeko irayiro inopiwa kumunhu anenge achida kudzivirirwa mudambudziko.
homwe 	K- 	9>10 	z 		homwe K- z 9>10 . Homwe isamba kana kuti bhegi rokuisira zvinhu. hombodo 9, mbudu 9 . Homwe munhu anosvikirwa nomudzimu. svikiro 5 .
hondo 	K- 	9>10 	z 		hondo K- z 9>10 . Hondo kurwisana nezvombo kana nemashoko kunoitika pakati penyika dzakasiyana, kana pakati pamarudzi. Hondo pakati pemarudzi akasiyana chinhu chakangogara chiripo nekare.
hondohwe 	KKD 	9>10 	z 		hondohwe KKD z 9>10 . Hondohwe ihwai hono isina kuchekwa. gondohwe 5 .
honye 	D- 	9>10 	z 		honye D- z 9>10 . gonye 5 .
honzakureva 	K- 	9>10 	z 		honzakureva K- z 9>10 . Uyu munhu asinganzwi, anoita kuti vanhu vagare vachingotaura pamusoro pezviito zvake zvakashata.
honzeri 	KKD 	9>10 	z 		honzeri KKD z 9>10 . Honzeri munhu anofurira vamwe kuti vaite zvakaipa. Honzeri yezvakaipa ndiDhiyabhorosi. sakiso 9 .
horera 	D- 	9>10 	z 		horera D- z 9>10 . Horera munhu anogara oga.
horiori 	DKDK 	9>10 	z 		horiori DKDK z 9>10 . Urwu rudzi rweshiri refu, ine makumbo marefu nomutsipa murefu, inofarira kugara munzvimbo dzine mvura asi ichidya tupuka nembeu. mborivori 9 .
horo 	D- 	9>10 	z 		horo D- z 9>10 . Horo munhu anoda kudya nguva dzose.
horo 	K- 	9>10 	z 		horo K- z 9>10 . Horo mwena wokuzasi komunhu, paanobusisa napo tsvina. mhata 9, mukosho 3 .
horomba 	DDK 	9>10 	z 		horomba DDK z 9>10 . hombiro 9 .
horomori 	KKKD 	9>10 	z 		horomori KKKD z 9>10 . Uyu munhu anoputsa ushamwari, mhuri kana humwewo urongwa hunokosha hwevamwe vanhu. mharadzi 9, mhutse 9 .
horwe 	DK 	9>10 	z 		horwe DK z 9>10 . Horwe ishiri yakafanana nehuku, uye inofarira kufamba muboka redzimwe dzayo mumahombekombe enzizi.
hosha 	D- 	9>10 	z 		hosha D- z 9>10 . Hosha urwere hunenge hwakakura zvokuti kuhurapa kunonetsa. chirwere 7 . zemo 5 .
hotera 	DKD 	9>10 	z 		hotera DKD z 9>10 . Hotera imba inotengeserwa vaenzi chikafu nezvinwiwa, uye ine dzimba dzokurara zvine mubhadharo. Hotera yeSheratoni inodhura zvokuti ruzhinji rwavanhu harukwanise kupindamo kunodya, kutandara kana kurara.
hoto 	DK 	9>10 	z 		hoto DK z 9>10 . Hoto ishiri yakareba, ino muromu mukobvu wakakombama, uye inoda kumhara kumanhengatenga emiti.
hotora 	KKD 	9>10 	z 		hotora KKD z 9>10 . Hotora imbudzi nzombe isina kuchekwa, inoberekesa sheche. gotora 5, mbocho 9 .
hove 	K- 	9>10 	z 		hove K- z 9>10 . Hove chisikwa chinogara mumvura, chinodyiwa, uye chine mabhonzo anenge minzwa nemakwati pamuviri.
hovhoni 	KDD 	9>10 	z 		hovhoni KDD z 9>10 . Hovhoni mudziyo, kana kuti nhengo yechitofu, inobikirwa makeke nekugocherwa nyama. Hovhoni chivakwa chezvitina zvinenge zvichipiswa kuti zvisimbe, zvozoshandiswa pakuvaka. hondo 9 .
hovo 	D- 	9>10 	z 		hovo D- z 9>10 . Hovo kapuka kakaenzana nekiti, kano muswe murefu, kanodya mbeva, makonzo, shiri uye mazai. govo 5 .
hozhwa 	KD 	9>10 	z 		hozhwa hozhwe KD z 9>10 . Hozhwa kapuka kadiki kasina mabhonzo, kana makumbo kanogara panze kana mumvura, kachifamba kari mukati medemhe rinova imba yako. hozhwe 9 .
hubvu 	KD 	9>10 	z 		hubvu hubva KD z 9>10 . Hubvu muchero mutema unoberekwa nemuti unonzi muhubva unodyiwa navanhu nemakava. tsubvu 9 .
hudhu 	KD 	9>10 	z 		hudhu KD z 9>10 . Hudhu inguwo refu inopfekwa nevarume. Hudhu chipenga chenguwo chisina kusonwa zvakanaka.
hudyu 	DK 	9>10 	z 		hudyu DK z 9>10 . Hudyu mutezo womunhu uri pachiuno, panosangana zvidya nomuviri.
huhwa 	KD 	9>10 	z 		huhwa KD z 9>10 . Huhwa idemo diki rino musoro wakaita somwedzi wagara, rinoshandiswa pakupira midzimu. humbwa 9 .
huku 	KD 	9>10 	z 		huku KD z 9>10 . Huku ishiri isinganyatsogona kubhururuka, inopfuyiwa ichidyiwa nyama yayo namazai ayo.
hukurutombo 	KKKDK 	9>10 	z 		hukurutombo KKKDK z 9>10 . gwavava 5 .
hukwana 	K- 	9>10 	z 		hukwana K- z 9>10 . Hukwana mwana wehuku ayaruka kubva muzera rechitiyo.
huma 	D- 	9>10 	z 		huma D- z 9>10 . Huma inhengo yomuviri wemunhu iri pamusoro pamaziso kusvika panotangira vhudzi mumusoro. Munhu ane huma refu anonzi ane mahobi.
humba 	D- 	9>10 	z 		humba D- z 9>10 . Humba chipuka chinenge tsikidzi, chinorarama nokusveta ropa ravanhu. horondo 9 .
humba 	DK 	9>10 	z 		humba DK z 9>10 . Humba inguruve yomusango, inofamba usiku ichidya zvirimwa panguva yezhizha, uye midzi nemichero yemusango. njiri 9 .
humbidziro 	D- 	9>10 	z 		humbidziro D- z 9>10 . Aka kapfuko kadiki kokutakurira doro kubva naro pariri kunwirwa, uchienda naro kumba. Aka kamudziyo kadiki kokucheresa zvinhu kuisa mumudziyo muhombe.
humbwe 	KD 	9>10 	z 		humbwe KD z 9>10 . Humbwe mudziyo wekuridza wakagadzirwa netsanga inenge yakabatanidzwa nemhe redamba. Humbwa chimba chinovakwa nevana vachitamba mutambo unonzi mamhuza.
hunda 	K- 	9>10 	z 		hunda K- z 9>10 . Hunda mudziyo wekuridza unogadzirwa nenyanga, unonzwika kure kure, wairidzwa kare kudaidza vanhu kudare kwamambo. hwamanda 9 . Hunda inyama yemusana inopiwa sahwira sechiratidzo cheushamwari.
hunde 	KD 	9>10 	z 		hunde KD z 9>10 . Hunde inhengo yomuti iri pakati pemidzi namapazi.
hunguruhwe 	KKKD 	9>10 	z 		hunguruhwe hungurubwe KKKD z 9>10 . Iri idombo guru rine mucheto wakaita dendenedzwa.
hunguruhwe 	KKKD 	9>10 	z 		hunguruhwe hungurubwe KKKD z 9>10 . Iri idombo rakatsetseka rinoshandiswa pakuumba hari.
huni 	K- 	9>10 	z 		huni K- z 9>10 . Huni miti yakaoma inoshandiswa kuvesa moto mudzimba.
hunza 	K- 	9>10 	z 		hunza K- z 9>10 . Hunza chirugu chehwai kana mbudzi chakakomberedzwa nematombo. chirugwi .
hunzvi 	D- 	9>10 	z 		hunzvi D- z 9>10 . Hunzvi mukono wemhuka inonzi mhofu.
hunzvi 	K- 	9>10 	z 		hunzvi K- z 9>10 . Hunzvi zvinhu zvakaita souchi, zviri zvitema, zvinowanikwa pamapfunde kana zviyo.
hura 	D- 	9>10 	z 		hura D- z 9>10 . Hura chibhora kana chimusoro chezviyo. Pakukohwa tinocheka hura dzezviyo tichisiya madzinde amire.
hurekure 	DKDD 	9>10 	z 		hurekure DKDD z 9>10 . Iyi ishiri ine makumbo marefu, nemavara machena nematema, inogara munzvimbo dzine mapani.
huriti 	DKK 	9>10 	z 		huriti DKK z 9>10 . Huriti ishiri yorudzi rwenjiva asi iyo yakasvibirira, uye inodya tsamvi, makuya nemimwewo michero. hwiriti 9 .
huro 	D- 	9>10 	z 		huro D- z 9>10 . Huro mwena unoshandiswa kumedzesa zvekudya kubva mumukanwa kuenda kudumbu.
hurudza 	D- 	9>10 	z 		hurudza D- z 9>10 . Hurudza murimi ano mukurumbira zvokuti haashayi chikafu kunyangwe mugore renzara.
hurudzira 	KKDK 	9>10 	z 		hurudzira KKDK z 9>10 . Uhu unyanzvi pakuita nokuronga mabasa ebudiriro, pakupa mazano nekutungamira vamwe. Nyika inoda mutungamiri ane hurudzira kuti ibudirire.
hurukuro 	KKKD 	9>10 	z 		hurukuro KKKD z 9>10 . Idzi inyaya dzinotauriranwa pakati pevazivani, masangano kana kuti varume padare. Hurukuro dzavarimi ndedzekupangana mazano okuwedzera gohwa.
hurukuru 	D- 	9>10 	z 		hurukuru D- z 9>10 . Ava vana vane makanda ane unye hunovava, vanoberekwa nemuti unokura wakatambarara. hohoshwa 9 . Urwu ruzha runoitwa netsuro painenge ichimhanya.
hurumende 	DDKK 	9>10 	z 		hurumende DDKK z 9>10 . Iri isangano guru revatongi venyika rinodzika mitemo, rine vatungamiri nemakurukota anomiririra mapazi nematunhu akasiyana. gavhumende 9 .
hurungwe 	KKD 	9>10 	z 		hurungwe KKD z 9>10 . Hurungwe chinhu chakatenderera uye chinokwanisa kukunguruka, chakaita sebhora kana nhanga.
husvu 	DK 	9>10 	z 		husvu DK z 9>10 . Husvu ishiri ine vara dzvuku padyo nomutsipa wayo, inofamba muboka redzimwe ichidya tupuka nemichero, uye inokandirira mazai mumhango.
huta 	KD 	9>10 	z 		huta KD z 9>10 . Huta ibhero rinoridzwa kana mutyairi achida kuzivisa vanhu kuti vangwarire motokari yake iri kuuya kwavari. bhera .
hute 	KD 	9>10 	z 		hute KD z 9>10 . Hute muchero unoberekwa nomuti womukute.
hutsakutsa 	D- 	9>10 	z 		hutsakutsa D- z 9>10 . Uyu munhu akafuta, uye ane muviri muhombe nenyama dzakaneta.
huva 	KD 	9>10 	z 		huva KD z 9>10 . Huva inzvimbo yakakwirira inovakwa mumba yokubikira, inochengeterwa ndiro namapoto kana zvasukwa. chikuva 7 .
huvhe 	KD 	9>10 	z 		huvhe KD z 9>10 . Huvhe rudzi rwehowa hunodyiwa, hune musoro mukuru nomudzi murefu.
huvi 	K- 	9>10 	z 		huvi K- z 9>10 . Huvi inzvimbo iri mumba inoiswa mbudzi kuti dzirare usiku.
huyo 	D- 	9>10 	z 		huyo D- z 9>10 . Huyo kabwe kakapamhama divi rimwe kana maviri, kanoshandiswa kukuya zviyo kana dovi.
huzu 	KD 	9>10 	z 		huzu KD z 9>10 . Huzu munhu akapfuma. mupfumi 1, mbozha 9 .
hwada 	D- 	9>10 	z 		hwada D- z 9>10 . Hwada zvidimbu zvesadza zvakakura kudarika musuva, zvinoitwa nemugoti pakupakura.
hwai 	D- 	9>10 	z 		hwai D- z 9>10 . Hwai chipfuwo chakapfava, chakafanana nembudzi asi icho china makushe akazara muviri wose, uye chisingawanzochemi pachinourawa. gwai 5 .
hwamanda 	K- 	9>10 	z 		hwamanda K- z 9>10 . Hwamanda inyanga yemhuka dzakaita senhoro, inoboorwa kuti iridzwe munhu achiita zvokufuridza. hunda 9 .
hwandamakwakwa 	D- 	9>10 	z 		hwandamakwakwa D- z 9>10 . Iri ibadza hombe rakapamhamha. Iyi itsoka yakakura yemunhurume.
hwangwadza 	D- 	9>10 	z 		hwangwadza D- z 9>10 . Hwangwadza mukana uripo pakati pemazitombo.
hwangwaridza 	D- 	9>10 	z 		hwangwaridza D- z 9>10 . Aka kanzvimbo kokufamba nako kakamanikidzika.
hwashu 	DK 	9>10 	z 		hwashu DK z 9>10 . Hwashu ishangu yakashama, ine tumabhande chete pamusoro. nyatera 5 .
hwata 	KD 	9>10 	z 		hwata KD z 9>10 . Hwata ishiri yakareba zvikuru, inonyanyofamba ichitsvaga hwiza nenyoka mumapani, uye ine dundundu jena namakumbo marefu ane zvidya zvitema. mukwasikwasi 3 .
hwayana 	DDK 	9>10 	z 		hwayana gwayana DDK z 9>10 . Hwayana mwana wegwai. bwizana 5 .
hweda 	D- 	9>10 	z 		hweda D- z 9>10 . Hwed a mwena mukuru unodzika pasi muvhu. Hweda imhando yemwena yakasiyana-siyana.
hwenga 	DK 	9>10 	z 		hwenga DK z 9>10 . Hwenga ishiri ino muromo wakakombama, inogona kupfuyiwa uye inotevedzera kutaura kwavanhu. chihwenga 7 .
hwenjekwenje 	DDKK 	9>10 	z 		hwenjekwenje DDKK z 9>10 . Iyi imhashu huru inodyiwa, ine ruvara rwakapfumbuka uye inogara yoga.
hwenya 	KD 	9>10 	z 		hwenya KD z 9>10 . Hwenya kamuti kanenge hanyanisi, kanodyiwa navanhu nenguruve uye kane maruva anonhuhwirira.
hwerekwere 	D- 	9>10 	z 		hwerekwere D- z 9>10 . Iyi ishiri yakafanana nehuku uye inokandirira mazai ayo pasi.
hweru 	DK 	9>10 	z 		hweru DK z 9>10 . hwiribidi 9 .
hwezveri 	D- 	9>10 	z 		hwezveri D- z 9>10 . Hwezveri munhu anotungamirira vamwe mumatambudziko.
hwiza 	KD 	9>10 	z 		hwiza KD z 9>10 . Hwiza chibhururukwa chine makumbo marefu, chinowanzobatwa mumapani chichidyiwa nevanhu. mhashu 9 .
hwize 	KD 	9>10 	z 		hwize KD z 9>10 . Hwize chishongo chinopfekwa nashe somucherechedzo weushe hwake. huze 9, wachi 9 .
hwizha 	K- 	9>10 	z 		hwizha K- z 9>10 . Hwizha igomba rinocherwa kuchengeta muchero mumbishi kuti ukasire kuibva. pfimbi 9 . Hwiza igomba rinocherwa kuitira kubata mhuka dzinowira mukati kana dzapfuura napo. hunza 9 .
imbwa 	DK 	9>10 	z 		imbwa DK z 9>10 . Imbwa imhuka inochengeterwa kuvhima nokuchengeta musha. Paimba pane imbwa hapasviki mbavha.
kamba 	K- 	9>10 	z 		kamba K- z 9>10 it . Kamba chipuka chine gwati rakachiputira, machinozvihwandisa kana chaona muvengi. hamba 9 .
kamba 	KD 	9>10 	z 		kamba KD z 9>10 . Kamba muzinda unogara mapurisa kana mauto.
kambureza 	DDKD 	9>10 	z 		kambureza DDKD z 9>10 . komburesa 9 .
kamera 	KDD 	9>10 	z 		kamera KDD z 9>10 . Kamera muchina wokutoresa mifananidzo.
kamu 	KD 	9>10 	z 		kamu KD z 9>10 . Kamu kamudziyo kecheno kane mazino, kanoshandiswa kufetura vhudzi kana kurienzanisa nokungochifambisa mariri. chifeturo 7, chipeturo 7 .
kiti 	DK 	9>10 	z 		kiti kitsi DK z 9>10 . katsi 9 .
kitsi 	DK 	9>10 	z 		kitsi kiti DK z 9>10 . katsi 9 .
konzi 	KD 	9>10 	z 		konzi KD z 9>10 . Konzi chipundu chinorwadza chichipisa zvekuti dhu, chinoita pachigunwe chidiki, chinowanzokonzerwa nekupfeka bhutsu dzinobata. Nhasi ndatsikwa konzi pabhazi ndikaita kunge ndichafenda nokurwadziwa.
kwaera 	KDD 	9>10 	z 		kwaera KDD z 9>10 . kwaya 9 .
mangoi 	DDK 	9>10 	z 		mangoi DDK z 9>10 . katsi 9 .
mari 	DK 	9>10 	z 		mari DK z 9>10 . Mari mapepa kana simbi zvinoshandiswa pakutenga zvinhu zvakasiyana-siyana.
maserwe 	D- 	9>10 	z 		maserwe D- z 9>10 . Maserwe rwudzi rwenyoka inofamba nekukurumidza chaizvo, inodya madzvinyu nematafi.
mbatwa 	KD 	9>10 	z 		mbatwa KD z 9>10 . Mbatwa munhu anenge atowanikidzwa achipara mhosva akabatwa. Mbavha imbatwa.
mbwanana 	K- 	9>10 	z 		mbwanana K- z 9>10 . Uyu mwana wembwa. handa 9, kamhondana 13 .
metiresi 	KDDD 	9>10 	z 		metiresi matiresi KDDD z 9>10 . Ichi ndechinotefetera chinorarirwa chiri pamusoro pemubhedha.
mhadza 	DK 	9>10 	z 		mhadza DK z 9>10 . Mhadza itsika yekubvutirana kana kumhanyirira chinhu. Mhadza itsika yekubvutirana kana kumhanyirira kutora zviri mundiro.
mhako 	D- 	9>10 	z 		mhako D- z 9>10 . Mhako inzvimbo yakadzivirirwa nemabwe yakaita buri, munogara nyuchi dzichiberekera vana vadzo nekuita uchi kwemakore akawanda. gonera 5 .
mhakure 	K- 	9>10 	z 		mhakure K- z 9>10 . Mhakure rudzi rwenyoka inozivikanwa nekusimudza musoro zvenhando, uye nekumhanya zvikuru kwainoita.
mhamhatsi 	KKD 	9>10 	z 		mhamhatsi mhamhasi KKD z 9>10 . Mhamhatsi isvosve dema kana rakatsvukirira, rinowanzoonekwa kana mvura yanaya, rinoruma nekusvipira mate anorwadza kana akaenda pane ronda. mhatsi 9 .
mhanda 	K- 	9>10 	z 		mhanda mhandi K- z 9>10 . Mhanda ibazi remuti rine kumusoro kwakatsaukana senyanga.
mhandakadzi 	DDKD 	9>10 	z 		mhandakadzi DDKD z 9>10 . Iri igudo gadzi rakakura kwazvo. chikoyo 7 .
mhandamba 	K- 	9>10 	z 		mhandamba pandamba K- z 9>10 . Mhandamba imombe ine mazinyanga akareba, akapashamara.
mhandara 	D- 	9>10 	z 		mhandara D- z 9>10 . Mhandara musikana asvika pazera rokuroorwa. Mhandara nejaya zvanga zvichisesedzana mumugwagwa. ANTONYMS jaya 5.
mhandire 	DKD 	9>10 	z 		mhandire DKD z 9>10 . Mhandire muguri wechibage chakaoma, chinowanzokangwa. Mhandire chibage chava kuda kuoma, chinowanzogochwa.
mhando 	D- 	9>10 	z 		mhando D- z 9>10 . Mhando rudzi kana ruvara rwechinhu chose chose. Kune mhando dzemaruva dzakawanda.
mhandu 	DK 	9>10 	z 		mhandu DK z 9>10 . Mhandu munhu wausingawirirani naye, anoda kukukuvadza. muvengi 3 .
mhangami 	KKD 	9>10 	z 		mhangami KKD z 9>10 . Mhangami munhu akangwaririra, anoona kuti zvinhu zviri kufamba zvakanaka here.
mhangara 	DDK 	9>10 	z 		mhangara hangara DDK z 9>10 . Mhangara inyoka inogara mumiti, ine uturu hunouraya.
mhango 	D- 	9>10 	z 		mhango D- z 9>10 . Mhango mwena unoita pahunde yemuti. mwazi 3 . Mhango mwena unoita pazino.
mhani 	D- 	9>10 	z 		mhani D- z 9>10 . mbambarize 9 .
mhanje 	KD 	9>10 	z 		mhanje KD z 9>10 . Mhanje imhuka hadzi isingabereki. ramba 9, tsote 9 .
mhanza 	K- 	9>10 	z 		mhanza mhazha K- z 9>10 . Mhanza inhongonya kana pamberi pemusoro pasina vhudzi. bovo 5 . Kuva ne mhanza kuva munhu anofambirwa nezvinhu zvakanaka nguva dzese. rombo 5 .
mhapa 	KD 	9>10 	z 		mhapa KD z 9>10 . Mhapa inhembe yeganda yaipfekwa nevakuru vakare.
mharadzi 	D- 	9>10 	z 		mharadzi D- z 9>10 . Mharadzi munhu anokonzera vamwe kusagara zvakanaka.
mharakuta 	D- 	9>10 	z 		mharakuta D- z 9>10 . Mharakuta imhuka ine rukanda nemavara zvinoyevedza. Mbizi imharakuta inokunda dzose.
mharapara 	D- 	9>10 	z 		mharapara D- z 9>10 . Iyi imhuka yemusango ine zenze, inogara mumapani mune mvura nedzimwe dzayo dzakawanda. ngwarati 9 .
mharapatsetsetse 	DDDKKK 	9>10 	z 		mharapatsetsetse DDDKKK z 9>10 . Uyu munhu anokanganisa runyararo kana kugarisana kwevanhu nekutaura makuhwa kana kuti netsika dzakaipa. Mukomana uyu imharapatsetsetse chaiyo nekuti anoita basa rekuteerena nevakadzi vevamwe.
mhararano 	D- 	9>10 	z 		mhararano D- z 9>10 . mharadzamusasa 9 .
mharauro 	KKKD 	9>10 	z 		mharauro KKKD z 9>10 . Mharauro ijira rinosungwa nevakadzi kana vachiita basa remumba. zambiya 5 .
mhare 	K- 	9>10 	z 		mhare K- z 9>10 . Mhare munhu ane ungwaru, zvekuti chose chaanoita chinenge chichiratidza kuti chafungwa neungwaru. Mhare munhu ane ushingi.
mharidzo 	KKD 	9>10 	z 		mharidzo KKD z 9>10 . Mharidzo mashoko anotaurwa panonamatwa kana pane musangano. Mharidzo yafata yakatendeutsa vanhu vazhinji.
mharuparu 	KKKD 	9>10 	z 		mharuparu KKKD z 9>10 . Aya matsemu matsemu anowanikwa pambambaira, kana paganda remunhu rava nenguva risingagezwi kana kuzorwa mafuta.
mhashu 	D- 	9>10 	z 		mhashu D- z 9>10 . Mhashu chipembenene chinodyiwa, icho chichidyawo zvirimwa, uswa kana mashizha emiti. hwiza 9, ndongwe 9 .
mhashu madzviti 	D- K- 	9>10 	z 		mhashu madzviti D- K- z 9>10 . Urwu rudzi rwemhashu dzinofamba dzakawanda, dzinodya zvirimwa dzichitozviparadza. mhashu dzviti 9, hwiza dzviti 9 .
mhashu mapfunde 	DD DKK 	9>10 	z 		mhashu mapfunde DD DKK z 9>10 . Urwu rudzi rwemhashu inofarira kugara mumunda wezvirimwa, semumunda wemapfunde. hwiza mapfunde 9 .
mhata 	K- 	9>10 	z 		mhata K- z 9>10 . Mhata mwena uri pamuviri wemunhu, unowanikwa pasi panoperera muzongoza, unoshandiswa kuburitsa tsvina mudumbu. horo 9, mukosho 3 .
mhatso 	D- 	9>10 	z 		mhatso D- z 9>10 . imba 9 .
mhembwana 	DDK 	9>10 	z 		mhembwana DDK z 9>10 . Mhembwana mwana wemhembwe. Mhembwana chirwere chemakumbo, chinoita kuti makumbo atetepe munhu, atadze kufamba. mhetamakumbo 9 .
mhembwe 	D- 	9>10 	z 		mhembwe bembwe, mhengwe D- z 9>10 . Iyi imhuka yemusango yakafanana nembudzi inowanzofamba usiku.
mhenderekedzo 	D- 	9>10 	z 		mhenderekedzo D- z 9>10 . Iyi inzvimbo iri kumucheto kwedziva kana rwizi. mahombekombe 6 .
mhene 	DK 	9>10 	z 		mhene DK z 9>10 . Mhene imhuka yakafanana nemhembwe asi iyo yakati tsvukurukei, ichifarira kugara kusina miti kune maziuswa.
mhere 	D- 	9>10 	z 		mhere D- z 9>10 . Mhere kudaidzira nezwi riri pamusoro kunoita munhu anochema. Ndanzwa mhere ndikaziva kuti sekuru vokurwara vashaika.
mherehwa 	D- 	9>10 	z 		mherehwa D- z 9>10 . Mherehwa imhuka ine ruvara rwuri pakati pekusviba nekutsvuka.
mhesvi 	KKDKK 	9>10 	z 		mhesvi KKDKK z 9>10 . mhesvamukono 9 . Mhesvi inhunzi inowanikwa munzvimbo dzinopisa, inopa zvirwere kuvanhu nemhuka painodzisveta ropa.
mheta 	D- 	9>10 	z 		mheta D- z 9>10 . mhetamakumbo 9 .
mhete 	DK 	9>10 	z 		mhete DK z 9>10 . Mhete chishongo chemucheno chinopfekwa nemadzimai panzeve. Mhete chishongo chinopfekwa pamunwe chinogona kunge chichitaridza kuti munhu uyu akachata, ava mudzimai kana murume wemunhu.
mheterwa 	DKD 	9>10 	z 		mheterwa DKD z 9>10 . Mheterwa muridzo unoridzwa munhu akapeta rurimi, rwuri pakati pemazino uye muromo wakapfumbwa, achiti tsviyo-o!.
mhetura 	D- 	9>10 	z 		mhetura D- z 9>10 . Mhetura rudzi rwenjiva inochema ichiita kunge iri kuseka.
mhezi 	DK 	9>10 	z 		mhezi DK z 9>10 . Mhezi mapundu kana maronda anoita pamuviri, anosiya mavara matema kana apora. Mhezi dzegwembe dzakambonetsa chaizvo makore apfuura, vanhu vachikwaturwa makanda kusara angove madzvanga madzvanga.
mhiko 	D- 	9>10 	z 		mhiko D- z 9>10 . Mhiko chitenderano chevaviri kana vakawanda. chitsidzirano 7 . Mhiko mutemo unofanirwa kutevedzwa kana munhu achibata mishonga yakasiyana. muko 3 .
mhindepinde 	DKDD 	9>10 	z 		mhindepinde DKDD z 9>10 . Uku kungoenda mumba kana pane imwe nzvimbo zvisina tsarukano, zvekuti vanhu vanenge vachiti ava vaenda, ava vadzoka. pindawapinda 9 .
mhindirira 	D- 	9>10 	z 		mhindirira D- z 9>10 . Uyu musiwo uri mukati memba ine dzimba mbiri, unoita kuti munhu apinde kune imwe imba, kana kuti musiwo wekuseri kwemba.
mhinduro 	D- 	9>10 	z 		mhinduro D- z 9>10 . Mhinduro chinyorwa kana mutauro unenge uchidavidza zvinenge zvabvunzwa kana kukumbirwa. Ndakakunamatira kuti upore, asi mhinduro yaMwari inononoka.
mhindya 	KD 	9>10 	z 		mhindya KD z 9>10 . Mhindya rutanda nekamukosi kanobata riva kuti rimire rakarerekera panenge pakateyewa mbeva kana shiri. mudzamiko 3, rutsatsanhi 11 .
mhino 	D- 	9>10 	z 		mhino D- z 9>10 . mhuno 9 . Mhino rudzi rweimwe patani yokuruka.
mhiti 	D- 	9>10 	z 		mhiti D- z 9>10 . Mhiti imhuka yemusango inofamba usiku, kazhinji inowanzogara yega munzvimbo ine miti yakawanda. deke 5, timba 9 .
mhitsa 	KD 	9>10 	z 		mhitsa KD z 9>10 . Mhitsa zimukwende rakaita sezibandauko renyama, rinorema zvikuru. Mhitsa munhu kana mhuka hombe yakasimba chaizvo. mbinga 9 .
mhizha 	DK 	9>10 	z 		mhizha DK z 9>10 . Mhizha munhu anogadzira zvinhu nesimbi, zvakaita sematemo nemapadza.
mhodzi 	DK 	9>10 	z 		mhodzi mhonzi, mhunzi DK z 9>10 . Mhodzi itsanga inomera kana yaiswa muvhu, kana kuti inoonekwa mukati memuchero.
mhofu 	KD 	9>10 	z 		mhofu KD z 9>10 . Mhofu imhuka yakada kutsvukurukira ine nyanga dzakatarisa mudenga dziri refu zvishoma, inowanikwa mumasango emiti neuswa.
mhombo 	D- 	9>10 	z 		mhombo D- z 9>10 . mhombwe 9 .
mhombwe 	D- 	9>10 	z 		mhombwe mhombo D- z 9>10 . Mhombwe murume anoita zvechihure, achirara nevakadzi vasiri vake.
mhomho 	K- 	9>10 	z 		mhomho K- z 9>10 . Mhomho vanhu vazhinji vakaungana. Mhomho yevanhu yakadungamidzana ichipinda munhandare kunoona nhabvu.
mhondi 	D- 	9>10 	z 		mhondi D- z 9>10 . Mhondi munhu anouraya vamwe vanhu. muurayi 1 .
