bahwe 	KD 	5 	z 		bahwe KD z 5 . chibage 7 .
masunungurahomwe 	DKKKDKK 	6 	z 		masunungurahomwe DKKKDKK z 6 . Iyi imari inopihwa kuna baba vemusikana nemunyai kuti achivhura homwe yake yemari pakuroora.
masuvanzombe 	DDDKK 	6 	z 		masuvanzombe DDDKK z 6 . Iri zidimbu resadza rinoumbwa nemunhu pakudya, achiita seanotya kupedzerwa. musovanzombe 3 .
matakadyakare 	DDKDDD 	6 	z 		matakadyakare DDKDDD z 6 . Iri izwi rinoshandiswa kutaurira munhu kuti zvaakakuitira zvakatopfuura nenguva yazvo, saka haafaniri kuramba achingotarisira kutendwa kana kuitirwawo chimwe chinhu. Matakadyakare haanyaradze mwana.
matakanure 	DKKKK 	1a 	z 		matakanure DKKKK z 1a . Uyu munhu anobatsira vanhu mumatambudziko, ovagutsa nezvavanenge vachishuwa kuwana. manunure 6 .
materekeshe 	D- 	6 	z 		materekeshe D- z 6 . Uhwu uwandu hwezvinhu munzvimbo kana panzvimbo.
matoonore 	D- 	1a 	z 		matoonore D- z 1a . Uyu munhu anokwanisa kudzikamisa kana kupfuvisa munhu asinganzwi.
matsive 	DDK 	6 	z 		matsive DDK z 6 . Kuita matsive kuda kudzorera zvinhu zvakaipa zvaunenge waitirwa.
matsunetsune 	D- 	6 	z 		matsunetsune D- z 6 . Uku kuita chinhu uchiziva kuti zvinozoitika ndezvipi. Uku kudonha nemusoro.
maunganidze 	DKKDK 	1a 	z 		maunganidze DKKDK z 1a . Uyu munhu ane mwoyo munyoro, anofarira munhu wose kuti auye pamba pake.
mawedzere 	D- 	1a 	z 		mawedzere D- z 1a . Uyu munhu anotaurisa achiisa netumwe tusiri munyaya.
mawere 	DKD 	6 	z 		mawere DKD z 6 . Mawere ndekunodzikira kwegomo kana mukwidza.
mazauone 	DKDDD 	6 	z 		mazauone DKDDD z 6 . Uyu mutambo kana zvinhu zvinofadza kuona. Muchato wangu waiva mazauone matindigoma kunakidza. mahuyauone 6 .
mazhambe 	DKD 	1a 	z 		mazhambe DKD z 1a . Mazhambe munhu anogarochema kana kudaidzira pasina nemhaka yose.
mazheke 	DDK 	6 	z 		mazheke DDK z 6 . Mazheke kuwanda kwezvokudya zvakabikwa. Pamutambo paiva namazheke enyama.
mazitye 	DKD 	6 	z 		mazitye DKD z 6 . mukambo 3 .
mazvambure 	DKDK 	1a 	z 		mazvambure DKDK z 1a . Uyu munhu anogarorova vamwe zvakasimba.
mbambarize 	DDDK 	9<10 	z 		mbambarize mhambarize DDDK z 9 <10 . Ichi chipuka chinowanzogara mumakwati ematanda nepasi pemabwe, chinoruma nemuswe wacho.
mbanje 	DK 	9 	z 		mbanje DK z 9 . Mbanje ifodya inodhaka zvikuru, zvekuti inogona kukanganisa pfungwa dzemunhu.
mbatamunwe 	KKKD 	9<10 	z 		mbatamunwe KKKD z 9 <10 . Ichi chinhu chinopfekwa mumunwe, chinoratidza kuti munhu akaroorwa kana kuti chinongopfekerwa mucheno. mhete 9 .
mbe-e 	D 		ny 		mbe-e D ny . Kana kunze kwava kuti mbe-e kunenge kwava kuchena. Kana munhu ane mwoyo wakati mbe-e anenge ane mwoyo wakanaka, munyoro.
mbende 	K- 	9<10 	z 		mbende K- z 9 <10 . Mbende rudzi rwembeva inosvetuka-svetuka. banya 5 .
mbenene mbenene 	KKK DDD 	9 	z 		mbenene mbenene KKK DDD z 9 . Uku kupfuvisa munhu anga achifara.
mberevere 	D- 	9 	z 		mberevere D- z 9 . Aka kamoto kadiki kasinganyanyi kupfuta. Mberevere yakapisa matanda makuru.
mbonje 	D- 	9<10 	z 		mbonje D- z 9 <10 . Kana munhu akatemwa mbonje anenge aita ronda mushure mekurohwa kana kutemwa. vanga 5 .
mburetete 	KDDD 		ny 		mburetete KDDD ny . Kana chinhu chakaita sendiro chakachena zvekuti mburetete chinenge chisisina kana nekatsvina kasaririra, chava kupenya.
mbuyamuderere 	KDDDDK 	9 	z 		mbuyamuderere ambuyamuderere KDDDDK z 9 . Aka kapuka kane makumbo marefu, kanobhururuka nekudyawo tumwe tupuka. mbuyambuya 9 .
mbwende 	K- 	9<10 	z 		mbwende K- z 9 <10 . Mbwende munhu anotya, asina kushinga. gwara 5 .
mbwerekeshe 	D- 		ny 		mbwerekeshe D- ny . bwerekeshe .
mbwetete 	D- 				mbwetete D- . beche 5 .
mbwirembwire 	KDKD 	9 	z 		mbwirembwire KDKD z 9 . Iyi imhunga kana chibage chinokangwa, chokuyiwa kuita upfu hunodyiwa hwakadaro.
me-e 	K 		ny 		me-e K ny . Kuti me-e kuchema kunoita mbudzi.
memetere 	D- 		ny 		memetere D- ny . Kuti memetere kuzadza zviyo kana chibage mumudziyo, sekuti ngoro, mugomo kana saga.
mhakure 	K- 	9>10 	z 		mhakure K- z 9>10 . Mhakure rudzi rwenyoka inozivikanwa nekusimudza musoro zvenhando, uye nekumhanya zvikuru kwainoita.
mhande 	DK 	9 	z 		mhande DK z 9 . Mhande chidimbu chembeu chapamurwa, sekuti chipenga chetsanga yechibage.
mhandire 	DKD 	9>10 	z 		mhandire DKD z 9>10 . Mhandire muguri wechibage chakaoma, chinowanzokangwa. Mhandire chibage chava kuda kuoma, chinowanzogochwa.
mhandwe 	D- 	9 	z 		mhandwe D- z 9 . Mhandwe kamuti kanoita mwana anenge hanyanisi nemaruva matsvuku, kanoti kana kokukumuka kachikunguruka, vakuru vanobva vati koda kunaya zvino.
mhanje 	KD 	9>10 	z 		mhanje KD z 9>10 . Mhanje imhuka hadzi isingabereki. ramba 9, tsote 9 .
mharadzavagere 	DDDDKK 	9 	z 		mharadzavagere DDDDKK z 9 . Uyu munhu anosvikokanganisa kana kufurufusha vanhu panzvimbo pavanga vari pasina chinetso.
mhashu mapfunde 	DD DKK 	9>10 	z 		mhashu mapfunde DD DKK z 9>10 . Urwu rudzi rwemhashu inofarira kugara mumunda wezvirimwa, semumunda wemapfunde. hwiza mapfunde 9 .
mheche 	K- 	9<10 	z 		mheche K- z 9 <10 . Mheche inhengo yemuviri yemunhukadzi inobuda nayo nemwana neweti. beche 5 .
mhembere 	D- 	9 	z 		mhembere D- z 9 . Mhembere imhepo inobva kuchamhembe ichienda kumaodzanyemba.
mhembwe 	D- 	9>10 	z 		mhembwe bembwe, mhengwe D- z 9>10 . Iyi imhuka yemusango yakafanana nembudzi inowanzofamba usiku.
mhere 	D- 	9>10 	z 		mhere D- z 9>10 . Mhere kudaidzira nezwi riri pamusoro kunoita munhu anochema. Ndanzwa mhere ndikaziva kuti sekuru vokurwara vashaika.
mheremhere 	D- 	9 	z 		mheremhere D- z 9 . Urwu ruzha rwakanyanya.
mhete 	DK 	9>10 	z 		mhete DK z 9>10 . Mhete chishongo chemucheno chinopfekwa nemadzimai panzeve. Mhete chishongo chinopfekwa pamunwe chinogona kunge chichitaridza kuti munhu uyu akachata, ava mudzimai kana murume wemunhu.
mheziyemunwe 	DKDKD 	9<10 	z 		mheziyemunwe DKDKD z 9 <10 . Uyu mwana mumwe chete anenge akaberekwa ari ega, kana kuti akararama mushure mekunge vamwe vakafa mumhuri. zindoga 1a .
mhingepinge 	KDKD 	9 	z 		mhingepinge KDKD z 9 . Uku kupindana-pindana nekumonerana-monerana kunowanikwa musango remiti, rine miti mirefu yakatsinhana. mhiyepiye 9 .
mhombwe 	D- 	9>10 	z 		mhombwe mhombo D- z 9>10 . Mhombwe murume anoita zvechihure, achirara nevakadzi vasiri vake.
mire mire 	KD+ 		ny 		mire mire KD+ ny . Kuti mire mire kumirira munhu kwenguva diki, wobva waoenda nekuti anenge akunonokera.
momote 	D- 		ny 		momote D- ny . Kuti momote kuenda pachinhu nokuchifudiga.
monere 	KDK 		ny 		monere KDK ny . Kuti monere kutenderedza shinda pachimuti kana pachibhobhiri. Kuti monere kuenda nenzira inotendereka panzvimbo yauri kuda kusvika.
mubare 	DKD 	1 	z 		mubare DKD z 1 . Mubare munhu waunonzwanana naye nekufarira kuva naye. Anogara achifamba nemubare wake nguva dzose dzose. shamwari 9 .
mubatirapamwe 	DKKDKK 	3 	z 		mubatirapamwe DKKDKK z 3 . Uku kusevenza pamwe chete kwevanhu vakawanda, pamabasa akaita sekurima nekusona. mushandirapamwe 3, humwe 9, hoka 9 .
mubhemhe 	DKK 	3 	z 		mubhemhe DKK z 3 . mbongoro 9 .
mucheche 	D- 	1 	z 		mucheche D- z 1 . Mucheche mwana achangosunungukwa.
muchechete 	D- 	3 	z 		muchechete D- z 3 . Uyu muti unowanzomera pachuru, mumakomo nemunzizi, unoita muchero unonzi chechete dzine ruvara rwemondo yemazai.
muchembere 	D- 	1 	z 		muchembere D- z 1 . Uyu mudzimai akwegura.
muchenje 	D- 	3 	z 		muchenje D- z 3 . Muchenje tumajuru tudiki tune dumbu jena, tunowanzodya uswa, miti nezvimwewo. mujuru 3 .
mucherechese 	DDDKK 	3 	z 		mucherechese mucherekese, mutserekese DDDKK z 3 . Uyu muti murefu unobereka vana vanoshandiswa pakuredzesa hove.
mudhende 	DDK 	3 	z 		mudhende dhende DDK z 3 . mudune 3 .
mudunge mudunge 	DKD+ 	3 	z 		mudunge mudunge DKD+ z 3 . Kuita mudunge mudunge kuramba munhu achingomedza kudya pasina zororo.
mudungwe 	DKD 	3 	z 		mudungwe dungwe DKD z 3 . Uyu mutsara wevanhu kana mhuka. Nzou dzinofamba dzakaita mudungwe kana dzichiyambuka mugwagwa. rundaza 11, mutsetse 3 .
mudyandirere 	DKKDK 	3 	z 		mudyandirere DKKDK z 3 . mudyandigere 3 .
mudyapfunde 	DKDD 	3 	z 		mudyapfunde mudyabvunde DKDD z 3 . Iyi imhando yemapfunde anobudisa muto unotapirira. mudyakwose 3 .
mudzimundione 	DKKKDK 	3 	z 		mudzimundione DKKKDK z 3 . mudzimundiripe 3 .
mufake 	DKD 	3 	z 		mufake DKD z 3 . Mufake mupunga wakaiswa dovi. mashakada 6 .
mufere 	D- 	3 	z 		mufere D- z 3 . Mufere muti unodyarwa uchikura wakatambarara, unokubereka vana vanonzi mashamba, vanobikiswa nhopi kana kupihwa mombe. mushamba 3 .
mufote 	DKD 	3 	z 		mufote DKD z 3 . Mufote inyimo dzakabikwa kuita mutakura, unoitwa mbuva.
mufudze 	DKD 	3 	z 		mufudze mupfudze DKD z 3 . mupfudze 3 .
mufuramhembwe 	D- 	3 	z 		mufuramhembwe D- z 3 . Iri igwenzi rine midzi inorapa chikosoro, rine mashizha anofarirwa nemhembwe.
mugarahorwe 	DDDKD 	3 	z 		mugarahorwe DDDKD z 3 . Iyi imhando yemuti inowanikwa munzvimbo dzakakwirira. mutsatsati 3, mugarahungwe 3 .
mugaranguruve 	D- 	3 	z 		mugaranguruve D- z 3 . Iyi imhando yemuti, unoita minzwa inotandikira, unowanzowanikwa munzvimbo dzinonaya mvura yakawanda. garura 5 .
mugaranyenze 	DDDKK 	3 	z 		mugaranyenze DDDKK z 3 . Iyi imhando yemuti une ganda rine man'aran'azha. muriranyenze 3, mudyahacha 3 .
mugumachembere 	D- 	3 	z 		mugumachembere D- z 3 . Iri iderere rinomera kumakura.
mugumegume 	DKDKD 	3 	z 		mugumegume DKDKD z 3 . Ichi chiitiko chekupedzisira paurongwa hwose hwunenge huripo. vharamusasa 9, mhedziso 9 .
mukare 	DDK 	1 	z 		mukare DDK z 1 . Mukare munhu akanga aripo panguva yepasichigare. Mufemberi Chaminuka mukare.
mukate 	DKD 	3 	z 		mukate DKD z 3 . Mukate ihari huru inobikirwa sadza. tsambakodzi 9, tsaiya 9 .
mukume 	DKD 	3 	z 		mukume DKD z 3 . Mukume zviupfu ndezvinoonekwa pamuchekechera wechibage kana mhunga, zvinozoberekesa maruva acho.
mukuyadenhe 	DDDKK 	3 	z 		mukuyadenhe DDDKK z 3 . Aka kambeva kadiki kasingadyiwi.
mukuze 	DKD 	3 	z 		mukuze DKD z 3 . Mukuze idutu renyuchi. bumha 5 .
mumashure 	DDKD 	18 	z 		mumashure DDKD z 18 . shure 17a .
munetakamwe 	DDDDK 	3 	z 		munetakamwe DDDDK z 3 . Uku kuti kana uine mabasa akawanda aunoda kuita, wobva waaita ese nguva imwe kuti ugozozorora wapedza basa racho rese.
munhurume 	D- 	1 	z 		munhurume D- z 1 . murume 1 .
munwe 	D 	3 	z 		munwe mumwe D z 3 . Munwe inhengo yeruoko inoshandiswa pakubata chinhu kana kupfumbatira muchanza.
mupande 	DKD 	3 	z 		mupande DKD z 3 . Mupande kutinhira kune simba kunoitika kana kunze kwava kuda kunaya, kana kuti kuchitonaya. bhanan'ana 5 .
mupembere 	DDDK 	3 	z 		mupembere DDDK z 3 . Uyu muti unoita mashizha akapfava, nekutanga kuita maruva usati waita mashizha aya. mugodo 3, mupakamabwe 3 .
mupfudze 	DKD 	3 	z 		mupfudze mufudze DKD z 3 . Mupfudze manyowa emombe anobva mundove yacho. mupfumbwe 3 .
mupfumbwe 	DKD 	3 	z 		mupfumbwe DKD z 3 . mupfudze 3 .
mupwere 	DKK 	1 	z 		mupwere DKK z 1 . Mupwere mwana wezera rechidiki.
muremberembe 	D- 	3 	z 		muremberembe D- z 3 . Uyu muti une vana vanorembera vari varefurefu. murumanyama 3, musatanyoko 3 .
murirakamwe 	DDDKK 	3 	z 		murirakamwe DDDKK z 3 . Iyi inguva inorira huku kekutanga usiku hwega hwega.
muromopote 	DDDKD 	3 	z 		muromopote DDDKD z 3 . Iyi ihove inorema zvikuru.
murove 	DDK 	3 	z 		murove DDK z 3 . Murove kuwandisa kwemvura inonaya, kunoita kuti minda izare nemvura inyudze, uye dzimba dzinyorove pasi nemadziro.
murwandirere 	DKKDK 	1 	z 		murwandirere DKKDK z 1 . Uyu munhu anoshandisa mushonga wekukuvadza vamwe.
musandizeze 	DKKKD 	3 	z 		musandizeze DKKKD z 3 . Iyi ihembe yechikadzi pfupi, kana kuti inonjenjemera ichiratidza zviri mukati mayo.
mushapeshape 	D- 	3 	z 		mushapeshape D- z 3 . Uku kunwa mvura kana doro nechimbichimbi.
mushate 	D- 	3 	z 		mushate D- z 3 . Mushate ibota dete dete rinodyiwa risina shuga kana munyu.
mushenjere 	D- 	3 	z 		mushenjere D- z 3 . Urwu rudzi rweuswa hunoreba nekuita mapazi semuti, hwakasimba zvekuti, unoitiswa nhungo, uye hunoshandiswa kurukisa mabhasikiti nezvimwewo. musengere 3 .
musheshe 	DKK 	3 	z 		musheshe DKK z 3 . musvo 3 .
mushore 	DDK 	1 	z 		mushore DDK z 1 . shuramurove 5 .
mushure 	DKD 	18 	z 		mushure DKD z 18 . shure 17a .
musoro bande 	DKK DK 	3 	z 		musoro bande DKK DK z 3 . Uku kutemwa nemusoro zvinorwadza zvikuru.
muswe 	DK 	3 	z 		muswe musve DK z 3 . Muswe inhengo yemuviri wemhuka inomera kumagumo emusana inopinimidza kana kurembera kumashure. muchira 3 . Muswe munhu anosaririra shure pakuita zvinhu.
muswere 	DDK 	3 	z 		muswere muswero DDK z 3 . Iri izuva rose, kubva mangwanani kusvika zuva radoka. Mashaya mombe, manga muchiitei muswere wese wezuva?
mutakuramombe 	D- 	1 	z 		mutakuramombe D- z 1 . muswinyamombe 1 .
mutambaratende 	DDDDKD 	3 	z 		mutambaratende DDDDKD z 3 . mutambarakede 3 .
mutate 	DKK 	1 	z 		mutate DKK z 1 . mudhara 1 .
muteketeke 	D- 	3 	z 		muteketeke D- z 3 . Iyi inyama yakabikwa, inotengeswa panzvimbo inenge yakaungana vanwi vedoro.
mutembwende 	D- 	3 	z 		mutembwende D- z 3 . Uyu mucheka murefu unomonerwa nevarume unosvika mumabvi. mukofo 3, mutevera 3 .
mutengate 	DDKD 	3 	z 		mutengate DDKD z 3 . mutekateka 3 .
mutohwe 	DKD 	3 	z 		mutohwe mutobwe DKD z 3 . Mutohwe muti unobereka muchero une mbai dzinonunira kana dzaibva, dzichirera kana munhu achitsenga. mugururu 3 .
mutovakamwe 	DDDDK\DDDKK 	3 	z 		mutovakamwe DDDDK\DDDKK z 3 . Ichi chiitiko chinoitika kamwe asi chichishamisa. ziitikakamwe 21 .
mutsetse 	DKD 	3 	z 		mutsetse DKD z 3 . mutsara 3 .
muvengahonye 	DKKKD 	3 	z 		muvengahonye DKKKD z 3 . Aka karudzi kemuti kasingakuri kuenda mudenga zvakanyanya. munyingahanyi 3 .
muyembe 	DKK 	3 	z 		muyembe DKK z 3 . Muyembe kutyisidzira kune kutamba mukati. musara 3 .
muzemberere 	DKKDD 	3 	z 		muzemberere DKKDD z 3 . mudzuwerere 3 .
muzvare 	DKK 	1 	z 		muzvare DKK z 1 . Muzvare munhukadzi asati aroorwa. Muzvare Shava ndivo chiremba wemhuri yedu. mukunda 1 .
muzvezve 	DKD\D- 	3 	z 		muzvezve DKD\D- z 3 . Muzvezve mutsara unosara panenge pafamba nenyoka kana chireyi. muzvezverere 3, muhwezva 3, mwezha 3 .
mvengemvenge 	DKDD 	9 	z 		mvengemvenge DKDD z 9 . Ava vanhu kana zvinhu zvinenge zvakangosangana. Musangoita mvengemvenge, mirai vasikana kwavo, vakomana kwavo.
mvongwe 	DK 	5 	z 		mvongwe DK z 5 . Mvongwe imvura yakabvongodzeka, yava netsvina.
mvuve 	D- 	9>10 	z 		mvuve D- z 9>10 . Mvuve ihari isina huro inoshandiswa kubikira manhanga.
mvuwe 	DK 	9>10 	z 		mvuwe DK z 9>10 . Mvuwe mupunga wakanyikwa mumvura unodyiwa usina kubikwa.
-mwe 	K 		pr 		-mwe K pr . -mwe chipauro chinoratidza munhu kana chinhu chinenge chiri chega. Mwana mumwe ndiye adya, vamwe vachiri kugezeswa.
mwene 	DK 	1 	z 		mwene DK z 1 . Kana munhu achinzi mwene wechinhu, zvinoreva kuti chinhu ichocho ndechake. muridzi 3 .
mwenje 	D- 	3 	z 		mwenje D- z 3 . Mwenje moto unotungidzwa kuti ujekese murima. chivheneko 7 .
mwere 	D- 		bat 		mwere D- bat . chero .
mwerere 	D- 	3 	z 		mwerere D- z 3 . Mwerere ibvudzi remwana achangozvarwa, rakaita zerere.
n'angaureure 	DDKKKD 	9>10 	z 		n'angaureure DDKKKD z 9>10 . n'angaure 9 .
n'e-e 	D 		ny 		n'e-e D ny . Kuti n'e-e kutsemuka kunoita jira riri kubvarurwa. mwe-e .
nane 	D- 		dc 		nane nani D- dc . nani .
ndambarukuse 	DDDKD 	9>10 	z 		ndambarukuse DDDKD z 9>10 . Ichi chipuka chisina makushe.
nde-e 	K- 		ny 		nde-e K- ny . Kuti nde-e kutarisa pachinhu chimwe kwenguva refu chaizvo.
ndege 	KD 	9>10 	z 		ndege KD z 9>10 . Ndege muchina unobhururuka, unotakura vanhu, mhuka nezvimwewo. furaimachini 9 .
ndeke 	DK 	10 	z 		ndeke DK z 10 . manyepo 6 .
ndendere ndendere 	KDD+ 				ndendere ndendere KDD+ . Kuti ndendere ndendere kudhonza munhu kana mhuka inenge ichiramba kuenda kwaunenge uchida kuti iende.
ndenderere 	K- 		ny 		ndenderere K- ny . ndendere ndendere .
ndenene 	K- 	9 	z 		ndenene K- z 9 . Ndenene imhando yemhunga. Ndenene inharo dzinopedzwa nokurwa chete.
ndere 	DK 	9 	z 		ndere DK z 9 . Ndere munhu asingadi zvetsvina anogara akachena.
nderendere 	DKDK 		ny 		nderendere DKDK ny . Kuti nderendere kufamba uri mumashure memunhu kana chimwewo chifambiso, asi usiri kuchiteverera. nderere .
ndeve 	K- 	9>10 	z 		ndeve K- z 9>10 . Ndeve mushonga wemaraki unenge wakaputirwa mumucheka.
ndibvinyn'e 	DDK 		kanu 		ndibvinyn'e DDK kanu . ndibvire .
ndinde 	DK 	9 	z 		ndinde DK z 9 . Ndinde kusapera kwechinhu, sezvakaita urwere kana mvura inoramba ichinaya. Mvura yegore rino indinde, zvekuti kune maguta.
ndirendire 	DKDD 	9>10 	z 		ndirendire DKDD z 9>10 . Urwu rwumwe rudzi rweshiri diki inodya mbeu mumunda. tindiri 1a .
ndongwe 	KD 	9>10 	z 		ndongwe KD z 9>10 . Ndongwe tupuka tunobhururuka, tunowanzofamba twakawanda, tunodya mbeu uye twunodyiwa nevanhu. hwiza 9 .
ndonye 	D- 		ny 		ndonye D- ny . Kuti ndonye kuzadza chikafu mumukanwa usina hanya nekuti uri kudya sei. Kuti ndonye kuchonya kunoita munhu ziso achikasika.
ndowe 	D- 		ny 		ndowe D- ny . ndonye .
ndure 	D- 		ny 		ndure D- ny . Kuti ndure kuruma kunoita nyuchi kana igo. Kuti ndure kudonha kunoita vanhu vaviri kana vakawanda panguva imwe.
ndute 	D- 		ny 		ndute D- ny . Kuti ndute kuruma munhu kana mhuka zvirorwadza. Akasvikoti ndute kuruma dama repfambi yaifamba nemurume wake.
ndutswe 	D- 	10 	z 		ndutswe D- z 10 . Ndutswe kutsemuka nemapuri anenge ari muchidziro chemba. mitswi 4 .
ndwe 	K 		ny 		ndwe K ny . Kuti ndwe kubaya nemuseve wakagomara kana kuti une chumusoro chedanda.
ndwise 	DK 	9>10 	z 		ndwise DK z 9>10 . Ndwise munhu ane unhubu hwekufarira kurwisanisa vanhu.
ndye 	D 	9 	z 		ndye D z 9 . Ndye ibudzi rinovava zvekuti haridyike. indye 9 .
ndyirendyire 	KDKD 	9 	z 		ndyirendyire KDKD z 9 . mesomeso 6 .
nekeshe 	D- 				nekeshe D- . Kuti nekeshe kupararira kunoita chinhu chanyangadika semafuta kana uchi.
nemangwe 	DKD 	9<10 	z 		nemangwe DKD z 9 <10 . kiti 9 .
nengete 	K- 		ny 		nengete K- ny . Kuti nengete kuneta kunoita munhu.
ngandure 	DKD 	9 	z 		ngandure DKD z 9 . Ngandure idoro rinodhaka zvekuti dhu.
ngare 	KD 	5 	z 		ngare KD z 5 . Ngare karuva kanoita pamuriwo wemanhanga.
nge 	K 				nge K . Kuti nge kurova simbi uchishandisa kasimbi kadiki.
ngendye 	DK 		ny 		ngendye ngenje DK ny . Kuti ngendye ruzha rwunoitwa nekiyi paunenge uchikiya. keche .
ngenje 	DK 		ny 		ngenje DK ny . ngendye .
ngerengere 	K- 	5 	z 		ngerengere K- z 5 . Iyi isimbi inoshanda sevhiri rebhasikoro kana yabatanidzwa netayi, inotambiswa navana vachivhiriridzwa. chingerere 7, jejerere 5 .
ngome 	DK 	9 	z 		ngome DK z 9 . ndari 9 .
ngororombe 	KKKD 	9 	z 		ngororombe KKKD z 9 . Uku kudzana muchitenderera, pachiridzwa kanyonge kana tserere.
nguruzeze 	D- 		ny 		nguruzeze D- ny . Kuti nguruzeze kurembera nokuda kwekurwara kana kuneta.
ngurwe 	D- 	9>10 	z 		ngurwe D- z 9>10 . nguruve 9 .
ngware 	DK 	10 	z 		ngware DK z 10 . ruware 11 .
ngwendere 	K- 		ny 		ngwendere K- ny . Kuti ngwendere kurira kunoita mudziyo wesimbi kana wawira pasi.
ngwengwendere 	K- 		ny 		ngwengwendere K- ny . Kuti ngwengwendere ruzha rwunoitwa nendiro kana mumwewo mudziyo wesimbi paunowira pasi.
ngwere 	DK 	9>10 	z 		ngwere DK z 9>10 . Kana munhu akanzi ane ngwere anenge achinetsa nekushaisa vamwe vanhu mufaro.
ngwerewere 	K- 	9 	z 		ngwerewere K- z 9 . Ngwerewere upfu hwechibage hwakagayiwa hukaita uchenachena.
nhambetambe 	KDKD 	9 	z 		nhambetambe KDKD z 9 . Kuita nhambetambe kufara muchinakidwa nezvinhu zvinozoguma zvakupinzai mumatambudziko.
nhandare 	D- 	9>10 	z 		nhandare D- z 9>10 . Nhandare inzvimbo yakakurwa, yakagadzirwa zvakanaka, yokutambira mitambo yakaita senhabvu. Nhandare inzvimbo inomhara ndege.
nhangaruvanze 	K- 	1a 	z 		nhangaruvanze K- z 1a . Uyu muroora wokutanga mumhuri.
nhare 	D- 	9>10 	z 		nhare D- z 9>10 . Nhare inzvimbo inokwanisika kuti vanhu vahwande kubva kuvavengi, kana kuti mhuka dzihwande vavhimi.
nhede 	KD 	5 	z 		nhede KD z 5 . manhede 6 .
nhehwe 	D- 	5/9>6 	z 		nhehwe D- z 5/9>6 . Nhehwe iganda rinosara panenge pavhiyiwa mhuka, rinozosukwa kugadzira tambo kana pokugarira mumba.
nhemeteme 	KDKD 	9>6 	z 		nhemeteme dhemeteme KDKD z 9>6 . Ma nhemeteme rudzi rwemakonye akasvibira anodyiwa, anowanikwa mumusasa kana munhondo.
nhendeshure 	DKDD 	9 	z 		nhendeshure DKDD z 9 . madudu 6 .
nhendesure 	DKDD 	9 	z 		nhendesure DKDD z 9 . madudu 6 .
nhere 	K- 	9>10 	z 		nhere K- z 9>10 . Nhere inhumbi yevarume yemukati. Nhere izwi rinoshandiswa kureva nhengo yevarume inoita basa rekusika rudzi.
nhete 	D- 		pr 		nhete D- pr . Kana poriji iri nhete inenge isina kukora, zvokuti hainetsi kumedza.
nheve 	D- 	9 	z 		nheve D- z 9 . nhanga 9 .
nhimbetimbe 	KDKD 	9>10 	z 		nhimbetimbe KDKD z 9>10 . Uku kungotimba asi zvisina urongwa hunoonekera kuti uri kutimbirei, uye wakananga kupi.
nhimuramuswe 	KKKDK 	9 	z 		nhimuramuswe KKKDK z 9 . Iyi yaiva nzira yaishandiswa nevarungu kuti vatapudze zvipfuyo zvevanhu vatema, apo vaidimbura miswe yedzimwe mombe kuti vagoziva kuti dzavachasiya padanga rimwe nerimwe ndedzipi.
nhinganikire 	DKKKK 	1a 	z 		nhinganikire DKKKK z 1a . nhingi 1a .
nhokwe 	KD 	9 	z 		nhokwe KD z 9 . Nhokwe ibundo rinowanikwa murwizi, rinoshandiswa pakurukisa mhasa kana mameti.
nhonje 	DK 	9>10 	z 		nhonje DK z 9>10 . Nhonje muto wedobwe.
nhope 	D- 	9>10 	z 		nhope D- z 9>10 . Nhope madhaka akawanda panzvimbo imwe chete.
nhowetowe 	DKDD 	9>10 	z 		nhowetowe DKDD z 9>10 . Iyi ishiri chena ine makumbo marefu.
nhundetunde 	DKDD 	9 	z 		nhundetunde DKDD z 9 . Uku kunzwa kuda kuenda kunoita weti kakawanda panguva diki.
nhundumuture 	KKDKK 	9 	z 		nhundumuture KKDKK z 9 . Iri idambudziko rinenge rawira vanhu vose munyika, sezvakaita hondo.
nhundutwe 	KKD 	9 	z 		nhundutwe KKD z 9 . Nhundutwe idutu ramadota kana kuti madota ari mugomba ramarara.
nhururadare 	KKKKD 	9 	z 		nhururadare KKKKD z 9 . Uyu muripo unobviswa nemunhu anenge azomhan'ara mhosva kudare kuti itongwe. mushamhu 3, gwiro 5 .
nhutetute 	KDKD 	9 	z 		nhutetute KDKD z 9 . Uku kumhanyamhanya kubvisa midziyo kana nhumbi padzanga dziri uchidziendesa kune imwe nzvimbo. Kana vanhu vachinge vakohwa, marori anoita zvirimwa nhutetute kuendesa kwazvinotengeswa.
njanjare 	DDK 	9>10 	z 		njanjare DDK z 9>10 . Njanjare munhu ane mazino anobudikira kunze. man'oo 6 .
njanjenjanje 	D- 	9>10 	z 		njanjenjanje D- z 9>10 . Iri igonye rinodyiwa rinowanikwa mumuti wemuzhanje.
nje-e 	D 		ny 		nje-e D ny . Kuti nje-e kuhwinya kana kupenya kwechinhu. Kuti nje-e kufamba kwemunhu asina kugatsikana mumwoyo.
njengenjenge 	DKDK 		ny 		njengenjenge DKDK ny . Kuti njengenjenge kudonha kwechinhu chakaomarara, asi chiri mubutiro rakapfava.
njenjeke 	D- 		ny 		njenjeke D- ny . Kuti njenjeke kuisa midziyo kudivi rimwe chete, asi zvisingaratidzi kuva nehanya nemidziyo yacho. njokoto .
njere 	K- 	10 	z 		njere njero K- z 10 . Njere kukwanisa kufunga zvakadzama, kana kuti kupinza kwepfungwa zvakadzama. nzero 10 .
njerere 	K- 		ny 		njerere K- ny . Kuti njerere ruzha runoitwa neshiri kana makurwe.
