a 	K 	1a\9 	vm 		a K vm 1a\9 . Iri ivaramwana rinodaidzwa richinzi a-a , riri pekutanga mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
-dheka 	K 				-dheka K it . Kana uchi dheka unenge uchigadzira nokupereka chikafu chakanatsobikwa.
-dherera 	K 				-dherera K it . Kana uchi dherera umwe munhu unenge uchiita zvaunoda paari nokuti unenge uchiti haana zvaanokuita.
-dhibha 	KD 				-dhibha KD itik . Kana muromo wegeja uchinzi wa dhibha unege uchipinda muvhu zvikuru. Kana mukarima muchidhibhisa muromo wegeja, mbeu dzinokura zvakanaka. Ku dhibha kutaura zvakadzama zvisingawanzotaurwa, kana kuti zvinonetsa kunzwisisa.
dhiga 	KD 		ny 		dhiga KD ny . Kuti dhiga kuisa pasi chinhu chinorema usina hanya, kazhinji uchinge watsamwa. Mukadzi akati mwana pasi dhiga, ndokutanga kukunga zvibhakera.
-dhima 	K 				-dhima K it . Kana uchi dhima magetsi emota unenge uchiita kuti chiedza chawo chive chishoma, kuti chisadzivaidza vamwe vanenge vari mumugwagwa.
-dhinha 	D 				-dhinha D itik . Kana chinhu chichi dhinha chinenge chichiita kuti usanzwa kufarira kuchiita. Kupopotedzana kwavavakidzani ava zuva nezuva kwasvika pakutidhinha. Kana basa raku dhinha rinenge raita kuti unzwe wasara une simba shoma, zvokuti unenge usisakwanise kuramba uchishanda, woda kuzorora.
dhinha 	KD 	5 	z 		dhinha KD z 5 . Dhinha kudya kunogona kuva kwamasikati kana manheru, mhuri yose iripo.
-dhiraivha 	D 				-dhiraivha D it . -chaira .
dhirihora 	DDKD 	5 	z 		dhirihora DDKD z 5 . Iri zimba rakakura uye rakareba, rinoshandiswa kuomesa fodya.
dhiya 	DK 	1a 	z 		dhiya DK z 1a . Dhiya munhu waunenge uchidanana kana kufarirana naye. mudikani 1 .
-dhobha 	K 				-dhobha K it . Kana uchi dhobha unenge uchikotamira pasi kuti utore chinhu.
-dhodhodza 	K 				-dhodhodza K it . -gogodza . Ku dhodhodza kurova chinhu zvine simba uye kakawanda. Ku dhodhodza kuimba usingadudzi mazwi chaiwo, kunyanya kana uchidzidza rumbo rutsva.
-dhogodheka 	D 				-dhogodheka D itik . Ku dhogodheka kubikika kunoita chokudya kwenguva yakareba. Nyama yomusoro yaidhogodheka iri pamoto zuva rose. -rombera, -furuka -boduna, -ndomba .
-dhohonya 	K 				-dhohonya K it . Ku dhohonya kugofa kana kubaya nechinhu chakatesvera.
dhongwana 	DKK 	5 	z 		dhongwana DKK z 5 . Uyu mwana wedhongi kana kuti mbongoro. mubheme 9 .
-dhonza 	D 				-dhonza D it . Ku dhonza kuita kuti chinhu chiuye kwauri uchishandisa maoko kana tambo. -kweva, -kakata .
dhora 	KD 	5 	z 		dhora KD z 5 . Dhora imari inoumbwa nezana remasendi.
dhorofiya 	DDKD 	5 	z 		dhorofiya DDKD z 5 . Uyu muchero une mashizha makobvu ane minzwa, unoita vana vane unye vanonzi madhorofiya.
-dhovhora 	D 				-dhovhora D it . Kana munhu achi dhovhora anenge achibaya nokuboora chinhu chakapfava. Mukomana aidhovhora mashamba akaora nemupini webadza.
-dhubvudza 	K 				-dhubvudza K it . Kana uchi dhubvudza unenge uchichera mvura nemukombe ichiita ruzha.
-dhudhumidza 	DKKK 				-dhudhumidza DKKK it . Ku dhudhumidza kupinda kunoita mvura muchinhu chine muromo mudiki semukombe.
-dhuguka 	K 				-dhuguka K it . Ku dhuguka kubuda panhu nekuchimbidza. Mbeva dzataichera dzakadhuguka kubva mumwena.
dhumbudya 	DKD 	5 	z 		dhumbudya DKD z 5 . Dhumbudya rudzi rwemhashu iine ruvara rwamashizha ine katumbu kakakora namafuta. dhumbudyamafuta 5 .
dhunamutuna 	DDDKK 	5 	z 		dhunamutuna DDDKK z 5 . Iri zimunhu rinenge rakashata kumeso risina kana charinotya panyika.
-dhurudhudhudza 	K 				-dhurudhudhudza K itik . Ku dhurudhudhudza kubuda kunoita mabhora emweya achibva pasi pedziva kana patsikirirwa nechimwe chinhu.
-dhuva 	D 				-dhuva D it . Kana uchi dhuva vamwe unenge uchivafurusa pamagariro avo. -tambudza, -netsa, -shupa, -kangaidza .
diba 	KD 		kanu 		diba KD kanu . Kuti diba kushamisika kune mubvunzo mukati, wokuti handizvo here. handizvo, handiti, haikona .
-dididza 	K 				-dididza K itik . Ku dididza kumhanya nenhambwe pfupi uchiita mutsindo.
difa 	DK 		ny 		difa DK ny . Kuti difa kufonyokera musana kunoitwa navanhu vakura, vasisagone kufamba vakati tasa.
diga diga 	KD+ 		ny 		diga diga KD+ ny . Kuti diga diga kufamba zvine simba guru uchiita mutsindo.
-dikitira 	K 				-dikitira K itik . Kana uchi dikitira unenge uchibuda ziya mumuviri.
-dikura 	K 				-dikura K itik . Kana munhu achi dikura anenge achiita ruzha runoitwa nomunhu anenge ane munhikwi.
dima 	D- 	5 	z 		dima D- z 5 it . mbambaira 9 .
-dimba 	K 				-dimba K it . Kana wa dimba chinhu unenge wachiwana usingafungiri. Ku dimba kuwanikidza chinhu chaunofarira kana chawanga uchitsvaka.
-dimbuka 	K 				-dimbuka -dambuka K itik . Kana tambo ichi dimbuka inenge ichiregedzeka pachibuda dzimwe tambo.
-dimbura 	K 				-dimbura K it . Kana uka dimbura tambo unenge waicheka kana kuigura kuita mbiri kana dzakawanda.
dimikira 	D- 	5 	z 		dimikira D- z 5 . Ichi chirevo chakadzama china mazvi anopesedzera pane zvaanoreva. Kurova imbwa wakaviga mupinyi idimikira rinoreva kuita chinhu usingabudi pachena.
dindindiruswa 	K- 	5>6 	z 		dindindiruswa K- z 5>6 . Urwu rudzi rwehowa hwedindindi hunomera panzvimbo pasina miti yakawanda.
dinga 	D- 	5 	z 		dinga D- z 5 . Dinga munhu akapusa zvikuru.
-dingaringa 	K 				-dingaringa K itik . Ku dingaringa kutarisa mativi akasiyana uchikasira, uchitsvaga zvimwewo kana kuti uchitya. -ringaringa .
dingindira 	K- 	5 	z 		dingindira K- z 5 . Iyi ipfungwa huru inobuda munyaya inenge yakabata ngano kana nhetembo. runyaya 11 .
dinhidza 	D- 	5 	z 		dinhidza D- z 5 . Dinhidza ishiri inogara pedyo nenzizi mumatenhere ichidya hove.
-dinhura 	D 				-dinhura D it . Kana uchi dinhura unenge uchiwisa riva kana zvimwewo zvinenge zvakateyiwa.
dinyamutinya 	DKDDD 	5 	z 		dinyamutinya DKDDD z 5 . Uyu munhukadzi ane magaro makuru, anozungunuka paanenge achifamba.
diramhamba 	D- 	5 	z 		diramhamba D- z 5 . Ichi chipfuyo, kunyanya chakaita chebhuru, rinopiwa kumudzimu womusha.
dirawadira 	DDDKK 	5 	z 		dirawadira DDDKK z 5 . Dirawadira maitire angafanana nokututidzira mvura kana zvimwe zvinhu, vanhu vachingodiranisa pasina kuchenjerera kuti zvingawandisa kana kuti kwete. Chembere dzakaita dirawadira remvura mumugomo wedoro rikawandisa mvura.
-diridza 	DKD 				-diridza DKD it . Ku diridza kuitira weti mumachira wakavata.
ditima 	D- 	5 	z 		ditima D- z 5 . Ditima vanhu vakawanda vanenge vachifamba pamwepo, vachiratidza hasha.
divurahana 	DDDKK 	5 	z 		divurahana DDDKK z 5 . Ichi chinhu chipi zvacho chinoita kuti unzwe kutya.
-diya 	K 				-diya K itik . Ku diya kufamba zvakasimba uchiratidza kuti wakagarika.
-doboda 	D 				-doboda D itik . Kana chinhu cha doboda chinenge chabikwa chikaibvisa.
-doda 	K 				-doda K it . Ku doda kutamba mutambo wenhodo. Ku doda kunzvenga munhu kana zviya muchitamba bhora.
-dododza 	K 				-dododza K it . Ku dododza kuramba uchirova-rova chinhu zvinyoronyoro asi kakawanda.
-dodomesa 	D 				-dodomesa D it . Kana munhu achi dodomesa anenge achitaura kana kuverenga zvakatsetseka asingakakamiri.
-dodonya 	K 				-dodonya K it . Kana munhu achi dodonya anenge achiputsa zai nokurirova-rova nechimumwe kana nebanga.
-doka 	K 				-doka K itik . Kana kwa doka zuva rinenge ranyura. -vira .
-dokonodza 	K 				-dokonodza K it . Ku dokonodza kuda kunyatsonzwa manakiro echaunege uchidya.
-dokwaira 	K 				-dokwaira K itik . Ku dokwaira kunzwa kuda chimwe chinhu zvikuru. Mwoyo wavo unodokwaira kana vachiona kudya kunonaka kwaiswa patafura.
domba 	D- 	5 	z 		domba D- z 5 . nhomba 9 .
-dombera 	D 				-dombera D it . -rembera .
-dona 	K 				-dona K it . Ku dona kufamba wakanangisa mutsipa pamwe panhu, sezvinoita twiza.
dona dona 	DK+ 		ny 		dona dona DK+ ny . Kuti dona dona kufamba munhu akatwasanudza mutsipa setwiza.
-donaira 	K 				-donaira K itik . Ku donaira kufamba wakarebesa huro kuti uone pakakwirira kana zviri kure.
-dondeka 	K 				-dondeka K it . -tendeka. .
-dongera 	K 				-dongera K it . Ku dongera kupa mhinduro isina chokwadi, yaunoita zvokufungidzira. -njobera .
-dongorera 	D 				-dongorera D it . Munhu ano dongorera anotarisa zvishoma achiita seakarebesa huro. -sonza .
-donongodza 	K 				-donongodza K it . -denengura .
-donongosha 	K 				-donongosha K itik . Ku donongosha kutaurisa zvakapfurikidza.
-donzva 	K 				-donzva K it . Ku donzva kushandisa chimuti kana simbi kufambisa nokuda kokukwegura kana kukuvara gumbo.
-doonya 	K 				-doonya K it . -dudunya .
-doora 	K 				-doora K it . Ku doora kufamba rwendo netsoka. Kudoora kutswa kechipiri zvasarira zvisina kunyatsoota pokutanga.
-dootsa 	K 				-dootsa K it . Ku dootsa kurova munhu zvakasimba, kunyanya nemboma. Kana uchi dootsa zvakaita senhumbi unenge uchiita kuti dzinyoreve.
-dopotsa 	D 				-dopotsa D it . Ku dopotsa kunayiwa kwechinhu nemvura zvakasimba. Mvura yakatidopotsa tichibva kujiri ramashuku.
dora 	DK 	5 	z 		dora DK z 5 . Dora igonye dema rine tumizwa tunobaya, rinodyiwa.
-dorika 	K 				-dorika K itik . Ku dorika kufamba kokukwakuka-kwakuka sezvinoita zvitota zvisina mapapiro.
-dorongodza 	K 				-dorongodza K it . Ku dorongodza kutsanangura zvakadzama uye zvine hurongwa. Hakuchina harahwa dzinokwanisa kudorongodza nhoroondo yokubva kwavanhu kuGuruuswa.
-dosha 	D 				-dosha D it . -dorongosha .
-dotsa 	K 				-dotsa K it . Ku dotsa zuva kutora nguva yakareba kana kuti muswere uchiita chimwe chinhu. Vasikana vakadotsa zuva vachirukana misoro yavo. -vidza, -swedza .
dova dova 	KD+ 		ny 		dova dova KD+ ny . Kuti dova dova kufamba zvinyoronyoro.
-dovaira 	K 				-dovaira K itik . Ku dovaira kufamba zvinyoronyoro sezvinoita njiva.
dowa 	DK 	5>6 	z 		dowa DK z 5>6 . Dowa inhiyo yehanga.
-dowera 	K 				-dowera K it . Ku dowera kudya zvokupedza chikafu chose chiripo. -dedenhera, -kwangura .
-duduma 	D 				-duduma D itik . -dedera .
-dudunuka 	D 				-dudunuka -dadanuka D itik . Ku dudunuka kubva kunoita shinda inenge yakasoneswa jira richisara raita serabvaruka. -rudunuka .
-dudzira 	D 				-dudzira D it . Ku dudzira kutsanangura zvinonzwisisika uye zvichitendeseka. Duramazwi ndiro chete bhuku rinodudzira mashoko omutauro zvizere. Ku dudzira kutaura mazita evana pamwe nemanhamba okukunda kwavo muzvidzidzo.
-dukupa 	K 				-dukupa -dupuka K itik . Ku dukupa kusava noukuru kana mumhu mukuru.
-dukura 	K 				-dukura K it . Ku dukura kuzvimanikidzira kurutsa.
-dukwaira 	K 				-dukwaira K itik . Ku dukwaira kugara kokuita zvokuzviunganidza panhu pamwe.
-dumbukidza 	D 				-dumbukidza -dimbukidza D it . Ku dumbukidza munhu kumuwanikidza achiita zvimwe zvinhu zvaanenge asingadi kuonekwa achiita.
dumburaatumbura 	DDDDKDD 	5 	z 		dumburaatumbura DDDDKDD z 5 . Iyi imhirizhonga yokuti panorwiwa zvisina anosiyiwa asina ronda. Rakava dumburaatumbura pakarwisana mambo Ndyire navavengi vake. Uku kuchekwa-chekwa kunoitwa mhuka yaurawa pakawandwa.
-dumhidza 	K 				-dumhidza K it . -kwidibira .
dumwa 	KD 	5 	z 		dumwa KD z 5 . Dumwa mushonga unenge wakasungirwa pamuviri, unogona kufambwa nawo kuzvidzivirira kana kukuvadza vamwe nawo. Mutumwapavi anonzi aienda kuhondo nedumwa rinofema kuitira kuti mapfumo asamubaye. zango 5 .
-dunduzira 	K 				-dunduzira K it . Ku dunduzira kunwa mvura kana chinwiwa zvokupfurikidza mwero, dumbu richisara razara. Vakaridunduzira doro ramagejo hembe dzikaita sedzichatsemuka. -gambizira .
-dunga 	K 				-dunga K it . Ku dunga kumedza chokudya chinenge chisina kumbotsengwa. -svada .
dungirwa 	KDK 	5>6 	z 		dungirwa dungira KDK z 5>6 . Dungira muti kana chibage chinomera pane chimwe chinenge chichikura.
-dungunura 	D 				-dungunura D itik . Ku dungunura kunaka kunoita chidyiwa kana chimwiwa mumuromo.
dungwiza 	D- 	5>6 	z 		dungwiza D- z 5>6 . Dungwiza igwenzi rine minzwa, rinomera zvokuita katenhere panzvimbo. Nzvimbo inomera matungwiza hainayi mvura yakawanda.
dupadupa 	K- 	5>6 	z 		dupadupa dupatupa K- z 5>6 . Uyu muti une mudzi unoshandiswa kudhakisa hove mudziva. Mudziva mukandwa dupadupa, hove dzinobatwa namaoko. chitupatupa 7 .
-dura 	DK 				-dura DK itik . Ku dura kubvuma kuti zvinhu zvakuomera, iwe wambenge uchiti unozvigona. -bvuma .
durika 	KKD 	5 	z 		durika KKD z 5 . Durika mwana anotanga kubuda mazino okumusoro apazasi asati.
durura 	D- 	5 	z 		durura D- z 5 . Durura ibundo rinoreba, rinowanikwa pakanyorova, rinotumbuka richiita dzvuku.
dururasvita 	DDDKK 	5 	z 		dururasvita DDDKK z 5 . Uyu munhu murefu akanaka pachimiro zvose nouso.
-dusa 	D 				-dusa D it . -bvisa .
-dutira 	K 				-dutira K it . Kana uchi dutira unenge uchinwa mvura kana doro rakawandisa. Takadutira mvura mushure mokunge tatsva nezuva zvikuru.
-duumidza 	D 				-duumidza D it . Ku duumidza kuzadza mudziyo nezvaungaisamo, zvokusvika pakupfachukira.
-duwaira 	K 				-duwaira K itik . Ku duwaira kufamba munhu achizunza musoro.
-duza 	D 				-duza D itik . -vhinza .
duzura 	D- 	5 	z 		duzura D- z 5 . duruturu 5 .
dya dya dya 	D- 		ny 		dya dya dya D- ny . Kuti dya dya dya kumhanya kunoita mhuka huru ichiita mutsindo.
-dyara 	K 				-dyara K it . Ku dyara kuisa mhonzi kana kapazi kemuti muvhu kuti zvimere uye zvigokura. Tikadyara miti gore negore ndokuti nyika isaite gwenga. -dzvara, -sima .
-dyidzana 	K 				-dyidzana K itik . Kana vanhu vachi dyidzana vanenge vachiwirirana nokufambidzana, uye vachiita zvinhu zvavo pamwe chete. Ku dyidzana kudya chikafu mundiro imwe chete kwavanhu vaviri kana vanodarika.
dza 	K 		ny 		dza K ny . nama .
dzadza 	D- 	5 	z 		dzadza D- z 5 . Dzadza chibage chinyoro chisati chanyanya kukora. Vana vachine mazino matete pamwe nechembere ndivo vadyi vemadzadza. jandu 5 .
-dzadzambidza 	D 				-dzadzambidza D itik . Kana uchi dzadzambidza unenge uchiita zvinhu usinganatsogona. Kana vana vachidzidzira kuumba nevhu unongoona kuti zvinoumbwa zvacho ndezvekudzadzambidza.
-dzadzambira 	K 				-dzadzambira K it . Ku dzadzambira kuedza kuita chinhu nomazvo.
-dzadzanuka 	D 				-dzadzanuka D itik . Ku dzadzanuka kubuda kana kusimuka kwemunhu kubva makavanda.
dzadzara dzadzara 	D- 		ny 		dzadzara dzadzara D- ny . Kuti dzadzara dzadzara kutadza kufamba zvakarurama, kunyanya kana munhu akadhakwa. pera pera .
-dzadzuka 	DKD 				-dzadzuka DKD itik . Ku dzadzuka kusimudzika kwechinhu chinorema uchishandisa simba rakawanda.
dzaka dzaka 	KD+ 		ny 		dzaka dzaka KD+ ny . Kuti dzaka dzaka kufamba komwana mudiki ari kutotanga kufamba.
dzamarama 	K- 		ny 		dzamarama K- ny . Kuti dzamarama kuteverera chinhu kusvikira kumagumo.
dzamariyata 	DDKDD 	9 	z 		dzamariyata DDKDD z 9 . Kuenda dzamariyata kuenda zvokusazodzoka futi.
dzamatsama 	D- 	5 	z 		dzamatsama D- z 5 . Izvi zvinhu zvizhinji zvaunonokora noruoko rwako.
-dzambanuka 	D 				-dzambanuka D itik . Ku dzambanuka kusimuka zvinyoronyoro kubva pasi. Murwere akadzambanuka oenda kunogara panze.
dzambiringwa 	DKDD 	5 	z 		dzambiringwa DKDD z 5 . zambiringwa 5 .
-dzamuka 	D 				-dzamuka D itik . Ku dzamuka kugona kusimudzwa pamwe chete kwezvinhu zvinogona kuregedzana. Sadza rakapora rinodzamuka nyore.
dzatsatsa 	D- 	5>6 	z 		dzatsatsa D- z 5>6 . Dzatsatsa ura utete hwemhuka diki dzakaita setsuro, hunobikwa nenhoko dzahwo.
-dzatura 	K 				-dzatura K it . Ku dzatura ronda kuritusvura zvokuti rinobuda urwa kana ropa. Ku dzatura kurova neshamhu zvakasimba.
-dzedura 	K 				-dzedura K it . Ku dzedura kuruma chinhu zvekuchigudura.
-dzemberedza 	K 				-dzemberedza K it . Kana munhu achi dzemberedza anenge achikangaidza mumwe pane zvaanege achida kuita.
-dzemura 	D 				-dzemura D it . Ku dzemura munhu kumurova mbama yakasimba.
-dzenda-dzenda 	K 				-dzenda-dzenda K it . Kana uchi dzenda-dzenda unenge uchiveza zvisina unyanzvi, uchingotema-tema muti.
-dzendemura 	K 				-dzendemura -zendemura K it . Kana uchi dzendemura imba unenge uchivaka imba huru.
-dzengedzeka 	D 				-dzengedzeka D itik . Kana munhu achi dzengedzeka anenge achifamba achida kuwa.
-dzeya 	D 				-dzeya D it . Ku dzeya kutsenga zvambomedzwa, kunoitwa nedzimwe mhuka padzinenge dzazorora. Kana uchi dzeya nyaya unenge uchinatsofunga nezvayo, pave pasure uye uri woga.
-dzidza 	D 				-dzidza D it . -dzidzana .
-dzidzana 	D 				-dzidzana D itik . Ku dzidzana kutswa kunoitwa navanhu vaviri kana vatatu muduri rimwe chete panguva imweyo. -dzidza, -jijana .
-dzidzimuka 	D 				-dzidzimuka D itik . Ku dzidzimuka kutanga kuziva zviri kuitika kwemunhu anenge amboziya, kana kuti asisazivi zvaari.
-dzidziuka 	D 				-dzidziuka D itik . Kana munhu anga akamboziya aka dzidziuka ,anenge ava kutanga kuita seonzwisisa zviri kuitika. Mukomana wokufenda achimanya akadzidziuka adirwa mvura yomufiriji.
dzihwa 	DK 	5 	z 		dzihwa dzibwa DK z 5 . Dzihwa zvimvura zvinosiririka nokunamuka zvakaita zvichena, zvinobuda mumhino. Dzihwa chirwere chinobata munhu kwenguva pfupi, chinovhara mhino nokuitisa zvinorembuka zvichena, zvinobuda nomumhino.
-dzikama 	D 				-dzikama D itik . Kana munhu aka dzikama anenge asina kuzhangandira uye anenge akapfava. Ku dzikama kokunze kana kwegungwa kunovapo kana pasina mhepo zhinji.
dzikana 	KDK 	5 	z 		dzikana KDK z 5 . Dzikana musikana murefu ane mumhu mukuru.
-dzikatidza 	K 				-dzikatidza K it . Ku dzikatidza kuita kuti munhu asanyatsoona nokumuvharira.
-dzikatira 	K 				-dzikatira K it . Ku dzikatira kudzivirira kuonekwa kwechimwe chinhu. -dzitira . Kana makore a dzikatira zuva anenge arivhara risaonekwi. Kana umwe akaku dzikatira anenge akuita kuti usanzwa kudziya kwezuva kana kwemoto, achiita zvokuenda mberi kwako.
-dzikinyidza 	K 				-dzikinyidza -dzekenyedza K it . Ku dzikinyidza kubata munhu nenzira yakaipa yokumumanikidzira zvaasingadi nechisimba. -mbunyikidza, -tsombonyodza, -manikidza .
-dzikisa 	D 				-dzikisa D it . Kana uchi dzikisa chinhu unenge uchichibvisa pakakwirira uchichiisa pakaderera. -dzasa .
dzimaidza 	K 				dzimaidza K it . Kana uchi dzimaidza unenge uchikanganisa kuona kana kufunga zvakanaka kwemumwe.
dzimara 	K- 		bat 		dzimara K- bat . dakara .
-dzimatira 	K 				-dzimatira K it . Ku dzimatira kusanyatsokwanisa kufunga pamusana pezvimwe zvinhu zvinokanganisa mafungiro.
-dzimba 	D 				-dzimba D itik . Kana muvhimi achinzi a dzimba anenge abata mhuka. Kana muviri uchi dzimba unenge uchirwadza.
dzimba 	D- 	5 	z 		dzimba D- z 5 . Dzima mufananidzo unosara muvhu panenge patsikwa nemhuka. tsimba 9, dzoka 5, joka 5 .
-dzimura 	K 				-dzimura K it . Kana uchi dzimura unenge uchipedza bopoto kana bongozozo pakati pavakonana.
-dzimwaira 	K 				-dzimwaira K it . -tsumwaira .
-dzingaidza 	K 				-dzingaidza K it . Ku dzingaidza kuita kuti munhu asakwanisa kuita zvaanoda nokuda kweruzha kana zvimwewo. -kangaidza .
-dzipa 	K 				-dzipa K it . Ku dzipa kubata munhu pahuro zvine simba, zvokuti anokoniwa kufema. Kana mbambaira ichiku dzipa pahuro inenge ichinonoka kufamba, zvokuti zvinenge zvotokukachidza.
-dzipuka 	D 				-dzipuka D it . Ku dzipuka kubva muvhu nemidzi kwembeu, uswa kana zvimwewo.
-dzisa 	D 				-dzisa D it . -dzikisa .
-dzitidza 	K 				-dzitidza K it . Ku dzitidza munhu kuita kuti asaone zvimwe zvinhu nokumuvharira.
-dzitsinyira 	K 				-dzitsinyira K it . Ku dzitsinyira kushandisa simba rose pakuita basa rakarema rinoda kusumudza kana kusunda. -fifinyara .
-dziva 	D 				-dziva D it . Kana uchi dziva unenge uchimisa kurwa kana kupopotedzana pakati pavamwe vanhu. Ku dziva kuita kuti munhu asarohwa nokumupotesa seri kwako.
dziva 	D- 	5 	z 		dziva D- z 5 . Dziva igomba rakacherwa nemvura murwizi munoungana mvura.
dziva dziva 	KD+ 		ny 		dziva dziva KD+ ny . Kuti dziva dziva kufamba zvishoma nezvishoma, munhu uchitsvaga chimwe chinhu,uchitaridzika sokunge wakarasika mufungwa.
-dzivaira 	K 				-dzivaira K it . Ku dzivaira kufamba usina kwawakananga uchinge uri kutsvaka zvimwe zvinhu, asi uchitaridza kurasika mupfungwa.
-dzivisa 	D 				-dzivisa D it . Ku dzivisa kuramba kutendera kuti zvimwe zvinhu zviitike. Baba vaigarotidzivisa kufamba usiku kana kuenda kumagirosa pasina zvatatumwa.
-dzohona 	K 				-dzohona K it . -choonya .
-dzokera 	D 				-dzokera D itik . -dzoka .
-dzokorora 	D 				-dzokorora D it . Kana uka dzokorora chimwe chinhu unenge uchichiita zvakare. Mai vakanditi ndidzokorore kusuka ndiro nokuti dzakanga dzisina kuchena. -dzokorodza, -dzokerera .
-dzonga 	K 				-dzonga K it . Ku dzonga kukanganisa zvinhu zvanga zvoda kuitika. -bvoronga .
-dzongonya 	K 				-dzongonya K it . -dzongodza .
-dzonya 	D 				-dzonya D it . Ku dzonya kuisa zvinhu mune chimwe chinhu, uchingoramba uchitutira nyangwe zvazara. -tsokera . Ku dzonya kutswanya zvinhu zvakaita semidzi kana mashizha. -dzwanya .
-dzonza 	K 				-dzonza K it . -dzonga .
-dzosa 	D 				-dzosa D it . -dzora .
-dzudzunga 	K 				-dzudzunga K it . -dzudzura . Kana uchi dzudzunga unenge uchirova zvine simba neshamhu.
-dzudzunura 	D 				-dzudzunura D it . Kana uchi dzudzunura zvinhu unenge uchizviburitsa pachena. Murume akadudzunura mawanire aakaita ufumi hwake pakashaya mubvunzo.
-dzuka 	D 				-dzuka D itik . Ku dzuka kukura kupinda zvimwe zvose kana vamwe vose.
dzukwa 	DK 	5 	z 		dzukwa zukwa DK z 5 . Dzukwa ishave rokutamba. jukwa 5 .
-dzumbunura 	D 				-dzumbunura D it . Kana uchi dzumbunura chinhu unenge uchiita kuti chibude pachena. Mutikitivha akadzumbunura nyaya yokuurayiwa kwaMuchaneta sokutamba.
-dzumburudzana 	K 				-dzumburudzana K it . -umburudzana .
-dzungaira 	K 				-dzungaira K itik . Kana munhu achi dzungaira anenge achinetseka mufungwa dzake. VaMuchineripi vakadzungaira pavakanzwa kuti n'ombe dzavo dzadya munda wavaridzi.
-dzunha 	D 				-dzunha D it . Ku dzunha kubvarura kana kucheka.
dzuro makova 	D- 	5 	z 		dzuro makova D- z 5 . Iyi itsuro inogara pavhu rakanaka, inokura kupinda dzimwe mhando dzetsuro.
-dzurura 	K 				-dzurura K it . -dzudzura .
-dzutura 	D 				-dzutura D it . Ku dzutura kubaya chimwe chinhu nokubudisa zviri mukati.
dzva 	K 		pr 		dzva K pr . idzva .
dzvadzvana 	DDK 	9 	z 		dzvadzvana nzvanzvana DDK z 9 . Dzvadzvana inyoka inenge ichangobva mukuvhunura. nzvenzvana 9 .
dzvanga 	D- 	5 	z 		dzvanga D- z 5 . Dzvanga inzvimbo inosara ichionekera paganda kuti wakambokuvara kana ronda raimbovepo rapora. dzvadzi 5, vanga 5 .
dzvatsvatsva 	K- 	5 	z 		dzvatsvatsva K- z 5 . Urwu rudzi rwedandemutande rine zvimamvere, rinomhanya-mhanya pese pese rinoonekwa kana kwanaya. jachacha 5 .
-dzvenga 	K 				-dzvenga K it . -nzvenga .
dzvetera 	D- 	1a 	z 		dzvetera D- z 1a . Dzvetera munhu anongobvuma zvose zvose.
dzviba 	DK 		pr 		dzviba DK pr . sviba .
-dzvinyira 	D 				-dzvinyira D it . Kana uchi dzvinyira chimwe chinhu unenge uchiisa uremu hwako hwose pachiri.
-dzvinyirira 	D 				-dzvinyirira -dzvanyirira D it . Ku dzvinyirira kushusha, kunetsa kana kusabata mumwe munhu zvakanaka, uchimuomesera. Ku dzvinyirira kutonga nechisimba noutsinye kunoitwa navatongi vasina rutsigiro rwavanhu.
-dzvondora 	D 				-dzvondora D it . Ku dzvondora kuvhura maziso zvikuru. Kana uchi dzvondora unenge uchifambisa-fambisa mboni dzemaziso wakawetsa maziso.
-dzvonyora 	K 				-dzvonyora K it . Ku dzvonyora kuzarura kana kupenenura ganda rinoputira mberi kwemhuka yemunhurume. -dzvonyn'ora .
dzvotsvoma 	D- 	5 	z 		dzvotsvoma D- z 5 . Dzvotsvoma imvura hobvu inonaya kwenguva yakareba. dzvotsvotsvo 5 .
-dzvura 	K 				-dzvura K it . Ku dzvura kuponda mbesa dziri muduri muchishandisa mutswi. Vasikana vaviri vari kudzvura mupunga vachiiita zvokujijana. -tswa .
dzwana 	K- 	5 	z 		dzwana K- z 5 . Dzwana izuva rechipiri tichidzokera sure pamazuva anenge atodarika. marimwezuro 6, dzwanitsa 5 .
-dzwanya 	D 				-dzwanya D it . Kana uchi dzwanya unenge uchishandisa simba rokutsikirira.
-edza 	K 				-edza K itik . Kana kunze kwa edza usiku hunenge hwapera,kwava nechiedza chezuva rinenge roda kuzovheneka nyika.
-edzerera 	D 				-edzerera D it . Ku edzerera kuita chinhu asi usinganyatsochiita nemazvo, nokuda kwekukonewa kana kuti uchingonyengedza vanhu.
ekiserogiya 	KDDDKD 	9>10 	z 		ekiserogiya KDDDKD z 9>10 . Iyi isimbi inobata pasi peekisero yebhasikoro.
-ema-ema 	D 		ny 		-ema-ema D ny . Ku ema-ema kuchema zvisina musoro, zvisinganzwisisike.
-embedza 	D 				-embedza D itik . Ku embedza kunonokera zvako uchiziva, uchida kuzosvika pane imwe nzvimbo zvinhu zvasvika pane nhanho yaunoda.
-endedzana 	D 				-endedzana D itik . Kana vanhu vachi endedzana vanenge vachingoita zvinhu zvakafanana.
-enga 	K 				-enga K it . -venga .
