amaiguru 	DKKKK 	2b 	z 		amaiguru DKKKK z 2b . maiguru 2a .
kwaradzu 	KKD 		ny 		kwaradzu KKD ny . kwarabvu .
kwarakwashuku 	KKKDD 		ny 		kwarakwashuku KKKDD ny . Kuti kwarakwashuku kumuka muhope nekutanga kufamba pakarepo.
kwaru kwaru 	DK+ 		ny 		kwaru kwaru DK+ ny . Kuti kwaru kwaru kuchera pasi zvishomashoma, zvisina kudzika.
kwatanu 	D- 		ny 		kwatanu D- ny . Kuti kwatanu kunamanuka kunoita chinhu, sezvakaita ganda kana goko kana gwande.
kwatsamu 	KKD 		ny 		kwatsamu KKD ny . Kuti kwatsamu kurova munhu nembama. kwatsu, pa .
kwatu 	D- 		ny 		kwatu D- ny . Kuti kwatu kurova zvakanyanya neshamhu kana mbama.
kwau 	D- 		ny 		kwau D- ny . Kuti kwau kubvisa kana kusvuura gavi kubva pamuti waro.
kwau 	KD 		ny 		kwau KD ny . Kuti kwau kucheka kapande kadukuduku kubva panyama yemunyepfu.
kwazhau 	KKD 		ny 		kwazhau KKD ny . Kuti kwazhau kudonhedza michero kana mashizha mazhinji kubva mumuti.
kwazu 	DK 		ny 		kwazu DK ny . kwanzu .
kwazvu 	DK 		ny 		kwazvu DK ny . Kuti kwazvu kubvisa nyama painenge yakabatira pagodo.
kwegu 	KD 		ny 		kwegu KD ny . Kuti kwegu kuratidza kuchembera kana kuti kusakara.
kwenyu kwenyu 	DK+ 		ny 		kwenyu kwenyu kwenu kwenu DK+ ny . Kuti kwenyu kupara-para panenge pachikuvava. Mhezi iyi ndangoiti kwenyu kwenyu, ichibva yatanga kubuda ropa.
kwetsemu 	KKD 		ny 		kwetsemu KKD ny . Kuti kwetsemu kurova munhu kumeso nembama yakasimba.
kwipu 	D- 		ny 		kwipu D- ny . Kuti kwipu kurova munhu uchishandisa shamhu inomonera anenge arohwa wacho. Akati mombe kwipu netyava. Kuti kwipu kudenhuka kwechakateyiwa, sezvinoita dhibhura.
kwishu 	KD 		ny 		kwishu KD ny . gwishu .
kwizu 	DK 		ny 		kwizu DK ny . Kuti kwizu kukwesha kana kupukuta zvakasimba. Akati shangu kwizu kwizu nebhuracho, achibva adziti mutsoka pfe pfe, ndiye panze dhugu.
mabiyangu 	DKKD 	1a 	z 		mabiyangu DKKD z 1a . Iyi ishamwari yemunhu anenge achitaura wacho.
mabvumamurandu 	DDDDKK 	6 	z 		mabvumamurandu DDDDKK z 6 . mabvumamhosva 6 .
machururu 	DKKK 	6 	z 		machururu DKKK z 6 . Uku kuvapo kwezvinhu zvakaita semvura zvakawanda chaizvo. jakachaka 5 .
madimbu 	DDK 	6 	z 		madimbu DDK z 6 . Madimbu kusangana nezvinonaka kana zvinofadza zvawanga usingafungiri.
madududu 	DKKK 	6 	z 		madududu DKKK z 6 . Madududu kufamba uchidzokera kumashure. pfundamutete 9, nhendeshure 9 .
madurungundu 	DKKKK 	6 	z 		madurungundu DKKKK z 6 . Ichi chinwiwa kana chidyiwa chinovava semunyu.
mafashufashu 	DKDKD 	6 	z 		mafashufashu DKDKD z 6 . Uku kuwandisa kwezvinhu zvakaita semvura kana mbesa.
magufu 	D- 	6 	z 		magufu mafufu D- z 6 . mafufu 6 .
maheu 	D- 	6 	z 		maheu D- z 6 . Maheu chinwiwa chinokanyiwa nesadza nemvura, chozoiswa mamera kuti chivire. magada 6 .
maikuru 	K- 	1a 	z 		maikuru K- z 1a . maiguru 1a .
makarukaru 	D- 	6 	z 		makarukaru D- z 6 . Uku kuratidza kutya kuya kwemunhu ane mhosva.
makushamhuru 	DKKDK 	6 	z 		makushamhuru DKKDK z 6 . Urwu rundebvu runotanga kumera pachirebvu kana pamatama emunhurume.
makwenu 	DKK 	6 	z 		makwenu makwene DKK z 6 . Makwenu tukoko tuchena turi mumusoro, tunokonzerwa nekufa kweganda remusoro, tunozokwaturwa nekamu kana munhu achikama.
manyezu 	DKD 	6 	z 		manyezu DKD z 6 . manyerekete 6 .
manyurududu 	DKKKK 	6 	z 		manyurududu DKKKK z 6 . chamunyurududu 7 .
maradu 	KKD 		ny 		maradu KKD ny . Kuti maradu kukwenya kana kumara nenzara.
masvusvu 	DDK 	6 	z 		masvusvu DDK z 6 . Masvusvu ndeanobikwa nemvura yakafashaidzwa nemamera akakuyiwa.
matekenyandebvu 	D- 	6 	z 		matekenyandebvu D- z 6 . Iyi imari inobvisiswa nemukuwasha pakuroora, yekuripa kuti musikana aitamba nendebvu dzababa achiri mudiki.
matewunhewu 	DKDKD 	3 	z 		matewunhewu DKDKD z 3 . Uku kunwa kwakaita semaheu kana doro kunenge kwakawandisa.
matuku matuku 	D- 	6 	z 		matuku matuku matukutuku D- z 6 . Izvi zvinhu zvakawanda zvikuru.
mbabvu 	KD 				mbabvu KD . Mbabvu mapfupa anotandika kumativi emunhu kana mhuka, achibvira pamusana achisangana pachipfuva.
mbeu 	K- 	9<10 	z 		mbeu K- z 9 <10 . Mbeu imhodzi dzakamirira kudyarwa kana kuti dziri mumunda dzakatodyarwa. mbesanwa 10 .
mbiru 	DK 	9<10 	z 		mbiru DK z 9 <10 . Mbiru ibango rinoshandiswa kumisa denga remba kana ichiturikirwa, rakaiswa pakati pemba nechemukati. rumhanda 11 .
mbu-u 	K- 		ny 		mbu-u K- ny . Kana musoro wemugaisi wakati mbu-u unenge wakazara upfu, wakachena.
mburu 	DK 	9<10 	z 		mburu DK z 9 <10 . Mburu munhu ane utsotsi, anoita zvisingafirirwi nevamwe. svovera 9 .
mburumbu 	KKD 		ny 		mburumbu KKD ny . Kuti mburumbu kutaura sezvinonzi mumuromo makazara kana pane zvaunotsenga.
mbwazukuru 	KDDD 	9<10 	z 		mbwazukuru imbwazukuru KDDD z 9 <10 . Iyi imombe inopiwa mbuya nemuzukuru wavakarera, achivatenda kuti vakamurera.
medu 	KD 		ny 		medu KD ny it . Kana ukati medu chingwa, unenge wachitsemura kuita zvidimbu. Mai vatora sadza rakasara madeko ndokubva vati medu, ndokukandira imbwa.
mepfenu 	KKD 		ny 		mepfenu mopfono KKD ny . mepfu .
mhandu 	DK 	9>10 	z 		mhandu DK z 9>10 . Mhandu munhu wausingawirirani naye, anoda kukukuvadza. muvengi 3 .
mharuparu 	D- 	9<10 	z 		mharuparu D- z 9 <10 . Iyi ndeimwe yenhungo ina dzinotanga kuumbiswa denga, kazhinji reimba yedenderedzwa.
mharuparu 	KKKD 	9>10 	z 		mharuparu KKKD z 9>10 . Aya matsemu matsemu anowanikwa pambambaira, kana paganda remunhu rava nenguva risingagezwi kana kuzorwa mafuta.
mhidzu 	KD 		ny 		mhidzu KD ny . mhi .
mhofu 	KD 	9>10 	z 		mhofu KD z 9>10 . Mhofu imhuka yakada kutsvukurukira ine nyanga dzakatarisa mudenga dziri refu zvishoma, inowanikwa mumasango emiti neuswa.
mhukutu 	D- 	9 	z 		mhukutu D- z 9 . Mhukutu ivhu dzvuku rinowanikwa, kazhinji, mujinga memakomo. jihwo 5, jiho 5 .
mhumbu 	D- 	9>10 	z 		mhumbu D- z 9>10 . Mhumbu rudzi rwehove inowanikwa pasi pasi pemvura, ine musoro wakatarisa pasi, yakarebenuka.
mhundu 	KD 	9<10 	z 		mhundu KD z 9 <10 . tsine 9 .
mhupu 	DK 	10 	z 		mhupu DK z 10 . Mhupu kutaura kana kuita zvinenge zvauya mupfungwa, usina kunyatsozvizeya.
mhuru 	DK 	9>10 	z 		mhuru DK z 9>10 . Mhuru mwana wemhuka dzakaita semombe, nzou, mhofu nedzimwewo dzakadaro.
mhurusikopu 	DDKKK 	9 	z 		mhurusikopu mhurusikofu DDKKK z 9 . Idzi inguva dzemangwanani-ngwanani.
minyu 	DK 		ny 		minyu DK ny . Kuti minyu kukuvara zvekuti bhonzo rinofonyoka kana kupesana nerimwe.
mubiyangu 	DKKK 	1 	z 		mubiyangu DKKK z 1 . Iri izwi rinoshandiswa nemunhu kana achitaura kuti munhu waari kutaura nezvake ishamwari yake.
mudhefudhefu 	DDKDD 	3 	z 		mudhefudhefu DDKDD z 3 . Iri idanho rinondengendera, rakatetepa, rinoyambukisa vanhu rwizi.
mududu 	DDK 	3 	z 		mududu DDK z 3 . Mududu igomba rakadirwa mvura, rinocherwa ivhu rekuitisa mabasa akasiyana seepakuvaka.
mudukutu 	DKKD 	1 	z 		mudukutu DKKD z 1 . Uyu mukadzi mukuru paguru. vahosi 1a .
mudyahuku 	DKKK 	3 	z 		mudyahuku DKKK z 3 . Uyu muti unoita chitsokotsoko chemapazi akawanda-wanda, unobereka muchero unotapira chaizvo. munwahuku 3 .
mudyamhofu 	DKKD 	3 	z 		mudyamhofu DKKD z 3 . Iyi imhando yemuti une mashizha anotsvukuruka munguva dzechirimo, uye unoita mapazi anoita dumbu remashizha kwekupedzisira kwawo. munyimonyimo 3, mudyavarungu 3, mukwiramhofu 3 .
mudyamhungu 	DKKK 	3 	z 		mudyamhungu DKKK z 3 . Uyu muti unowanzoonekwa pachuru uchiita vana vane mhodzi dzakawanda. mutandanyoka 3, mukundanyoka 3 .
mufuku 	DDK 	3 	z 		mufuku DDK z 3 . Mufuku igomba rinocherwa mujecha kuti vanhu vawane mvura, kana rwizi rwuchinge rwaoma.
muganhu 	DKD 	3 	z 		muganhu muganho DKD z 3 . Muganhu inzvimbo inoperera chero chinhu.
mugwaku 	DDK 	3 	z 		mugwaku DDK z 3 . Mugwaku mudziyo wakavezwa, unenge mugoti, asi iwo wakafombwera mukati, unoshandiswa kupakurisa kudya kwakaita sesadza. rugwaku 11 .
mujuru 	DDK 	3 	z 		mujuru DDK z 3 . muchenje 3 .
mukubvu 	DKD 	3 	z 		mukubvu DKD z 3 . mutsubvu 3 .
mukundu 	DKK 	3 	z 		mukundu DKK z 3 . Uku kufamba usina kupfeka.
mukweguru 	DKDD 	1 	z 		mukweguru DKDD z 1 . Uyu munhu akura chaizvo.
mumhu 	DK 	3 	z 		mumhu DK z 3 . mhumhu 3 .
mumumu 	K- 	9 	z 		mumumu K- z 9 . chimumumu 7 .
mundimu 	DKD 	3 	z 		mundimu DKD z 3 . Mundimu muti unogara uine mashizha manyoro nguva dzese semuranjisi, uchibereka vana vanovava vanonzi mandimu. muremoni 3 .
mungurau 	D- 	3 	z 		mungurau D- z 3 . Uyu muti unowanzomera pane mvura zhinji, nekukura wakatandika mimwe miti.
munhuchu 	DKD 	3 	z 		munhuchu munyuchu DKD z 3 . Munhuchu chibage chakaoma chinotswiwa chobikwa chomonwa nedovi. mashazhare 6 .
munyepfu 	D- 	3 	z 		munyepfu D- z 3 . Munyepfu inyama isina mapfupa.
munyu 	DK 	3 	z 		munyu DK z 3 . Munyu zvitsanga kana zviupfu zvinorungiswa usavi, zvekuti kana zvisipo nyama kana muriwo haudyike.
munyungu 	DDK 		ny 		munyungu DDK ny . Kuti munyungu karuzha kaunoita pakuedza kutsenga chikafu chakaomarara kwaunenge uchiita wakavhara muromo.
munzviru 	DKD 	3 	z 		munzviru munzvirwa DKD z 3 . Uyu muti une vana vakaita sekutenderera vanotsvukuruka kana vaibva uye vanodyiwa.
muparu 	DKD 	3 	z 		muparu DKD z 3 . Muparu mucheka waishandiswa kare kubata mazamu.
mupfumvumvu 	D- 	3 	z 		mupfumvumvu D- z 3 . Uku kuzarisa kunoita tswanda kana mugomo neupfu, kana chibage, kana zvimwewo.
muramu 	DKD 	1 	z 		muramu mwaramu DKD z 1 . Muramu , munin'ina kana mukoma wemurume wako. Muramu munin'ina kana mukoma wemukadzi wako. Muramu murume kana mukadzi wemunin'ina kana mukoma wako.
murarabungu 	DDDKK 	3 	z 		murarabungu DDDKK z 3 . Iri zibhandi rine mavara akawanda, rinotanda mudenga kana kuchipfunha.
murau 	D- 	3 	z 		murau murao D- z 3 . mutemo 3 .
murezu murezu 	DKD+ 	3 	z 		murezu murezu DKD+ z 3 . Idzi inhumbi kana zvimwewo zvinenge zvisina kumira zvakanaka zvakarembera kana kupfumvunyuka.
muru 	KD 		ny 		muru KD ny . Kuti muru kusimuka wanga wakagara pasi. simu, nyamu .
murungu 	D- 	1 	z 		murungu D- z 1 . Murungu munhu ane ganda rakatsvuka zvekutoda kuchena, nevhudzi rinoyerera, uye ane madziteteguru akazvarirwa kuEurope. muchena 1, muzungu 1, murumbi 1 .
murururu 	DKKK 	3 	z 		murururu DKKK z 3 . Uyu mudungwe wezvinhu zvinenge zvakatsinhana, sechibage mumitsetse. mutototo 3 .
musaku 	DKK 	3 	z 		musaku DKK z 3 . Musaku zvinhu zvakasiyana-siyana. Pane misaku nemisaku yevanhu pano pasi. rudzi 5, mhando 9 .
musaru 	DDK 	3 	z 		musaru DDK z 3 . mupani 3 .
mushakabvu 	DKKD 	1 	z 		mushakabvu muchakabvu DKKD z 1 . Uyu munhu akashaya.
mushu 	DK 	3 	z 		mushu DK z 3 . musvo 3 .
mushutu 	D- 	3 	z 		mushutu D- z 3 . musvo 3 .
mushwapu 	DDK 	3 	z 		mushwapu DDK z 3 . shamhu 9 .
Musikavanhu 	D- 	1a 	z 		Musikavanhu D- z 1a . Mwari 1a .
musumbu 	DKK 	3 	z 		musumbu DKK z 3 . Musumbu uswa hwakawanda, hwakasungwa pamwe chete. mwanda 9, chimwanda 7 .
musungusungu 	DKKDK 	3 	z 		musungusungu DKKDK z 3 . mukundanyama 3 .
musvau 	DDK 	1 	z 		musvau DDK z 1 . Musvau munhu anotambura kwazvo. muchena 1, murombo 1 .
musvinu 	DDK 		pr 		musvinu DDK pr . Munhu musvinu ndeanenge ane chimiro netsika dzakanaka. Munhu musvinu munhu akasimba, asingarware.
musvotamhungu 	DDDKK 	3 	z 		musvotamhungu DDDKK z 3 . Uyu muti unoshandiswa kuita mapango, unowanzoita muzvuru maunenge uchimonerana nemimwe.
mutandangu 	DDDK 	3 	z 		mutandangu DDDK z 3 . Uyu mutinhimira wengoma inoririsa zvikuru.
mutufu 	D- 	3 	z 		mutufu mutupfu D- z 3 . Mutufu rudzi rwemuti une mapazi matsvuku anotyoka nyore, unobereka vana vanodyiwa vanonzi matufu.
mutukutu 	DDKD 	3 	z 		mutukutu DDKD z 3 . Uyu muti une mashizha makobvu anenge mabhuku, unoita zvivana zvakareba, zvakaomarara zvinopihwa mombe. mubhuku 3, muhavahava 3, musekesa 3 .
mutunduru 	DDKD 	3 	z 		mutunduru DDKD z 3 . Urwu rudzi rwemuti unogara wakasvibira, unobereka muchero unodyiwa unonzi matunduru. munywanywa 3 .
mutunhu 	DKK 	3 	z 		mutunhu DKK z 3 . dunhu 5 . Mutunhu urefu hwenzvimbo yaunofamba uchienda kana kubva kune imwe nzvimbo. Mutunhu inzvimbo iri kure. Kubva kwedu kusvika kwambuya pane mutunhu.
mutuu 	D- 	3 	z 		mutuu D- z 3 . Mutuu mudziyo wekubatisa hove, unogadzirwa netsanga.
muvhuruvhuru 	D- 	3 	z 		muvhuruvhuru D- z 3 . mafufu 6 .
mwaramu 	DKK 	1 	z 		mwaramu muramu DKK z 1 . muramu 1 .
mwarau 	KKD 		ny 		mwarau marau KKD ny . Kuti mwarau kumara zvakasimba uye zvinorwadza nenzara, zvekuti munhu akuvare.
mweku 	KD 		ny 		mweku KD ny . Kuti mweku kunyemwerera kwekungoti oo zvishomanana, munhu asingaenderere mberi.
mwepfu 	KD 		ny 		mwepfu mepfu KD ny . Kuti mwepfu kudambura chinhu chakaita sembambaira kana nhanga rakabikwa.
n'an'au 	KKD 		ny 		n'an'au n'wan'wau KKD ny . Kuti n'an'au kuruma kunoita mhuka ichibvarura nyama.
n'anyu 	D- 		ny 		n'anyu D- ny . Kuti n'anyu kugara munhu akavhura makumbo, asina basa nekuti akagara zvakanaka here.
n'en'enu 	KKD 		ny 		n'en'enu KKD ny . Kuti n'en'enu kuruma kana kutsenga chinhu chakaoma zvinyoronyoro, uchiseenzesa mazino epamberi.
nafu nafu 	KD+ 				nafu nafu KD+ . Kuti nafu nafu kudya zvishomashoma kwemunhu asingadi chekudya chacho. nyobvo nyobvo .
namanu 	D- 		ny 		namanu D- ny . Kuti namanu kukwatunura chambenge chakabatanidzwa nechimwe. -kwatanu .
namu 	D- 		ny 		namu D- ny . Kuti namu kutora zvinhu zvisiri zvako, uchitiza nazvo. Vakazongoona at chikwama chavo namu, achibva ati tore kumhanya akananga kumusika kwainge kuzere vanhu. Kuti namu kubva kwechange chakanamirwa.
nan'anu 	KKD 		ny 		nan'anu KKD ny . Kuti nan'anu kusarudza chinhu chimwe kubva muzvizhinji.
nanau 	D- 		ny 		nanau D- ny . Kuti nanau kutsva kunoita chinhu chakaita sepepa kana ndiro yepurasitiki, inotsva ichikombamira uye ichidonhedza zvinhu zvinenge namo.
nangu 	D- 		ny 		nangu D- ny . Kuti nangu kutorera kana kubvutira munhu chaanenge akabata.
ndarazu 	KKD 		ny 		ndarazu KKD ny . Kuti ndarazu kutetepa kwemuviri kwemunhu ambenge akafuta.
ndebvu 	D- 	9>10 	z 		ndebvu D- z 9>10 . Ndebvu imvere dzakaita sevhudzi dzinomera pachirebvu chemunhu.
nderu 	KD 		ny 		nderu KD ny . Kuti nderu kumhanya uchikasira panzvimbo ine materu.
ndimu 	KD 	5>6 	z 		ndimu KD z 5>6 . Ndimu muchero wakaita seranjisi asi iwo uchivava. remoni 5 .
ndomundomu 	D- 	9>10 	z 		ndomundomu D- z 9>10 . Aka kapfuti ketsanga kanoiswa mvura kuti karire. kamuchatichati 12 .
ndudu 	KD 	9 	z 		ndudu KD z 9 . chikwepa 7 .
ndugu 	D- 	9>10 	z 		ndugu D- z 9>10 . nduni 9 .
ndundu 	D- 	9>10 	z 		ndundu D- z 9>10 . Ndundu ifodya yemudzanga kana kuti yechikwepa, inoputwa munhu achikweva hutsi.
ndunduru ndunduru 	KKD+ 		ny 		ndunduru ndunduru KKD+ ny . Kuti ndunduru ndunduru munhu kumudhonza zvenharo iye asingadi.
ndurududu 	K- 	5 	z 		ndurududu K- z 5 . Uku kututuma kunoita mvura ichibva pasi, sezvakaita muduhwino.
ndurunduru 	D- 	9>10 	z 		ndurunduru D- z 9>10 . Iyi ipfuti hombe. Iri igamba kana kuti uto rakasimba.
ndyundyu 	DK 	5 	z 		ndyundyu DK z 5 . nyurusi 5 .
neku neku 	KD KD 		ny 		neku neku KD KD ny . Uku kufamba kunoita munhu achikwira nekudzika zvisina chinangwa.
nepfu 	D- 		ny 		nepfu D- ny . Kuti nepfu kumeduka kunoita chinhu chisina kuomarara, sechingwa kana keke. mepfu .
ngaangu 	KD 	9 	z 		ngaangu KD z 9 . Ngaangu kapuka kakada kufanana nembeva, kanonzi kane machende makuru chaizvo akanonzi kanofamba kachiita zvekuzvuva.
ngandu 	D- 		ny 		ngandu D- ny . Kuti ngandu kubvira kwemurazvu mukuru wemoto nokukasika.
ngangu 	D- 	9>10 	z 		ngangu D- z 9>10 . Ngangu munhu ane muviri wakasimba, anoshanda chaizvo.
nganunu 	DKD 	9>10 	z 		nganunu DKD z 9>10 . Nganunu ipfuti hombe ine mavhiri.
ngondomu 	KKD 		ny 		ngondomu KKD ny . ngondo .
-ngu 	D 		dz mwene 		-ngu D dz mwene . Iri idzitsi rechirevamwene rinotaura munhu wacho anenge achitaura panguva iyoyo. Amai vangu vanosevenza kuyunivhesiti.
ngundu 	K- 		ny 		ngundu K- ny . Kuti ngundu kutinhira sezvinoitika kana koda kunaya.
ngururu ngururu 	K- 		ny 		ngururu ngururu K- ny . ngiriri ngiriri .
nguyu 	DK 		ny 		nguyu DK ny . Kana munhu akati nguyu mukanwa, anenge asina kana nezino rimwe zvaro.
ngwamu 	KD 		ny 		ngwamu KD ny . Kuti ngwamu kurova munhu kumeso kana mumusoro.
ngwaru 	DK 		ny 		ngwaru DK ny . Kana munhu akati ngwaru anenge achitaridzika kuva ane njere. Tsvagai mukomana akati ngwaru pavatatu ava, watichatuma kunoroora.
nhabvu 	DK 	9 	z 		nhabvu DK z 9 . Nhabvu mutambo unotambwa nezvikwata zviviri zvinenge zvichikwikwidzana kubanhira bhora mugedhi. Mutambo wenhabvu ndivo mutambo unonyanya kufarirwa navanhu munyika muno. bhora 5 .
nhafu 	DK 	9 	z 		nhafu DK z 9 . Nhafu mwoyo wokuda kudya woga usingapi vamwe. mandyo 6, makaro 6, mbayo 10, mukaha 3 .
nhamhu 	KD 		ny 		nhamhu KD ny . Kuti nhamhu kuuruka kunoita ingwe ichinobata mhuka yainenge ichida kudya kana kurwisa.
nhanhatu 	KDK 		pr 		nhanhatu KDK pr . Mombe nhanhatu imombe dzine uwandu huri pakati peshanu nenomwe.
nhanhu 	KD 		ny 		nhanhu KD ny . Kuti nhanhu kukwakuka kunoita dacha.
nhatu 	DK 		pr 		nhatu DK pr . Mbudzi nhatu imbudzi dzinenge dzine uwandu huri pakati pembiri neina.
nhau 	DK 	9 	z 		nhau DK z 9 . Nhau inyaya yezvaitika, zvakaitika kana zvichaitika.
nhetsutetsu 	KDKD 	9 	z 		nhetsutetsu KDKD z 9 . Uku kubuda kwezvinhu zvizhinji panguva imwe chete. Vana vechikoro vakati nhetsunhetsu kubuda mudzimba dzavanodzidzira, zvavainge vapedza zvidzidzo. Uku kuwanda kwemidziyo iri kututirwa kana kudzakiswa mumotokari, kana kuti inenge yakatakurwa. Uku kuwanda kwemichero pamuti umwe chete.
nhomu 	K- 	9>10 	z 		nhomu K- z 9>10 . Nhomu munda mutsva unenge waita zvokutimbwa nemapadza, mbeu dzisati dzadyarwa.
nhubu 	KD 	9>10 	z 		nhubu KD z 9>10 . Nhubu munhu ane mabasa akaipa, anokonzera ruvengo pakati pevanhu. mharadzi 9 .
nhumbu 	D- 	9>10 	z 		nhumbu D- z 9>10 . Nhumbu inhengo yomuviri womunhu inogamuchira nokuzeya chikafu chinenge chadyiwa. dumbu 5 . Kana mukadzi achinzi ane nhumbu anenge akatakura mwana waanenge achitarisira kuzozvara. mimba 9, pamuviri 17 .
nhururu 	D- 	9 	z 		nhururu D- z 9 . Nhururu mweya wakaipa, wemunhu akagutisa, unobuda mukanwa kana munhu achinge adzvova. nhuru 9, tsvii 9 .
nhutu 	KD 	9 	z 		nhutu KD z 9 . Nhutu inzvimbo inomera bundo refu.
nhuzu 	KD 	9>10 	z 		nhuzu KD z 9>10 . Nhuzu chironda chinoita mvura mukati, chinobuda kana munhu atsva nemoto kana nemvura inopisa. dubwani 5 .
ningu 	DK 		ny 		ningu DK ny . Kuti ningu kuminyuka panzvimbo dzinosangana magodo emuviri, pakaita sepabvi. minyu .
njaku njaku 	KD+ 		ny 		njaku njaku KD+ ny . njai njai .
njandangu 	KKD 		ny 		njandangu KKD ny . Kuti njandangu kudonha kwemunhu anenge atadza kutsika zvakanaka.
njimu 	KD 		ny 		njimu KD ny . zhimu .
njunju 	KD 		ny 		njunju KD ny . Kuti njunju kuchena kwehembe kana mudziyo. mbu-u .
nyaku nyaku 	D- 		ny 		nyaku nyaku D- ny . Kuti nyaku nyaku kufamba munhu achipesvura nhembe.
nyamabundu 	DDKK 	9 	z 		nyamabundu DDKK z 9 . muswewadepa 3 .
Nyamavhuvhu 	DDKD 	1a 	z 		Nyamavhuvhu DDKD z 1a . Uyu mwedzi wechisere wegore, inova ndiyo nguva inovhuvhuta mhepo yakawanda inosimudza huruva. Agasiti 1a .
nyambu 	KD 		ny 		nyambu KD ny . Kuti nyambu kurova nekashamhu kadikidiki.
nyandu nyandu 	D- 		ny 		nyandu nyandu D- ny . Kuti nyandu nyandu kufamba nekuchimbidza, munhu achimwaza maoko nenhumbi kuti aonekwe.
nyau 	KD 		ny 		nyau KD ny . Kuti nyau kuruma nekubvarura kungaita chinhu chine mazino akapinza. Garwe rakati nyau tsapfu yababa.
nyazu nyazu 	D- 		ny 		nyazu nyazu D- ny . Kuti nyazu nyazu kufamba nesimba uchidadirira.
nyeku nyeku 	D- 				nyeku nyeku D- . Kuti nyeku nyeku kusekerera usingaburitsi mazino panze. Paida akati nyeku nyeku paakanzi naPaza ndinokudisa.
nyenyeu 	KKD 		ny 		nyenyeu KKD ny . Kuti nyenyeu kuruma chinhu uchisiya paine gomba. Mwana akati gwavha nyenyeu.
nyenyu 	KD 		ny 		nyenyu KD ny . Kuti nyenyu kuruma nekudya tubandi tudiki. Mukomana akati bhanana nyenyu.
nyezu 	KD 		ny 		nyezu KD ny . Kuti nyezu kuvesa moto unobvira zvikuru. nyeu, zhii .
nyezu nyezu 	D- 		ny 		nyezu nyezu nyezvu nyezvu D- ny . Kuti nyezu nyezu kufamba-famba kunenge kuchiita hembe inenge yakapfekwa kana kuturikwa.
nyinu 	DK 		ny 		nyinu DK ny . Kuti nyinu kuburitsa mazino pachena, sezvinoita imbwa kana yatsamwa.
nyipu 	D- 		ny 		nyipu D- ny . Kuti nyipu kudonha kwemhuka kana munhu akaonda, kana kuti anorwara.
nyofu nyofu 	KD+ 		ny 		nyofu nyofu KD+ ny . Kuti nyofu nyofu kudya kunoratidza kuti munhu haasi kunyanya kufarira chikafu chacho. nyobvu nyobvu .
nyubvu 	KD 		ny 		nyubvu KD ny . nopfu .
nzou 	D- 	9>10 	z 		nzou D- z 9>10 . Nzou zimhuka zihombe kudarika dzimwe dzese, rine mazinzeve nemusinga une nyanga dzakakosha.
nzununu 	D- 		ny 		nzununu D- ny . Kuti nzununu kugara kwemunhu chinyararise, zvikuru kana achirwara kana kurwadziwa.
nzvuwu 	D- 	9 	z 		nzvuwu D- z 9 . Nzvuwu isadza rakasara, rinozodyiwa ramboswera kana kuradzwa.
padu 	KD 		ny 		padu KD ny . Kana chinhu chati padu chinenge chatsemuka, kazhinji nokuda kwekuzarisa.
pamu 	K- 		ny 		pamu K- ny . Kuti pamu kuzara kwemudziyo kusvika pamuromo.
panganu 	D- 		ny 		panganu D- ny . Kuti panganu kuwana twokudya, twokumwa kana twokuputa tushomashoma, twekungopedza havi munguva yazvinenge zviri kunetsa kuwana.
pangu 	KD 		ny 		pangu KD ny . Kuti pangu kubvisa tumwe tunhu pane zvimwe zvakawanda.
panhu 	D- 	16 	z 		panhu D- z 16 . Panhu inzvimbo inenge ichitaurwa nezvayo. Ngatigarei panhu pamwe, kuti chikafu chisanetsa kugovera.
panyangu 	DDK 		ny 		panyangu DDK ny . Kuti panyangu kuvhura makumbo, zvokuti nhengo dzemuviri dzinonyadzisa dzinogona kuoneka.
pazu 	KD 		ny 		pazu KD ny . Kuti pazu kutema mapazi pamuti.
pesengu 	KKD 		ny 		pesengu KKD ny . Kana chinhu chati pesengu chinenge changopatika chisisaonekwe.
petu 	DK 		ny 		petu DK ny . Kuti petu kukombamisa bepa kana jira kuti riite diki. Kuti petu kutendeuka wodzokera kwawabva.
pfachu 	KD 		ny 		pfachu KD ny . Kuti pfachu kurasika kwemvura ichienda kure, kana painenge yakaungana pakandwa chinhu.
pfapfanyu 	KKD 		ny 		pfapfanyu KKD ny . Kuti pfapfanyu kuruma zinhindi renyama yakapfava. randabvu .
pfuchu 	D- 		ny 		pfuchu D- ny . pfichi .
pfudunu 	D- 		ny 		pfudunu D- ny . Kuti pfudunu kubvisika kwepanga pakasungwa pachiregedzeka. -fundunu .
pfudzunu 	D- 		ny 		pfudzunu D- ny . pfudunu .
pfugudu 	KKD 		ny 		pfugudu KKD ny . pfudugu .
pfukuchu pfukuchu 	D- 		ny 		pfukuchu pfukuchu D- ny . Kuti pfukuchu pfukuchu ruzha runoitika kana munhu achifamba mumusheche. fekeshe fekeshe, zhaka zhaka .
pfukumu 	KKD 		ny 		pfukumu KKD ny . Kuti pfukumu kupfumbuka kwemumba manga muchitambirwa kana kudzanirwa.
pfumbu 	KD 		pr 		pfumbu KD pr . Chinhu chi pfumbu chinenge chine ruvara rwuri pakati peutema neuchena, asi rwakanyanya kurerekera kuuchena, sezvakaita dota.
