a 	K 	1a\9 	vm 		a K vm 1a\9 . Iri ivaramwana rinodaidzwa richinzi a-a , riri pekutanga mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
nhokwe 	KD 	9 	z 		nhokwe KD z 9 . Nhokwe ibundo rinowanikwa murwizi, rinoshandiswa pakurukisa mhasa kana mameti.
nhomba 	DK 	9 	z 		nhomba DK z 9 . Nhomba ijekiseni rinobayiwa vanhu kudzivirira chirwere chechibhokisi.
nhomi 	K- 	9>10 	z 		nhomi K- z 9>10 . mbavha 9 .
nhomu 	K- 	9>10 	z 		nhomu K- z 9>10 . Nhomu munda mutsva unenge waita zvokutimbwa nemapadza, mbeu dzisati dzadyarwa.
nhondero 	KKD 	9 	z 		nhondero KKD z 9 . ndangariro 10 .
nhondo 	DK 	9 	z 		nhondo DK z 9 . nondo 9 .
nhondwa 	DK 	z 	z 		nhondwa DK z z . Nhondwa imvura inomedzwa nemunhu asingadi, mushure mekunge ambonyura mumvura.
nhongameso 	K- 	9 	z 		nhongameso K- z 9 . Uyu mubairo unopiwa munhu awana chinhu changa charaswa neumwe munhu. shangameso .
nhongamuto 	KKKD 	9 	z 		nhongamuto KKKD z 9 . nhonhamuto 9 .
nhongo 	DK 	9<10 	z 		nhongo DK z 9 <10 . Nhongo imbudzi hono.
nhongotowa 	KKDK 	9>10 	z 		nhongotowa KKDK z 9>10 . Urwu rudzi rwemakonye anowanikwa mumuti unonzi mutongotowa.
nhongwa 	KD 	9>10 	z 		nhongwa KD z 9>10 . Nhongwa inhema kana mhosva yaunopomera munhu iye asina zvaakamboita.
nhonho 	K- 	9>10 	z 		nhonho K- z 9>10 . Nhonho marwadzo anoita mutsoka, anoita kuti munhu atadze kunyatsotsika pakufamba. Nhonho mukova weburi remwena wemajuru.
nhonhonho 	D- 		ny 		nhonhonho D- ny . Kuti nhonhonho kutonhora kwechikafu, kana kuti kutonhorera kwemamirire ekunze.
nhonhorodzi 	KKDK 	9>6 	z 		nhonhorodzi KKDK z 9>6 . Iri ivara rinosiyiwa nemvura painenge yadonhera. mhororodzi 5, mhorodzi 5 .
-nhonhota 	D 				-nhonhota D it . Ku nhonhota kutora zvinhu zvose zviri panzvimbo, uchisiya pasina kana chimwe chinosara.
nhonje 	DK 	9>10 	z 		nhonje DK z 9>10 . Nhonje muto wedobwe.
nhope 	D- 	9>10 	z 		nhope D- z 9>10 . Nhope madhaka akawanda panzvimbo imwe chete.
nhopotopo 	D- 	9>10 	z 		nhopotopo D- z 9>10 . Ichi ndechokudya chero chipi zvacho chinotapirisa. Uchi inhopotopo chaiyo.
-nhora 	K 				-nhora K itik . Ku nhora kufamba mutunhu wakareba netsoka.
nhorido 	DKD 	9>10 	z 		nhorido DKD z 9>10 . Nhorido munhu ane unyanzvi hwekurondedzera zvinhu.
nhorimbo 	D- 	9>10 	z 		nhorimbo D- z 9>10 . Nhorimbo ungwaru nepfungwa dzoudzamu dzapasichigare, kazhinji dzinenge dzava kubuda nomuzvinyorwa.
nhoroondo 	D- 	9>10 	z 		nhoroondo D- z 9>10 . Uku kutaura zvose zvinenge zvakaitika pamusoro pechimwe chinhu. rondedzero 9 .
nhotamazwi 	KKDK 	9>10 	z 		nhotamazwi KKDK z 9>10 . Uyu munhu anoteerera zvinenge zvichitaurwa nevamwe vanhu, kuti azonoudza vanenge vamutuma.
nhoto 	KK 	9>10 	z 		nhoto KK z 9>10 . Nhoto unyanzvi hunopikisa zvinotaurwa nevamwe vanhu, nokuvaita kuti vabvume zvauri kutaura.
nhototo 	K- 	9>10 	z 		nhototo K- z 9>10 . chitota 7 .
nhowetowe 	DKDD 	9>10 	z 		nhowetowe DKDD z 9>10 . Iyi ishiri chena ine makumbo marefu.
nhuba 	DK 	9 	z 		nhuba DK z 9 . nheme 9 .
nhubu 	KD 	9>10 	z 		nhubu KD z 9>10 . Nhubu munhu ane mabasa akaipa, anokonzera ruvengo pakati pevanhu. mharadzi 9 .
-nhuhwa 	D 				-nhuhwa -nhuwa D itik . Kana panhu pachi nhuhwa panenge paine mweya usina kunaka, unogona kumisa mwoyo kana kurutsisa. Pazumbu rehuku pari kunhuwa chaizvo, kubvira kunaya kwakaita mvura.
Nhuka 	D- 	1a 	z 		Nhuka D- z 1a . Nhuka mutupo wevanhu vanoera shava.
nhukiso 	KKD 	9 	z 		nhukiso KKD z 9 . Nhukiso kuremara kwemuviri kunotaurwa nezvako nemazwi asina kururama.
nhukusa 	D- 	9>10 	z 		nhukusa D- z 9>10 . nhuta 9 .
nhukwara 	DKK 	9>10 	z 		nhukwara DKK z 9>10 . nhokwara 9 .
nhumba 	D- 	9>10 	z 		nhumba D- z 9>10 . dumba 5 .
nhumba 	K- 	9>10 	z 		nhumba K- z 9>10 . Nhumba ingoma refu ine pamusoro payo panoridzwa padiki. Nhumba imba inogara ishe, isingabikirwi chikafu. nyanga 9 .
nhumbana 	DK 	9>10 	z 		nhumbana DK z 9>10 . Nhumbana ishaveshave richiri kukura riri pamusoro pevhu.
nhumbu 	D- 	9>10 	z 		nhumbu D- z 9>10 . Nhumbu inhengo yomuviri womunhu inogamuchira nokuzeya chikafu chinenge chadyiwa. dumbu 5 . Kana mukadzi achinzi ane nhumbu anenge akatakura mwana waanenge achitarisira kuzozvara. mimba 9, pamuviri 17 .
nhumburamasoso 	D- 	9 	z 		nhumburamasoso D- z 9 . nhumburamafeso 9 . Iyi imbudzi inourayirwa musikana atiza mukumbo nemhuri yemukomana waatizira.
nhumburo 	KKD 	9 	z 		nhumburo KKD z 9 . chihambakwe 7 .
nhumwa 	KD 	9>10 	z 		nhumwa KD z 9>10 . nhume 9 .
nhundetunde 	DKDD 	9 	z 		nhundetunde DKDD z 9 . Uku kunzwa kuda kuenda kunoita weti kakawanda panguva diki.
nhundirana 	DDDK 	9 	z 		nhundirana DDDK z 9 . Uku kuitirana zvinhu zvinotsamwisa, kwevanhu vasiri kuwirirana pamusoro pechimwe chinhu.
nhundumuture 	KKDKK 	9 	z 		nhundumuture KKDKK z 9 . Iri idambudziko rinenge rawira vanhu vose munyika, sezvakaita hondo.
nhunduro 	KKD 	9 	z 		nhunduro KKD z 9 . Nhunduro inzira yokuridza nayo ngoma.
nhunduruki 	KKKD 	9>10 	z 		nhunduruki KKKD z 9>10 . Uyu mukadzi anodanana nokumbogara nomurume akaroora, asi obva azviidza mukadzi womurume uyu chaiye.
nhundutwe 	KKD 	9 	z 		nhundutwe KKD z 9 . Nhundutwe idutu ramadota kana kuti madota ari mugomba ramarara.
nhunga 	K- 	9 	z 		nhunga K- z 9 . umhutu 14 .
nhungamidzo 	KKKD 	9>10 	z 		nhungamidzo KKKD z 9>10 . nhanganyaya .
nhungira 	K- 	9>6 	z 		nhungira K- z 9>6 . bukirwa 5 .
nhungirwa 	KDK 	9>10 	z 		nhungirwa nhungira KDK z 9>10 . bukirwa 5 .
nhungudzi 	KKD 	9>10 	z 		nhungudzi KKD z 9>10 . Nhungudzi ingoma inotanga kuridzwa panoridzwa ngoma dzakasiyana-siyana.
nhungura 	K- 	9>10 	z 		nhungura K- z 9>10 . Nhungura muchero womuti womunhungura.
nhunguru duma 	DDK KD 	9>10 	z 		nhunguru duma DDK KD z 9>10 . nhunguru 9 .
-nhunhudza 	DKDK 				-nhunhudza DKDK itik . Ku nhunhudza kumhanya kune nhanho dzakaenzana kunoitwa nemunhu mupfupi.
-nhunhuvara 	K 				-nhunhuvara K itik . -nunuvara .
nhunzi matuzvi 	KK KDK 	9>10 	z 		nhunzi matuzvi KK KDK z 9>10 . Urwu rudzi rwenhudzi inonyanyoonekwa pane tsvina yevanhu kana mhuka.
nhunzvi 	D- 	9>10 	z 		nhunzvi D- z 9>10 . Nhunzvi ihuku kana mbudzi kana hwai yakambobereka.
nhura 	KD 	9>10 	z 		nhura KD z 9>10 . Urwu rudzi rwetsenza dzisingadyiwi dziri mbishi.
nhurika 	KKD 	9>10 	z 		nhurika KKD z 9>10 . Nhurika mazino maviri anomera panzvimbo imwe chete. nhurikwa 9 . Nhurika idombo rinenge riri pamusoro perimwe. nhurikwa 9 .
nhurimuturi 	DKDDK 	9>10 	z 		nhurimuturi DKDDK z 9>10 . Izvi zvinhu zvakawanda zvinenge zvakadurikidzana. Varimi chaivo vanoonekwa nenhurimuturi dzemasaga ezvirimwa zvavo.
nhuruka 	KDK 	9 	z 		nhuruka KDK z 9 . Nhuruka imhepo inovhuvhuta iri pakati pekumaodzanyemba nekumabvazuva. nhurura 9 . Nhuruka imvura inotanga kunaya pakutanga kwezhizha.
nhururadare 	KKKKD 	9 	z 		nhururadare KKKKD z 9 . Uyu muripo unobviswa nemunhu anenge azomhan'ara mhosva kudare kuti itongwe. mushamhu 3, gwiro 5 .
nhururu 	D- 	9 	z 		nhururu D- z 9 . Nhururu mweya wakaipa, wemunhu akagutisa, unobuda mukanwa kana munhu achinge adzvova. nhuru 9, tsvii 9 .
nhutatuta 	D- 	1a 	z 		nhutatuta D- z 1a . muchenje 3 .
nhutayatuta 	KKDKK 	1a 	z 		nhutayatuta KKDKK z 1a . Uyu munhu anoshanda nesimba, kunyanya pamabasa ekurima.
nhutetute 	KDKD 	9 	z 		nhutetute KDKD z 9 . Uku kumhanyamhanya kubvisa midziyo kana nhumbi padzanga dziri uchidziendesa kune imwe nzvimbo. Kana vanhu vachinge vakohwa, marori anoita zvirimwa nhutetute kuendesa kwazvinotengeswa.
nhutu 	KD 	9 	z 		nhutu KD z 9 . Nhutu inzvimbo inomera bundo refu.
nhuturwa 	DKD 	9>10 	z 		nhuturwa DKD z 9>10 . nhundurwa 9 .
nhuzu 	KD 	9>10 	z 		nhuzu KD z 9>10 . Nhuzu chironda chinoita mvura mukati, chinobuda kana munhu atsva nemoto kana nemvura inopisa. dubwani 5 .
nhuzvi 	D- 	9>10 	z 		nhuzvi D- z 9>10 . nhunzvi 9 .
nikiro 	KKD 	9 	z 		nikiro KKD z 9 . Nikiro inzvimbo inoyanikirwa hembe nyoro, kana kuti nyama inenge ichida kuomeswa.
-nimbuka 	K 				-nimbuka K itik . Ku nimbuka kushanda basa zvakasimbarara, kana kuti nemoyo wose.
-nin'inidza 	D 				-nin'inidza D it . Ku nin'inidza kuzora mafuta akawandisa pamuviri.
-nina 	D 				-nina D it . Ku nina kudzinga nhunzi kunoitwa nemunhu kana mhuka, ichishandisa musoro kana muswe. Ku nina kubuda ziya.
-ningitidza 	K 				-ningitidza K it . Ku ningitidza kurova-rova chinhu kuitira kuti chitetepe. Ku ningitidza kutetepesa chinhu pakati pacho.
ningu 	DK 		ny 		ningu DK ny . Kuti ningu kuminyuka panzvimbo dzinosangana magodo emuviri, pakaita sepabvi. minyu .
-ninguka 	D 				-ninguka D itik . -minduka .
-ninika 	D 				-ninika D itik . Ku ninika kudzingwa kwenhunzi nemaoko kana nemuswe wemhuka.
-ninipa 	K 				-ninipa K itik . Kana chirimwa chaka ninipa chinenge chiri chidiki. -dupuka .
-ninira 	D 				-ninira D itik . Ku ninira kusimudza ruoko uchidana munhu narwo, kana kuti uchimumhorosa. Ku ninira kutapudza poto iri pamoto inenge yakazarisa, wozodzosera zvawabvisa kana yapweva.
nipa 	KD 	9 	z 		nipa KD z 9 . tototo 9 .
njacha 	D- 		ny 		njacha D- ny . Kuti njacha kudonha kwemunhu asina simba. Kuti njacha kudonha kune ruzha, kwezvinhu zvakaita sehuni.
njai 	K- 		kanu 		njai K- kanu . Njai izwi rinoshandiswa pakuti munhu anzwisise zvinenge zvaitika kana kuti zvichinetsa. Njai, uri kuroverei mwana? nhai .
-njaira 	K 				-njaira K itik . Ku njaira kumhanya zvishoma, sezvinoita vanhu vanomhanya mazuva ose kuitira kusimbisa miviri yavo. Ku njaira kufamba munhu achiparapatika.
njaku njaku 	KD+ 		ny 		njaku njaku KD+ ny . njai njai .
-njakura 	K 				-njakura K it . -njaidza .
njakuvhizi 	D- 	9 	z 		njakuvhizi D- z 9 . Uyu munhu murombo asi asingabvumi rayiro ingaite kuti upenyu hwake huve nani.
-njandaira 	K 				-njandaira K itik . -njandaika .
njandangu 	KKD 		ny 		njandangu KKD ny . Kuti njandangu kudonha kwemunhu anenge atadza kutsika zvakanaka.
-njandanguka 	K 				-njandanguka K itik . Ku njandanguka kudonha kwemunhu anenge atadza kutsika zvakanaka kana kuti apingwa, zvikuru kana iye agarawo iri ndonda.
njandara 	D- 	9 	z 		njandara D- z 9 . njandaya 9 .
njandaya 	D- 		ny 		njandaya D- ny . Kuti njandaya kuwira pasi nekuda kwekushaya simba.
-njandayira 	D 				-njandayira D itik . Ku njandayira kutambudzika zvikuru, nokuda kwechiitiko chakashata chaitika kwauri. Akanjandayira paakawana nhumbi dzose dzabiwa mumba, paakadzoka kuzororo.
-njangandura 	K 				-njangandura K it . Ku njangadura kuita kuti munhu adonhe, mushure mokumutadzisa kutsika zvakanaka kana kumupinga.
-njanganjuka 	K 				-njanganjuka K itik . Kunjanganjuka kuchekeka kwenyama ichiita zvidimbu zvidiki.
njanjare 	DDK 	9>10 	z 		njanjare DDK z 9>10 . Njanjare munhu ane mazino anobudikira kunze. man'oo 6 .
njanjari 	KKD 	9 	z 		njanjari KKD z 9 . Njanjari pamusoro pechinhu panobaya nokuti panenge pasina kutsetseka.
-njanjaridza 	D 				-njanjaridza D it . Kana uchi njanjaridza munhu akadhakwa unenge uchimutsigisa kwekanguva, kuti asadonha. -nengaidza .
njanjenjanje 	D- 	9>10 	z 		njanjenjanje D- z 9>10 . Iri igonye rinodyiwa rinowanikwa mumuti wemuzhanje.
njara 	DK 	9>10 	z 		njara DK z 9>10 . nzara 9 .
-njararika 	D 				-njararika D itik . Ku njararika kungofamba nenhumbi dzako usina pokugara pane tsarukano.
-njaura 	K 				-njaura K it . Ku njaura kubata mhuka kana munhu anenge ava kuda kutiza.
njaya 	D- 		ny 		njaya D- ny . Kuti njaya kusiya midziyo isina kurindwa. gwindiritse .
njazi 	DK 	9 	z 		njazi DK z 9 . tsvuuramuromo 9 .
nje-e 	D 		ny 		nje-e D ny . Kuti nje-e kuhwinya kana kupenya kwechinhu. Kuti nje-e kufamba kwemunhu asina kugatsikana mumwoyo.
njedzana 	KDK 	9 	z 		njedzana KDK z 9 . Njedzana mwedzi uchangobuda.
njekedya 	KDK 	9>10 	z 		njekedya KDK z 9>10 . Njekedya rudzi rweshiri inodya tupuka nembeu. zazo 9 .
-njekenja 	D 				-njekenja D it . Ku njekenja kutswa zviyo kana zvimwewo zvinhu, kusara zvava mapandi madiki. -gandura .
-njema 	K 				-njema K it . Ku njema kurova pawanga uchida chaipo nechombo kana nechibhakera kana uchirwa nemunhu.
-njena-njena 	K 				-njena-njena K itik . -njeva-njeva .
njengenjenge 	DKDK 		ny 		njengenjenge DKDK ny . Kuti njengenjenge kudonha kwechinhu chakaomarara, asi chiri mubutiro rakapfava.
-njengenjura 	K 				-njengenjura K it . -njengenjudza .
njeni 	D- 	9 	z 		njeni D- z 9 . Njeni chipfuyo chinenge chichiri chitsva mudanga mune dzimwe, sezviya zvakaita mombe ichangotengwa.
-njenjeda 	K 				-njenjeda K it . Ku njenjeda munhu kumutuka zvinonzwikwa nemunhu wese. -jejeda .
njenjeke 	D- 		ny 		njenjeke D- ny . Kuti njenjeke kuisa midziyo kudivi rimwe chete, asi zvisingaratidzi kuva nehanya nemidziyo yacho. njokoto .
-njenjekedza 	K 				-njenjekedza K it . Ku njenjekedza kubata mudziyo waputsika zvakanaka. -zhezhekedza .
njenjema 	KKD 	9>10 	z 		njenjema KKD z 9>10 . Njenjema imhuka ine mavara padehwe rayo.
-njenjemera 	D 				-njenjemera D itik . Kana imba ichi njenjemera unenge uchikwanisa kuona zviri kunze uri mukati, nokuti inenge isina kunyatsopfirirwa neuswa hwakakwana. -njenjema .
-njenjemuka 	D 				-njenjemuka D itik . Ku njenjemuka kunwisa demo kana imwe simbi yaunenge uchipfura uchimboiisa mumoto kuti ipfave, igoita nyore kupfura.
njenjero 	D- 	5 	z 		njenjero D- z 5 . banamhana 5 .
njere 	K- 	10 	z 		njere njero K- z 10 . Njere kukwanisa kufunga zvakadzama, kana kuti kupinza kwepfungwa zvakadzama. nzero 10 .
njerere 	K- 		ny 		njerere K- ny . Kuti njerere ruzha runoitwa neshiri kana makurwe.
njereza 	DKD 	5 	z 		njereza DKD z 5 . Njereza chidimbu chesimbi chinenge chakati tsurumete, sezvakaita marata.
njeya 	DK 	9 	z 		njeya DK z 9 . Njeya kuminama kungaita mudziyo wakaita semupinyi webadza kana chimwewo chakadaro. Badza rine mupinyi njeya rinorwadza maoko. Kana ukakanda tsvimbo kana chimwewo chombo njeya , unenge wachikanda chichienda divi rausingadi.
-njeya 	K 				-njeya K itik . -geda-geda .
njikenjike 	KDKD 	9>10 	z 		njikenjike KDKD z 9>10 . Urwu rudzi rweshiri ine huro yakatsvukuruka.
njimu 	KD 		ny 		njimu KD ny . zhimu .
njin'a 	KD 	9>10 	z 		njin'a KD z 9>10 . Njin'a munhu akapfuma.
njinjimonga 	D- 	5 	z 		njinjimonga D- z 5 . Iri ibhazi kana zimota ziguru, rinenge richinyatsofamba zvakanaka.
njiri 	D- 	9>10 	z 		njiri D- z 9>10 . Njiri inguruve yemusango ine mazino akachanjamara, anocheka kana kuruma.
-njiririka 	K 				-njiririka K itik . Ku njiririka kurira kana kuchema neizwi riri pamusoro zvinonyangadza.
njiva bomho 	DD KK 	9>10 	z 		njiva bomho DD KK z 9>10 . Urwu rumwe rudzi rwenjiva. nzembe 9 .
njiva mutondo 	DK KDD 	9>10 	z 		njiva mutondo DK KDD z 9>10 . Urwu rumwe rudzi rwenjiva.
njo 	D 		ny 		njo D ny . Kuti njo kudonha kwezvinorira, sezvakaita mari. Akati njo kukanda saga rezvipikiri pasi.
-njodogodza 	K 				-njodogodza K it . -njodogora .
njodzi 	D- 	9 	z 		njodzi D- z 9 . Njodzi idambudziko kana tsaona inenge yawira munhu kana vanhu. tsaona 9, ngozi 9 .
njoko njoko 	KD+ 		ny 		njoko njoko KD+ ny . kocho kocho .
-njokotedza 	D 				-njokotedza D it . Ku njokotedza kungosiya midziyo yakangopararira pose pose, uchiratidza kuti hauna hanya nayo.
njombo 	KD 	9 	z 		njombo KD z 9 . jombo 5 .
njonda 	D- 	9>10 	z 		njonda D- z 9>10 . Njonda munhu ane mari yakawanda kana kuti munhu akabudirira. mupfumi 1, chinoto 7, mbozha 9 . ANTONYMS murombo 1.
njongomani 	DKDD 	9>10 	z 		njongomani DKDD z 9>10 . Uyu munhu kana mhuka yakareba.
-njonja 	D 				-njonja D it . -ba .
njonjonjo 	DKD 	9 	z 		njonjonjo DKD z 9 . Ichi chinhu chakareba zvakapfurikidza mwero wezvimwe zvinogaroonekwa.
njori 	KD 	9 	z 		njori KD z 9 . Njori mutambo unotambwa nezvuma kana mari yemasirivha.
njude 	KD 	9 	z 		njude KD z 9 . Njude mutambo wevana wavanomhanyirana vakachonjomara.
njuga 	D- 	9>10 	z 		njuga D- z 9>10 . Njuga mutambo unotambwa kuti munhu awane mari, anenge adyiwa achibvisa mari inenge yabvumiranwa pakutanga. makasi 6 .
njumba 	D- 	9>10 	z 		njumba D- z 9>10 . Njumba kasaga kana kahomwe kadiki, kanowanzochengeterwa zvinhu zvakaita semari. Munyai akauya kuzoroora nenjumba yemari.
njunju 	KD 		ny 		njunju KD ny . Kuti njunju kuchena kwehembe kana mudziyo. mbu-u .
njurwe 	KD 	5 	z 		njurwe KD z 5 . gurwe 5 .
njuza 	D- 	9>10 	z 		njuza D- z 9>10 . Njuza idoro rakasimba rinokora, kazhinji rinenge ratora mazuva manomwe kuribika. vheni 5 .
-no 			dz nan' 		-no dz nan' . Iri idzitsi rechinan'anuri chinotaura zviri pedyo. Vakomana vano ava ndivo vafudzi vemombe dzadya mumunda medu.
-no- 			vp 		-no- vp . Ichi chivakapakati chinoratidza zvinhu zvinoitika, zvaitika kana zvichaitika mumashure mezvimwe. Enda kumba unosuka ndiro iye zvino. -ndo- .
noko 	DK 		ny 		noko DK ny . Kuti noko kutora zvinhu nechanza cheruoko.
noko 	KD 	9 	z 		noko KD z 9 . Noko kufa kweinjini apo inonzikwa yava kurira kuti kokokoko.
-nokora 	D 				-nokora D it . Ku nokora kutora zvinhu nechanza cheruoko.
nokuti 	DKD 		bat 		nokuti DKD bat . Iri izwi rinoshandiswa kana munhu achida kupa chikonzero. Handiende kubasa svondo rino rose nokuti ndinorwara. nekuti .
nombo 	DK 		ny 		nombo DK ny . Kuti nombo kutora zvinhu zvakaita sedovi, rupiza kana uchi uchishandisa chigunwe chimwe chete.
nomwe 	DK 		pr 		nomwe DK pr . Zvinhu zvi nomwe ndezvinenge zvasara zvitatu kuti zvisvike gumi.
-nona 	K 				-nona K itik . Ku nona kuzora mafuta zvokusara akawanda chaizvo pazorwa pacho. -chikidira .
nondo 	D- 	9>10 	z 		nondo D- z 9>10 . Nondo igonye jena rinowanzowanikwa mundowe.
nonge 	KD 		ny 		nonge KD ny . Kuti nonge kutora chinhu chinenge chiri pasi nokukasika.
-nongedza 	K 				-nongedza K it . Kana munhu achi nongedza anenge akatambanudza munwe wake, wakananga kune chinhu chaari kuda kuti chionekwe. Vakanongedza kune gomo tikariona. -ratidza, -rakidza .
-nonoka 	D 				-nonoka D itik . Kana munhu achi nonoka anenge achiita chinhu zvishoma nezvishoma kana kuti asingakurumidzi. Takanonoka kurima mvura ichiriko mbeu dzikazopera kutsva nezuva.
nonozo 	KKD 		ny 		nonozo KKD ny . Kuto nonozo kushanda nenungo uye pasina kukurumidzira kupedza.
nopfo 	KD 		ny 		nopfo nobvo KD ny . Kuti nopfo kudya munhu seasingadi, achingogura misuva nekumicheto kwemimwe. nyobvo, nyubvu .
-nota 	D 				-nota D itik . Kana munhu a nota anenge ava neupfumi hwakanyanya.
-noza 	K 				-noza K itik . Ku noza kutaura chirungu nemumhuno uchiedza kutevedzera kana kutaura sevaridzi vemutauro uyu.
nungo 	D- 	10 	z 		nungo D- z 10 . Nungo kunzwa kusada kuita basa, usina panorwadza kana chimwe chikonzero. usimbe 14 .
nunguwoko 	DDKK 	9 	z 		nunguwoko DDKK z 9 . Ichi chirwere chokuva namaoko asina simba rokubata zvinhu.
-nunudza 	D 				-nunudza D it . Ku nunudza kurandutsira vanhu vanenge vachirwa kana kupopotedzana.
-nunuvara 	K 				-nunuvara K itik . Ku nunuvara kufamba munhu akakombamira mberi nekuda kweurwere. Ndaifamba ndakanunuvara pandairwara nomusana. Ku nunuvara kuratidza shungu dzakawandisa komunhu apererwa nemazano.
-nwa 	K 				-nwa K itik . Ku nwa kumedza chinhu chakaita sedoro, mvura kana tii. Tinonwa mvura nomukombe.
-nwadaira 	K 				-nwadaira K itik . Ku nwadaira kufamba kwekuzvidhonza nekuzvikakanyadza.
nwiwa 	KD 	5 	z 		nwiwa KD z 5 . Nwiwa imhado yeshamba rinoita muto unotapira, unonwiwa navanhu namapfeni kana richinge raibva. bvembe 5, vise 5 .
nya 	K 		ny 		nya K ny . Kuti nya kunyura muvhu kana mumvura. Zuva rakati nya kunyura tisina kupedza kuchera mupfudze.
nyabwa nyabwa 	KD+ 				nyabwa nyabwa nyahwa nyahwa KD+ . Kuti nyabwa nyabwa kufamba zvinyoro-nyoro, zvisina mutsindo.
nyacha 	D- 		ny 		nyacha D- ny . Kuti nyacha kusimuka kwevhudzi, kana munhu asina kuripetura kuti ritsikane rakaenderana.
-nyacharika 	D 				-nyacharika D itik . Ku nyacharika kupekura nguo munhu achifamba.
nyada 	D- 	5 	z 		nyada D- z 5 . Nyada ndepanenge pabva zino. vende 5 .
nyadi 	DK 		ny 		nyadi nyodi DK ny . Kana zuva rati nyadi rinenge ranyura.
-nyaduka 	K 				-nyaduka K itik . Ku nyaduka kuchekeka zvishomane, sezvinoita atemerwa nyora.
-nyadza 	K 				-nyadza K it . Ku nyadza kuita zvinoshoreka pana vamwe. Kufoyira kwekirasi yose kunonyadza mudzidzisi. -svodedza .
-nyadzika 	D 				-nyadzika D it . Ku nyadzika kunyika hembe mumvura kuti igopfava.
-nyadzura 	D 				-nyadzura D it . Ku nyadzura kusimudza chinhu chinorema, zviri nyore.
nyagukunye 	DKKK 	9 	z 		nyagukunye DKKK z 9 . nyoka rukuni 9 .
nyahanda 	DKK 	1a 	z 		nyahanda nyahana DKK z 1a . Nyahanda in'anga yechikadzi ine shavi rebveni.
nyahosi 	DKD 	9>10 	z 		nyahosi DKD z 9>10 . Nyahosi murume ane vakadzi vaviri kana kupfuura.
nyahwada 	D- 	1a 	z 		nyahwada D- z 1a . chinyavada 7 .
-nyahwaira 	K 				-nyahwaira K itik . Kana munhu achi nyahwaira anenge achifamba zvinyoronyoro kuti asanzwika. Anoda kuba anonyahwaira kuti ashaye anomunzwa kana kumuona. Ku nyahwaira kufamba wakakotamisa musoro nekuda kwenyadzi.
-nyaidza 	K 				-nyaidza K it . Ku nyaidza kunyudza chinhu nokukasira.
-nyaira 	D 				-nyaira D it . Kana uchi nyaira munhu unenge uchienda kwavanatezvara vake, kuti ugotanga kufambisa mashoko eroora pakati pemhuri yake neyavanatezvara.
-nyakaira 	K 				-nyakaira K itik . Ku nyakaira kufamba munhu achizvida. -kanyaira .
nyakambudzi 	DDKK 	1a 	z 		nyakambudzi DDKK z 1a . Iri inhanga rine mhodzi tema, dzinobikwa kuita usavi.
nyakapi 	DDK 	9 	z 		nyakapi DDK z 9 . Nyakapi kumhorosana kunoratidza rudo pakati pevanhu vaviri.
nyakasheche 	DDKD 	9 	z 		nyakasheche nyakashesha DDKD z 9 . Uhwu hwowa huduku hune ruvara rutsvuku, hunodyiwa navanhu.
nyakata nyakata 	D- 				nyakata nyakata D- . Kuti nyakata nyakata kubata mucheka wesirika zvinyoro nyoro.
nyakatonje 	D- 	1a 	z 		nyakatonje D- z 1a . Uyu munhu anoturikira zvinotaurwa nesvikiro. nechombo 1a .
nyakatsvipa 	D- 	1a 	z 		nyakatsvipa D- z 1a . muchekazanhi 1a .
nyaku nyaku 	D- 		ny 		nyaku nyaku D- ny . Kuti nyaku nyaku kufamba munhu achipesvura nhembe.
nyakunama 	D- 	1a 	z 		nyakunama D- z 1a . Uyu munhu ane masimba ekunayisa mvura.
-nyakura 	D 				-nyakura D it . -nakura .
nyakuti 	D- 	1a 	z 		nyakuti D- z 1a . nhingi 1a .
nyakuvuche 	DDKD 	1a 	z 		nyakuvuche DDKD z 1a . bandamusoro 1a .
nyamabundu 	DDKK 	9 	z 		nyamabundu DDKK z 9 . muswewadepa 3 .
nyamadina 	DDDK 	9 	z 		nyamadina DDDK z 9 . muriranyenze 3 .
nyamafene 	D- 	9 	z 		nyamafene D- z 9 . nyamapfeni 9 .
nyamafuro 	D- 	9>10 	z 		nyamafuro D- z 9>10 . Iyi ishiri yerudzi rwejesa inofarira kugara mumapani, uye rume yacho inhema, iine vara dzvuku pamusana.
nyamamvi 	DDK 	1a 	z 		nyamamvi DDK z 1a . Nyamamvi munhu ane vhudzi rachena mumusoro. nyaimvi 1a .
nyamanzi 	KKD 	1a 	z 		nyamanzi KKD z 1a . nyamasi 1a .
nyamapfeni 	D- 	5/9 	z 		nyamapfeni D- z 5/9 . Iri igwenzi rinoshandiswa somushonga. muwanazvapora 3 .
nyamasase 	DDKD 	9 	z 		nyamasase DDKD z 9 . nyamatsatsi 9 . Iyi ihove ino mutumbi wakadarika womuramba, nomusoro muduku sowenyoka, unochekwa wokandwa mudziva kana ichinge yabatwa.
nyamasi 	KKD 	1a 	z 		nyamasi KKD z 1a . nhasi 1a .
nyamasuo 	DDKD 	1a 	z 		nyamasuo DDKD z 1a . nharirire 9 .
nyamateya 	D- 	1a 	z 		nyamateya D- z 1a . Uyu munhu ane mamheya.
