grapheme	phoneme
fennállás	f'ɛnnaːllaːʃ
fenol	f'ɛnol
fenolftalein	f'ɛnolftɒlɛin
fenolplaszt	f'ɛnolplɒst
fenolát	f'ɛnolaːt
fenomenologikus	f'ɛnomɛnologikuʃ
fenomenológia	f'ɛnomɛnoloːgi;ɒ
fenomenológus	f'ɛnomɛnoloːguʃ
fenomenális	f'ɛnomɛnaːliʃ
fenomén	f'ɛnomeːn
fenotípus	f'ɛnotiːpuʃ
fenség	f'ɛnʃeːg
fenséges	f'ɛnʃeːgɛʃ
fenső	f'ɛnʃøː
fensőbbség	f'ɛnʃøːbbʃeːg
fensőbbséges	f'ɛnʃøːbbʃeːgɛʃ
fensőség	f'ɛnʃøːʃeːg
fensőséges	f'ɛnʃøːʃeːgɛʃ
fentebb	f'ɛntɛbb
fentebbi	f'ɛntɛbbi
fentebbiek	f'ɛntɛbbi;ɛk
fentebbre	f'ɛntɛbbɐ̯ɛ
fentebbről	f'ɛntɛbbɐ̯øːl
fentereg	f'ɛntɛɐ̯ɛg
fentereged	f'ɛntɛɐ̯ɛgɛd
fenteregek	f'ɛntɛɐ̯ɛgɛk
fenteregem	f'ɛntɛɐ̯ɛgɛm
fenteregett	f'ɛntɛɐ̯ɛgɛt
fenteregünk	f'ɛntɛɐ̯ɛgyŋk
fentergés	f'ɛntɛɐ̯geːʃ
fentergő	f'ɛntɛɐ̯gøː
fenti	f'ɛnti
fentiek	f'ɛnti;ɛk
fentnevezett	f'ɛntnɛvɛzɛt
fentről	f'ɛntɐ̯øːl
fenyeget	f'ɛɲɛgɛt
fenyegetődzik	f'ɛɲɛgɛtøːd:zik
fenyegetőzik	f'ɛɲɛgɛtøːzik
fenyves	f'ɛɲvɛʃ
fenyér	f'ɛɲeːɐ̯
fenyérfüvek	f'ɛɲeːɐ̯fyvɛk
fenyérfű	f'ɛɲeːɐ̯fyː
fenyít	f'ɛɲiːt
fenyíték	f'ɛɲiːteːk
fenyítő	f'ɛɲiːtøː
fenyő	f'ɛɲøː
fenyőerdő	f'ɛɲøːɛɐ̯døː
fenyőfa	f'ɛɲøːfɒ
fenyőgyanta	f'ɛɲøːɟɒntɒ
fenyőpálinka	f'ɛɲøːpaːliŋkɒ
fenyőtoboz	f'ɛɲøːtoboz
fenyőtű	f'ɛɲøːtyː
fenék	f'ɛneːk
fenékmoréna	f'ɛneːkmoɐ̯eːnɒ
fenéksúly	f'ɛneːkʃuːj
fenésedik	f'ɛneːʃɛdik
fenőacél	f'ɛnøːɒtseːl
fenőkövek	f'ɛnøːkøvɛk
fenőkő	f'ɛnøːkøː
fenőszíj	f'ɛnøːsiːj
fenőszíjak	f'ɛnøːsiːjɒk
ferbli	f'ɛɐ̯bli
ferblijátszma	f'ɛɐ̯blijaːtsmɒ
ferde	f'ɛɐ̯dɛ
ferdecsúszda	f'ɛɐ̯dɛtʃuːsdɒ
ferdeszög	f'ɛɐ̯dɛsøg
ferdeszögű	f'ɛɐ̯dɛsøgyː
ferdéz	f'ɛɐ̯deːz
ferdít	f'ɛɐ̯diːt
ferdül	f'ɛɐ̯dyl
feredzse	f'ɛɐ̯ɛdʒ:ɛ
ferences	f'ɛɐ̯ɛntsɛʃ
ferencjóska	f'ɛɐ̯ɛntsjoːʃkɒ
fergeteg	f'ɛɐ̯gɛtɛg
fergeteges	f'ɛɐ̯gɛtɛgɛʃ
fergettyű	f'ɛɐ̯gɛç:yː
fermentáció	f'ɛɐ̯_mɛntaːtsi;oː
fermentál	f'ɛɐ̯_mɛntaːl
fermentálás	f'ɛɐ̯_mɛntaːlaːʃ
fermentálódik	f'ɛɐ̯_mɛntaːloːdik
fermion	f'ɛɐ̯_mi;on
fermium	f'ɛɐ̯_mi;um
fermán	f'ɛɐ̯_maːn
ferricianid	f'ɛritsi;ɒnid
ferrit	f'ɛrit
ferritantenna	f'ɛritɒntɛnnɒ
ferrites	f'ɛritɛʃ
ferritmemória	f'ɛritmɛmoːɐ̯i;ɒ
ferrocianid	f'ɛrotsi;ɒnid
ferroelektromosság	f'ɛroɛlɛktɐ̯omoʃʃaːg
ferrokróm	f'ɛrokɐ̯oːm
ferromágneses	f'ɛromaːgnɛʃɛʃ
ferromágnesség	f'ɛromaːgnɛʃʃeːg
ferrát	f'ɛraːt
fertelem	f'ɛɐ̯tɛlɛm
fertelmek	f'ɛɐ̯tɛlmɛk
fertelmes	f'ɛɐ̯tɛlmɛʃ
fertilis	f'ɛɐ̯tiliʃ
fertilitás	f'ɛɐ̯tilitaːʃ
fertály	f'ɛɐ̯taːj
fertő	f'ɛɐ̯tøː
fertőtlenít	f'ɛɐ̯tøːtlɛniːt
fertőtlenítő	f'ɛɐ̯tøːtlɛniːtøː
fertőtlenítőszer	f'ɛɐ̯tøːtlɛniːtøːsɛɐ̯
fertőz	f'ɛɐ̯tøːz
fertőzésmentes	f'ɛɐ̯tøːzeːʃmɛntɛʃ
fertőzött	f'ɛɐ̯tøːzøt
fertőződik	f'ɛɐ̯tøːzøːdik
fertőzőosztály	f'ɛɐ̯tøːzøːostaːj
fesd	f'ɛʃd
fesel	f'ɛʃɛl
feselő	f'ɛʃɛløː
feslett	f'ɛʃlɛt
feslik	f'ɛʃlik
feslés	f'ɛʃleːʃ
feslő	f'ɛʃløː
feslődik	f'ɛʃløːdik
fess	f'ɛʃʃ
fesse	f'ɛʃʃɛ
fessed	f'ɛʃʃɛd
fessek	f'ɛʃʃɛk
fesselek	f'ɛʃʃɛlɛk
fessem	f'ɛʃʃɛm
fessen	f'ɛʃʃɛn
fessenek	f'ɛʃʃɛnɛk
fessetek	f'ɛʃʃɛtɛk
fessék	f'ɛʃʃeːk
fessél	f'ɛʃʃeːl
fessétek	f'ɛʃʃeːtɛk
fessük	f'ɛʃʃyk
fessünk	f'ɛʃʃyŋk
fest	f'ɛʃt
festeget	f'ɛʃtɛgɛt
festet	f'ɛʃtɛt
festetlen	f'ɛʃtɛtlɛn
festett	f'ɛʃtɛt
festmény	f'ɛʃtmeːɲ
festék	f'ɛʃteːk
festékanyag	f'ɛʃteːkɒɲɒg
festékesbögre	f'ɛʃteːkɛʃbøgɐ̯ɛ
festékesdoboz	f'ɛʃteːkɛʃdoboz
festékez	f'ɛʃteːkɛz
festékfecskendő	f'ɛʃteːkfɛtʃkɛndøː
festéklap	f'ɛʃteːklɒp
festékpárna	f'ɛʃteːkpaːɐ̯nɒ
festékréteg	f'ɛʃteːkɐ̯eːtɛg
festészet	f'ɛʃteːsɛt
festő	f'ɛʃtøː
festődik	f'ɛʃtøːdik
festőecset	f'ɛʃtøːɛtʃɛt
festőfüvek	f'ɛʃtøːfyvɛk
festőfű	f'ɛʃtøːfyː
festőies	f'ɛʃtøːi;ɛʃ
festőiség	f'ɛʃtøːiʃeːg
festőműhely	f'ɛʃtøːmyːhɛj
festőműhelyet	f'ɛʃtøːmyːhɛjɛt
festőnő	f'ɛʃtøːnøː
festősablon	f'ɛʃtøːʃɒblon
festőállvány	f'ɛʃtøːaːllvaːɲ
fesz	f'ɛs
feszeget	f'ɛsɛgɛt
feszeleg	f'ɛsɛlɛg
feszeleged	f'ɛsɛlɛgɛd
feszelegek	f'ɛsɛlɛgɛk
feszelegem	f'ɛsɛlɛgɛm
feszelegett	f'ɛsɛlɛgɛt
feszelegünk	f'ɛsɛlɛgyŋk
feszelgés	f'ɛsɛlgeːʃ
feszelgő	f'ɛsɛlgøː
feszeng	f'ɛsɛŋg
feszes	f'ɛsɛʃ
feszmérő	f'ɛsmeːɐ̯øː
fesztelen	f'ɛstɛlɛn
fesztivál	f'ɛstivaːl
fesztáv	f'ɛstaːv
fesztávolság	f'ɛstaːvolʃaːg
feszélyez	f'ɛseːjɛz
feszélyezetlen	f'ɛseːjɛzɛtlɛn
feszélyezett	f'ɛseːjɛzɛt
feszít	f'ɛsiːt
feszített	f'ɛsiːtɛt
feszítő	f'ɛsiːtøː
feszítőizmok	f'ɛsiːtøːizmok
feszítőizom	f'ɛsiːtøːizom
feszítőkeret	f'ɛsiːtøːkɛɐ̯ɛt
feszítővas	f'ɛsiːtøːvɒʃ
feszítővasak	f'ɛsiːtøːvɒʃɒk
feszítőzabla	f'ɛsiːtøːzɒblɒ
feszül	f'ɛsyl
feszület	f'ɛsylɛt
feszült	f'ɛsylt
feszültség	f'ɛsyltʃeːg
feszültségkiegyenlítő	f'ɛsyltʃeːgki;ɛɟɛnliːtøː
feszültségmérő	f'ɛsyltʃeːgmeːɐ̯øː
feszültségvezérelt	f'ɛsyltʃeːgvɛzeːɐ̯ɛlt
feszültségű	f'ɛsyltʃeːgyː
feta	f'ɛtɒ
fetisizmus	f'ɛtiʃizmuʃ
fetisizál	f'ɛtiʃizaːl
fetreng	f'ɛtɐ̯ɛŋg
fett	f'ɛt
feudalista	f'ɛudɒliʃtɒ
feudalizmus	f'ɛudɒlizmuʃ
feudum	f'ɛudum
feudális	f'ɛudaːliʃ
feudálkapitalizmus	f'ɛudaːlkɒpitɒlizmuʃ
fez	f'ɛz
fezőr	f'ɛzøːɐ̯
fi	f'i
fia	f'i;ɒ
fiacska	f'i;ɒtʃkɒ
fiad	f'i;ɒd
fiadzik	f'i;ɒd:zik
fiadék	f'i;ɒdeːk
fiahordó	f'i;ɒhoɐ̯doː
fiai	f'i;ɒi
fiaid	f'i;ɒid
fiaik	f'i;ɒik
fiaim	f'i;ɒim
fiaink	f'i;ɒiŋk
fiaitok	f'i;ɒitok
fiak	f'i;ɒk
fial	f'i;ɒl
fiam	f'i;ɒm
fiamuram	f'i;ɒmuɐ̯ɒm
fiamék	f'i;ɒmeːk
fias	f'i;ɒʃ
fiaskó	f'i;ɒʃkoː
fiasít	f'i;ɒʃiːt
fiatal	f'i;ɒtɒl
fiatalasszony	f'i;ɒtɒlɒssoɲ
fiatalember	f'i;ɒtɒlɛmbɛɐ̯
fiatalka	f'i;ɒtɒlkɒ
fiatalkor	f'i;ɒtɒlkoɐ̯
fiatalkori	f'i;ɒtɒlkoɐ̯i
fiatalkorú	f'i;ɒtɒlkoɐ̯uː
fiatalodik	f'i;ɒtɒlodik
fiatalos	f'i;ɒtɒloʃ
fiatalurak	f'i;ɒtɒluɐ̯ɒk
fiatalít	f'i;ɒtɒliːt
fiatalúr	f'i;ɒtɒluːɐ̯
fiatok	f'i;ɒtok
fiatornyok	f'i;ɒtoɐ̯ɲok
fiatorony	f'i;ɒtoɐ̯oɲ
fiazik	f'i;ɒzik
fibrillál	f'ibɐ̯illaːl
fibrin	f'ibɐ̯in
fibula	f'ibulɒ
ficam	f'itsɒm
ficamit	f'itsɒmit
ficamodik	f'itsɒmodik
ficamul	f'itsɒmul
ficamít	f'itsɒmiːt
fickándozik	f'itskaːndozik
fickó	f'itskoː
ficsúr	f'itʃuːɐ̯
ficánkol	f'itsaːŋkol
fideizmus	f'idɛizmuʃ
fidibusz	f'idibus
fifika	f'ifikɒ
fifikus	f'ifikuʃ
fifikás	f'ifikaːʃ
figarós	f'igɒɐ̯oːʃ
figura	f'iguɐ̯ɒ
figuratív	f'iguɐ̯ɒtiːv
figurácska	f'iguɐ̯aːtʃkɒ
figurális	f'iguɐ̯aːliʃ
figuráns	f'iguɐ̯aːnʃ
figuráz	f'iguɐ̯aːz
figurázik	f'iguɐ̯aːzik
figyel	f'iɟɛl
figyelem	f'iɟɛlɛm
figyelembevétel	f'iɟɛlɛmbɛveːtɛl
figyelemfelkeltő	f'iɟɛlɛmfɛlkɛltøː
figyelemreméltó	f'iɟɛlɛmɐ̯ɛmeːltoː
figyelget	f'iɟɛlgɛt
figyelmek	f'iɟɛlmɛk
figyelmes	f'iɟɛlmɛʃ
figyelmetlen	f'iɟɛlmɛtlɛn
figyelmez	f'iɟɛlmɛz
figyelmeztet	f'iɟɛlmɛztɛt
figyelő	f'iɟɛløː
fika	f'ikɒ
fikarc	f'ikɒɐ̯ts
fikarcnyi	f'ikɒɐ̯tsɲi
fikció	f'iktsi;oː
fiktív	f'iktiːv
fikusz	f'ikus
fikáz	f'ikaːz
fikázik	f'ikaːzik
filagória	f'ilɒgoːɐ̯i;ɒ
filantropikus	f'ilɒntɐ̯opikuʃ
filantróp	f'ilɒntɐ̯oːp
filantrópia	f'ilɒntɐ̯oːpi;ɒ
filatelista	f'ilɒtɛliʃtɒ
filatélia	f'ilɒteːli;ɒ
filc	f'ilts
filharmonikus	f'ilhɒɐ̯_monikuʃ
filharmónia	f'ilhɒɐ̯_moːni;ɒ
filia	f'ili;ɒ
filigrán	f'iligɐ̯aːn
filippika	f'ilip:ikɒ
filippínó	f'ilip:iːnoː
filiszter	f'ilistɛɐ̯
filiszteus	f'ilistɛuʃ
filiálé	f'ili;aːleː
filkó	f'ilkoː
fillér	f'illeːɐ̯
fillérez	f'illeːɐ̯ɛz
film	f'ilm
filmakadémia	f'ilmɒkɒdeːmi;ɒ
filmdarab	f'ilmdɒɐ̯ɒb
filmes	f'ilmɛʃ
filmesit	f'ilmɛʃit
filmesít	f'ilmɛʃiːt
filmez	f'ilmɛz
filmezik	f'ilmɛzik
filmfelirat	f'ilmfɛliɐ̯ɒt
filmfelvevő	f'ilmfɛlvɛvøː
filmfelvétel	f'ilmfɛlveːtɛl
filmfelvételezés	f'ilmfɛlveːtɛlɛzeːʃ
filmforgatókönyv	f'ilmfoɐ̯gɒtoːkøɲv
filmhíradó	f'ilmhiːɐ̯ɒdoː
filmipar	f'ilmipɒɐ̯
filmjelenet	f'ilmjɛlɛnɛt
filmkocka	f'ilmkotskɒ
filmkölcsönző	f'ilmkøltʃønzøː
filmográfia	f'ilmogɐ̯aːfi;ɒ
filmstatiszta	f'ilmʃtɒtistɒ
filmszcenárium	f'ilmstsɛnaːɐ̯i;um
filmsztár	f'ilmstaːɐ̯
filmszínház	f'ilmsiːnhaːz
filmszínházak	f'ilmsiːnhaːzɒk
filmtekercs	f'ilmtɛkɛɐ̯tʃ
filmvetítő	f'ilmvɛtiːtøː
filmvágó	f'ilmvaːgoː
filmábrázolás	f'ilmaːbɐ̯aːzolaːʃ
filodendron	f'ilodɛndɐ̯on
filogenetika	f'ilogɛnɛtikɒ
filogenetikus	f'ilogɛnɛtikuʃ
filogenezis	f'ilogɛnɛziʃ
filologizál	f'ilologizaːl
filológia	f'iloloːgi;ɒ
filológiai	f'iloloːgi;ɒi
filológus	f'iloloːguʃ
filosz	f'ilos
filoszemita	f'ilosɛmitɒ
filoxéra	f'ilokseːɐ̯ɒ
filozofikus	f'ilozofikuʃ
filozofál	f'ilozofaːl
filozofálgat	f'ilozofaːlgɒt
filozopter	f'ilozoptɛɐ̯
filozófia	f'ilozoːfi;ɒ
filozófiai	f'ilozoːfi;ɒi
filozófus	f'ilozoːfuʃ
filter	f'iltɛɐ̯
filtráció	f'iltɐ̯aːtsi;oː
filtrál	f'iltɐ̯aːl
filé	f'ileː
filózik	f'iloːzik
finalista	f'inɒliʃtɒ
financiális	f'inɒntsi;aːliʃ
finanszíroz	f'inɒnsiːɐ̯oz
fincsi	f'intʃi
findzsa	f'indʒɒ
finesz	f'inɛs
fineszes	f'inɛsɛʃ
fing	f'iŋg
fingat	f'iŋgɒt
fingik	f'iŋgik
finis	f'iniʃ
finisel	f'iniʃɛl
finn	f'inn
finnbarát	f'innbɒɐ̯aːt
finnellenes	f'innɛllɛnɛʃ
finngyűlölő	f'inŋɟyːløløː
finnugor	f'innugoɐ̯
finnugorbarát	f'innugoɐ̯bɒɐ̯aːt
finnugorellenes	f'innugoɐ̯ɛllɛnɛʃ
finnugorgyűlölő	f'innugoɐ̯ɟyːløløː
finnugrista	f'innugɐ̯iʃtɒ
finnugrisztika	f'innugɐ̯istikɒ
finnyás	f'iɲɲaːʃ
finnyáskodik	f'iɲɲaːʃkodik
finom	f'inom
finomacél	f'inomɒtseːl
finombeállítás	f'inombɛaːlliːtaːʃ
finombeállító	f'inombɛaːlliːtoː
finomfajtázás	f'inomfɒjtaːzaːʃ
finomfőzelék	f'inomføːzɛleːk
finomhangol	f'inomhɒŋgol
finomhangolás	f'inomhɒŋgolaːʃ
finomkerámia	f'inomkɛɐ̯aːmi;ɒ
finomkodik	f'inomkodik
finomkodó	f'inomkodoː
finomlemez	f'inomlɛmɛz
finomliszt	f'inomlist
finommechanika	f'inommɛCɒnikɒ
finommegmunkálás	f'inommɛgmuŋkaːlaːʃ
finommetélt	f'inommɛteːlt
finommunka	f'inommuŋkɒ
finomműszer	f'inommyːsɛɐ̯
finomodik	f'inomodik
finomolaj	f'inomolɒj
finomolajak	f'inomolɒjɒk
finomstruktúra	f'inomʃtɐ̯uktuːɐ̯ɒ
finomszemcsés	f'inomsɛmtʃeːʃ
finomszerkezet	f'inomsɛɐ̯kɛzɛt
finomszesz	f'inomsɛs
finomszűrő	f'inomsyːɐ̯øː
finomul	f'inomul
finomít	f'inomiːt
finomítatlan	f'inomiːtɒtlɒn
finomított	f'inomiːtot
finomító	f'inomiːtoː
finta	f'intɒ
fintor	f'intoɐ̯
fintorgat	f'intoɐ̯gɒt
fintorgás	f'intoɐ̯gaːʃ
fintorgó	f'intoɐ̯goː
fintorit	f'intoɐ̯it
fintorodik	f'intoɐ̯odik
fintorog	f'intoɐ̯og
fintorogod	f'intoɐ̯ogod
fintorogok	f'intoɐ̯ogok
fintorogom	f'intoɐ̯ogom
fintorogott	f'intoɐ̯ogot
fintorogunk	f'intoɐ̯oguŋk
fintorít	f'intoɐ̯iːt
finálé	f'inaːleː
finánc	f'inaːnts
fináncoligarchia	f'inaːntsoligɒɐ̯tshi;ɒ
finánctőke	f'inaːntstøːkɛ
fiola	f'i;olɒ
firhang	f'iɐ̯hɒŋg
firka	f'iɐ̯kɒ
firkafa	f'iɐ̯kɒfɒ
firkant	f'iɐ̯kɒnt
firkantat	f'iɐ̯kɒntɒt
firkál	f'iɐ̯kaːl
firkálgat	f'iɐ̯kaːlgɒt
firkálmány	f'iɐ̯kaːlmaːɲ
firkás	f'iɐ̯kaːʃ
firkász	f'iɐ̯kaːs
firlefánc	f'iɐ̯lɛfaːnts
firma	f'iɐ̯_mɒ
firmamentum	f'iɐ̯_mɒmɛntum
firn	f'iɐ̯n
firngyűjtő	f'iɐ̯ŋɟyːjtøː
firnisz	f'iɐ̯nis
firniszez	f'iɐ̯nisɛz
firtat	f'iɐ̯tɒt
fiskális	f'iʃkaːliʃ
fisz	f'is
fisztula	f'istulɒ
fitestvér	f'itɛʃtveːɐ̯
fitiszfüzike	f'itisfyzikɛ
fitnesz	f'itnɛs
fitocönológia	f'itotsønoloːgi;ɒ
fitocönológus	f'itotsønoloːguʃ
fitocönózis	f'itotsønoːziʃ
fitogtat	f'itogtɒt
fitológia	f'itoloːgi;ɒ
fitológus	f'itoloːguʃ
fitoplankton	f'itoplɒŋkton
fitos	f'itoʃ
fitotron	f'itotɐ̯on
fitotéka	f'itoteːkɒ
fitt	f'it
fitty	f'iç:
fittyed	f'iç:ɛd
fittyedt	f'iç:ɛdt
fityeg	f'içɛg
fityegő	f'içɛgøː
fityfene	f'içfɛnɛ
fityfiritty	f'içfiɐ̯iç:
fitying	f'içiŋg
fityisz	f'içis
fityma	f'içmɒ
fitymál	f'içmaːl
fitymálódik	f'içmaːloːdik
fityula	f'içulɒ
fiuk	f'i;uk
fiunk	f'i;uŋk
fivér	f'iveːɐ̯
fix	f'iks
fixál	f'iksaːl
fixálódik	f'iksaːloːdik
fixálódás	f'iksaːloːdaːʃ
fixíroz	f'iksiːɐ̯oz
fixírsó	f'iksiːɐ̯ʃoː
fizet	f'izɛt
fizetendő	f'izɛtɛndøː
fizetetlen	f'izɛtɛtlɛn
fizetett	f'izɛtɛt
fizetnivaló	f'izɛtnivɒloː
fizetség	f'izɛtʃeːg
fizettet	f'izɛtɛt
fizetés	f'izɛteːʃ
fizetéscsökkentés	f'izɛteːʃtʃøk:ɛnteːʃ
fizetésemelés	f'izɛteːʃɛmɛleːʃ
fizetésképtelen	f'izɛteːʃkeːptɛlɛn
fizetéstelen	f'izɛteːʃtɛlɛn
fizető	f'izɛtøː
fizetődik	f'izɛtøːdik
fizetőképes	f'izɛtøːkeːpɛʃ
fizetővendéglátás	f'izɛtøːvɛndeːglaːtaːʃ
fizetővendéglátó	f'izɛtøːvɛndeːglaːtoː
fizika	f'izikɒ
fizikai	f'izikɒi
fizikokémia	f'izikokeːmi;ɒ
fizikoterápia	f'izikotɛɐ̯aːpi;ɒ
fizikum	f'izikum
fizikus	f'izikuʃ
fizikális	f'izikaːliʃ
fizimiska	f'izimiʃkɒ
fizioball	f'izi;obɒll
fiziognómia	f'izi;ognoːmi;ɒ
fiziokratizmus	f'izi;okɐ̯ɒtizmuʃ
fiziológia	f'izi;oloːgi;ɒ
fiziológiai	f'izi;oloːgi;ɒi
fiziológus	f'izi;oloːguʃ
fizioterápia	f'izi;otɛɐ̯aːpi;ɒ
fizu	f'izu
fiág	f'i;aːg
fiágak	f'i;aːgɒk
fiáker	f'i;aːkɛɐ̯
fiákeros	f'i;aːkɛɐ̯oʃ
fiáék	f'i;aːeːk
fiók	f'i;oːk
fióka	f'i;oːkɒ
fiókgerenda	f'i;oːkgɛɐ̯ɛndɒ
fiú	f'i;uː
fiúka	f'i;uːkɒ
fiúsít	f'i;uːʃiːt
fiúzik	f'i;uːzik
fjord	fj'oɐ̯d
flagelláció	fl'ɒgɛllaːtsi;oː
flagellálás	fl'ɒgɛllaːlaːʃ
flagelláns	fl'ɒgɛllaːnʃ
flagráns	fl'ɒgɐ̯aːnʃ
flakon	fl'ɒkon
flamand	fl'ɒmɒnd
flamandbarát	fl'ɒmɒndbɒɐ̯aːt
flamandellenes	fl'ɒmɒndɛllɛnɛʃ
flamandgyűlölő	fl'ɒmɒndɟyːløløː
flamenco	fl'ɒmɛntso
flamingó	fl'ɒmiŋgoː
flamó	fl'ɒmoː
flamós	fl'ɒmoːʃ
flanc	fl'ɒnts
flancol	fl'ɒntsol
flancos	fl'ɒntsoʃ
flanel	fl'ɒnɛl
flangál	fl'ɒŋgaːl
flashmemória	fl'ɒʃhmɛmoːɐ̯i;ɒ
flaska	fl'ɒʃkɒ
flaskó	fl'ɒʃkoː
flastrom	fl'ɒʃtɐ̯om
flaszter	fl'ɒstɛɐ̯
flaszterkoptató	fl'ɒstɛɐ̯koptɒtoː
flavonoid	fl'ɒvonoid
flegma	fl'ɛgmɒ
flegmatikus	fl'ɛgmɒtikuʃ
flekk	fl'ɛk:
flekken	fl'ɛk:ɛn
flektáló	fl'ɛktaːloː
flepni	fl'ɛpni
flepnis	fl'ɛpniʃ
flexibilis	fl'ɛksibiliʃ
flexibilitás	fl'ɛksibilitaːʃ
flint	fl'int
flinta	fl'intɒ
flip	fl'ip
flipper	fl'ip:ɛɐ̯
flitter	fl'itɛɐ̯
flogisztonelmélet	fl'ogistonɛlmeːlɛt
flokkuláció	fl'ok:ulaːtsi;oː
flokon	fl'okon
flokonruha	fl'okonɐ̯uhɒ
flopi	fl'opi
floppy	fl'op:i
florisztika	fl'oɐ̯istikɒ
floroglucin	fl'oɐ̯oglutsin
florális	fl'oɐ̯aːliʃ
florárium	fl'oɐ̯aːɐ̯i;um
flott	fl'ot
flotta	fl'otɒ
flottilla	fl'otillɒ
flotáció	fl'otaːtsi;oː
flotálás	fl'otaːlaːʃ
fluid	fl'uid
fluiditás	fl'uiditaːʃ
fluidizálás	fl'uidizaːlaːʃ
fluidum	fl'uidum
fluktuáció	fl'uktuaːtsi;oː
fluktuál	fl'uktuaːl
fluor	fl'uoɐ̯
fluoreszcencia	fl'uoɐ̯ɛstsɛntsi;ɒ
fluoreszcens	fl'uoɐ̯ɛstsɛnʃ
fluoreszkál	fl'uoɐ̯ɛskaːl
fluorid	fl'uoɐ̯id
fluxió	fl'uksi;oː
fluxus	fl'uksuʃ
flóbert	fl'oːbɛɐ̯t
flóbertpuska	fl'oːbɛɐ̯tpuʃkɒ
flór	fl'oːɐ̯
flóra	fl'oːɐ̯ɒ
flórfonal	fl'oːɐ̯fonɒl
flórharisnya	fl'oːɐ̯hɒɐ̯iʃɲɒ
flóta	fl'oːtɒ
flótás	fl'oːtaːʃ
flótáz	fl'oːtaːz
flótázik	fl'oːtaːzik
flört	fl'øɐ̯t
flörtöl	fl'øɐ̯tøl
flúgos	fl'uːgoʃ
foci	f'otsi
focista	f'otsiʃtɒ
focizik	f'otsizik
fodor	f'odoɐ̯
fodorka	f'odoɐ̯kɒ
fodorkel	f'odoɐ̯kɛl
fodormenta	f'odoɐ̯_mɛntɒ
fodorít	f'odoɐ̯iːt
fodrok	f'odɐ̯ok
fodros	f'odɐ̯oʃ
fodrosodik	f'odɐ̯oʃodik
fodrosodó	f'odɐ̯oʃodoː
fodrosít	f'odɐ̯oʃiːt
fodroz	f'odɐ̯oz
fodrozatlan	f'odɐ̯ozɒtlɒn
fodrozódik	f'odɐ̯ozoːdik
fodrász	f'odɐ̯aːs
fodrászat	f'odɐ̯aːsɒt
fodrászati	f'odɐ̯aːsɒti
fog	f'og
fogad	f'ogɒd
fogadalmak	f'ogɒdɒlmɒk
fogadalmi	f'ogɒdɒlmi
fogadalom	f'ogɒdɒlom
fogadatlan	f'ogɒdɒtlɒn
fogadjisten	f'ogɒɟ:iʃtɛn
fogadkozik	f'ogɒdkozik
fogadt	f'ogɒdt
fogadtat	f'ogɒdtɒt
fogadó	f'ogɒdoː
fogadókész	f'ogɒdoːkeːs
fogadónap	f'ogɒdoːnɒp
fogadós	f'ogɒdoːʃ
fogadószoba	f'ogɒdoːsobɒ
fogadóterem	f'ogɒdoːtɛɐ̯ɛm
fogadótermek	f'ogɒdoːtɛɐ̯_mɛk
fogak	f'ogɒk
fogalmak	f'ogɒlmɒk
fogalmaz	f'ogɒlmɒz
fogalmazott	f'ogɒlmɒzot
fogalmazvány	f'ogɒlmɒzvaːɲ
fogalmazó	f'ogɒlmɒzoː
fogalmazódik	f'ogɒlmɒzoːdik
fogalmi	f'ogɒlmi
fogalom	f'ogɒlom
fogalomcsere	f'ogɒlomtʃɛɐ̯ɛ
fogalomkör	f'ogɒlomkøɐ̯
fogalomírás	f'ogɒlomiːɐ̯aːʃ
fogamzik	f'ogɒmzik
fogamzás	f'ogɒmzaːʃ
fogamzásgátlás	f'ogɒmzaːʃgaːtlaːʃ
fogamzásgátló	f'ogɒmzaːʃgaːtloː
fogamzásképtelen	f'ogɒmzaːʃkeːptɛlɛn
fogan	f'ogɒn
foganat	f'ogɒnɒt
foganatlan	f'ogɒnɒtlɒn
foganatos	f'ogɒnɒtoʃ
foganatosít	f'ogɒnɒtoʃiːt
fogantatás	f'ogɒntɒtaːʃ
fogantyú	f'ogɒnçuː
fogas	f'ogɒʃ
fogaskerekek	f'ogɒʃkɛɐ̯ɛkɛk
fogaskerekű	f'ogɒʃkɛɐ̯ɛkyː
fogaskerék	f'ogɒʃkɛɐ̯eːk
fogasol	f'ogɒʃol
fogasír	f'ogɒʃiːɐ̯
fogat	f'ogɒt
fogathajtó	f'ogɒthɒjtoː
fogatlan	f'ogɒtlɒn
fogatolt	f'ogɒtolt
fogaz	f'ogɒz
fogazat	f'ogɒzɒt
fogazott	f'ogɒzot
fogcsikorgatás	f'ogtʃikoɐ̯gɒtaːʃ
fogda	f'ogdɒ
fogdmeg	f'ogdmɛg
fogdos	f'ogdoʃ
fogfájás	f'ogfaːjaːʃ
fogfüvek	f'ogfyvɛk
fogfű	f'ogfyː
fogház	f'oghaːz
fogházak	f'oghaːzɒk
foghézag	f'ogheːzɒg
foghíj	f'oghiːj
foghíjak	f'oghiːjɒk
foghíjas	f'oghiːjɒʃ
foghús	f'oghuːʃ
fogkefe	f'ogkɛfɛ
fogkorona	f'ogkoɐ̯onɒ
fogkövek	f'ogkøvɛk
fogkő	f'ogkøː
foglal	f'oglɒl
foglalat	f'oglɒlɒt
