g e ʧ	гэж
ʧʰ i g ɮ ə ɮʲ i g	чиглэлийг
ʦʰ i ʦʰ ə g s	цэцэгс
ʦʰ ʊ ɢ ɮ ə s ə ŋ	цугласан
ʦʰ ʊ w r ə ɮ ə ŋ	цувралын
ʦʰ ɔ χ	цох
ʦʰ a ɮʲ ə n tʰ ai	цалинтай
ʦʰ aa t ə χ	цаадах
x oo r ə x	хөөрөх
x oo r	хөөр
x o ɮʲ i g	хөлийг
x o w ə ŋ	хөвөн
x uu gʲ i ŋ x e	хүүгийнхээ
x u r gʲ e	хүргье
χ a m r ə ɮ ə ŋ	хямралын
x i tʰʲ i ŋ	хэтийн
x i s ə g ʧʰ ɮ ə ŋ	хэсэгчлэн
x i m ə s ə ŋ	хэмээсэн
χ ʊ ʧʰ ə ɢ t s ə ŋ	хучигдсан
χ ʊʊ ɮʲ tʰ ai	хуультай
χ ʊʊ ɮ ʧ	хуулж
χ ʊ ɮ ɢ ai ʧʰ	хулгайч
χ ʊ t ə ɮ t ə χ	худалдах
χ ʊ wʲ ʦʰ a g	хувьцааг
x rʲ i s tʰʲ i ŋ	христийн
χ ɔ j ə r t ə ɢ a r tʰ	хоёрдугаарт
χ ɔ ʃ ʊ n t	хошуунд
χ ɔ rʲ ʧ	хорьж
xʲ i ʧʰ e ŋ	хичээн
xʲ i ʧʰ e	хичээ
xʲ i ɮ s	хилс
xʲ ii s e r	хийсээр
χ a rʲ ʧ	харьж
χ a n tʰ	хант
χ a m r a	хамраа
χ a m ɢ ə ŋ	хамгын
χ a m ɢ a ɮ ə ɮ tʰ ə t	хамгаалалтад
χ a m	хам
χ a ɮ ʦ ə ŋ	халзан
ʊ χ a r ə ɮ	ухаарал
ʊ χ a n a	ухаанаа
ʊ s n a s	уснаас
ʊ n ʃ ə ɢ ʧʰ ə t	уншигчид
ʊ n ʃ ə ɢ ʧʰ t ə ŋ	уншигчдын
ʊ tʲ ə r t ɮ ə ɢ ʊ t	удирдлагууд
tʰ uu n e	түүнээ
tʰ u n ʃ	түнш
tʰ ee ɮ	тээл
tʰ i s w ə r	тэсвэр
tʰ i r g ə n t	тэргэнд
tʰ i g ə x ə t	тэгэхэд
tʰ i w ʧʰ e r tʰ e	тэвчээртэй
tʰ ʊ s ɮ ə χ a r	туслахаар
tʰ ʊ s ə ɮ t ə g	тусалдаг
tʰ ɔ χ ə r ʊ ɮ ʧ	тохируулж
tʰ ɔ χ ə r ʊ ɮ ə ŋ	тохируулан
tʰ ɔ r ɢ ə χ	торгох
tʰ ɔ ɮ ɢ ɔi ɮ ə ɢ ʧʰ	толгойлогч
tʰ ɔ t ə tʰ ɢ ə ɮ tʰ ɔi	тодотголтой
tʰ ɔ ɢ tʰ ɔ n	тогтооно
tʰ ɔ ɢ tʰ ə ɮ ʦʰ ə n t	тогтолцоонд
tʰ ɔ ɢ ɮ ə ɢ ʧʰ t ə ŋ	тоглогчдын
tʰ a r ʧ	тарж
tʰ a r w ə ɢ	тарвага
tʰ ai ɮ ə n t	тайланд
tʰ ai ʦ	тайз
tʰ ai w ə n	тайвны
tʰ aa r ɮ a	таарлаа
tʰ aa r ə ɮ t s ə ŋ	тааралдсан
tʰ aa r ə ɮ t t ə g	тааралддаг
s uu ŋ	сүүн
s u r ə g ɮ ə ŋ	сүрэглэн
s i t wʲ i ŋ	сэдвийн
s i t wʲ i g	сэдвийг
s ʊ r w ə ɮ ʧ i g	сурвалжийг
s ɔ ʦʰ a ɮʲ ə ʦ ə m	социализм
s ɔ ɴ ɢ ə n	сонгоно
s ɔ ɮʲ ə ɮ ʦʰ ə ʧ	солилцож
s a j a r	саяар
s a n ʊ ɮ ʧ	сануулж
s a n ə χ ə t	санахад
s ai ʧ r ʊ ɮ s ə ŋ	сайжруулсан
pʰ ɔ pʰ	поп
pʰ a tʰʲ ə n tʰ	патент
ɔ r ʧʰ ʊ ɮ s ə ŋ	орчуулсан
ɔ r ʊ ɮ ə χ ə r	оруулахаар
ɔ r ə ɮ ʦʰ ə x g ui	оролцохгүй
ɔ r ɮ ə ɢ ə s	орлогоос
ɔ rʲ ə ɮ ʧ	орилж
ɔ r ɢ ə ɮ t	оргилд
n uu ŋ	нүүн
n i r e r e	нэрээрээ
n ʊ tʰ ə ɢ ɮ ə χ	нутаглах
n ɔ ɢ t ə χ	ногдох
nʲ i s s ə ŋ	ниссэн
nʲ ii ɮ u ɮ ə ɮ tʰ	нийлүүлэлт
nʲ ii ɮ t ə g	нийлдэг
n ai r ə ɢ ɮ ə ɮ	найраглал
n a ɢ ə ʦʰ	нагац
m o ŋ g ə g ui	мөнгөгүй
m i t u ɮ ə g	мэдүүлэг
mʲ i tʰ r e s	метрээс
mʲ i s s ə ʧ	мессеж
m a r tʰ a t	мартаад
m a n t ə ɮ t	мандалд
m a ɢ tʰ a ɮ	магтаал
ɢ ɔ m ə n t ɮ ə ɢ ʧʰ	командлагч
i x s ə x	ихсэх
i r t ə g g ui	ирдэггүй
i r g ə t e	иргэдээ
i ɮ ə r xʲ i ɮ ə t	илэрхийлээд
i ɮ ə r xʲ i ɮ ə ŋ	илэрхийлэн
ʦ o gʲ i ŋ	зөгийн
ʦ uu ʧ e	зүүжээ
ʦ ʊ r ʃ ə ɮ	зуршил
ʦ ʊ r ɢ ʊ t ə g	зургуудыг
ʦ ʊ r a s	зураас
ʦ ɔ χ ə m ə ɮ	зохиомол
ʦ ɔ w s ə ŋ	зовсон
ʦ ɔ w ɮ ə n tʰ ɔi	зовлонтой
ʦ a s ə ɢ ɮ ə ɮ tʰ ai	засаглалтай
ʦ a ɮ ʊ s ə g	залуусыг
ʦ aa s n a s	зааснаас
ʧ a r ɢ ə χ	жаргах
j i w r ɔ	евро
t o ʧʰ ə ŋ	дөчин
t uu r g ə s ə ŋ	дүүргэсэн
t uu t e	дүүдээ
t ee ʧ	дээж
t ʊʊ tʰ ai	дуутай
t ʊʊ s ə n	дуусна
t ʊʊ s ə χ a s	дуусахаас
t ʊʊ ɮʲ a ŋ	дуулиан
t ʊ tʰ ə x g ui	дутахгүй
t ʊ r s ə ŋ	дурсан
t ʊ ɢ ʊi tʰ ai	дугуйтай
t ɔɔ r ɔ	доороо
t ɔ w tʰ ə ɮ s ə ŋ	довтолсон
t a r ɢ ə g	даргыг
t a ɮ p a g	далбааг
t a ɮ	дал
t ai ʧʰ ə t	дайчид
t ai r a t	дайраад
t a ɢ ə χ	дагах
g ui ɮ g e	гүйлгээ
ɢ r ʊ pʰ pʰ	групп
ɢ ɔ ɮ tʰ ɔi	голтой
ɢ a r ɢ ə w ə ɮ	гаргавал
g a m ʃ ə gʲ i ŋ	гамшигийн
ɢ a t ə r ɢ ə ŋ	гадаргын
p i ɮ t e t	бэлдээд
p i ɮ g ə t ə ɮ	бэлгэдэл
p ʊ ɮ a ʧ	булааж
p ɔ ɮ ʦʰ ə ŋ	болцон
p ɔ ɮ s ə n tʰ ɔi	болсонтой
pʲ i ʧʰ s ə nʲ i g	бичсэнийг
pʲ i ʧʰ n e	бичнээ
pʲ i ʧʰ ɮ ə g e	бичлэгээ
pʲ i ʧʰ ə ŋ	бичин
pʲ i ʧʰ ə ɮ	бичил
p a χ ə r χ ə χ	бахархах
p a rʲ ʧ e	барьжээ
p a r ə χ ə t	барахад
p ai x n e	байхнээ
p ai ɮ ɢ ə χ ə ŋ	байлгахын
p ai t ə ŋ	байдын
p ai ɢ ʊ ɮ ə ɢ ʧʰ ə t	байгуулагчид
p ai ɢ ə ɮʲ t	байгальд
p aa tʰ ə r ɮ ə g	баатарлаг
a r ɢ ʊ t	аргууд
a mʲ t ə r s a r	амьдарсаар
a ɮ ə ɢ t s ə ŋ	алагдсан
a ʧ ə ɮ ɮ ə χ a r	ажиллахаар
a ʧ ə ɮ g ui t ə ɮ	ажилгүйдэл
a ɢ a r ə g	агаарыг
a ɢ a r a s	агаараас
a w ə χ ʊ ɮ s ə ŋ	авахуулсан
a w ə ɢ ʧʰ	авагч
aa w tʰ ai ɢ a	аавтайгаа
j a rʲ ə ɮ ʦʰ i	Ярилцы
e s	Эс
i n t ə wʲ ə r	Эндовер
i t g e rʲ i g	Эдгээрийг
i t w ə r t	Эдвард
ʃ ʊ t ə r ɢ	Шударга
ʃ i n ʧ a ŋ	Шинжаан
x i r ə g tʰ e	Хэрэгтэй
x i t x ə ŋ	Хэдхэн
xʲ i ʧʰ n e ŋ	Хичнээн
χ a tʰ ə ɢ tʰ ai	Хатагтай
ʊ ɢ rʲ a n	Укрианы
ʊ t a ŋ	Удаан
tʰ i m ə ʧ ə ŋ	Тэмүжин
tʰ ɔɔ rʲ ə ɮ	Тоорил
tʰʲ i x nʲ ə gʲ i ŋ	Техникийн
s o r ə g	Сөрөг
s ʊ r g ʊ ɮʲ i g	Сургуулийг
s ʊ pʰʲ ə r	Супер
s ɮ ɔ w ə g	Словак
s i t nʲ ə j	Сидней
s a n s r ə ŋ	Сансрын
pʰ r a ɢ	Прага
pʰʲ i tʰʲ ə r p ə r g	Петербург
ɔ n ɮ ai ŋ	Онлайн
ɔ t ə ŋ	Одон
n a t tʰ ai	Надтай
m ʊ ʧ	Муж
m ɔ ɴ ɢ ə ɮ ɔ	Монголоо
m ɔ pʲ ə ɢ ə m	Мобиком
ɮ ʊ i s	Луис
i s ɮ ə m	Ислам
i r g ə ŋ	Иргэн
i ʦ r ai ɮʲ	Израйль
i w ə ŋ	Иван
ʦ a n ə p ə ʦ ə r	Занабазар
ʧ ʊ ʧ ə ŋ	Жужан
ʧ i ɮ t	Жилд
t ee r xʲ i	Дээрхи
g e x	Гэх
g i s ə r	Гэсэр
ɢ ɔɔ	Гоо
wʲ e n	Вена
p ʊ j ə n tʰ	Буянт
p ʊ tʰ ə ŋ	Бутан
p ɔ ɮ ə r	Болор
pʲ i r ə m	Бирм
p a ɮ ɢ ə n	Балканы
p ai ɴ ɢ	Байнга
a n ə ɢ a χ	Анагаах
a ŋ	АН
j ɔ s	Ёс
o s ʧʰ e	өсчээ
o r s ə ɮ t t ə g	өрсөлддөг
o ŋ g ə r ə s ə ŋ	өнгөрөөсөн
o ŋ g ə r ə w	өнгөрөв
o ŋ g ə r u ɮ ʧ	өнгөрүүлж
o g s ə ŋ g ui	өгсөнгүй
o t ə r tʰ	Өдөрт
o w o	Өвөө
uu s ʧʰ e	үүсчээ
uu s g ə g ʧʰ	үүсгэгч
uu r e r	үүрээр
uu ŋ	үүн
uu t s ə ŋ	үүдсэн
u r e r	үрээр
u r ə g t ʧ e	үрэгджээ
u n ə ɮ ə m ʧ	үнэлэмж
u ɮ t e t	үлдээд
u ʦ u ɮ ə w	үзүүлэв
u ʦ m e r	үзмээр
u j	Үе
j ɔ r ɔ ɮ t	ёроолд
j a s ə n	ясны
j a rʲ ə ʧ	яриж
j a pʰ ə n t	японд
j a ɮʲ ə g	ялиг
j a ɮ ɢ ə r ʧʰ	ялгарч
j a w ʦʰ t a	явцдаа
j a w t ə ɮ tʰ	явдалт
j a w ə ɢ ʧʰ	явагч
j a w a g	явааг
i x ə ɮ ʧʰ ə x s ə ŋ	эхэлчихсэн
i x tʰ e	эхтэй
i x n ə r tʰ e	эхнэртэй
i x n ə rʲ i ŋ	эхнэрийн
i s r ə g ə r e	эсрэгээрээ
i r g u ɮ e t	эргүүлээд
i n ə tʰ x ə g	энэтхэг
i m e gʲ i ŋ	эмээгийн
i m g ə g	эмгэг
ʃ u t e	шүдээ
ʃ ɔ ɢ ə ɮ ə t	шоколад
ʃ ii tʰ g ə x	шийтгэх
ʃ i t	шид
ʃ aa r t ɮ ə ɢ a r	шаардлагаар
ʧʰ o ɮ o ɮ ʧ	чөлөөлж
ʧʰ a r m ai ɮ tʰ	чармайлт
ʦʰ ee ʧ ə n t	цээжинд
ʦʰ i r g u t e	цэргүүдээ
ʦʰ ɔ χ ə ŋ	цохин
ʦʰ a s ə n t	цасанд
ʦʰ a ɢ ə r ə g	цагираг
x o n t ɮ ə ŋ gʲ i ŋ	хөндлөнгийн
x uu x ə ɮ t e	хүүхэлдэй
x uu x tʲ i ŋ x e	хүүхдийнхээ
x u s ɮ ə ŋ	хүслэн
x u r ə xʲ i ŋ	хүрэхийн
x u m u ʧ u ɮ ə x	хүмүүжүүлэх
x u ɮ e ɮ tʰ	хүлээлт
χ a m r ə ɮ t	хямралд
χ a ɮ p ə r χ ə ŋ	хялбархан
χ a ʦ ɢ a r ɮ ə χ	хязгаарлах
x i r ə g ɮ ə x ə t	хэрэглэхэд
x i m ʧ e g e	хэмжээгээ
x i m ʧ ə x	хэмжих
x i ɮ ə x ə s	хэлэхээс
x i ɮ ə ɮ ʦʰ ə rʲ i g	хэлэлцээрийг
x i w ɮʲ i t	хэвлийд
χ ʊʊ ʧʰ	хууч
χ ɔ j ə r ə s	хоёроос
χ ɔ s ə ɮ s ə ŋ	хосолсон
χ ɔ s ɮ ʊ ɮ ə ŋ	хослуулан
χ ɔ rʲ ə ɢ t ə ʧ	хоригдож
χ ɔɔ ɮ ə g	хоолыг
χ ɔ ɮ p ɔ t	холбоод
χ ɔi ɢ tʰ	хойгт
χ ɔ ʧ ə ɢ t s ə ŋ	хожигдсон
xʲ i ʧʰ ə ɮ ɮ ə t ə g	хичээллэдэг
χ a rʲ a ɮ ə ɢ t t ə g	харьяалагддаг
χ a rʲ ʦʰ t ə g	харьцдаг
χ a rʲ ʦʰ a n	харьцааны
x a rʲ ʊ ʦʰ ɮ ə g ə g ui	хариуцлагагүй
χ a r ə ɴ χ ʊi t	харанхуйд
χ a ɴ ɢ ai	хангай
χ a m r ə ŋ	хамрын
χ a m ɢ a ɮ ə ɢ t s ə ŋ	хамгаалагдсан
χ a ɮ t ə ʧ	халдаж
χ ai r a r	хайраар
χ a t ɢ ə ɮ ə ɢ t ə ŋ	хадгалагдан
χ a ɢ ə s ə ŋ	хагасын
χ a ɢ ə ɮ ʧ	хагалж
χ a w s r ə ŋ	хавсран
χ aa n tʰ ai	хаантай
pʰ ai ɮ	файл
ʊ ʧʰ ə r a s	учираас
ʊ χ ə m s ə r tʰ	ухамсарт
ʊ χ a n tʰ ə ŋ	ухаантан
ʊʊ ɮ ʦ ə ɮ tʰ ə n t	уулзалтанд
ʊʊ ɮ ʦ a g ui	уулзаагүй
ʊ r s a t	урсаад
ʊ r t a	урдаа
ʊ r ɢ ə ŋ	урган
ʊ n tʰ r a χ	унтраах
ʊ n t a n	ундааны
ʊ tʲ ə r t ɮ ə ɢ ə t	удирдлагад
tʰ o r ə ɮ tʰ	төрөлт
tʰ o r ɮ o	төрлөө
tʰ o ɮ ə w ɮ ə g ə g o	төлөвлөгөөгөө
tʰ o w ɮ ə r ʧʰ	төвлөрч
tʰ i tʰ g ə ʧ	тэтгэж
tʰ i n ʦʰ s ə ŋ	тэнцсэн
tʰ i ŋ gʲ ə s tʰ e	тэнгистэй
tʰ i m t ə g ɮ ə ɮʲ i ŋ	тэмдэглэлийн
tʰ i g tʰ ə ɮ	тэгтэл
tʰ ʊ s ɮ ə m ʧ i ŋ	тусламжийн
tʰ ʊ s ɢ ə ɢ t s ə ŋ	тусгагдсан
tʰ ɔ χ ə ɮ t ə χ	тохиолдох
tʰ ɔ r	тор
tʰ ɔɔ n ɔ s	тооноос
tʰ ɔ ɢ tʰ ə ʦʰ	тогтоц
tʰ ɔ ɢ ɮ ə χ t ɔ	тоглохдоо
tʰʲ ii m x ə ŋ	тиймхэн
tʰ a s ə ɮ ʧ	тасалж
tʰ a mʲ ə r	тамир
tʰ a ɮ a	талаа
tʰ aa m ə ɢ ɮ ə t ə g	таамагладаг
s uu ɮ nʲ i	сүүлний
s ui r ə ɮ	сүйрэл
s i r ə ɮ	сэрэл
s i ɮ ə ɮ tʰʲ i ŋ	сэлэлтийн
s e g	сэг
s ʊ r w ə ɮ ʧ ə t	сурвалжид
s ʊ ɴ ɢ ʊ ɮ ə χ	сунгуулах
s ʊ t ə s ə n	судасны
s tʰ a n t ə r tʰ ə ŋ	стандартын
s ɔ ɴ ɢ ə ɢ ʧʰ	сонгогч
s ɔ wʲ ə ŋ	совин
s a r m ə ɢ ʧʰ ə ŋ	сармагчин
s a n ʊ ɮ s ə ŋ	сануулсан
s a n ə ɢ t ʧʰ ə χ ɮ a	санагдчихлаа
s a n a ʧʰ ɮ ə ŋ	санаачлан
s aa r ə ɮ t ʊ	сааралдуу
pʰ a r g	парк
ɔ j ʊ tʰ n ʊ t ə t	оюутнуудад
ɔ ʧʰ ə n	очино
ɔ pʰʲ ə ʦʰ ə r	офицер
ɔɔ r	оор
ɔ n ʦʰ g ui	онцгүй
ɔ n ɔ ɢ ɔ r	оноогоор
ɔ n ɔ g	оноог
ɔ ɮ t ɔ g ui	олдоогүй
ɔi ɮ g ə m ʧ g ui	ойлгомжгүй
ɔ ɢ tʰ ə r ɢ ʊi ŋ	огторгуйн
n oo ʦʰ tʰ e	нөөцтэй
n o ɮ o ɮ ɮʲ i g	нөлөөллийг
n uu s ə ŋ	нүүсэн
n uu rʲ i g	нүүрийг
n ee	нээ
n i r s i g	нэрсийг
n i r nʲ i	нэрний
n i g e s	нэгээс
n ʊ r ə ŋ	нуран
n ʊ ɢ	нуга
n ɔ ɢ t ʊ ɮ ə n	ногдуулна
nʲ i s e t	нисээд
nʲ ii ʦʰ ə ʧ	нийцэж
nʲ ii tʰ ə ɮ ʧ	нийтэлж
nʲ ii ɮ ə x g ui	нийлэхгүй
nʲ ii ɮ ə ŋ	нийлэн
n ai r ʊ ɮ ʧ	найруулж
n ai ʦ ə ɴ χ a	найзынхаа
n a w ʧʰ ə s	навчис
n aa ʧ	нааж
m o r t ə x	мөрдөх
m i t ə x ə r	мэдэхээр
m i t ə g t ə x ui ʦʰ	мэдэгдэхүйц
m i t ə g t ɮʲ i g	мэдэгдлийг
m i t r ə m ʧ tʰ e	мэдрэмжтэй
mʲ i g r ɔ	микро
m a j ə gʲ i g	маягийг
m a n t ə ɮ tʰ ə ŋ	мандалтын
ɮ a p ə r ə tʰ ə rʲ i ŋ	лабораторийн
ɢ ɔ mʲ ə s s ə ŋ	комиссын
ɢ ɔ ɮ ɮʲ ə ʧ	коллеж
i r e r e	ирээрэй
i r ʧʰ ə x s ə ŋ	ирчихсэн
i r s nʲ i g	ирснийг
i r s nʲ i	ирсний
i ʦ ə tʰ ə pʰʲ i	изотопи
ʦ o w ə ɮ g o	зөвөлгөө
ʦ o w ʃ ə r ə ɮ g ui	зөвшөөрөлгүй
ʦ u tʰ g ə ɮ	зүтгэл
ʦ i m s ə g	зэмсэг
ʦ i w s ə g tʰ e	зэвсэгтэй
ʦ ɔ χ ə ʦʰ ə ʧ	зохицож
ʦ ɔ rʲ ʊ ɮ ə w	зориулав
ʦ ɔ rʲ ʊ ɮ a t	зориулаад
ʦ ɔ rʲ ə ŋ	зорин
ʦ a s t ə g	засдаг
ʦ a s ə ɢ tʰ ai	засагтай
ʦ a wʲ	завь
ʦ aa ɮ ɢ ə ʧ	заалгаж
ʦ aa g a g ui	заагаагүй
ʦ aa	заа
ʧ a ɢ s a ɮ tʰ a s	жагсаалтаас
ʧ aa χ ə n a	жааханаа
j i r o s	ерөөс
t i ɮ g ə r	дэлгэр
t i w ʃ u ɮʲ e	дэвшүүлье
t ʊʊ n ʊ t ə g	дуунуудыг
t ʊ tʰ ə ʧ	дутаж
t ʊ ɢ a r tʰ	дугаарт
t r a m ə ŋ	драмын
t ɔ r ə m ʧ ə ɮ ʧ	доромжилж
t ɔ ɮ ɢ ɔ n	долгионы
t a m ʧ ʊ ɮ ə ɮ tʰ	дамжуулалт
t a ɮ ai ɢ a r	далайгаар
t a ɢ ə ɮ t ə ŋ	дагалдан
g ui ʦʰ ə ʧ	гүйцэж
g ui t ə ɮ	гүйдэл
g i xʲ i ŋ	гэхийн
g i rʲ i ŋ x ə ŋ	гэрийнхэн
g i t ə gʲ i g	гэдэгийг
ɢ ʊ tʰ a ŋ	гутаан
ɢ ʊi s ə ŋ	гуйсан
ɢ ɔ j	гоя
ɢ ɔ m t ɮ ə g	гомдлыг
ɢ a χ ai ŋ	гахайн
ɢ a r ʧʰ ə g	гарчиг
ɢ a r ə χ a s	гарахаас
ɢ a r a n t	гараанд
ɢ a m ʃ ə ɢ tʰ	гамшигт
ɢ a ʦ r ə ɴ χ ə ŋ	газрынхан
ɢ a t a t a s	гадаадаас
p u r ə ɮ t s ə ŋ	бүрэлдсэн
p u r tʰ g ə s ə ŋ	бүртгэсэн
p u r tʰ g ə ɮ tʰ e	бүртгэлтэй
p u t ə g	бүдэг
p e x	бэх
p i r x ʃ e ɮʲ i g	бэрхшээлийг
p ʊ χ	бух
p ʊʊ r ai	буурай
p ʊ ɴ χ ə ŋ	бунхан
p ɔ ɮ t ɔ	болдоо
p ɔ ɢ s ə ŋ	боксын
p ɔ t ə ɢ t ə ʧ	бодогдож
p ɔ t ɮ ə ɢ ə r	бодлогоор
p ɮ ɔ ɢ ʊ t	блогууд
pʲ i ʧʰ ə xʲ i g	бичихийг
pʲ i ʧʰ ə g tʰ e	бичигтэй
pʲ ɔɔ ɮ ə gʲ i	биологи
pʲ i j ə nʲ i x e	биенийхээ
p a j ə r ɮ ə ŋ	баярлан
p a tʰ ə ɮ ɢ a ʧ ʊ ɮ ə χ	баталгаажуулах
p a rʲ ə m tʰ ɮ ə ŋ	баримтлан
p a rʲ ə m tʰ ɮ ə ɮ	баримтлал
p ai g ʊ ɮ ə m ʧ i ŋ	байгууламжийн
p a ɢ ʃ t a	багшдаа
p a g tʰ ʧ e	багтжээ
a j ə n	аяны
a r t ʊ t	ардууд
a mʲ t r ə χ ə ŋ	амьдрахын
a m tʰ ə n t	амтанд
a m ɮ ə s ə ŋ	амласан
a ɮ ʊ r ʧʰ ə ŋ	алуурчин
a ɮ t a ɢ a	алдаагаа
ai m ə ɢ tʰ ai	аймагтай
a w tʰ ə m ə ʃ ə ŋ	автомашин
a w tʰ ə m ə tʰ ə r	автоматаар
a w tʰ ə m ə tʰ	автомат
aa w t a	аавдаа
ee	Ээ
i ɮ t ə w	Элдэв
i t g e rʲ i ŋ	Эдгээрийн
ʃ ɔ ʃ ɢ	Шошго
ʧʰ a r ɮʲ ʦ	Чарльз
x i ʦʰ u	Хэцүү
x e χ	Хэхэ
x i n tʰʲ i ŋ	Хэнтийн
χ ɔ j ə r t ə ɢ a r tʰ	Хоёрдугаарт
χ ɔ ɴ ɢ ə r	Хонгор
χ a tʰ ʊ	Хатуу
χ a rʲ ə ɮ ʦʰ a	Харилцаа
pʰʲ i n ɮ ə n t ə ŋ	Финландын
ʊ χ a ŋ	Ухаан
ʊ rʲ a ɴ χ ai	Урианхай
ʊ ʦ pʲ ə ɢ ə s tʰ ə ŋ	Узбекистан
tʰ ʊ ɴ ɢ ə ɮ ə g	Тунгалаг
tʰ ɔ t ə r χ ɔi	Тодорхой
s u r ə ŋ	Сүрэн
s a ɮ xʲ i	Салхи
r ai s	Райс
r ŋ x	РНХ
pʰ r ɔ ɢ r ə m	Програм
ɔ r t ə ŋ	Ордын
ɔ t	Од
n o g o tʰ e g u r	Нөгөөтэйгүүр
n ʊ tʰ ə g	НУТАГ
mʲ i nʲ	МИНЬ
ɮ ɔ s	Лос
ɮʲ i w ə ŋ	Ливан
ɮʲ i pʲ ə r ə ɮ	Либерал
g a ɮʲ ə pʰ ə r nʲ i ŋ	Калифорнийн
ʧ a w ʦ ə ŋ	Жавзан
j i w r ə pʰ ə g	Европыг
t ʊ r ɮ ə ɮ	Дурлал
t a m tʲ ə n s ə r ə ŋ	Дамдинсүрэн
g i r e nʲ i	Гэрээний
ɢ a n ʦʰ a r a	Ганцаараа
p o r tʰ e	Бөртэ
p ʊ χ	Буха
p ʊ r χ ə n	Бурхны
p ʊ n tʲ ə s ɮʲ ə g	Бундеслиг
p ʊ t tʲ ə ʦ ə m	Буддизм
pʲ i p ɮʲ i ŋ	Библийн
pʲ i g x ə m	Бекхэм
a ʃ g ui	Ашгүй
a χ a t	Ахиад
a s ʊ t ə ɮ	Асуудал
a m ɢ ə ɮ ə ŋ	Амгалан
o s n	өснө
o r g ə n tʰ e	өргөнтэй
o n t ə r ɮ ə ʧ	өндөрлөж
o m ʧʰ ɮ ə x	өмчлөх
o g s n o r	өгснөөр
o ɴ ɢ	Өнгө
o w g ə ŋ	Өвгөн
uu r e t	үүрээд
uu rʲ i ŋ	үүрийн
u n ə n t	үнэнд
u ɮ t e ʧ e	үлдээжээ
u ɮ t e g e t	үлдээгээд
ui ɮ ʧʰ ɮ ə g ʧʰ	үйлчлэгч
ui ɮ ʧʰ ə ɮ g e tʰ e	үйлчилгээтэй
ui ɮ t w ə r ɮ ə ɮ e	үйлдвэрлэлээ
u t e s	үдээс
j a m ə r χ ʊ	ямархуу
j a ɮ ə ɮ tʰ ə ŋ	ялалтын
j a t ə χ t a	ядахдаа
j a w ʧʰ ə χ t ə g	явчихдаг
j a w ʧʰ ə χ ə ʧ	явчихаж
j aa j	яая
ee ɮ tʰ e	ээлтэй
ee ʧ tʰ e g e	ээжтэйгээ
i r ə ɮ x ə g	эрэлхэг
i r x ʃ e ɮ t e	эрхшээлдээ
i r g e s	эргээс
i m ə g tʰ ə ʧʰ u tʲ i g	эмэгтэйчүүдийг
i ʦ ə n t	эзэнд
i t ə ɮ ə n	эдэлнэ
i w t s ə ŋ	эвдсэн
ʃ uu g ʧʰ ə t	шүүгчид
ʃ u ɮ g e	шүлгээ
ʃ i ɮ m u s tʰ	шилмүүст
ʃ i g u	шигүү
ʃ a tʰ s ə ŋ	шатсан
ʃ a tʰ a s ə ŋ	шатаасан
ʃ a ɮ ɢ ə ɮ tʰ ə n t	шалгалтанд
ʧʰ i nʲ i x	чинийх
ʧʰ i m ə g ɮ ə s ə ŋ	чимэглэсэн
ʧʰ ii r ə g	чийрэг
ʦʰ i w ə r ɮ ə g e	цэвэрлэгээ
ʦʰ ʊ ɢ ɮ ə r s ə ŋ	цугларсан
ʦʰ ai g	цайг
ʦʰ aa ʦ ə tʰ	цаазат
x o m s ə g	хөмсөг
x o ɮ s nʲ i	хөлсний
x o t ə ɮ g u r	хөдөлгүүр
x o g ʧ o ŋ	хөгжөөн
x u s ə ɮ g ui	хүсэлгүй
x u s ɮʲ i ŋ	хүслийн
x ee g	хээг
x i s g u tʲ i g	хэсгүүдийг
x i r ə g ɮ ə n t	хэрэглээнд
x i n ə g g ui	хэнэггүй
x i n tʰ e	хэнтэй
x i m e ʧ e	хэмээжээ
x i m ə t ə g	хэмээдэг
x i ɮ ə ɮ ʦʰ u ɮ ə g	хэлэлцүүлэг
x i ɮ ə ɮ ʦʰ ə r tʰ	хэлэлцээрт
χ ʊʊ ɮʲ ʊ t	хуулиуд
χ ʊ r a m ʧ	хураамж
χ ʊ t ə ɮ t s ə ŋ	худалдсан
χ ʊ w ʦʰ s a	хувцсаа
χ ʊ wʲ a	хувиа
χ ʊ w ə n ʦʰ ə r	хуванцар
χ ɔ s ə ŋ	хосын
χ ɔ s ɮ ə ɮ	хослол
χ ɔ ŋ	хон
χ ɔ ɮ p ɔ n ɔ s	холбооноос
χ ɔ w ə r t s ə ŋ	ховордсон
xʲ ii s n e	хийснээ
χ a j ə t ə g	хаядаг
χ a rʲ ʦʰ ʊ ɮ ʧ	харьцуулж
χ a rʲ ʦʰ ʊ ɮ p ə ɮ	харьцуулбал
χ a rʲ ʦʰ ʊ ɮ ə χ	харьцуулах
χ a rʲ ʊ ʦʰ t ə g	хариуцдаг
χ a rʲ ʊ ʦʰ ə ŋ	хариуцан
χ a rʲ ʊ ɮ tʰ ə g	хариултыг
x a rʲ ʊ ɮ ʧ e	хариулжээ
χ a m tʰ ɮ ə ɢ tʰ	хамтлагт
χ a m tʰ ə t	хамтад
χ a m ɢ a ɮ ɮ ə ŋ	хамгааллын
