A	ə
FANTASIZED	f 'æ n t ɪ s ˌaj z d
FANTASIZED(1)	f 'æ n ɪ s ˌaj z d
FANTASIZES	f 'æ n t ə s ˌaj z ɪ z
FANTASIZES(1)	f 'æ n ə s ˌaj z ɪ z
FANTASIZING	f 'æ n t ə s ˌaj z ɪ ŋ
FANTASIZING(1)	f 'æ n ə s ˌaj z ɪ ŋ
FANTASTIC	f æ n t 'æ s t ɪ k
FANTASTICALLY	f æ n t 'æ s t ɪ k l ij
FANTASTIK	f ˌæ n t 'æ s t ɪ k
FANTASY	f 'æ n t ə s ij
FANTASY(1)	f 'æ n ə s ij
FANTASYLAND	f 'æ n t ə s ij l ˌæ n d
FANTASYLAND(1)	f 'æ n ə s ij l ˌæ n d
FANTINI	f ɑ n t 'ij n ij
FANTLE	f 'æ n t ə l
FANTON	f 'æ n t ə n
FANTOZZI	f ɑ n t 'ow t s ij
FANTROY	f 'æ n t ɹ ˌɔj
FANUC	f 'æ n ə k
FANUCCHI	f ɑ n 'uw k ij
FANUEIL	f 'æ n j ə l
FAO	f 'aw
FAR	f 'ɑ ɹ
FAR'S	f 'ɑ ɹ z
FARABAUGH	f 'æ ɹ ə b ˌɔ
FARABEE	f 'æ ɹ ə b ij
FARABUNDO	f ˌɛ ɹ ə b 'uw n d ˌow
FARACE	f ɑ ɹ 'ɑ ʧ ij
FARACI	f ɑ ɹ 'ɑ ʧ ij
FARADAY	f 'æ ɹ ə d ˌej
FARADAY'S	f 'æ ɹ ə d ˌej z
FARAGHER	f 'æ ɹ ə g ə ɹ
FARAGO	f ɑ ɹ 'ɑ g ow
FARAH	f 'ɛ ɹ ə
FARAHA	f 'ɑ ɹ ə h ɑ
FARAHKAN	f 'æ ɹ ə k ˌæ n
FARAI	f 'ɛ ɹ ej
FARAI(1)	f 'ɑ ɹ ej
FARAI(2)	f 'ɑ ɹ aj
FARANDA	f ə ɹ 'æ n d ə
FARAONE	f ɑ ɹ ɑ 'ow n ij
FARAWAY	f 'ɑ ɹ ə w 'ej
FARB	f 'ɑ ɹ b
FARBEN	f 'ɑ ɹ b ə n
FARBER	f 'ɑ ɹ b ə ɹ
FARBERWARE	f 'ɑ ɹ b ə ɹ w ˌɛ ɹ
FARBMAN	f 'ɑ ɹ b m ə n
FARCE	f 'ɑ ɹ s
FARCICAL	f 'ɑ ɹ s ə k ə l
FARCICAL(1)	f 'ɑ ɹ s ɪ k ə l
FARE	f 'ɛ ɹ
FARED	f 'ɛ ɹ d
FARES	f 'ɛ ɹ z
FARESE	f ɑ ɹ 'ej z ij
FARETLOW	f ə ɹ 'ɛ t l ow
FAREWELL	f ˌɛ ɹ w 'ɛ l
FAREWELLS	f ˌɛ ɹ w 'ɛ l z
FARFEN	f 'ɑ ɹ f ə n
FARFETCHED	f 'ɑ ɹ f 'ɛ ʧ t
FARGE	f 'ɑ ɹ ʤ
FARGNOLI	f ɑ ɹ g n 'ow l ij
FARGO	f 'ɑ ɹ g ˌow
FARGO'S	f 'ɑ ɹ g ˌow z
FARHA	f 'ɑ ɹ h ə
FARHAT	f 'ɑ ɹ h ˌæ t
FARIA	f 'ɑ ɹ ij ə
FARIAS	f 'ɛ ɹ ij ə z
FARIBAULT	f 'æ ɹ ə b ˌɑ l t
FARICA	f ɑ ɹ 'ij k ə
FARIDOUN	f 'ɑ ɹ ɪ d uw n
FARIELLO	f ɑ ɹ ij 'ɛ l ow
FARIES	f ɛ ɹ 'ij z
FARINA	f ə ɹ 'ij n ə
FARINACCI	f ɑ ɹ ij n 'ɑ ʧ ij
FARINAS	f ə ɹ 'ij n ə z
FARINELLA	f ɑ ɹ ij n 'ɛ l ə
FARING	f 'ɛ ɹ ij ŋ
FARINO	f ɑ ɹ 'ij n ow
FARIS	f 'ɛ ɹ ɪ s
FARISH	f 'ɛ ɹ ɪ ʃ
FARISS	f ə ɹ 'ɪ s
FARKAS	f 'ɑ ɹ k ə s
FARLAND	f 'ɑ ɹ l ə n d
FARLEE	f 'ɑ ɹ l ˌij
FARLER	f 'ɑ ɹ l ə ɹ
FARLESS	f 'ɑ ɹ l ə s
FARLEY	f 'ɑ ɹ l ij
FARLING	f 'ɑ ɹ l ɪ ŋ
FARLOW	f 'ɑ ɹ l ˌow
FARLY	f 'ɑ ɹ l ij
FARM	f 'ɑ ɹ m
FARM'S	f 'ɑ ɹ m z
FARMAN	f 'ɑ ɹ m ə n
FARMBOY	f 'ɑ ɹ m b ˌɔj
FARMED	f 'ɑ ɹ m d
FARMER	f 'ɑ ɹ m ə ɹ
FARMER'S	f 'ɑ ɹ m ə ɹ z
FARMERS	f 'ɑ ɹ m ə ɹ z
FARMERS'	f 'ɑ ɹ m ə ɹ z
FARMERS'S	f 'ɑ ɹ m ə ɹ z ɪ z
FARMHAND	f 'ɑ ɹ m h ˌæ n d
FARMHANDS	f 'ɑ ɹ m h ˌæ n d z
FARMHOUSE	f 'ɑ ɹ m h ˌaw s
FARMHOUSES	f 'ɑ ɹ m h ˌaw s ə z
FARMHOUSES(1)	f 'ɑ ɹ m h ˌaw s ɪ z
FARMING	f 'ɑ ɹ m ɪ ŋ
FARMING'S	f 'ɑ ɹ m ɪ ŋ z
FARMINGDALE	f 'ɑ ɹ m ɪ ŋ d ˌej l
FARMINGTON	f 'ɑ ɹ m ɪ ŋ t ə n
FARMLAND	f 'ɑ ɹ m l ˌæ n d
FARMLANDS	f 'ɑ ɹ m l ˌæ n d z
FARMS	f 'ɑ ɹ m z
FARMS'	f 'ɑ ɹ m z
FARMSTEAD	f 'ɑ ɹ m s t ˌɛ d
FARMWORKER	f 'ɑ ɹ m w ˌɛ ɹ k ə ɹ
FARMWORKERS	f 'ɑ ɹ m w ˌɛ ɹ k ə ɹ z
FARMYARD	f 'ɑ ɹ m j ˌɑ ɹ d
FARNALL	f 'ɑ ɹ n ə l
FARNAM	f 'ɑ ɹ n ə m
FARNAN	f 'ɑ ɹ n ə n
FARNBOROUGH	f 'ɑ ɹ n b ə ɹ ow
FARNELL	f 'ɑ ɹ n ə l
FARNER	f 'ɑ ɹ n ə ɹ
FARNES	f 'ɑ ɹ n z
FARNEY	f 'ɑ ɹ n ij
FARNHAM	f 'ɑ ɹ n ə m
FARNLEY	f 'ɑ ɹ n l ij
FARNSWORTH	f 'ɑ ɹ n s w ə ɹ θ
FARNUM	f 'ɑ ɹ n ə m
FARNWORTH	f 'ɑ ɹ n w ə ɹ θ
FARO	f 'ɛ ɹ ow
FAROLD	f 'æ ɹ ow l d
FARON	f 'ɛ ɹ ə n
FARONE	f ə ɹ 'ow n
FAROUK	f ə ɹ 'uw k
FARQUAR	f ɑ ɹ k w 'ɑ ɹ
FARQUHAR	f 'ɑ ɹ k w ə ɹ
FARQUHARSON	f ɑ ɹ k 'ʌ h ɑ ɹ s ə n
FARR	f 'ɑ ɹ
FARRA	f 'ɑ ɹ ə
FARRAGUT	f 'ɛ ɹ ə g ə t
FARRAH	f 'ɛ ɹ ə
FARRAKHAN	f 'ɑ ɹ ə k ˌɑ n
FARRAKHAN'S	f 'ɑ ɹ ə k ˌɑ n z
FARRAN	f 'æ ɹ ə n
FARRAND	f 'æ ɹ ə n d
FARRANT	f 'ɑ ɹ ə n t
FARRAR	f ə ɹ 'ɑ ɹ
FARREL	f 'ɛ ɹ ə l
FARRELL	f 'ɛ ɹ ɪ l
FARRELL'S	f 'ɛ ɹ ɪ l z
FARRELLY	f 'ɛ ɹ ə l ij
FARREN	f 'ɛ ɹ ə n
FARRENS	f 'æ ɹ ə n z
FARRER	f 'ɑ ɹ ə ɹ
FARREY	f 'æ ɹ ij
FARRIER	f 'ɛ ɹ ij ə ɹ
FARRINGTON	f 'ɛ ɹ ɪ ŋ t ə n
FARRIOR	f ɑ ɹ 'ij ə ɹ
FARRIS	f 'ɛ ɹ ɪ s
FARRISH	f 'æ ɹ ɪ ʃ
FARRO	f 'ɑ ɹ ow
FARRON	f 'ɛ ɹ ə n
FARROW	f 'ɛ ɹ ˌow
FARROW'S	f 'ɛ ɹ ˌow z
FARROWING	f 'æ ɹ ˌow ɪ ŋ
FARRUGGIA	f ɑ ɹ 'uw g ʤ ə
FARRUGIA	f ɑ ɹ 'uw ʤ ə
FARRY	f 'æ ɹ ij
FARSI	f 'ɑ ɹ s ij
FARSIGHTED	f 'ɑ ɹ s 'aj t ə d
FARSIGHTED(1)	f 'ɑ ɹ s ˌaj t ɪ d
FARSIGHTEDNESS	f ˌɑ ɹ s 'aj t ɪ d n ə s
FARSON	f 'ɑ ɹ s ə n
FART	f 'ɑ ɹ t
FARTHER	f 'ɑ ɹ ð ə ɹ
FARTHEST	f 'ɑ ɹ ð ə s t
FARTHING	f 'ɑ ɹ ð ɪ ŋ
FARTHINGALE	f 'ɑ ɹ ð ɪ ŋ g ˌej l
FARTING	f 'ɑ ɹ t ɪ ŋ
FARVE	f 'ɑ ɹ v
FARVER	f 'ɑ ɹ v ə ɹ
FARWELL	f 'ɑ ɹ w ˌɛ l
FARWEST	f ˌɑ ɹ w 'ɛ s t
FASANO	f ɑ s 'ɑ n ow
FASBENDER	f 'æ s b ˌɛ n d ə ɹ
FASCELL	f ə s 'ɛ l
FASCHING	f 'æ ʃ ɪ ŋ
FASCIANO	f ɑ s ʧ ij 'ɑ n ow
FASCINATE	f 'æ s ə n ˌej t
FASCINATED	f 'æ s ə n ˌej t ə d
FASCINATED(1)	f 'æ s ə n ˌej t ɪ d
FASCINATES	f 'æ s ə n ˌej t s
FASCINATING	f 'æ s ə n ˌej t ɪ ŋ
FASCINATION	f ˌæ s ə n 'ej ʃ ə n
FASCISM	f 'æ ʃ ˌɪ z ə m
FASCIST	f 'æ ʃ ɪ s t
FASCISTS	f 'æ ʃ ɪ s t s
FASHION	f 'æ ʃ ə n
FASHION'S	f 'æ ʃ ə n z
FASHIONABLE	f 'æ ʃ ə n ə b ə l
FASHIONABLE(1)	f 'æ ʃ n ə b ə l
FASHIONABLY	f 'æ ʃ ə n ə b l ij
FASHIONED	f 'æ ʃ ə n d
FASHIONING	f 'æ ʃ ə n ɪ ŋ
FASHIONS	f 'æ ʃ ə n z
FASICK	f 'æ s ɪ k
FASIG	f 'æ s ɪ g
FASNACHT	f 'æ s n ə k t
FASO	f 'ɑ s ow
FASO'S	f 'ɑ s ow z
FASON	f 'æ s ə n
FASONE	f ɑ s 'ow n ij
FASS	f 'æ s
FASSBENDER	f 'æ s b ˌɛ n d ə ɹ
FASSETT	f 'æ s ɪ t
FASSLER	f 'æ s l ə ɹ
FASSNACHT	f 'æ s n ə k t
FASSULO	f ə s 'uw l ow
FAST	f 'æ s t
FASTBALL	f 'æ s t b ˌɔ l
FASTBALLS	f 'æ s t b ˌɔ l z
FASTED	f 'æ s t ɪ d
FASTEN	f 'æ s ə n
FASTENED	f 'æ s ə n d
FASTENER	f 'æ s ə n ə ɹ
FASTENER(1)	f 'æ s n ə ɹ
FASTENERS	f 'æ s ə n ə ɹ z
FASTENERS(1)	f 'æ s n ə ɹ z
FASTENING	f 'æ s ə n ɪ ŋ
FASTENING(1)	f 'æ s n ɪ ŋ
FASTENINGS	f 'æ s ə n ɪ ŋ z
FASTENINGS(1)	f 'æ s n ɪ ŋ z
FASTER	f 'æ s t ə ɹ
FASTEST	f 'æ s t ə s t
FASTFOOD	f 'æ s t f ˌuw d
FASTIDIOUS	f æ s t 'ɪ d ij ə s
FASTING	f 'æ s t ɪ ŋ
FASTNESS	f 'æ s t n ə s
FASTS	f 'æ s t s
FASULO	f ə s 'uw l ow
FAT	f 'æ t
FATA	f 'ɑ t ə
FATAH	f 'ɑ t ə
FATAH(1)	f ə t 'ɑ
FATAL	f 'ej t ə l
FATALISM	f 'ej t ə l ˌɪ z ə m
FATALIST	f 'ej t ə l ɪ s t
FATALISTIC	f ej t ə l 'ɪ s t ɪ k
FATALISTS	f 'ej t ə l ɪ s t s
FATALITIES	f ə t 'æ l ɪ t ij z
FATALITY	f ə t 'æ l ɪ t ij
FATALLY	f 'ej t ə l ij
FATE	f 'ej t
FATED	f 'ej t ɪ d
FATEFUL	f 'ej t f ə l
FATEH	f 'ɑ t ɛ
FATES	f 'ej t s
FATH	f 'æ θ
FATHER	f 'ɑ ð ə ɹ
FATHER'S	f 'ɑ ð ə ɹ z
FATHERED	f 'ɑ ð ə ɹ d
FATHEREE	f æ θ ə ɹ 'ij
FATHERHOOD	f 'ɑ ð ə ɹ h ˌʊ d
FATHERING	f 'ɑ ð ə ɹ ɪ ŋ
FATHERLAND	f 'ɑ ð ə ɹ l ˌæ n d
FATHERLESS	f 'ɑ ð ə ɹ l ə s
FATHERLY	f 'ɑ ð ə ɹ l ij
FATHERS	f 'ɑ ð ə ɹ z
FATHERS'	f 'æ θ ə ɹ z
FATHI	f 'æ θ ij
FATHOM	f 'æ ð ə m
FATHOMABLE	f 'æ ð ə m ə b ə l
FATHOMS	f 'æ ð ə m z
FATIGUE	f ə t 'ij g
FATIGUED	f ə t 'ij g d
FATIGUES	f ə t 'ij g z
FATIGUING	f ə t 'ij g ɪ ŋ
FATIMA	f 'æ θ ɪ m ə
FATIMA(1)	f 'æ t ɪ m ə
FATIMAH	f 'æ θ ɪ m ə
FATS	f 'æ t s
FATTEN	f 'æ t ə n
FATTENED	f 'æ t ə n d
FATTENING	f 'æ t ə n ɪ ŋ
FATTENING(1)	f 'æ t n ɪ ŋ
FATTER	f 'æ t ə ɹ
FATTEST	f 'æ t ə s t
FATTIES	f 'æ t ij z
FATTY	f 'æ t ij
FATULA	f ɑ t 'uw l ə
FATUOUS	f 'æ ʧ ə w ə s
FATWA	f 'ɑ t w ɑ
FATZINGER	f 'ej t z ɪ ŋ ə ɹ
FAUBEL	f 'aw b ə l
FAUBER	f 'aw b ə ɹ
FAUBERT	f 'aw b ə ɹ t
FAUBION	f 'aw b ij ə n
FAUBLE	f 'ɔ b ə l
FAUBUS	f 'ɔ b ə s
FAUCET	f 'ɔ s ə t
FAUCETS	f 'ɔ s ə t s
FAUCETT	f 'ɔ s ɪ t
FAUCETTE	f ow s 'ɛ t
FAUCHER	f 'aw k ə ɹ
FAUCHEUX	f ow ʃ 'ow
FAUCI	f 'ɔ s ij
FAUGHN	f 'ɔ n
FAUGHNAN	f 'ɔ n ə n
FAUGHT	f 'ɔ t
FAUGHT'S	f 'ɔ t s
FAUL	f 'ɔ l
FAULCON	f 'ɔ l k ə n
FAULCONER	f 'ɔ l k ə n ə ɹ
FAULDING	f 'ɔ l d ɪ ŋ
FAULDS	f 'ɔ l d z
FAULHABER	f 'aw l h ə b ə ɹ
FAULK	f 'ɔ k
FAULKENBERRY	f 'ɔ l k ə n b ˌɛ ɹ ij
FAULKNER	f 'ɔ k n ə ɹ
FAULKNER'S	f 'ɔ k n ə ɹ z
FAULKS	f 'ɔ k s
FAULL	f 'ɔ l
FAULSTICH	f 'ɔ l s t ɪ ʧ
FAULT	f 'ɔ l t
FAULTED	f 'ɔ l t ɪ d
FAULTING	f 'ɔ l t ɪ ŋ
FAULTS	f 'ɔ l t s
FAULTY	f 'ɔ l t ij
FAUNA	f 'ɔ n ə
FAUNAL	f 'ɑ n ə l
FAUNAL(1)	f 'ɔ n ə l
FAUNCE	f 'ɔ n s
FAUNTLEROY	f 'ɔ n t l ə ɹ ˌɔj
FAUNTROY	f 'ɔ n t ɹ ˌɔj
FAUPEL	f ow p 'ɛ l
FAURE	f 'ɔ ɹ
FAUROT	f ɔ ɹ 'ow
FAUROUX	f ɔ ɹ 'uw
FAUS	f 'ɔ z
FAUSER	f 'aw s ə ɹ
FAUSETT	f 'ɔ s ɪ t
FAUSEY	f 'ɔ s ij
FAUSNAUGH	f 'ɔ s n ɔ
FAUSS	f 'ɔ s
FAUST	f 'aw s t
FAUSTA	f 'ɔ s t ə
FAUSTIAN	f 'ɔ s ʧ ə n
FAUSTINA	f ˌɔ s t 'ij n ə
FAUSTINE	f 'aw s t ij n
FAUSTINO	f ˌɔ s t 'ij n ow
FAUSTO	f 'ɔ s t ow
FAUSTUS	f 'ɔ s t ə s
FAUTEUX	f ow t 'ow
FAUTH	f 'ɔ θ
FAUVER	f 'aw v ə ɹ
FAUX	f 'ɔ k s
FAVA	f 'ɑ v ə
FAVALE	f ɑ v 'ɑ l ij
FAVALORO	f ɑ v ɑ l 'ɔ ɹ ow
FAVARO	f ɑ v 'ɑ ɹ ow
FAVATA	f ɑ v 'ɑ t ə
FAVAZZA	f ɑ v 'ɑ t s ə
FAVE	f 'ej v
FAVELA	f ɑ v 'ɛ l ə
FAVER	f 'ej v ə ɹ
FAVERO	f ɑ v 'ɛ ɹ ow
FAVIA	f 'ɑ v ij ə
FAVINGER	f 'ej v ɪ ŋ ə ɹ
FAVOR	f 'ej v ə ɹ
FAVORABILITY	f ˌæ v ə ɹ ə b 'ɪ l ɪ t ij
FAVORABLE	f 'ej v ə ɹ ə b ə l
FAVORABLE(1)	f 'ej v ɹ ə b ə l
FAVORABLY	f 'ej v ə ɹ ə b l ij
FAVORABLY(1)	f 'ej v ɹ ə b l ij
FAVORED	f 'ej v ə ɹ d
FAVORING	f 'ej v ə ɹ ɪ ŋ
FAVORITE	f 'ej v ə ɹ ɪ t
FAVORITE(1)	f 'ej v ɹ ə t
FAVORITES	f 'ej v ə ɹ ɪ t s
FAVORITES(1)	f 'ej v ɹ ə t s
FAVORITISM	f 'ej v ə ɹ ɪ t ˌɪ z ə m
FAVORS	f 'ej v ə ɹ z
FAVRE	f 'ej v ə ɹ
FAVREAU	f ə v ɹ 'ow
FAVRO	f 'æ v ɹ ow
FAW	f 'ɔ
FAWBUSH	f 'ɔ b ʊ ʃ
FAWCETT	f 'ɔ s ɪ t
FAWKES	f 'ɔ k s
FAWLEY	f 'ɔ l ij
FAWN	f 'ɔ n
FAWNING	f 'ɔ n ɪ ŋ
FAWVER	f 'ɔ v ə ɹ
FAX	f 'æ k s
FAXED	f 'æ k s t
FAXER	f 'æ k s ə ɹ
FAXES	f 'æ k s ɪ z
FAXING	f 'æ k s ɪ ŋ
FAXON	f 'æ k s ə n
FAY	f 'ej
FAY'S	f 'ej z
FAYANJUU	f 'aj ə n ʤ uw
FAYANNE	f 'ej ɪ n
FAYANNE(1)	f ˌej 'æ n
FAYARD	f ə j 'ɑ ɹ d
FAYE	f 'ej
FAYE'S	f 'ej z
FAYED	f 'ej d
FAYED'S	f 'ej d z
FAYETTE	f 'ej 'ɛ t
FAYETTEVILLE	f 'ej ˌɛ t v ˌɪ l
FAYEZ	f 'ej ɛ z
FAYME	f 'ej m
FAYMONVILLE	f 'ej m ə n v ˌɪ l
FAYNE	f 'ej n
FAYROUZ	f 'ej ɹ ˌuw z
FAZ	f 'æ z
FAZE	f 'ej z
FAZED	f 'ej z d
FAZEKAS	f 'æ z ɪ k ə z
FAZENBAKER	f 'ej z ə n b ˌej k ə ɹ
FAZIO	f 'ej z ij ow
FAZIO(1)	f 'ɑ z ij ow
FAZZINO	f ɑ t s 'ij n ow
FAZZIO	f 'æ z ij ow
FE	f 'ej
FE'S	f 'ej z
FEAGAN	f 'ej g ə n
FEAGANS	f 'ij g ə n z
FEAGIN	f 'ij ʤ ɪ n
FEAGINS	f 'ij ʤ ɪ n z
FEAGLE	f 'ij g ə l
FEALTY	f 'ij ə l t ij
FEALTY(1)	f 'ij l t ij
FEAR	f 'ɪ ɹ
FEARED	f 'ɪ ɹ d
FEARFUL	f 'ɪ ɹ f ə l
FEARING	f 'ɪ ɹ ɪ ŋ
FEARLESS	f 'ɪ ɹ l ə s
FEARN	f 'ɛ ɹ n
FEARNOW	f 'ɛ ɹ n ow
FEARON	f 'ɪ ɹ ə n
FEARS	f 'ɪ ɹ z
FEARSOME	f 'ɪ ɹ s ə m
FEASEL	f 'ij z ə l
FEASIBILITY	f ˌij z ə b 'ɪ l ə t ij
FEASIBLE	f 'ij z ə b ə l
FEASIBLY	f 'ij z ə b l ij
FEAST	f 'ij s t
FEASTED	f 'ij s t ɪ d
FEASTER	f 'ij s t ə ɹ
FEASTING	f 'ij s t ɪ ŋ
FEASTS	f 'ij s t s
FEAT	f 'ij t
FEATHER	f 'ɛ ð ə ɹ
FEATHERBED	f 'ɛ ð ə ɹ b ˌɛ d
FEATHERBEDDING	f 'ɛ ð ə ɹ b ˌɛ d ɪ ŋ
FEATHERED	f 'ɛ ð ə ɹ d
FEATHERING	f 'ɛ ð ə ɹ ɪ ŋ
FEATHERING(1)	f 'ɛ ð ɹ ɪ ŋ
FEATHERLESS	f 'ɛ ð ə ɹ l ə s
FEATHERLY	f 'ɛ ð ə ɹ l ij
FEATHERS	f 'ɛ ð ə ɹ z
FEATHERSTON	f 'ɛ ð ə ɹ s t ə n
FEATHERSTONE	f 'ɛ ð ə ɹ s t ˌow n
FEATHERWEIGHT	f 'ɛ ð ə ɹ w ˌej t
FEATHERY	f 'ɛ ð ə ɹ ij
FEATHERY(1)	f 'ɛ ð ɹ ˌij
FEATS	f 'ij t s
FEATURE	f 'ij ʧ ə ɹ
FEATURED	f 'ij ʧ ə ɹ d
FEATURELESS	f 'ij ʧ ə ɹ l ə s
FEATURES	f 'ij ʧ ə ɹ z
FEATURING	f 'ij ʧ ə ɹ ɪ ŋ
FEAZEL	f 'ij z ə l
FEAZELL	f 'ij z ə l
FEB	f 'ɛ b j ə w ˌɛ ɹ ij
FEBLES	f 'ɛ b ə l z
FEBRES	f 'ɛ b ɹ ə s
FEBRUARY	f 'ɛ b j ə w ˌɛ ɹ ij
FEBRUARY(1)	f 'ɛ b ɹ uw ˌɛ ɹ ij
FEBRUARY'S	f 'ɛ b j ə w ˌɛ ɹ ij z
FEBRUARY'S(1)	f 'ɛ b ɹ uw ˌɛ ɹ ij z
FECAL	f 'ij k ə l
FECES	f 'ij s ˌij z
FECHER	f 'ɛ k ə ɹ
FECHNER	f 'ɛ k n ə ɹ
FECHT	f 'ɛ k t
FECHTER	f 'ɛ k t ə ɹ
FECK	f 'ɛ k
FECKLESS	f 'ɛ k l ɪ s
FECTEAU	f ɪ k t 'ow
FECUNDITY	f ə k 'ʌ n d ɪ t ij
FED	f 'ɛ d
FED'S	f 'ɛ d z
FEDAK	f 'ɛ d ə k
FEDDER	f 'ɛ d ə ɹ
FEDDERS	f 'ɛ d ə ɹ z
FEDDERS'S	f 'ɛ d ə ɹ z ɪ z
FEDDERSEN	f 'ɛ d ə ɹ s ə n
FEDE	f 'ij d
FEDECCREDITO	f ɛ d ˌɛ k ɹ ɛ d 'ij t ow
FEDELE	f 'ɛ d ə l
FEDELI	f ɛ d 'ɛ l ij
FEDER	f 'ɛ d ə ɹ
FEDERAL	f 'ɛ d ə ɹ ə l
FEDERAL(1)	f 'ɛ d ɹ ə l
FEDERAL'S	f 'ɛ d ə ɹ ə l z
FEDERAL'S(1)	f 'ɛ d ɹ ə l z
FEDERALISM	f 'ɛ d ə ɹ ə l ˌɪ z ə m
FEDERALISM(1)	f 'ɛ d ɹ ə l ˌɪ z ə m
FEDERALIST	f 'ɛ d ə ɹ ə l ɪ s t
FEDERALIST(1)	f 'ɛ d ɹ ə l ə s t
FEDERALISTS	f 'ɛ d ə ɹ ə l ɪ s t s
FEDERALISTS(1)	f 'ɛ d ə ɹ ə l ɪ s
FEDERALISTS(2)	f 'ɛ d ɹ ə l ɪ s t s
FEDERALISTS(3)	f 'ɛ d ɹ ə l ɪ s
FEDERALIZE	f 'ɛ d ə ɹ ə l ˌaj z
FEDERALIZE(1)	f 'ɛ d ɹ ə l ˌaj z
FEDERALIZED	f 'ɛ d ə ɹ ə l ˌaj z d
FEDERALIZED(1)	f 'ɛ d ɹ ə l ˌaj z d
FEDERALIZING	f 'ɛ d ə ɹ ə l ˌaj z ɪ ŋ
FEDERALIZING(1)	f 'ɛ d ɹ ə l ˌaj z ɪ ŋ
FEDERALLY	f 'ɛ d ə ɹ ə l ij
FEDERALLY(1)	f 'ɛ d ɹ ə l ij
FEDERALS	f 'ɛ d ə ɹ ə l z
FEDERALS(1)	f 'ɛ d ɹ ə l z
FEDERATE	f 'ɛ d ə ɹ ˌej t
FEDERATED	f 'ɛ d ə ɹ ˌej t ɪ d
FEDERATED'S	f 'ɛ d ə ɹ ˌej t ɪ d z
FEDERATION	f ˌɛ d ə ɹ 'ej ʃ ə n
FEDERATION'S	f ˌɛ d ə ɹ 'ej ʃ ə n z
FEDERATIONS	f ˌɛ d ə ɹ 'ej ʃ ə n z
FEDERATIVE	f 'ɛ d ə ɹ ə t ɪ v
FEDERATIVE(1)	f 'ɛ d ɹ ə t ɪ v
FEDERBUSH	f 'ɛ d ə ɹ b ˌʊ ʃ
FEDERER	f 'ɛ d ə ɹ ə ɹ
FEDERICA	f ɛ d ə ɹ 'ij k ə
FEDERICI	f ɛ d ə ɹ 'ij ʧ ij
FEDERICO	f ɛ d ə ɹ 'ij k ow
FEDERLE	f 'ɛ d ə ɹ ə l
FEDERMAN	f 'ij d ə ɹ m ə n
FEDEROFF	f 'ɛ d ə ɹ ˌɔ f
FEDEROV	f 'ɛ d ə ɹ ˌɔ v
FEDERSPIEL	f 'ɛ d ə ɹ s p ij l
FEDEWA	f ɪ d 'uw ə
FEDEX	f 'ɛ d 'ɛ k s
FEDIAY	f 'ij d ij ˌej
FEDLER	f 'ɛ d l ə ɹ
FEDOR	f 'ɛ d ə ɹ
FEDORA	f ɪ d 'ɔ ɹ ə
FEDORCHAK	f 'ɛ d ə ɹ k ə k
FEDORKO	f ɪ d 'ɔ ɹ k ow
FEDRICK	f 'ɛ d ɹ ɪ k
FEDS	f 'ɛ d z
FEE	f 'ij
FEEBACK	f 'ij b ˌæ k
FEEBIS	f 'ij b ɪ s
FEEBLE	f 'ij b ə l
FEEBLY	f 'ij b l ij
FEED	f 'ij d
FEEDBACK	f 'ij d b ˌæ k
FEEDER	f 'ij d ə ɹ
FEEDERS	f 'ij d ə ɹ z
FEEDING	f 'ij d ɪ ŋ
FEEDINGS	f 'ij d ɪ ŋ z
FEEDLOT	f 'ij d l ˌɑ t
FEEDLOTS	f 'ij d l ˌɑ t s
FEEDS	f 'ij d z
FEEDSTOCK	f 'ij d s t ˌɑ k
FEEDSTOCKS	f 'ij d s t ˌɑ k s
FEEHAN	f 'ij ə n
FEEL	f 'ij l
FEELER	f 'ij l ə ɹ
FEELERS	f 'ij l ə ɹ z
FEELEY	f 'ij l ij
FEELIN'	f 'ij l ɪ n
FEELING	f 'ij l ɪ ŋ
FEELINGS	f 'ij l ɪ ŋ z
FEELS	f 'ij l z
FEELY	f 'ij l ij
FEEMSTER	f 'ij m s t ə ɹ
FEENEY	f 'ij n ij
FEENSTRA	f 'ij n s t ɹ ə
FEENY	f 'ij n ij
FEES	f 'ij z
FEESE	f 'ij z
FEESER	f 'ij z ə ɹ
FEET	f 'ij t
FEEZOR	f 'ij z ə ɹ
FEFFER	f 'ɛ f ə ɹ
FEGAN	f 'ɛ g ə n
FEGER	f 'ij g ə ɹ
FEGLEY	f 'ɛ g l ij
FEHER	f 'ɛ h ə ɹ
FEHL	f 'ɛ l
FEHLING	f 'ɛ l ɪ ŋ
FEHLMAN	f 'ɛ l m ə n
FEHN	f 'ɛ n
FEHNEL	f 'ɛ n ə l
FEHR	f 'ɛ ɹ
FEHRENBACH	f 'ɛ ɹ ɪ n b ɑ k
FEHRENBACHER	f 'ɛ ɹ ɪ n b ɑ k ə ɹ
FEHRING	f 'ɛ ɹ ɪ ŋ
FEHRINGER	f 'ɛ ɹ ɪ ŋ ə ɹ
FEHRMAN	f 'ɛ ɹ m ə n
FEICK	f 'ij k
FEICKERT	f 'aj k ə ɹ t
FEIG	f 'ij g
FEIGE	f 'ij ʤ
FEIGEL	f 'aj g ə l
FEIGEN	f 'aj g ə n
FEIGENBAUM	f 'aj g ə n b ˌaw m
FEIGER	f 'aj g ə ɹ
