word	prefix	stem	part of speech	french
tshɛˊkaˊ		tshɛˊkaˊ	NA	(H) : être /devenir clair, pur.
tshɛˊkaˊ		tshɛˊkaˊ	NA	(B) : saisir la justice.
tsheˊkiˊsaˊ		tsheˊkiˊsaˊ	NA	purifier.
tsheˊkiˊsaˋ		tsheˊkiˊsaˋ	NA	se trouver coupable, s'accuser.
tsheˊkʊˊlʊˊxaˋ		tsheˊkʊˊlʊˊxaˋ	NA	être/devenir impur, se polluer.
tshɛˊmaˊ		tshɛˊmaˊ	NA	(B) : se piquer de, faire semblant.
tshɪˊŋˊkɛˊlaˋ		tshɪˊŋˊkɛˊlaˋ	NA	choisir.
tshɛˊpaˊ		tshɛˊpaˊ	NA	(H) : être/devenir moralement pur, saint.
tshiˊaˊmiˊsaˋ		tshiˊaˊmiˊsaˋ	NA	se justifier.
tshiˊraˊ		tshiˊraˊ	NA	(H) : se couvrir, se voiler.
tshiˊreˊleˊtsaˋ		tshiˊreˊleˊtsaˋ	NA	s'abriter. - itshireletsa kgatlhanong le : s'assurer contre.
tshɔˊkaˊ		tshɔˊkaˊ	NA	(H) : être patient, persévérant.
tshɔˊkɛˊlaˊ		tshɔˊkɛˊlaˊ	NA	résister, supporter.
tshɔˊphaˊraˊ		tshɔˊphaˊraˊ	NA	se croiser les bras sur la poitrine (comme qq'un qui a froid).
tshuˊbaˊ		tshuˊbaˊ	NA	(H) : se cacher.
tshuˊkuˊɲaˊ		tshuˊkuˊɲaˊ	NA	se curer les dents.
tshuˊpaˊ		tshuˊpaˊ	NA	(B) : se montrer, se déclarer, se distinguer, être net.
tshuˊthaˊ		tshuˊthaˊ	NA	(B) : se frotter.
tshwaˊraˊ		tshwaˊraˊ	NA	(H) : se conduire, se dominer, se reprendre, se ressaisir. - itshwara diatla : se croiser les mains.
tshwaˊrˊaˊxaˊɲaˋ		tshwaˊrˊaˊxaˊɲaˋ	NA	s'attacher.
tshwaˊrɛˊlaˊ		tshwaˊrɛˊlaˊ	NA	excuser, pardonner.
tshwaˊrɛˊlɛˊlaˋ		tshwaˊrɛˊlɛˊlaˋ	NA	s'accrocher á, attraper.
tshwaˊrɛˊlwaˊ		tshwaˊrɛˊlwaˊ	NA	être excusable, être pardonnable.
tshwaˊriˊsaˊ		tshwaˊriˊsaˊ	NA	se faire attraper.
siˊeˊtsaˊ		siˊeˊtsaˊ	NA	se tromper, avoir tort.
siˊsɪˊ		siˊsɪˊ	NA	annoncer, avertir, faire part, informer, présenter, prévenir, signaler.
soˊkeˊtsaˊ		soˊkeˊtsaˊ	NA	s'enrouler, faire un détour.
sʊˊsaˊ		sʊˊsaˊ	NA	(H) : se lever.
uˊlɛˊlaˊ		uˊlɛˊlaˊ	NA	se prélasser.
uˊmeˊdiˋsaˋ		uˊmeˊdiˋsaˋ	NA	réjouir, contenter, satisfaire.
uˊmɛˊlaˋ		uˊmɛˊlaˋ	NA	se réjouir, être content, gai, heureux, joyeux, satisfait.
uˊmɛˊlɛˋlaˋ		uˊmɛˊlɛˋlaˋ	NA	se féliciter de, se réjouir de, fêter.
weˊlaˊ		weˊlaˊ	NA	(B) : se battre.
dʒaˊ		dʒaˊ	v	manger, coûter, détruire, dévorer, user, valoir.
dʒaˊaˊkaˊ		dʒaˊaˊkaˊ	prep	comme.
dʒaˊaˊnaˊ		dʒaˊaˊnaˊ	ad	ainsi.
dʒaˊaˋnʊˊŋˋ		dʒaˊaˋnʊˊŋˋ	NA	maintenant, á présent. - jaanong jaana : actuellement.
dʒaˊbeˊtsaˊ		dʒaˊbeˊtsaˊ	v	tromper.
dʒaˊbeˊtsoˊ		dʒaˊbeˊtsoˊ	NA	ruse.
dʒaˊkɛˋtɛˊ		dʒaˊkɛˋtɛˊ	NA	veston.
dʒaˊlaˊ		dʒaˊlaˊ	v	planter, semer.
dʒaˊleˊ		dʒaˊleˊ	NA	alors.
dʒaˊlɔˊ		dʒaˊlɔˊ	NA	semence, semis.
dʒaˊlʊˊ		dʒaˊlʊˊ	NA	ainsi. - jalo hee : eh bien.
dʒaˊlʊˋdʒaˊlʊˊ		dʒaˊlʊˋdʒaˊlʊˊ	NA	etc..
dʒaˊŋˊ		dʒaˊŋˊ	NA	comment?. - jang kana jang : n'importe comment.
dʒaˊraˋtaˊ		dʒaˊraˋtaˊ	n	cour
dʒaˊsɪˊ		dʒaˊsɪˊ	NA	manteau.
dʒɛˊxaˊ		dʒɛˊxaˊ	v	être mangeable.
dʒɛˊkɛˊ		dʒɛˊkɛˊ	NA	pot.
dʒɛˊkɛˊ		dʒɛˊkɛˊ	NA	cric
dʒɛˊmɛˊ		dʒɛˊmɛˊ	NA	confiture.
dʒɛˊnɛˊraˋlɪˊ		dʒɛˊnɛˊraˋlɪˊ	NA	général.
dʒɪˊsaˊ		dʒɪˊsaˊ	v	nourrir, ensorceler en faisant absorber un produit magique.
dʒɛˊtɛˊ		dʒɛˊtɛˊ	NA	avion á réaction.
dʒiˋmiˋnaˊstiˋkiˊ		dʒiˋmiˋnaˊstiˋkiˊ	NA	gymnastique.
dʒoˊ		dʒoˊ	NA	ce, cette (cl.14).
kaˊ		kaˊ	prep	avec, par, au sujet de, á propos, sur.
kaˊ		kaˊ	conj	puisque.
kaˋbaˋ		kaˋbaˋ	v	porter sur les épaules.
kaˊbaˊ		kaˊbaˊ	v	boucher. - kabela ditsebe : être sourd.
kaˊbaˊlaˊ		kaˊbaˊlaˊ	v	se boucher.
kaˊbɪˊaˊ		kaˊbɪˊaˊ	v	bouillir longuement.
kaˊbɪˊiˊsaˋ		kaˊbɪˊiˊsaˋ	v	faire bouillir longuement.
kaˋbɛˋlɔˋ		kaˋbɛˋlɔˋ	NA	don, fourniture.
kaˋbɔˋ		kaˋbɔˋ	NA	part.
kaˊbʊˊlʊˊxaˋ		kaˊbʊˊlʊˊxaˋ	v	se déboucher.
kaˊbʊˊlʊˊlaˋ		kaˊbʊˊlʊˊlaˋ	v	déboucher.
kaˋbuˊ		kaˋbuˊ	NA	maïs cuit avec les grains entiers.
kaˊdiˊmaˊnɔˋ		kaˊdiˊmaˊnɔˋ	NA	prêt mutuel.
kaˊdiˊmɔˊ		kaˊdiˊmɔˊ	NA	crédit, emprunt, prêt.
kaˋɪˊ		kaˋɪˊ	NA	combien?. - go se kae : un peu.
kaˊɪˊ		kaˊɪˊ	NA	o?. - kae kana kae : n'importe o.
kaˋɛˋxaˋ		kaˋɛˋxaˋ	v	être décrit, indiqué.
kaˋɛˋlaˋ		kaˋɛˋlaˋ	v	indiquer, conseiller, diriger, recommander, renseigner.
kaˋɛˋlɔˋ		kaˋɛˋlɔˋ	NA	indication, conseil, renseignement.
kaˋɛˋlwaˋ		kaˋɛˋlwaˋ	v	recevoir des instructions.
kaˋɛˋsɛˋxaˋ		kaˋɛˋsɛˋxaˋ	v	être exprimable.
kaˊxɛˊlɛˊlɔˋ		kaˊxɛˊlɛˊlɔˋ	NA	enclos.
kaˊxiˊsaˊɲɔˋ		kaˊxiˊsaˊɲɔˋ	NA	réconciliation.
kaˊxiˊsɔˊ		kaˊxiˊsɔˊ	NA	paix.
kaˊxɔˊ		kaˊxɔˊ	NA	bâtiment, construction, immeuble, installation.
kaˊxɔˊphɪˊmɛˋlɔˋ		kaˊxɔˊphɪˊmɛˋlɔˋ	NA	forteresse.
kaˋiˋlaˋ		kaˋiˋlaˋ	v	errer.
kaˋkaˋnaˋ		kaˋkaˋnaˋ	n	verrue.
kaˋkaˋnaˋ		kaˋkaˋnaˋ	n	pipe.
kaˊkaˊɲɔˊ		kaˊkaˊɲɔˊ	NA	pensée, impression, jugement, logique, opinion, réflexion.
kaˊkaˊreˊtsoˋ		kaˊkaˊreˊtsoˋ	NA	- ka kakaretso : en général, généralement.
kaˋkaˋtɛˋlaˋ		kaˋkaˋtɛˋlaˋ	v	tenir solidement.
kaˊkɛˊ		kaˊkɛˊ	NA	pl. bo- : serpent (sp).
kaˋkɛˋxaˋ		kaˋkɛˋxaˋ	v	être occupé.
kaˋkxɛˋlɔˋ		kaˋkxɛˋlɔˋ	NA	commentaire, remarque.
kaˋkxʊˋlɔˋ		kaˋkxʊˋlɔˋ	NA	félicitation.
kaˋkɔˋ		kaˋkɔˋ	NA	mensonge.
kaˊkʊˊbaˊ		kaˊkʊˊbaˊ	v	éprouver une légère crainte.
kaˋlaˋ		kaˋlaˋ	n	branche.
kaˋlaˋ		kaˋlaˋ	n	confident.
kaˊlaˊ		kaˊlaˊ	v	peser.
kaˋlaˋɸɛˋsɛˋxɔˋ		kaˋlaˋɸɛˋsɛˋxɔˋ	NA	guérison.
kaˋlaˊɸiˊ		kaˋlaˊɸiˊ	NA	action curative, soin, traitement.
kaˊlaˊkaˊtɛˋxaˋ		kaˊlaˊkaˊtɛˋxaˋ	v	courir en tous sens.
kaˊlaˊpaˊ		kaˊlaˊpaˊ	v	sautiller, gambader.
kaˊleˊtsaˊ		kaˊleˊtsaˊ	v	pendre.
kaˊleˊtsoˊ		kaˊleˊtsoˊ	NA	pendaison.
kaˋlʊˊ		kaˋlʊˊ	NA	autant, tellement.
kaˊlɔˊ		kaˊlɔˊ	NA	pesée.
kaˊlʊˊxaˊ		kaˊlʊˊxaˊ	v	être ébloui.
kaˊmaˊ		kaˊmaˊ	v	peigner.
kaˊmaˊ		kaˊmaˊ	v	se vanter.
kaˊmaˊkaˊmaˋ		kaˊmaˊkaˊmaˋ	v	avoir les bras chargés.
kaˊmɔˊ		kaˊmɔˊ	NA	contact.
kaˊmɔˊ		kaˊmɔˊ	NA	peigne.
kaˊmɛˊxɔˊ		kaˊmɛˊxɔˊ	NA	blessure d'amour-propre.
kaˋmɛˊlaˊ		kaˋmɛˊlaˊ	n	chameau.
kaˋmʊˋxɛˋlɔˋ		kaˋmʊˋxɛˋlɔˋ	NA	accueil, admission, gain, réception, récolte, reconnaissance, salaire.
kaˊmʊˋrɪˊ		kaˊmʊˋrɪˊ	NA	pièce.
kaˊmʊˋsɔˊ		kaˊmʊˋsɔˊ	NA	demain.
kaˊmˋpaˊ		kaˊmˋpaˊ	n	camp.
kaˊmˊpaˊ		kaˊmˊpaˊ	v	camper.
kaˊmˊpaˊnaˋ		kaˊmˊpaˊnaˋ	v	lutter.
kaˊmuˊsɔˊ		kaˊmuˊsɔˊ	NA	tétée.
kaˋnaˊ		kaˋnaˊ	ad	autant, tellement. - kana ka eng? : en quelle quantité?
kaˋnaˋ		kaˋnaˋ	conj	ou bien.
kaˋnaˋ		kaˋnaˋ	v	boucher une fuite, sceller.
kaˋnaˋmaˋ		kaˋnaˋmaˋ	v	se coucher sur le dos.
kaˊnaˊɲɔˊ		kaˊnaˊɲɔˊ	NA	échange. - ka kananyo : en retour.
kaˊnɛˊlɔˊ		kaˊnɛˊlɔˊ	NA	histoire.
kaˊŋˊkɪˊrɪˋ		kaˊŋˊkɪˊrɪˋ	NA	cancer.
kaˊnɔˊ		kaˊnɔˊ	NA	récit.
kaˋnɔˋ		kaˋnɔˋ	NA	le fait de boucher une fuite, de sceller.
kaˋnʊˊnʊˊ		kaˋnʊˊnʊˊ	NA	canon.
kaˊnˋtaˊ		kaˊnˋtaˊ	n	lacet.
kaˋntʊˊrʊˊ		kaˋntʊˊrʊˊ	NA	bureau
kaˋʊˊ		kaˋʊˊ	NA	entrave.
kaˋʊˋlʊˋxaˋ		kaˋʊˋlʊˋxaˋ	v	se dissiper, se lever.
kaˊpaˊ		kaˊpaˊ	v	attraper. - kapa senepe : prendre une photo.
kaˊpaˊ		kaˊpaˊ	n	cap.
kaˋpaˋriˋ		kaˋpaˋriˋ	NA	habillement, mise.
kaˋpaˋrɔˋ		kaˋpaˋrɔˋ	NA	habillement, mise.
kaˋpɛˋɔˋ		kaˋpɛˋɔˋ	NA	cuisson.
kaˋpeˋsoˋ		kaˋpeˋsoˋ	NA	habillage.
kaˋpɪˋteˊnɪˊ		kaˋpɪˋteˊnɪˊ	NA	capitaine.
kaˊpiˊ		kaˊpiˊ	NA	bonnet, accent circonflexe.
kaˊpiˊtɛˋlɛˊ		kaˊpiˊtɛˋlɛˊ	NA	capital.
kaˋpʊˊkʊˊ		kaˋpʊˊkʊˊ	NA	neige.
kaˊraˊ		kaˊraˊ	n	charette, voiture.
kaˊraˊbɔˊ		kaˊraˊbɔˊ	NA	réponse, réaction.
kaˋraˋxaˋnaˋ		kaˋraˋxaˋnaˋ	v	gambader.
kaˊraˊlaˊlaˋ		kaˊraˊlaˊlaˋ	v	être/devenir rigide.
kaˊraˋtaˊ		kaˊraˋtaˊ	n	carte.
kaˋraˊtʃhɪˊ		kaˋraˊtʃhɪˊ	NA	garage.
kaˊrɔˊ		kaˊrɔˊ	NA	opération.
kaˊrʊˊlɔˊ		kaˊrʊˊlɔˊ	NA	division, organe, part, partie du corps.
kaˊsɪˊ		kaˊsɪˊ	NA	fromage.
kaˋsɪˋtʊˋroˊlʊˊ		kaˋsɪˋtʊˋroˊlʊˊ	NA	casserole.
kaˋtaˋ		kaˋtaˋ	v	être docile. - kata ka sa morago : reculer.
kaˊtaˊ		kaˊtaˊ	v	tasser (le sol).
kaˊtaˊkaˊ		kaˊtaˊkaˊ	v	tasser fort (le sol).
kaˋtaˋmɛˋlɔˋ		kaˋtaˋmɛˋlɔˋ	NA	approche.
kaˋtaˋmeˋtsaˋnɔˋ		kaˋtaˋmeˋtsaˋnɔˋ	n	rapprochement.
kaˋtaˊraˊ		kaˋtaˊraˊ	n	guitare.
kaˊtɛˊlaˊ		kaˊtɛˊlaˊ	v	boucher un trou.
kaˋtiˋsaˋ		kaˋtiˋsaˋ	v	dresser, entrainer, exercer, former.
kaˋtiˋsɔˋ		kaˋtiˋsɔˋ	NA	dressage, entrainement, exercice, formation.
kaˋtɛˋxɔˋ		kaˋtɛˋxɔˋ	NA	réussite, succès.
kaˊthʊˊlɛˊlɔˋlʊˋsʊˊ		kaˊthʊˊlɛˊlɔˋlʊˋsʊˊ	NA	peine de mort.
kaˊthʊˊlɔˊ		kaˊthʊˊlɔˊ	NA	condamnation, jugement.
kaˋtɔˋ		kaˋtɔˋ	NA	baiser.
kaˊtʊˊaˊ		kaˊtʊˊaˊ	v	entraver.
kaˋtʊˋxaˋ		kaˋtʊˋxaˋ	v	s'écarter, s'éloigner, être retiré, reculer.
kaˋtʊˋxaˋɲaˋ		kaˋtʊˋxaˋɲaˋ	v	détacher.
kaˋtʊˋxɔˋ		kaˋtʊˋxɔˋ	NA	recul.
kaˋtʊˋlʊˋxaˋ		kaˋtʊˋlʊˋxaˋ	v	s'écarter, s'éloigner.
kaˋtʊˋlʊˋxaˋnɔˋ		kaˋtʊˋlʊˋxaˋnɔˋ	v	écartement.
kaˋtʊˋlʊˋxɔˋ		kaˋtʊˋlʊˋxɔˋ	NA	écart.
kaˊtʊˊlʊˊlaˋ		kaˊtʊˊlʊˊlaˋ	v	déboucher un trou.
kaˋtʊˋlʊˋsaˋ		kaˋtʊˋlʊˋsaˋ	v	écarter, éloigner.
kaˋtʊˋsaˋ		kaˋtʊˋsaˋ	v	écarter, éloigner, reculer.
kaˊtsɪˊ		kaˊtsɪˊ	NA	chat.
kaˊtsɔˊ		kaˊtsɔˊ	NA	aumône.
kaˊtsɔˊɲaˊnaˋ		kaˊtsɔˊɲaˊnaˋ	v	pourboire.
kaˋtʊˊnɪˊ		kaˋtʊˊnɪˊ	NA	coton.
kaˋjaˋ		kaˋjaˋ	v	indiquer, décrire, estimer, juger, marquer, noter, être significatif, signifier.
kaˊjaˊ		kaˊjaˊ	v	entraver.
kɪˊ		kɪˊ	NA	c'est, ce sont, voici, voilá.
kɪˊ		kɪˊ	NA	par.
kɛˊɛˊtaˋnɪˋ		kɛˊɛˊtaˋnɪˋ	NA	chaine.
kɛˊkɛˊlaˊ		kɛˊkɛˊlaˊ	v	gagner du terrain (incendie, infection, etc.)
kɛˊkɛˊtaˊ		kɛˊkɛˊtaˊ	v	mordre dans qc.
keˋleˋdiˋ		keˋleˋdiˋ	NA	larme.
kɛˊlɛˊkaˊ		kɛˊlɛˊkaˊ	v	examiner, observer.
kɛˊlɛˊkaˊ		kɛˊlɛˊkaˊ	n	examen, observation
kɛˋlɛˋlɔˋ		kɛˋlɛˋlɔˋ	NA	canal, circulation (du sang), bonne volonté.
kɛˊlɛˋrɛˊ		kɛˊlɛˋrɛˊ	NA	cave.
kɛˋlɛˋrwaˊ		kɛˋlɛˋrwaˊ	n	dé, osselet.
keˋleˋtsoˋ		keˋleˋtsoˋ	NA	désir, envie, souhait, volonté. - keletso ya dijo : appétit. - keletso e kgolo : préférence.
kɛˋlɔˋthɔˊkɔˊ		kɛˋlɔˋthɔˊkɔˊ	NA	attention, précaution. - nna kelotlhoko : être prudent.
kɛˊmɛˊlɔˊ		kɛˊmɛˊlɔˊ	NA	pose.
keˊmiˊseˊtsoˋ		keˊmiˊseˊtsoˋ	NA	relève, remplacement.
keˊmiˊsɔˊ		keˊmiˊsɔˊ	NA	arrêt, levée (d'une séance), stationnement. - mo kemisong : en suspens.
kɛˊmɔˊ		kɛˊmɔˊ	NA	attente, escale.
kɛˊmɔˋnoˊsiˊ		kɛˊmɔˋnoˊsiˊ	NA	indépendance.
kɛˊnˊtaˊ		kɛˊnˊtaˊ	v	piquer, faire une piqûre, vacciner.
kɛˊpɛˋsɛˊ		kɛˊpɛˋsɛˊ	NA	casquette.
keˋpuˋ		keˋpuˋ	NA	outil pour creuser.
kɪˋraˊmaˊ		kɪˋraˊmaˊ	n	grammaire.
kɛˊrɛˋkɛˊ		kɛˊrɛˋkɛˊ	NA	église.
kɛˊrɛˋsɛˊ		kɛˊrɛˋsɛˊ	NA	bougie.
kɪˋrɪˊsɪˊmʊˋsɪˊ		kɪˋrɪˊsɪˊmʊˋsɪˊ	NA	Nol.
kɛˋtaˋpɪˋlɪˋ		kɛˋtaˋpɪˋlɪˋ	NA	préambule, préface.
kɪˋtɪˋɸaˋlaˋ		kɪˋtɪˋɸaˋlaˋ	v	peser, s'alourdir.
kɪˋtɪˋɸaˋtsaˋ		kɪˋtɪˋɸaˋtsaˋ	v	alourdir.
kɪˋtɪˋɸaˋtsɔˋ		kɪˋtɪˋɸaˋtsɔˋ	NA	alourdissement.
kɪˊtɪˊkaˊ		kɪˊtɪˊkaˊ	v	célébrer, fêter.
kɪˊtɪˊkɔˊ		kɪˊtɪˊkɔˊ	NA	célébration.
kɛˋtɛˋlɛˋlaˋpɪˋlɪˋ		kɛˋtɛˋlɛˋlaˋpɪˋlɪˋ	n	introduction, préface.
kɛˋtɛˋlɔˋ		kɛˋtɛˋlɔˋ	NA	fréquentation, visite.
kɛˋtɛˋlɔˋtuˊlɔˊ		kɛˋtɛˋlɔˋtuˊlɔˊ	NA	excursion.
keˋteˋeˋtsoˋ		keˋteˋeˋtsoˋ	NA	appui, encouragement.
kɪˊtɪˊlɪˋ		kɪˊtɪˊlɪˋ	NA	bouilloire, théière.
keˊtʊˊxaˊ		keˊtʊˊxaˊ	v	s'écailler, s'ébrécher.
keˊtʊˊlaˊ		keˊtʊˊlaˊ	v	détacher un petit morceau de qc. - ketlola mojela : s'acquitter d'une partie d'une dette.
kɛˋtɔˋ		kɛˋtɔˋ	NA	sortie.
keˋtsaˋeˋtsɛˋxɔˋ		keˋtsaˋeˋtsɛˋxɔˋ	NA	agitation, flottement, hésitation.
keˋtsoˋ		keˋtsoˋ	NA	imitation.
kxaˋbaˋ		kxaˋbaˋ	v	être élégant.
kxaˋbaˋ		kxaˋbaˋ	v	extraire du sol.
kxaˋbaˊ		kxaˋbaˊ	n	cuillère en bois pour servir la bouillie.
kxaˊbaˊ		kxaˊbaˊ	n	malédiction.
kxaˊbaˊkxaˊbaˋ		kxaˊbaˊkxaˊbaˋ	v	bouillir.
kxaˊbaˊkxaˊbiˋsaˋ		kxaˊbaˊkxaˊbiˋsaˋ	v	faire bouillir.
kxaˊbaˊxaˊɲaˋ		kxaˊbaˊxaˊɲaˋ	v	traverser, couper, croiser, passer á travers.
kxaˊbaˊxaˊɲɔˋ		kxaˊbaˊxaˊɲɔˋ	NA	traversée.
kxaˊbɛˊtɛˊlɛˋlaˋ		kxaˊbɛˊtɛˊlɛˋlaˋ	v	hacher, émincer.
kxaˊbaˊtʊˊlɛˋxaˋ		kxaˊbaˊtʊˊlɛˋxaˋ	v	aller en tous sens.
kxaˋbiˋsaˋ		kxaˋbiˋsaˋ	v	décorer, orner.
kxaˋbiˋsɔˋ		kxaˋbiˋsɔˋ	NA	décoration.
kxaˊbʊˊ		kxaˊbʊˊ	NA	flamme.
kxaˊbʊˊ		kxaˊbʊˊ	NA	pl. bo- : singe.
kxaˊdiˊkɔˊ		kxaˊdiˊkɔˊ	NA	friture.
kxaˊxaˊ		kxaˊxaˊ	n	pangolin.
kxaˊxaˊmaˊlɔˋ		kxaˊxaˊmaˊlɔˋ	NA	tension.
kxaˋxʊˋxɔˋ		kxaˋxʊˋxɔˋ	NA	déchirure.
kxaˋxʊˋlɔˋ		kxaˋxʊˋlɔˋ	NA	accroc, déchirure.
kxaˊiˊsaˊnɔˋ		kxaˊiˊsaˊnɔˋ	NA	compétition. - kgaisano ya lobelo : course.
kxaˊiˋtsaˊdiˊ		kxaˊiˋtsaˊdiˊ	NA	pl. bo- : soeur (d'un homme), frère (d'une femme).
kxaˊkaˊ		kxaˊkaˊ	n	pintade.
kxaˊkaˊlaˊ		kxaˊkaˊlaˊ	ad	loin. - nna kgakala : être éloigné, retiré.
kxaˋkaˋlɔˋ		kxaˋkaˋlɔˋ	NA	colère.
kxaˊkxaˊɸaˊlaˋ		kxaˊkxaˊɸaˊlaˋ	v	être/devenir arrogant, insolent.
kxaˊkxaˊmaˊlɔˋ		kxaˊkxaˊmaˊlɔˋ	NA	étonnement, exclamation, saisissement.
kxaˊkxaˊmaˊtsɔˋ		kxaˊkxaˊmaˊtsɔˋ	NA	merveille, surprise. - nna dikgakgamatso : être formidable.
kxaˊkxaˊthaˊ		kxaˊkxaˊthaˊ	v	mijoter.
kxaˊkʊˊlʊˊxɔˋ		kxaˊkʊˊlʊˊxɔˋ	NA	fusion.
kxaˊkʊˊlʊˊxɛˋlɔˋ		kxaˊkʊˊlʊˊxɛˋlɔˋ	NA	mémoire, souvenir.
kxaˊkʊˊlʊˊlɔˋ		kxaˊkʊˊlʊˊlɔˋ	NA	conseil, recommandation.
kxaˊkʊˊlʊˊsɔˋ		kxaˊkʊˊlʊˊsɔˋ	NA	fonte.
kxaˋlaˋ		kxaˋlaˋ	n	horizon.
kxaˋlaˋ		kxaˋlaˋ	n	honte. - tlhabiwa ke kgala : avoir honte.
kxaˊlaˊ		kxaˊlaˊ	n	la quantité de grain qu'on peut piler en une fois.
kxaˊlaˊ		kxaˊlaˊ	v	s'assécher.
kxaˊlaˊ		kxaˊlaˊ	v	critiquer, condamner.
kxaˋlaˋlɛˋlɔˋ		kxaˋlaˋlɛˋlɔˋ	NA	éclat. - ka kgalalelo : brillamment.
kxaˊlɪˊɸɔˊ		kxaˊlɪˊɸɔˊ	NA	colère.
kxaˊlɪˊmaˊ		kxaˊlɪˊmaˊ	v	gronder.
kxaˊlɪˊmɛˊlaˋ		kxaˊlɪˊmɛˊlaˋ	v	avertir, reprocher.
kxaˊlɪˊmɛˊlɔˋ		kxaˊlɪˊmɛˊlɔˋ	NA	avertissement, reproche.
kxaˊlɛˊsɛˊxaˋ		kxaˊlɛˊsɛˊxaˋ	v	être critiquable.
kxaˊlɔˊ		kxaˊlɔˊ	NA	critique, reproche.
kxaˊmaˊ		kxaˊmaˊ	n	antilope (sp).
kxaˊmaˊ		kxaˊmaˊ	v	étrangler.
kxaˋmaˋtheˋtsaˋ		kxaˋmaˋtheˋtsaˋ	v	tacher.
kxaˋmaˋthʊˋlʊˋlaˋ		kxaˋmaˋthʊˋlʊˋlaˋ	v	détacher.
kxaˊmɛˊlɔˊ		kxaˊmɛˊlɔˊ	NA	seau.
kxaˊmʊˊlɔˊpɪˋlʊˊ		kxaˊmʊˊlɔˊpɪˋlʊˊ	NA	déchirement.
kxaˊnɛˊlaˊ		kxaˊnɛˊlaˊ	v	défendre qch á qn, disputer, empêcher, interdire, limiter, s'opposer, prévenir, priver, résister.
kxaˊnɛˊlɛˊlaˋ		kxaˊnɛˊlɛˊlaˋ	v	éviter, empêcher de sortir de qq part.
kxaˊnɛˊlɔˊ		kxaˊnɛˊlɔˊ	NA	interdiction, prévention, privation, résistance.
kxaˊnɛˊlɔˊ		kxaˊnɛˊlɔˊ	NA	refus, dénégation, protestation.
kxaˊneˊtsaˊɲɔˋ		kxaˊneˊtsaˊɲɔˋ	NA	argumentation, dispute.
kxaˊneˊtsoˊ		kxaˊneˊtsoˊ	NA	opposition, négation, résistance, contestation.
kxaˊŋˊ		kxaˊŋˊ	NA	affaire, article (de journal), conversation, histoire, information, nouvelle, question, sujet.
kxaˊnɔˊ		kxaˊnɔˊ	NA	refus.
kxaˋnʊˊ		kxaˋnʊˊ	NA	pl. bo- : mangouste (sp).
kxaˊnˊtɪˋlɛˊ		kxaˊnˊtɪˋlɛˊ	NA	plus tard.
kxaˊʊˊxaˊnaˋ		kxaˊʊˊxaˊnaˋ	v	se séparer, éclater, se partager.
kxaˊʊˊxaˊnɔˋ		kxaˊʊˊxaˊnɔˋ	NA	séparation, distribution, division.
kxaˊʊˊxaˊɲaˋ		kxaˊʊˊxaˊɲaˋ	v	séparer, déchirer, détacher, distribuer, diviser, éloigner, partager. - kgaoganya ka bobedi : dédoubler.
kxaˊʊˊxaˊɲɛˋsɛˋxaˋ		kxaˊʊˊxaˊɲɛˋsɛˋxaˋ	v	être divisible.
kxaˊʊˊxaˊɲɔˋ		kxaˊʊˊxaˊɲɔˋ	NA	partage.
kxaˊʊˊlaˊ		kxaˊʊˊlaˊ	v	couper, découper, tailler. - kgaola puo/mafoko : couper la parole. - kgaola maoto : prendre qq'un en voiture.
kxaˊʊˊlɔˊ		kxaˊʊˊlɔˊ	NA	coupure, acte, chapitre, coupe, division, région. - kgaolo ya motse : quartier.
kxaˊʊˊlɔˋkxʊˊlʊˊ		kxaˊʊˊlɔˋkxʊˊlʊˊ	NA	province.
kxaˊʊˊtsaˊ		kxaˊʊˊtsaˊ	v	cesser.
kxaˋpeˋtaˋ		kxaˋpeˋtaˋ	n	glace.
kxaˋpeˋtsaˋkxaˋpeˋtsaˋ		kxaˋpeˋtsaˋkxaˋpeˋtsaˋ	ad	fréquemment.
kxaˋphaˋ		kxaˋphaˋ	v	repousser, écarter.
kxaˋphaˋ		kxaˋphaˋ	v	enduire le sol.
kxaˋphaˋsɛˋlaˋ		kxaˋphaˋsɛˋlaˋ	v	déborder, éclabousser.
kxaˊpɪˊaˊ		kxaˊpɪˊaˊ	v	éclabousser.
kxaˊpɔˊ		kxaˊpɔˊ	NA	saisie.
kxaˊraˊkxaˊtshɛˋxaˋ		kxaˊraˊkxaˊtshɛˋxaˋ	v	trainer.
kxaˋraˋmeˋtsaˋ		kxaˋraˋmeˋtsaˋ	v	pousser.
kxaˋraˋthaˋ		kxaˋraˋthaˋ	v	se débattre.
kxaˋrɪˋbɛˋ		kxaˋrɪˋbɛˋ	NA	demoiselle.
kxaˊriˊthaˊ		kxaˊriˊthaˊ	v	vider.
kxaˋsaˊ		kxaˋsaˊ	n	mortier (en maçonnerie).
kxaˊsɔˊ		kxaˊsɔˊ	NA	émission.
kxaˋtaˋmˊpiˊ		kxaˋtaˋmˊpiˊ	NA	trou pour les ordures.
kxaˊtɛˊlɛˊlɔˋ		kxaˊtɛˊlɛˊlɔˋ	NA	pression, domination, insistance.
kxaˋthaˋ		kxaˋthaˋ	v	défricher.
kxaˊtiˊsɔˊ		kxaˊtiˊsɔˊ	NA	enregistrement, fer á repasser, impression, imprimerie, presse, repassage, tirage.
